Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Chara. ID,[Chara. name],Retail price in %,Order by prio.,EU order by ABC,Effect ID,[Effect name],Padding #0,Purchase price,Attack,Hit%,Feature ID,[Feature name],Padding #1,Feature value,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
10,2352244864,106249,14,Steinschneide,105301,12,Cortapiedra,106226,13,Coupe Pierre,104413,12,Stonecutter,0,Vyse,50,6,58,-1,None,0,3120,99,90,-1,None,0,0,64450,86,"Messer, ursprünglich zu Steinmetzarbeiten\nbenutzt, jetzt für den Kampf umgearbeitet.",63907,93,"Una espada que se utilizaba en albañilería,\npero se ha transformado para su uso en combate.",64147,95,"Une lame utilisée à l'origine en maçonnerie, qui\na été modifiée pour servir dans les combats.",63482,91,"A blade originally used in masonry work, it has\nsince been modified to be used in combat."
11,2352244876,106263,13,Traummachete,105313,16,Sable de Sueños,106239,11,Sabre Rêve,104425,14,Dream Cutlass,0,Vyse,50,10,26,-1,None,0,6690,137,90,35,Blue,0,-2,64536,96,"Legendäres Schwert, das den Stoff der Wirklich-\nkeit zerschneiden und Träume wahr machen kann.",64000,88,Mítica espada que deshace la materia de lo real\npara que los sueños se hagan realidad.,64242,96,Une épée légendaire qui peut soi-disant déchirer\nle tissu de la réalité et réaliser les rêves.,63573,92,A legendary sword that can supposedly rip the\nfabric of reality and make dreams come true.
12,2352244892,106276,12,Windspalter,105329,13,Corta-viento,106250,16,Coupeur de Vent,104439,11,Windslicer,0,Vyse,50,12,70,-1,None,0,8760,153,90,-1,None,0,0,64632,90,"Ein so dünnes Messer, das man von ihm sagt, es\nkönne die Luft in zwei Hälften schneiden.",64088,86,"Espada de hoja tan fina que, según la leyenda,\ncorta el mismisimo aire por la mitad.",64338,64,Une épée si fine qu'elle peut couper l'air\nd'après la légende.,63665,78,A blade so slender that it is fabled to be able\nto cut the very air in half.
13,2352244904,106288,14,Vorlik-Klinge,105342,14,Espada Vorlik,106266,12,Épée Vorlik,104450,13,Vorlik Blade,0,Vyse,50,15,68,-1,None,0,16500,200,200,-1,None,0,0,64722,72,"Meisterwerk des legendären Schmieds Ryu-kan,\naus Velorium hergestellt.",64174,79,"Una obra maestra del mítico creador de espadas\nRyu-kan, forjada con Velorium.",64402,79,"Un chef d'oeuvre du légendaire façonneur d'épée,\nRyu-kan, forgée en Velorium.",63743,75,"A masterpiece of the legendary swordsmith,\nRyu-kan, forged from Velorium."
14,2352244920,106302,14,Suiran-Klinge,105356,14,Espada Suiran,106278,12,Épée Suiran,104463,13,Suiran Blade,0,Vyse,50,11,60,-1,None,0,7500,141,90,-1,None,0,0,64794,93,"Von yafutoman-Soldaten benutztes Schwert, trotz\nseiner schweren Klinge leicht zu handhaben.",64253,97,"Espada corta usada por los soldados Yafutoman.\nAunque sea gruesa y pesada, es fácil de manejar.",64481,96,"Une courte épée dont se servaient les soldats\nYafutoman, à lame large et lourde mais maniable.",63818,91,"A short sword used by Yafutoman soldiers, its\nthick, heavy blade is still easy to handle."
15,2352244936,106316,14,Seelenschwert,105370,16,Espada del Alma,106290,9,Épée Âme,104476,11,Soul Sword,0,Vyse,50,14,56,16,Add Death #3,0,12340,174,90,-1,None,0,0,64887,94,"Das Schwert der Schwerter, die Meisterstück des\nSchmieds Ryu-kan. Kann auf der Stelle töten.",64350,91,"La espada por antonomasia, obra maestra del\nmaestro Ryu-kan. Causa la muerte instantánea.",64577,92,"L'ultime épée, le meilleur travail du façonneur\nd'épée, Ryu-kan. Peut tuer d'un seul coup.",63909,95,"The ultimate sword, the best work of the master\nswordsmith, Ryu-kan. Can cause instant death."
16,2352244948,106330,9,Bumerang,105386,8,Bumerán,106299,10,Boomerang,104487,10,Boomerang,1,Aika,50,17,5,-1,None,0,70,19,110,-1,None,0,0,64981,79,"Aikas Lieblings-Bumerang. Sehr groß, aber nicht\nschwer und leicht zu steuern.",64441,71,"El Bumerán preferido de Aika. Grande pero\nligero, y fácil de dirigir.",64669,71,Boomerang préféré d'Aika. Il est grand mais\nléger et facile à lancer.,64004,78,"Aika's favorite boomerang. It's large but light,\nand relatively easy to aim."
17,2352244960,106339,16,Himmelsschwinge,105394,12,Ala Celeste,106309,13,Aile du ciel,104497,8,Skywing,1,Aika,50,26,55,-1,None,0,3670,107,110,-1,None,0,0,65060,90,"Bumerang, der wie ein fliegender Vogel geformt\nist. Er kommt immer zum Werfenden zurück.",64512,91,"Bumerán con forma de pájaro volador. Siempre\nregresa, da igual lo lejos que sea lanzado.",64740,83,"Un boomerang en forme d'oiseau. Il revient\ntoujours, quelle que soit la distance.",64082,91,"A boomerang shaped like a flying bird. It\nalways returns, no matter how far it is thrown."
18,2352244968,106355,15,Späherschwinge,105406,16,Ala Exploradora,106322,14,Aile du scout,104505,11,Scout Wing,1,Aika,50,21,51,-1,None,0,680,53,110,-1,None,0,0,65150,80,"Waffe, die von den Spähtrupps benutzt\nwird, sie soll schnell und tödlich sein.",64603,93,El arma que usan las tripulaciones de partidas\nde reconocimiento. Debe ser rápida y mortal.,64823,94,"Arme transportée par les équipes d'éclaireurs,\nelle est conçue pour être rapide et mortelle.",64173,83,"A weapon carried by crews of scouting parties,\nit is meant to be fast and deadly."
19,2352244980,106370,11,Eisspalter,105422,11,Cortahielo,106336,17,Fendeur de Glace,104516,13,Ice Splitter,1,Aika,50,29,38,-1,None,0,7390,142,110,34,Purple,0,-2,65230,79,"Bumerang mit scharfer Klinge, der im\nFlug scheinbar die Luft gefrieren lässt.",64696,94,"Un Bumerán de hoja afilada y transparente como\nel hielo, que congela el aire que atraviesa.",64917,78,Un boomerang à la lame glacée et aiguisée qui\nsemble gèler l'air qu'il fend.,64256,93,"A boomerang with an icy clear, sharp blade that\nseemingly freezes the air it flies through."
20,2352244996,106381,12,Ledersichel,105433,13,Bumerán piel,106353,13,Aile de Cuir,104529,17,Leather Crescent,1,Aika,50,18,41,-1,None,0,180,30,110,-1,None,0,0,65309,74,"Lederverstärkter Bumerang, sehr robust gebaut\nund äußerst schlagkräftig.",64790,72,Un Bumerán reforzado con cuero de hechura\nrecia y con un gran impacto.,64995,81,Un boomerang en cuir renforcé qui est très\nsolide et particulièrement puissant.,64349,88,"A leather-reinforced boomerang that is very\nsturdy in build, and packs an extra punch."
21,2352245016,106393,11,Wurfklinge,105446,17,Espada de lanzar,106366,15,Lame de Lancer,104546,15,Throwing Blade,1,Aika,50,19,63,-1,None,0,310,38,110,-1,None,0,0,65383,94,"Alte Waffe, die nahe Sailors' Island gefunden\nwurde. Vermutlich für Holz- und Steinarbeiten.",64862,84,Arma antigua de la Isla del Pirata. Se usaba\npara trabajar la madera y la piedra.,65076,98,Ancienne arme trouvée près de l'île aux Marins.\nAurait servie au travail du bois & de la pierre.,64437,96,An ancient weapon found near Sailors' Island.\nThought to have been used for wood & stone work.
22,2352245032,106404,10,Jagdbogen,105463,13,Arco de caza,106381,14,Arc de Chasse,104561,12,Hunting Arc,1,Aika,50,24,36,-1,None,0,1820,80,110,-1,None,0,0,65477,77,"Traditionelle Ixa'taka-Jagdwaffe; Kinder lernen\nsehr früh, damit umzugehen.",64946,96,"Un arma de caza tradicional de los Ixa'takan,\nque los niños aprenden a manejar desde pequeños.",65174,88,"Arme traditionnelle de chasse Ixa'takan, on\napprend très tôt aux enfants à s'en sevir.",64533,96,"A traditional Ixa'takan hunting weapon, children\nare taught to use them from a very young age."
23,2352245044,106414,10,Valuarang,105476,10,Valuarang,106395,10,Valuarang,104573,10,Valuarang,1,Aika,50,20,67,-1,None,0,480,46,110,-1,None,0,0,65554,96,"Leichter Bumerang, zur Übung für den jährlichen\nBumerang-Wettbewerb im Valua-Coliseum benutzt.",65042,82,Bumerán ligero con el que practicar para el\nconcurso anual del Coliseo de Valua.,65262,91,Un boomerang léger qui sert pour l'entraînement\nau championnat annuel du Coliseum Valuan.,64629,93,A light boomerang used to practice for the\nannual boomerang contest in the Valuan Coliseum.
24,2352245056,106424,13,Yin-Schwinge,105486,9,Yin Wing,106405,9,Aile Yin,104583,9,Yin Wing,1,Aika,50,28,72,17,Add Sleep #5,0,5930,130,110,-1,None,0,0,65650,84,"Tränenförmige Klinge, von einem Meisterschmied\naus einem Stück Moon Stone geformt.",65124,94,Una espada en forma de lágrima creada por un\nmaestro artesano con una pieza de Piedra Lunar.,65353,93,Épée en forme de larme réalisée par un grand\nmaître avec un seul morceau de Pierre de Lune.,64722,88,A tear-shaped blade crafted by a master\nweaponsmith from a single piece of Moon Stone.
25,2352245068,106437,12,Tänzerspeer,105495,14,Arco Danzarín,106414,12,Arc Dansant,104592,12,Dancing Arc,1,Aika,50,22,23,-1,None,0,1100,65,110,-1,None,0,0,65734,86,"Ornamentaler Wurfspeer, von Nasr-Tänzern\nbenutzt. Wird auch als Jagdwaffe gebraucht.",65218,84,Las bailarinas de Nasr usan este cuchillo\nornamental que sirve también para cazar.,65446,95,Une épée de lancer décorative utilisée par les\ndanceurs Nasrean. Sert aussi d'arme de chasse.,64810,94,A decorative throwing blade used by Nasrean\ndancers. It is used as a hunting weapon as well.
26,2352245080,106449,18,Hoffnungsschwinge,105509,17,Ala de Esperanza,106426,14,Aile d'Espoir,104604,13,Wing of Hope,1,Aika,50,27,71,-1,None,0,4760,119,110,-1,None,0,0,65820,105,"Als Erinnerung an die, die im Dark Rift ihr Leben\nließen, in der Hoffnung, dass es anderen besser geht.",65302,92,"Hecha en memoria de los desaparecidos en la\nGruta Oscura, para dar esperanza a los nuevos.",65541,91,Réalisée en mémoire des disparus du Récif Noir\ndans l'espoir que d'autres s'en sortiront.,64904,93,Crafted in memory of those lost in the Dark Rift\nand in hopes that others will fare better.
27,2352245096,106467,14,Sturmschwinge,105526,16,Ala de Tormenta,106440,13,Aile d'Orage,104617,11,Storm Wing,1,Aika,50,23,59,2,Add Weak,0,1280,69,150,-1,None,0,0,65925,85,"Von Wächtern eines alten Kaiserpalasts benutzt,\nkann diese Klinge Feinde schwächen.",65394,92,Usada por los guardias de un antiguo palacio\nimperial. Su función es debilitar al enemigo.,65632,97,"Épée utilisée par les gardes d'un ancien palais\nimpérial, a le pouvoir d'affaiblir les ennemis.",64997,91,"Used by guards in an ancient imperial palace,\nthis blade has the power to weaken enemies."
28,2352245108,106481,13,Mondschwinge,105542,10,Ala Lunar,106453,13,Aile de Lune,104628,10,Moon Wing,1,Aika,50,31,45,-1,None,0,10170,161,110,-1,None,0,0,66010,86,Ausgezeichnete Waffe vom Meister Ryu-kan.\nPerfekte Harmonie von Design und Funktion.,65486,96,Insuperable arma creada por el maestro Ryu-kan.\nPerfecto equilibrio de diseño y funcionalidad.,65729,91,Arme superbe créée par maître Ryu-kan. Parfait\néquilibre entre fonctionnel et esthétique.,65088,96,"A superb weapon created by the master, Ryu-kan.\nA perfect balance of design and functionality."
29,2352245120,106494,15,Hydra-Schwinge,105552,10,Ala Hydra,106466,13,Aile d'Hydra,104638,11,Hydra Wing,1,Aika,50,32,37,-1,None,0,11390,168,110,-1,None,0,0,66096,76,"Ein Bumerang, der von der Valua Armee für\nden Nahkampf umgearbeitet wurde.",65582,86,Un Bumerán reforzado por el ejército de Valua\npara usar en combates cuerpo a cuerpo.,65820,88,Un boomerang modifié par l'armée Valuan avec\nrenforcement pour les combats rapprochés.,65184,87,A boomerang modified by the Valuan army with\nreinforcement for close-quarters combat.
30,2352245132,106509,17,Grendel-Schwinge,105562,12,Ala Grendel,106479,16,Aile de Grendel,104649,13,Grendel Wing,1,Aika,50,25,33,-1,None,0,2820,96,150,32,Green,0,-2,66172,90,Bumerang aus dem Knochen des Green Gigas.\nSeine Macht reicht an die des Fist of Grendel.,65668,88,Bumerán hecho con un hueso del Gigas Verde.\nSu poder es comparable al Puño de Grendel.,65908,96,Un boomerang fabriqué avec un os de Gigas Vert.\nSon pouvoir rivalise avec le Poing de Grendel.,65271,88,A boomerang made from a bone of the Green Gigas.\nIts power rivals the Fist of Grendel.
31,2352245148,106526,14,Flatterklinge,105574,15,Hoja Oscilante,106495,13,Lame Volante,104662,14,Flutter Blade,1,Aika,50,30,29,3,Add Confusion #1,0,8910,153,110,-1,None,0,0,66262,94,Doppelklingiger Bumerang mit unvorhersehbarer\nFlugbahn. Kann beim Feind Verwirrung auslösen.,65756,87,Bumerán de doble hoja cuya trayectoria de\nvuelo es impredecible. Confunde al enemigo.,66004,93,Boomerang à double tranchant. Sa trajectoire\nest imprévisible ce qui peut tromper l'ennemi.,65359,96,A double-bladed boomerang with an unpredictable\nflight path. It can induce Confuse in enemies.
32,2352245164,106540,6,Cupil,105589,6,Cupil,106508,6,Cupil,104676,6,Cupil,2,Fina,0,34,7,-1,None,0,0,58,120,-1,None,0,0,66356,97,Von den Silvites kreierte künstliche Lebensform.\nCupil begleitet Fina seit ihrem 4. Lebensjahr.,65843,94,Forma de vida artificial creada por Silvites.\nFina recogió a Cupil cuando ella tenía 4 años.,66097,91,Espèce artificielle créée par les Silvites.\nCupil accompagne Fina depuis qu'elle a 4 ans.,65455,88,An artificial life form created by Silvites.\nCupil has been with Fina since she was 4.
33,2352245172,106546,12,Cupil-Lanze,105595,12,Lanza Cupil,106514,12,Lance Cupil,104682,12,Cupil Lance,2,Fina,0,41,14,-1,None,0,0,110,120,-1,None,0,0,66453,88,"Cupil verwandelt sich in eine Lanze und wirft\nsich auf jeden Feind, den Fina bestimmt.",65937,87,Cupil se transforma en lanza y se arroja contra\ncualquier enemigo que Fina le ordene.,66188,76,Cupil se change en lance et se jette sur\nl'ennemi au commandement de Fina.,65543,78,Cupil morphs into a lance and lunges itself at\nwhatever enemy Fina commands.
34,2352245184,106558,12,Cupil-Stern,105607,15,Estrella Cupil,106526,13,Étoile Cupil,104694,11,Cupil Star,2,Fina,0,40,18,-1,None,0,0,103,120,-1,None,0,0,66541,85,Cupil verwandelt sich in einen Stern und bewegt\nsich spiralförmig auf den Feind zu.,66024,74,Cupil se transforma en estrella y se lanza en\nespiral contra el enemigo.,66264,63,Cupil se change en étoile et fonce en spirale\nsur son ennemi.,65621,57,Cupil morphs into a star and spirals towards its\nenemy.
35,2352245196,106570,9,Cupicone,105622,9,Cupicono,106539,9,Cupicône,104705,9,Cupicone,2,Fina,0,36,6,-1,None,0,0,73,120,-1,None,0,0,66626,77,Verwandelt sich in einen spitzen Kegel und wirft\nsich den Feinden entgegen.,66098,64,Se transforma en un cono afilado y arremete\ncontra el enemigo.,66327,56,"Se change en cône pointu, et se jette sur ses\nennemis.",65678,61,"Morphs into a sharp cone, and lunges itself\nat its enemies."
36,2352245208,106579,12,Cupil-Speer,105631,12,Arpón Cupil,106548,12,Pique Cupil,104714,12,Cupil Spear,2,Fina,0,46,16,-1,None,0,0,147,120,-1,None,0,0,66703,100,"Verwandelt sich in eine gezackte Speerspitze. Jeder\nStachel hilft Cupil, mehr Schaden anzurichten.",66162,91,Se transforma en una punta de lanza con púas y\ncada púa ayuda a Cupil a causar más daños.,66383,76,Cupil se change en lance barbelée qui lui\npermet de causer plus de dégâts.,65739,76,Morphs into a barbed spearhead. Each barb\nhelps Cupil inflict more damage.
37,2352245220,106591,13,Cupil-Messer,105643,15,Cuchillo Cupil,106560,11,Lame Cupil,104726,12,Cupil Blade,2,Fina,0,35,8,4,Add Sleep #2,0,0,67,115,-1,None,0,0,66803,80,"Cupil erlernt die Fähigkeit, sich in ein extrem\nscharfes Messer zu verwandeln.",66253,74,Cupil adquiere la habilidad de transformarse\nen un cuchillo afiladísimo.,66459,62,Cupil apprend à se changer en couteau\nextrêmement tranchant.,65815,66,Cupil learns the ability to morph into an\nextremely sharp knife.
38,2352245232,106604,14,Cupil-Schwert,105658,13,Espada Cupil,106571,11,Épée Cupil,104738,12,Cupil Sword,2,Fina,0,38,19,4,Add Sleep #2,0,0,90,115,-1,None,0,0,66883,97,"Indem er sich in ein Schwert verwandelt, kann\nCupil fast jeden Feind in zwei Hälften schneiden.",66327,87,"Transformándose en espada, Cupil puede partir\na casi todos sus enemigos por la mitad.",66521,78,"En se changeant en épée, Cupil peut fendre en\ndeux presque tous les ennemis.",65881,69,"By morphing into a sword, Cupil can cleave\nalmost any enemy in two."
39,2352245244,106618,14,Cupil-Machete,105671,12,Sable Cupil,106582,12,Sabre Cupil,104750,14,Cupil Cutlass,2,Fina,0,43,12,4,Add Sleep #2,0,0,127,115,-1,None,0,0,66980,90,"Cupil hat gelernt, sich in eine Machete zu\nverwandeln, als er Vyse beim Kampf zuschaute.",66414,91,Cupil aprende a transformarse en sable viendo\npelear a Vyse. Confunde al enemigo. ¡Furia!,66599,86,Cupil a appris à se changer en sabre en\nregardant Vyse se battre. Furie de Cupil !!!,65950,77,Cupil learned to morph into a cutlass by\nwatching Vyse fight. Cupil Fury!!!
40,2352245260,106632,17,Cupil-Zweihänder,105683,15,Cupil Claymore,106594,15,Claymore Cupil,104764,15,Cupil Claymore,2,Fina,0,47,10,4,Add Sleep #2,0,0,157,115,-1,None,0,0,67070,105,"Indem er sich in ein riesiges zweihändiges Schwert\nverwandelt, kann Cupil jeden Feind massiv schädigen.",66505,89,Cupil se convierte en una espada gigante de\ndoble hoja y causa muchos danos al enemigo.,66685,82,"En se changeant en épée géante à 2 lames,\nCupil peut gravement blesser l'ennemi.",66027,95,"Morphing into a giant 2-handed sword, Cupil can\ncause massive amounts of damage on any enemy."
41,2352245276,106649,13,Cupil-Kanone,105698,12,Cañón Cupil,106609,12,Canon Cupil,104779,13,Cupil Cannon,2,Fina,0,37,9,-1,None,0,0,86,105,20,Dodge%,0,5,67175,102,"Verwandelt sich in eine kleine, aber schwere Kanonen-\nkugel und fällt von hoch oben auf einen Feind.",66594,96,"Se transforma en una pequeña, pero pesada, bala\nde cañón y cae sobre el enemigo desde lo alto.",66767,82,"Se change en boule de canon, petite mais lourde\net tombe de haut sur un ennemi.",66122,84,"Morphs into a small, but heavy, cannonball,\nand drops on an enemy from high above."
42,2352245292,106662,14,Cupil-Stachel,105710,15,Cupil con púas,106621,13,Pointe Cupil,104792,12,Cupil Spike,2,Fina,0,44,17,-1,None,0,0,141,105,20,Dodge%,0,10,67277,94,Cupil verwandelt sich in ein Nagelbrett und\nfällt auf den Kopf eines Feindes. Trifft selten!,66690,94,Cupil se convierte en una tabla llena de púas y\ncae sobre sus enemigos. También falla mucho.,66849,97,Cupil se change en planche couverte de pointes\n& tombe sur la tête d'un ennemi. Échoue souvent.,66206,94,"Cupil morphs into a spike-laden board and drops\non an enemy's head. It misses a lot, though."
43,2352245304,106676,14,Cupil-Gewicht,105725,13,Cupil Pesado,106634,15,Poids de Cupil,104804,13,Cupil Weight,2,Fina,0,48,20,-1,None,0,0,172,105,20,Dodge%,0,15,67371,97,Cupil erhöht durch Magie sein Körpergewicht um\nein Vielfaches und fällt dem Feind auf den Kopf.,66784,93,"Haciendo magia, Cupil multiplica su propio peso\ny se deja caer sobre la cabeza del enemigo.",66946,89,"Cupil fait un tour de magie pour augmenter son\npoids, et tombe sur la tête d'un ennemi.",66300,97,"Cupil uses magic to increase its own weight many\ntimes over, and then drops on an enemy's head."
44,2352245320,106690,13,Cupil-Pfanne,105738,13,Sartén Cupil,106649,12,Poêle Cupil,104817,10,Cupil Pan,2,Fina,0,45,15,-1,None,0,0,145,110,-1,None,0,0,67468,102,"Cupil verwandelt sich in eine Pfanne und gebraucht\nall seine Kraft, Feinde auf den Kopf zu schlagen.",66877,91,Cupil se transforma en sartén y golpea a sus\nenemigos en la cabeza con todas sus fuerzas.,67035,90,Cupil se change en poêle à frire et frappe de\ntoutes ses forces sur la tête des ennemis.,66397,96,Cupil morphs into a frying pan and uses all of\nits strength to whack enemies over their heads.
45,2352245332,106703,12,Cupil-Keule,105751,11,Club Cupil,106661,11,Club Cupil,104827,11,Cupil Club,2,Fina,0,39,11,-1,None,0,0,99,110,-1,None,0,0,67570,99,"Verwandelt sich in eine Keule und prügelt Feinde,\nbis sie aufgeben. Sogar Cupil kann gemein sein.",66968,97,Se convierte en porra y golpea al enemigo hasta\nque éste se rinde. Es el lado malvado de Cupil.,67125,88,Se change en massue et force les ennemis à se\nsoumettre. Même Cupil peut être méchant.,66493,89,Morphs into a club and bludgeons enemies into\nsubmission. Even Cupil has a mean-streak.
46,2352245344,106715,13,Cupil-Hammer,105762,15,Martillo Cupil,106672,14,Marteau Cupil,104838,13,Cupil Hammer,2,Fina,0,42,13,-1,None,0,0,122,110,-1,None,0,0,67669,80,Cupil nimmt die Form eines großen Hammers\nan und schlägt Feinden auf den Kopf.,67065,77,Adopta la forma de un martillo gigante y\natiza a los enemigos en la cabeza.,67213,69,Cupil se change en marteau géant et frappe\nsur la tête des ennemis.,66582,82,Cupil morphs into the shape of a giant hammer\nand hits enemies over their heads.
47,2352245360,106728,10,End-Cupil,105777,18,Cupil Definitivo,106686,13,Ultime Cupil,104851,12,Final Cupil,2,Fina,0,49,28,-1,None,0,0,500,100,-1,None,0,0,67749,101,"Cupils letzte und endgültige Form, sie sieht sehr\neindrucksvoll aus und ist ziemlich schlagkräftig.",67142,96,La última y definitiva forma que Cupil adopta es\nimpresionante. Tiene gran impacto y potencia.,67282,68,"Forme finale et ultime de Cupil, très\nimpressionante et puissante.",66664,85,"Cupil's final and ultimate form, it looks very\nimpressive, and packs quite a punch."
