Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Occ. flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Consume%,Retail price in %,Order by prio.,EU order by ABC,Padding #0,Purchase price,Padding #1,Padding #2,Effect value,Unknown #0,Unknown #1,Unknown #2,Hit%,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
250,2352247796,109421,14,Risan Crystal,108683,14,Cristal Risan,109580,14,Cristal Risan,107551,14,Risan Crystal,2,"",X,"",27,Revive with 50% of HP,1,One character,100,50,8,48,0,150,0,0,0,0,0,7,50,81441,97,"Verzauberter Kristall mit 50%-iger Chance, einen\nVerbündeten mit 50% seiner HP wiederzubeleben.",80383,93,"Un cristal encantado que puede revivir al aliado\nen un 50%, con un 50% del máximo de Salud.",80869,91,"Cristal ensorcelé qui a 50% de chances de\nréanimer un allié, avec 50% de ses PV maximaux.",79860,98,"An ensorcelled crystal that has a 50% chance of\nreviving one ally, with 50% of their maximum HP."
251,2352247812,109435,16,Riselem Crystal,108697,16,Cristal Riselem,109594,16,Cristal Riselem,107565,16,Riselem Crystal,2,"",X,"",28,Revive with 100% of HP,1,One character,100,50,9,50,0,450,0,0,0,0,0,7,0,81538,77,"Verzauberter Kristall, der einen Verbündeten\nmit maximalen HP wiederbelebt.",80476,70,Un cristal encantado que revivirá a un aliado\nhasta su Salud máxima.,80960,66,Un cristal ensorcelé qui réanimera un allié\navec ses PV maximum.,79958,60,An ensorcelled crystal that will revive an ally\nto Max HP.
252,2352247828,109451,15,Glyph of Might,108713,16,Glifo de Fuerza,109610,16,Glyphe de Force,107581,15,Glyph of Might,2,"",X,"",21,Add Strengthen,1,One character,100,50,10,17,0,100,0,0,0,0,0,7,0,81615,72,Von De Locos Forschern entwickelt.\nErhöht die Kraft eines Verbündeten.,80546,76,Desarrollado por los laboratorios De Loco.\nAumenta la Fuerza de un aliado.,81026,72,Développé par les Chercheurs de De Loco.\nAugmente la Force d'un allié.,80018,70,Developed by De Loco's Researchers.\nIncreases the Power of one ally.
253,2352247844,109466,15,Glyph of Speed,108729,14,Símbolo Veloz,109626,15,Glyphe Vitesse,107596,15,Glyph of Speed,2,"",X,"",20,Add Quickened,2,All characters,100,50,11,18,0,100,0,0,0,0,0,7,0,81687,82,Entwickelt von De Locos Forschern.\nErhöht die Geschwindigkeit eines Verbündeten.,80622,79,Desarrollado por los laboratorios De Loco.\nAumenta la Velocidad de un aliado.,81098,74,Développé par les Chercheurs de De Loco.\nAugmente la Vitesse d'un allié.,80088,78,Developed by De Loco's Researchers.\nIncreases the Quick of the entire party.
254,2352247860,109481,14,Healing Salve,108743,17,Bálsamo Curativo,109641,17,Baume Guérisseur,107611,14,Healing Salve,2,"",X,"",33,Add Regenerate,1,One character,100,50,12,25,0,50,0,0,250,0,0,0,0,81769,72,Von De Locos Forschern entwickelt.\nHeilt die Wunden eines Verbündeten.,80701,84,Desarrollado por los laboratorios De Loco.\nPermite curar las heridas de un aliado.,81172,88,Développé par les Chercheurs de De Loco.\nPermet de régénérer les blessures d'un allié.,80166,75,Developed by De Loco's Researchers.\nAllows one ally to regenerate health.
255,2352247876,109495,17,Chalice of Blood,108760,16,Cáliz de Sangre,109658,15,Calice de Sang,107625,17,Chalice of Blood,0,"","","",-1,None,0,None,0,100,51,2,0,5000,0,0,0,0,0,0,0,81841,66,"Wertvoller Schatz, nach dem Zivilyn Bane in der\nDark Rift sucht.",80785,64,Un valioso tesoro buscado por Zivilyn Bane\nen la Gruta Oscura.,81260,67,Un précieux trésor recherché par Zivilyn Bane\ndans le Récif Noir.,80241,62,A valuable treasure sought by Zivilyn Bane in\nthe Dark Rift.
256,2352247896,109512,13,Windsong Orb,108776,13,Esfera Aúrea,109673,17,Orbe Chantduvent,107642,13,Windsong Orb,0,"","","",-1,None,0,None,0,100,52,74,0,6000,0,0,0,0,0,0,0,81907,64,"Wertvoller Schatz, nach dem Zivilyn Bane in\nMount Kazai sucht.",80849,63,Un valioso tesoro buscado por Zivilyn Bane\nen el Monte Kazai.,81327,66,Un précieux trésor recherché par Zivilyn Bane\nsur le Mont Kazai.,80303,60,A valuable treasure sought by Zivilyn Bane in\nMount Kazai.
257,2352247912,109525,11,Winter Orb,108789,16,Esfera Invernal,109690,14,Orbe Hivernal,107655,11,Winter Orb,0,"","","",-1,None,0,None,0,100,53,75,0,7000,0,0,0,0,0,0,0,81971,59,"Wertvoller Schatz, nach dem Zivilyn Bane in\nGlacia sucht.",80912,55,Un valioso tesoro buscado por Zivilyn Bane\nen Glacia.,81393,60,Un précieux trésor recherché par Zivilyn Bane\ndans Glacia.,80363,55,A valuable treasure sought by Zivilyn Bane in\nGlacia.
258,2352247924,109536,10,Moonberry,108805,10,Moonberry,109704,11,Baiedelune,107666,10,Moonberry,0,"","","",52,Moonberry,1,One character,100,0,13,35,0,50000,0,0,-1,-1,-1,0,0,82030,86,"Essbare Frucht, mit Moon Stones gedüngt.\nWenn du davon isst, lernst du eine Technik.",80967,76,Fruta fertilizada por Piedras Lunares.\nSi la comes aprenderás una técnica.,81453,88,Fruit fertilisé par les Pierres de Lune.\nEn le mangeant vous apprendrez une technique.,80418,92,An edible fruit fertilized by Moon Stones.\nEating it will enable you to learn a technique.
259,2352247936,109546,5,Cham,108815,5,Chum,109715,5,Cham,107676,5,Cham,4,X,"","",53,Evolve Cupil with Cham,0,None,100,0,14,3,0,10000,0,0,-1,-1,-1,0,0,82116,81,"Cupil freut sich, wenn Chams um ihn sind. Er\nentwickelt sich, wenn er sie isst.",81043,94,"Cupil se alegra cuando hay chums por la zona.\nSi se los das de comer, Cupil se transformará.",81541,97,Cupil est ravi lorsqu'il y a des Chams pas loin.\nDonnez les à manger à Cupil pour qu'il évolue.,80510,97,Cupil gets excited when Chams are in the area.\nFeeding them to Cupil will enable him to evolve.
260,2352247944,109551,13,Paranta Seed,108820,16,Semilla Paranta,109720,15,Graine Paranta,107681,13,Paranta Seed,4,X,"","",54,Increase Power,1,One character,100,1,17,40,0,5000,0,0,3,-1,-1,0,0,82197,82,"Samen eines Paranta Baums, der bei vollem\nRed Moon blüht. Erhöht die Kraft um 3.",81137,95,La semilla del árbol Paranta florece cuando la\nLuna Roja está llena. Añade 3 puntos de Poder.,81638,93,"Graine d'un Arbre Paranta, qui fleurit sous\nla pleine Lune Rouge. Augmente le Pouvoir de 3.",80607,87,"The seed of a Paranta Tree, which blooms under\na full Red Moon. Increases Power by 3."
261,2352247960,109564,10,Icyl Seed,108836,16,Semilla de Icyl,109735,12,Graine Icyl,107694,10,Icyl Seed,4,X,"","",55,Increase Will,1,One character,100,1,18,26,0,5000,0,0,3,-1,-1,0,0,82279,89,"Samen eines Icyl-Baums, der bei vollem\nPurple Moon blüht. Erhöht die Willenskraft um 3.",81232,94,La semilla del árbol Icyl florece cuando hay\nLuna Purpura llena. Anade 3 puntos de Voluntad.,81731,90,"Graine d'un Arbre Icyl, qui fleurit sous la\npleine Lune Mauve. Augmente la Volonté de 3.",80694,87,"The seed of an Icyl Tree, which blooms under a\nfull Purple Moon. Increases Will by 3."
262,2352247972,109574,10,Zaal Seed,108852,16,Semilla de Zeal,109747,12,Graine Zaal,107704,10,Zaal Seed,4,X,"","",56,Increase Vigor,1,One character,100,1,19,76,0,5000,0,0,3,-1,-1,0,0,82368,86,"Samen eines Zaal Baums, der bei vollem\nYellow Moon blüht. Erhöht die Vitalität um 3.",81326,96,La semilla del árbol Zeal florece cuando la Luna\nAmarilla está llena. Añade 3 puntos de Vigor.,81821,90,"Graine d'un Arbre Zaal, qui fleurit sous la\npleine Lune Jaune. Augmente la Vigueur de 3.",80781,87,"The seed of a Zaal Tree, which blooms under a\nfull Yellow Moon. Increases Vigor by 3."
263,2352247984,109584,11,Dexus Seed,108868,17,Semilla de Dexus,109759,13,Graine Dexus,107714,11,Dexus Seed,4,X,"","",57,Increase Agile,1,One character,100,1,20,8,0,15000,0,0,1,-1,-1,0,0,82454,94,"Samen des Dexus-Baums, der beim Schein von 6\nVollmonden blüht. Erhöht Geschicklichkeit um 1.",81422,96,La semilla del árbol Dexus florece con la luz\nde 6 lunas llenas. Anade un 1 punto de Agilidad.,81911,95,"Graine d'un Arbre Dexus, qui fleurit à la lueur\ndes 6 pleines lunes. Augmente l'Agilité de 1.",80868,95,"The seed of a Dexus Tree, which blooms under\nthe light of 6 full Moons. Increases Agile by 1."
264,2352247996,109595,11,Sylph Seed,108885,17,Semilla de Sylph,109772,13,Graine Sylph,107725,11,Sylph Seed,4,X,"","",58,Increase Quick,1,One character,100,1,21,67,0,5000,0,0,3,-1,-1,0,0,82548,89,"Samen eines Sylph Baums, der bei vollem\nBlue Moon blüht. Erhöht die Schnelligkeit um 3.",81518,95,La semilla del árbol Sylph florece cuando la\nLuna Azul está llena. Añade 3 puntos de Rapidez.,82006,92,"Graine d'un Arbre Sylph, qui fleurit sous\nla pleine Lune Bleue. Augmente la Rapidité de 3.",80963,86,"The seed of a Sylph Tree, which blooms under a\nfull Blue Moon. Increases Quick by 3."
265,2352248008,109606,11,Vidal Seed,108902,17,Semilla de Vidal,109785,13,Graine Vidal,107736,11,Vidal Seed,4,X,"","",59,Increase MAXHP,1,One character,100,1,22,71,0,5000,0,0,30,-1,-1,0,0,82637,79,"Samen des Vidal-Baums, der bei vollem\nGreen Moon blüht. Erhöht max. HP um 30.",81613,93,La semilla Vidal florece cuando hay Luna Verde\nllena. Añade 30 puntos de a la Salud máxima.,82098,92,"Graine d'un Arbre Vidal, qui fleurit sous la\npleine Lune Verte. Augmente les PV Max de 30.",81049,89,"The seed of a Vidal Tree, which blooms under a\nfull Green Moon. Increases Max HP by 30."
266,2352248020,109617,11,Magus Seed,108919,17,Semilla de Magus,109798,13,Graine Magus,107747,11,Magus Seed,4,X,"","",60,Increase MAXMP,1,One character,100,1,23,33,0,5000,0,0,1,-1,-1,0,0,82716,82,"Samen des Magus-Baums, der bei vollem\nSilver Moon blüht. Verstärkt max. MP um 1.",81706,95,La semilla Magus florece cuando la Luna de Plata\nestá llena. Añade 1 punto a la Magia máxima.,82190,94,"Graine d'un Arbre Magus, qui fleurit sous la\npleine Lune d'argent. Augmente les PM Max de 1.",81138,89,"The seed of a Magus Tree, which blooms under a\nfull Silver Moon. Increases Max MP by 1."
267,2352248032,109628,9,Pyri Box,108936,10,Caja Pyri,109811,11,Boîte Pyri,107758,9,Pyri Box,2,"",X,"",0,Damage,4,All enemies,8,1,24,43,0,400,0,0,150,1,1,0,0,82798,92,Ein Red Moon-Magier hat eine Box mit Pyri\nverzaubert. Sie kann mehrfach eingesetzt werden.,81801,96,Un mago de la Luna Roja ha encantado la caja con\nel hechizo Pyri. Puede usarse más de una vez.,82284,87,Un Mage de la Lune Rouge a enchanté une boîte\navec le sort Pyri. Peut être réutilisé.,81227,97,"A mage of the Red Moon has enchanted a box with\nthe spell, Pyri. It can be used more than once."
268,2352248044,109637,10,Pyrum Box,108946,11,Caja Pyrum,109822,12,Boîte Pyrum,107767,10,Pyrum Box,2,"",X,"",0,Damage,4,All enemies,16,1,25,44,0,1200,0,0,360,1,1,0,0,82890,75,Ein Red Moon-Magier hat eine Box mit Pyrum\nverzaubert. 5 oder 6 Ladungen.,81897,83,Un mago de la Luna Roja ha encantado la caja con\nel hechizo Pyrum. 5 ó 6 ataques.,82371,84,"Un Mage de la Lune Rouge a enchanté une boîte\navec le sort, Pyrum. 5 ou 6 charges.",81324,83,"A mage of the Red Moon has enchanted a box with\nthe spell, Pyrum. 5 or 6 charges."
269,2352248056,109647,14,Crystales Box,108957,15,Caja Crystales,109834,16,Boîte Crystales,107777,14,Crystales Box,2,"",X,"",0,Damage,3,One enemy,12,1,26,6,0,800,0,0,330,2,1,0,0,82965,82,Ein Purple Moon-Magier hat eine Box mit\nCrystales verzaubert. 7 oder 8 Ladungen.,81980,90,Un mago de la Luna Púrpura ha encantado la caja\ncon el hechizo Crystales. 7 u 8 ataques.,82455,87,Un Mage de la Lune Mauve a enchanté une boîte\navec le sort Crystales. 7 ou 8 charges.,81407,89,A mage of the Purple Moon has enchanted a box\nwith the spell Crystales. 7 or 8 charges.
270,2352248072,109661,14,Crystalen Box,108972,15,Caja Crystalen,109850,16,Boîte Crystalen,107791,14,Crystalen Box,2,"",X,"",0,Damage,3,One enemy,24,1,27,5,0,1600,0,0,600,2,1,0,0,83047,82,Ein Purple Moon-Magier hat eine Box mit\nCrystalen verzaubert. 3 oder 4 Ladungen.,82070,90,Un mago de la Luna Púrpura ha encantado la caja\ncon el hechizo Crystalen. 3 ó 4 ataques.,82542,87,Un Mage de la Lune Mauve a enchanté une boîte\navec le sort Crystalen. 3 ou 4 charges.,81496,89,A mage of the Purple Moon has enchanted a box\nwith the spell Crystalen. 3 or 4 charges.
271,2352248088,109675,11,Wevles Box,108987,12,Caja Wevles,109866,13,Boîte Wevles,107805,11,Wevles Box,2,"",X,"",0,Damage,33,Enemy area #2,12,1,28,73,0,800,0,0,285,3,1,0,0,83129,77,Ein Blue Moon-Magier hat eine Box mit\nWevles verzaubert. 7 oder 8 Ladungen.,82160,84,Un mago de la Luna Azul ha encantado la caja\ncon el hechizo Wevles. 7 u 8 ataques.,82629,84,Un Mage de la Lune Bleue a enchanté une boîte\navec le sort Wevles. 7 ou 8 charges.,81585,84,A mage of the Blue Moon has enchanted a box\nwith the spell Wevles. 7 or 8 charges.
272,2352248100,109686,11,Wevlen Box,108999,12,Caja Wevlen,109879,13,Boîte Wevlen,107816,11,Wevlen Box,2,"",X,"",0,Damage,34,Enemy area #3,24,1,29,72,0,1600,0,0,525,3,1,0,0,83206,77,Ein Blue Moon-Magier hat eine Box mit\nWevlen verzaubert. 3 oder 4 Ladungen.,82244,85,Un mago de la Luna Azul ha encantado una caja\ncon el hechizo Wevlen. 3 ó 4 ataques.,82713,84,Un Mage de la Lune Bleue a enchanté une boîte\navec le sort Wevlen. 3 ou 4 charges.,81669,84,A mage of the Blue Moon has enchanted a box\nwith the spell Wevlen. 3 or 4 charges.
273,2352248112,109697,12,Electri Box,109011,13,Caja Electri,109892,14,Boîte Electri,107827,12,Electri Box,2,"",X,"",0,Damage,36,Enemy line #1,8,1,30,12,0,400,0,0,180,4,1,0,0,83283,87,Ein Yellow Moon-Magier hat eine Box mit\nElectri verzaubert. Sie hat mehrere Ladungen.,82329,93,Un mago de la Luna Amarilla ha encantado la caja\ncon el hechizo Electri. Multiples ataques.,82797,88,Un Mage de la Lune Jaune a enchanté une boîte\navec le sort Electri. Plusieurs charges.,81753,95,A mage of the Yellow Moon has enchanted a box\nwith the spell Electri. It has several charges.
274,2352248124,109709,13,Electrum Box,109024,14,Caja Electrum,109906,15,Boîte Electrum,107839,13,Electrum Box,2,"",X,"",0,Damage,37,Enemy line #2,16,1,31,13,0,1200,0,0,420,4,1,0,0,83370,81,Ein Yellow Moon-Magier hat eine Box mit\nElectrum verzaubert. 5 oder 6 Ladungen.,82422,90,Un mago de la Luna Amarilla ha encantado la caja\ncon el hechizo Electrum. 5 ó 6 ataques.,82885,86,Un Mage de la Lune Jaune a enchanté une boîte\navec le sort Electrum. 5 ou 6 charges.,81848,88,A mage of the Yellow Moon has enchanted a box\nwith the spell Electrum. 5 or 6 charges.
275,2352248140,109722,10,Sacri Box,109038,11,Caja Sacri,109921,12,Boîte Sacri,107852,10,Sacri Box,2,"",X,"",31,Recover HP,1,One character,8,1,32,54,0,800,0,0,500,-1,-1,0,0,83451,84,Ein Green Moon-Magier hat eine Box mit\nSacri verzaubert. Sie hat mehrere Ladungen.,82512,88,Un mago de la Luna Verde ha encantado la caja\ncon el hechizo Sacri. Múltiples ataques.,82971,86,Un Mage de la Lune Verte a enchanté une boîte\navec le sort Sacri. Plusieurs charges.,81936,92,A mage of the Green Moon has enchanted a box\nwith the spell Sacri. It has several charges.
276,2352248152,109732,13,Sacrulen Box,109049,14,Caja Sacrulen,109933,15,Boîte Sacrulen,107862,13,Sacrulen Box,2,"",X,"",31,Recover HP,2,All characters,16,1,33,56,0,1200,0,0,1000,-1,-1,0,0,83535,80,Ein Green Moon-Magier hat eine Box mit\nSacrulen verzaubert. 5 oder 6 Ladungen.,82600,87,Un mago de la Luna Verde ha encantado la caja\ncon el hechizo Sacrulen. 5 ó 6 ataques.,83057,86,Un Mage de la Lune Verte a enchanté une boîte\navec le sort Sacrulen. 5 ou 6 charges.,82028,87,A mage of the Green Moon has enchanted a box\nwith the spell Sacrulen. 5 or 6 charges.
277,2352248168,109745,12,Riselem Box,109063,13,Caja Riselen,109948,14,Boîte Riselem,107875,12,Riselem Box,2,"",X,"",28,Revive with 100% of HP,1,One character,32,1,34,49,0,2400,0,0,0,0,0,7,0,83615,89,Ein Silver Moon-Magier hat eine Box mit\nRiselem verzaubert. Diese Box ist zerbrechlich!,82687,99,Un mago de la Luna de Plata ha encantado la caja\ncon el hechizo Riselem. ¡Es una caja muy frágil!,83143,97,Un Mage de la Lune d'Argent a enchanté une boîte\navec le sort Riselem. Cette boîte est fragile!,82115,92,A mage of the Silver Moon has enchanted a box\nwith the spell Riselem. This box is fragile!
278,2352248180,109757,12,Sylenis Box,109076,13,Caja Sylenis,109962,14,Boîte Sylenis,107887,12,Sylenis Box,2,"",X,"",12,Add Silence,3,One enemy,12,1,35,66,0,600,0,0,0,0,0,5,30,83704,80,Ein Purple Moon-Magier hat eine Box mit\nSylenis verzaubert. 7 oder 8 Ladungen.,82786,88,Un mago de la Luna Púrpura ha encantado la caja\ncon el hechizo Sylenis. 7 u 8 ataques.,83240,85,Un Mage de la Lune Mauve a enchanté une boîte\navec le sort Sylenis. 7 ou 8 charges.,82207,87,A mage of the Purple Moon has enchanted a box\nwith the spell Sylenis. 7 or 8 charges.
279,2352248192,109769,11,Panika Box,109089,12,Caja Panika,109976,13,Boîte Panika,107899,11,Panika Box,2,"",X,"",11,Add Confusion,3,One enemy,24,1,36,39,0,1200,0,0,0,0,0,4,30,83784,79,Ein Purple Moon-Magier hat eine Box mit\nPanika verzaubert. 3 oder 4 Ladungen.,82874,87,Un mago de la Luna Púrpura ha encantado la caja\ncon el hechizo Panika. 3 ó 4 ataques.,83325,84,Un Mage de la Lune Mauve a enchanté une boîte\navec le sort Panika. 3 ou 4 charges.,82294,86,A mage of the Purple Moon has enchanted a box\nwith the spell Panika. 3 or 4 charges.
280,2352248204,109780,10,Driln Box,109101,11,Caja Driln,109989,12,Boîte Driln,107910,10,Driln Box,2,"",X,"",26,Add Weak,3,One enemy,12,1,37,11,0,600,0,0,0,0,0,8,50,83863,78,Ein Yellow Moon-Magier hat eine Box mit\nDriln verzaubert. 7 oder 8 Ladungen.,82961,87,Un mago de la Luna Amarilla ha encantado la caja\ncon el hechizo Driln. 7 u 8 ataques.,83409,83,Un Mage de la Lune Jaune a enchanté une boîte\navec le sort Driln. 7 ou 8 charges.,82380,85,A mage of the Yellow Moon has enchanted a box\nwith the spell Driln. 7 or 8 charges.
281,2352248216,109790,12,Slipara Box,109112,13,Caja Slipara,110001,14,Boîte Slipara,107920,12,Slipara Box,2,"",X,"",9,Add Sleep,4,All enemies,24,1,38,61,0,1200,0,0,0,0,0,3,50,83941,76,Ein Blue Moon-Magier hat eine Box mit\nSlipara verzaubert. 3 or 4 Ladungen.,83048,85,Un mago de la Luna Azul ha encantado la caja\ncon el hechizo Slipara. 3 ó 4 ataques.,83492,86,Un Mage de la Lune Bleue a enchanté une boîte\navec le sort Slipara. 3 ou 4 attaques.,82465,85,A mage of the Blue Moon has enchanted a box\nwith the spell Slipara. 3 or 4 charges.
282,2352248228,109802,12,Eternum Box,109125,13,Caja Eternum,110015,14,Boîte Eternum,107932,12,Eternum Box,2,"",X,"",6,Add Unconscious + Damage #1,3,One enemy,32,1,39,14,0,3600,0,0,250,5,1,49,0,84017,89,Ein Silver Moon-Magier hat eine Box mit\nEternum verzaubert. Diese Box ist zerbrechlich!,83133,99,Un mago de la Luna de Plata ha encantado la caja\ncon el hechizo Eternum. !Es una caja muy fragil!,83578,97,Un Mage de la Lune d'Argent a enchanté une boîte\navec le sort Eternum. Cette boîte est fragile!,82550,92,A mage of the Silver Moon has enchanted a box\nwith the spell Eternum. This box is fragile!
283,2352248240,109814,17,Rune of Ill Omen,109138,17,Profecía Maldita,110029,14,Rune d'Augure,107944,17,Rune of Ill Omen,0,"","","",-1,None,0,None,0,100,47,52,0,1000,0,0,0,0,0,0,0,84106,59,"Wertvoller Schatz, nach dem Zivilyn Bane in\nPyrynn sucht.",83232,55,Un valioso tesoro buscado por Zivilyn Bane en\nPyrynn.,83675,60,Un précieux trésor recherché par Zivilyn Bane\ndans Pyrynn.,82642,55,A valuable treasure sought by Zivilyn Bane in\nPyrynn.
