Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Category ID,[Category name],Effect ID,[Effect name],Scope ID,[Scope name],Padding #0,Effect value #1,Effect value #2,Element ID,[Element name],Type ID,[Type name],Unknown #0,Unknown #1,State ID,[State name],State hit%,Padding #1,Padding #2
16,2352318952,5218,9,KETSUBAN,5248,9,KETSUBAN,5255,9,KETSUBAN,5230,9,KETSUBAN,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
17,2352319092,5227,16,Zufallsbeschuss,5257,14,Fuego al Azar,5264,14,Tir aléatoire,5239,12,Random Fire,0,Super Move,0,Damage,98,Character area #3,0,16,25,1,Red,0,Physical,0,0,0,Poison,0,0,0
18,2352318952,5243,9,KETSUBAN,5271,9,KETSUBAN,5278,9,KETSUBAN,5251,9,KETSUBAN,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
19,2352319104,5252,15,Abwehrstellung,5280,15,Contraposición,5287,8,Défense,5260,15,Counter Stance,0,Super Move,38,Counter attack + Guard,5,User,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
20,2352319120,5267,14,Kraft sammeln,5295,17,Recuperar Fuerza,5295,17,Rassembler Force,5275,16,Gather Strength,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
21,2352319104,5281,15,Abwehrstellung,5312,15,Contraposición,5312,8,Défense,5291,15,Counter Stance,0,Super Move,38,Counter attack + Guard,5,User,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
22,2352319136,5296,10,Explosion,5327,10,Explosión,5320,10,Explosion,5306,6,Burst,0,Super Move,0,Damage,97,Character area #2,0,16,40,1,Red,0,Physical,0,0,0,Poison,0,0,0
23,2352319144,5306,9,Terminal,5337,9,Terminal,5330,9,Terminal,5312,9,Terminal,0,Super Move,0,Damage,1,One character,0,16,55,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
24,2352319156,5315,9,Devolver,5346,8,Delegar,5339,9,Devolver,5321,9,Devolver,0,Super Move,38,Counter attack + Guard,5,User,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
25,2352319168,5324,14,Giftige Galle,5354,15,Furia Venenosa,5348,15,Bile Venimeuse,5330,15,Poisonous Bile,0,Super Move,4,Add Poison + Damage,2,All characters,0,16,20,0,Green,0,Physical,16,17,0,Poison,50,0,0
26,2352319184,5338,11,Todesblüte,5369,15,Flor de Muerte,5363,16,Éclosion Tueuse,5345,14,Death Blossom,0,Super Move,0,Damage,201,Characters nearby #2,0,16,20,3,Blue,0,Physical,0,0,0,Poison,0,0,0
27,2352319200,5349,13,Kanonenfeuer,5384,15,Fuego de Cañón,5379,13,Tir de Canon,5359,12,Cannon Fire,0,Super Move,0,Damage,1,One character,0,16,50,1,Red,0,Physical,0,0,0,Poison,0,0,0
28,2352319212,5362,17,Verbündete rufen,5399,17,Convocar aliados,5392,15,Appel d'alliés,5371,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,27,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
29,2352319212,5379,17,Verbündete rufen,5416,17,Convocar aliados,5407,15,Appel d'alliés,5383,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,31,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
30,2352319224,5396,8,Radstoß,5433,15,Onda expansiva,5422,14,Obus explosif,5395,12,Wheel Blast,0,Super Move,0,Damage,97,Character area #2,0,16,35,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
31,2352319236,5404,10,Laserstoß,5448,13,Ráfaga láser,5436,16,Explosion Laser,5407,12,Laser Blast,0,Super Move,8,Add Stone + Damage,1,One character,0,16,5,6,Neutral,0,Physical,16,17,2,Stone,20,0,0
32,2352319248,5414,12,Crypt-Laser,5461,16,Láser de Cripta,5452,13,Laser Crypte,5419,12,Crypt Laser,0,Super Move,68,Add Unconscious + Damage #2,1,One character,0,16,5,5,Silver,0,Physical,16,17,1,Unconscious,60,0,0
33,2352319260,5426,11,Todeslaser,5477,16,Láser Mortífero,5465,13,Laser Mortel,5431,12,Death Laser,0,Super Move,68,Add Unconscious + Damage #2,1,One character,0,16,5,5,Silver,0,Physical,16,17,1,Unconscious,60,0,0
34,2352319272,5437,16,Schadenaufnahme,5493,13,Evaluar Daño,5478,15,Estimer Dégâts,5443,14,Assess Damage,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
35,2352318952,5453,9,KETSUBAN,5506,9,KETSUBAN,5493,9,KETSUBAN,5457,9,KETSUBAN,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
36,2352319288,5462,10,Stahlhaut,5515,12,Pieldeacero,5502,13,Peau d'acier,5466,10,Steelskin,0,Super Move,67,Invulnerable,5,User,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
37,2352319300,5472,6,Fokus,5527,8,Enfoque,5515,6,Focus,5476,6,Focus,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
38,2352319308,5478,13,Ewiger Frost,5535,13,Hielo Eterno,5521,12,Gel Éternel,5482,15,Eternal Freeze,0,Super Move,0,Damage,2,All characters,0,16,12,2,Purple,0,Physical,0,0,0,Poison,0,0,0
39,2352319324,5491,12,Blitzschlag,5548,15,Golpe del Rayo,5533,15,Coup de Foudre,5497,17,Lightning Strike,0,Super Move,0,Damage,1,One character,0,16,20,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
40,2352319344,5503,17,Furchtbarer Biss,5563,17,Mordisco Temible,5548,17,Terrible Morsure,5514,14,Terrible Bite,0,Super Move,72,Add Fatigue + Damage,1,One character,0,16,15,0,Green,0,Physical,16,17,6,Fatigue,20,0,0
41,2352319360,5520,11,Tiefschlaf,5580,15,Sueño Profundo,5565,16,Profond Sommeil,5528,11,Deep Sleep,0,Super Move,63,Add Regenerate + Add Sleep,5,User,0,400,-1,0,Green,0,Physical,0,0,0,Poison,0,0,0
42,2352319372,5531,12,Avalauncher,5595,12,Avalauncher,5581,11,Avalanceur,5539,12,Avalauncher,0,Super Move,0,Damage,102,Character line #3,0,16,35,2,Purple,0,Physical,0,0,0,Poison,0,0,0
43,2352319384,5543,15,Silber-Eklipse,5607,17,Eclipse de Plata,5592,17,Éclipse d'argent,5551,15,Silver Eclipse,0,Super Move,0,Damage,2,All characters,0,16,25,5,Silver,0,Physical,0,0,0,Poison,0,0,0
44,2352319400,5558,11,Entwässern,5624,8,Desecar,5609,11,Épuisement,5566,6,Drain,0,Super Move,26,Add Weak,1,One character,0,0,0,0,Green,0,Physical,16,17,8,Weak,0,0,0
45,2352319408,5569,15,Erholungspause,5632,17,Turno de Reposar,5620,13,Récupération,5572,14,Turn Recovery,0,Super Move,33,Add Regenerate,5,User,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
46,2352319424,5584,11,Zerstörung,5649,12,Destrucción,5633,12,Destruction,5586,12,Destruction,0,Super Move,17,Remove positive states,2,All characters,0,16,10,5,Silver,0,Physical,0,0,0,Poison,0,0,0
47,2352319436,5595,8,Zittern,5661,7,Seísmo,5645,12,Tremblement,5598,8,Tremble,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
48,2352319444,5603,14,Silber-Tundra,5668,16,Tundra de Plata,5657,17,Toundra d'argent,5606,14,Silver Tundra,0,Super Move,0,Damage,1,One character,0,16,50,5,Silver,0,Physical,0,0,0,Poison,0,0,0
49,2352319212,5617,17,Verbündete rufen,5684,17,Convocar aliados,5674,15,Appel d'alliés,5620,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,54,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
50,2352319212,5634,17,Verbündete rufen,5701,17,Convocar aliados,5689,15,Appel d'alliés,5632,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,85,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
51,2352319460,5651,11,Erforschen,5718,9,Explorar,5704,12,Exploration,5644,8,Explore,0,Super Move,0,Damage,2,All characters,0,16,20,1,Red,0,Physical,0,0,0,Poison,0,0,0
52,2352319468,5662,13,Steinschlamm,5727,16,Fango de Piedra,5716,17,Pierre Suintante,5652,11,Stone Ooze,0,Super Move,7,Add Stone,1,One character,0,0,0,0,Green,0,Physical,16,17,2,Stone,40,0,0
53,2352319480,5675,11,Tundrastoß,5743,17,Ráfaga de Tundra,5733,17,Tundra Explosive,5663,13,Tundra Blast,0,Super Move,0,Damage,2,All characters,0,16,20,2,Purple,0,Physical,0,0,0,Poison,0,0,0
54,2352319496,5686,12,Todeswalzer,5760,12,Vals Mortal,5750,17,Valse de la Mort,5676,12,Death Waltz,0,Super Move,0,Damage,2,All characters,0,16,40,6,Neutral,0,Physical,0,0,0,Poison,0,0,0
55,2352319508,5698,11,Einspannen,5772,11,Involucrar,5767,11,Engagement,5688,7,Engage,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
56,2352319516,5709,9,Gewitter,5783,17,Ráfaga de Trueno,5778,6,Orage,5695,14,Thunder Storm,0,Super Move,0,Damage,2,All characters,0,16,20,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
57,2352319532,5718,10,Wehklagen,5800,17,Sollozo Pavoroso,5784,12,Cri Lugubre,5709,11,Eerie Wail,0,Super Move,0,Damage,107,Character line #5,0,16,15,2,Purple,0,Physical,0,0,0,Poison,0,0,0
58,2352319272,5728,16,Schadenaufnahme,5817,13,Evaluar Daño,5796,15,Estimer Dégâts,5720,14,Assess Damage,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
59,2352319496,5744,12,Todeswalzer,5830,12,Vals Mortal,5811,17,Valse de la Mort,5734,12,Death Waltz,0,Super Move,0,Damage,2,All characters,0,16,40,6,Neutral,0,Physical,0,0,0,Poison,0,0,0
60,2352319544,5756,15,Vigoros Zauber,5842,17,Magia de Vigoro,5828,17,Charme de Vigoro,5746,15,Vigoro's Charm,0,Super Move,70,Add Confusion + Damage,1,One character,0,16,5,1,Red,0,Physical,16,17,4,Confusion,0,0,0
61,2352319236,5771,10,Laserstoß,5859,13,Ráfaga láser,5845,16,Explosion Laser,5761,12,Laser Blast,0,Super Move,8,Add Stone + Damage,1,One character,0,16,20,5,Silver,0,Physical,16,17,2,Stone,50,0,0
62,2352319212,5781,17,Verbündete rufen,5872,17,Convocar aliados,5861,15,Appel d'alliés,5773,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,12,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
63,2352319560,5798,9,Verdauen,5889,8,Digerir,5876,8,Digérer,5785,7,Digest,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
64,2352319344,5807,17,Furchtbarer Biss,5897,17,Mordisco Temible,5884,17,Terrible Morsure,5792,14,Terrible Bite,0,Super Move,72,Add Fatigue + Damage,1,One character,0,16,15,2,Purple,0,Physical,16,17,6,Fatigue,20,0,0
65,2352319568,5824,8,Neglora,5914,8,Neglora,5901,8,Neglora,5806,8,Neglora,0,Super Move,17,Remove positive states,2,All characters,0,16,5,4,Yellow,0,Physical,-1,-2,-1,None,-2,0,0
66,2352319576,5832,9,Eissturm,5922,16,Ráfaga de Hielo,5909,15,Orage de Glace,5814,10,Ice Storm,0,Super Move,0,Damage,2,All characters,0,16,20,2,Purple,0,Physical,0,0,0,Poison,0,0,0
67,2352319212,5841,17,Verbündete rufen,5938,17,Convocar aliados,5924,15,Appel d'alliés,5824,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,60,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
68,2352319212,5858,17,Verbündete rufen,5955,17,Convocar aliados,5939,15,Appel d'alliés,5836,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,84,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
69,2352319212,5875,17,Verbündete rufen,5972,17,Convocar aliados,5954,15,Appel d'alliés,5848,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,107,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
70,2352319588,5892,16,Houroku Torpedo,5989,8,Granade,5969,17,Torpille Houroku,5860,8,Grenade,0,Super Move,0,Damage,96,Character area #1,0,16,20,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
71,2352319064,5908,8,Giftgas,5997,13,Gas Venenoso,5986,15,Gas Empoisonné,5868,11,Poison Gas,0,Super Move,4,Add Poison + Damage,96,Character area #1,0,16,20,0,Green,0,Physical,16,17,0,Poison,50,0,0
72,2352319596,5916,16,Sacrum-Kristall,6010,15,Cristal Sacrum,6001,15,Cristal Sacrum,5879,15,Sacrum Crystal,0,Super Move,31,Recover HP,4,All enemies,0,1000,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
73,2352319212,5932,17,Verbündete rufen,6025,17,Convocar aliados,6016,15,Appel d'alliés,5894,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,97,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
74,2352319212,5949,17,Verbündete rufen,6042,17,Convocar aliados,6031,15,Appel d'alliés,5906,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,75,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
75,2352319612,5966,9,Entladen,6059,8,Evacuar,6046,7,Renvoi,5918,10,Discharge,0,Super Move,0,Damage,2,All characters,0,16,20,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
76,2352319624,5975,14,Tatatimorutto,6067,14,Tatatimorutto,6053,14,Tatatimorutto,5928,14,Tatatimorutto,0,Super Move,0,Damage,1,One character,0,16,40,3,Blue,0,Physical,0,0,0,Poison,0,0,0
77,2352319640,5989,12,Runde Klaue,6081,15,Tenaza Redonda,6067,16,Griffe Arrondie,5942,11,Round Claw,0,Super Move,0,Damage,1,One character,0,16,40,5,Silver,0,Physical,0,0,0,Poison,0,0,0
78,2352319212,6001,17,Verbündete rufen,6096,17,Convocar aliados,6083,15,Appel d'alliés,5953,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,93,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
79,2352319652,6018,15,Sacri-Kristall,6113,14,Cristal Sacri,6098,14,Cristal Sacri,5965,14,Sacri Crystal,0,Super Move,31,Recover HP,3,One enemy,0,500,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
80,2352319668,6033,16,Sacres-Kristall,6127,15,Cristal Sacres,6112,15,Cristal Sacres,5979,15,Sacres Crystal,0,Super Move,31,Recover HP,3,One enemy,0,1000,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
81,2352319684,6049,18,Sacrulen-Kristall,6142,17,Cristal Sacrulen,6127,17,Cristal Sacrulen,5994,17,Sacrulen Crystal,0,Super Move,31,Recover HP,4,All enemies,0,1000,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
82,2352319212,6067,17,Verbündete rufen,6159,17,Convocar aliados,6144,15,Appel d'alliés,6011,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,92,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
83,2352319704,6084,16,Silber-Alptraum,6176,10,Pesadilla,6159,17,Cauchemar Argent,6023,17,Silver Nightmare,0,Super Move,74,Control ally,1,One character,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
84,2352319724,6100,13,Silberbänder,6186,15,Lazos de Plata,6176,15,Liens d'argent,6040,13,Silver Binds,0,Super Move,0,Damage,1,One character,0,16,50,5,Silver,0,Physical,0,0,0,Poison,0,0,0
85,2352319408,6113,15,Erholungspause,6201,17,Turno de Reposar,6191,13,Récupération,6053,14,Turn Recovery,0,Super Move,33,Add Regenerate,5,User,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
86,2352319424,6128,11,Zerstörung,6218,12,Destrucción,6204,12,Destruction,6067,12,Destruction,0,Super Move,17,Remove positive states,2,All characters,0,16,25,5,Silver,0,Physical,-1,-2,-1,None,-2,0,0
87,2352319212,6139,17,Verbündete rufen,6230,17,Convocar aliados,6216,15,Appel d'alliés,6079,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,44,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
88,2352319212,6156,17,Verbündete rufen,6247,17,Convocar aliados,6231,15,Appel d'alliés,6091,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,21,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
89,2352319212,6173,17,Verbündete rufen,6264,17,Convocar aliados,6246,15,Appel d'alliés,6103,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,22,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
90,2352319384,6190,15,Silber-Eklipse,6281,17,Eclipse de Plata,6261,17,Éclipse d'argent,6115,15,Silver Eclipse,0,Super Move,0,Damage,2,All characters,0,16,25,6,Neutral,0,Physical,0,0,0,Poison,0,0,0
91,2352319740,6205,14,Nicht benutzt,6298,10,No se usa,6278,15,Non Utilisé(e),6130,9,Not Used,0,Super Move,8,Add Stone + Damage,1,One character,0,16,15,0,Green,0,Physical,16,17,2,Stone,70,0,0
92,2352319752,6219,14,Ermüdungsatem,6308,16,Brisa de Fatiga,6293,16,Souffle Fatigue,6139,15,Fatigue Breath,0,Super Move,72,Add Fatigue + Damage,1,One character,0,16,15,0,Green,0,Physical,16,17,6,Fatigue,20,0,0
93,2352319752,6233,14,Ermüdungsatem,6324,16,Brisa de Fatiga,6309,16,Souffle Fatigue,6154,15,Fatigue Breath,0,Super Move,72,Add Fatigue + Damage,1,One character,0,16,15,1,Red,0,Physical,16,17,6,Fatigue,20,0,0
94,2352319768,6247,12,Mondsegnung,6340,16,Bendición Lunar,6325,17,Bienfait lunaire,6169,15,Lunar Blessing,0,Super Move,33,Add Regenerate,5,User,0,600,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
95,2352319784,6259,6,DUMMY,6356,6,DUMMY,6342,6,DUMMY,6184,6,DUMMY,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
96,2352318952,6265,9,KETSUBAN,6362,9,KETSUBAN,6348,9,KETSUBAN,6190,9,KETSUBAN,0,Super Move,0,Damage,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
97,2352319792,6274,8,Notfall,6371,11,Emergencia,6357,8,Urgence,6199,10,Emergency,0,Super Move,64,Call enemy + Defeat all enemies,0,None,0,99,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
98,2352319212,6282,17,Verbündete rufen,6382,17,Convocar aliados,6365,15,Appel d'alliés,6209,12,Call Allies,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
99,2352319804,6299,8,Blaster,6399,8,Blaster,6380,9,Explosif,6221,8,Blaster,0,Super Move,0,Damage,101,Character line #2,0,16,25,5,Silver,0,Physical,0,0,0,Poison,0,0,0
100,2352319812,6307,7,Magie?,6407,8,¿Magia?,6389,8,Magie ?,6229,7,Magic?,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
101,2352319820,6314,6,DUMMY,6415,6,DUMMY,6397,6,DUMMY,6236,6,DUMMY,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
102,2352319820,6320,6,DUMMY,6421,6,DUMMY,6403,6,DUMMY,6242,6,DUMMY,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
103,2352319820,6326,6,DUMMY,6427,6,DUMMY,6409,6,DUMMY,6248,6,DUMMY,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
104,2352319820,6332,6,DUMMY,6433,6,DUMMY,6415,6,DUMMY,6254,6,DUMMY,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
105,2352319820,6338,6,DUMMY,6439,6,DUMMY,6421,6,DUMMY,6260,6,DUMMY,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
106,2352319212,6344,17,Verbündete rufen,6445,17,Convocar aliados,6427,15,Appel d'alliés,6266,12,Call Allies,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
107,2352319212,6361,17,Verbündete rufen,6462,17,Convocar aliados,6442,15,Appel d'alliés,6278,12,Call Allies,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
108,2352319212,6378,17,Verbündete rufen,6479,17,Convocar aliados,6457,15,Appel d'alliés,6290,12,Call Allies,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
109,2352319212,6395,17,Verbündete rufen,6496,17,Convocar aliados,6472,15,Appel d'alliés,6302,12,Call Allies,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
110,2352319212,6412,17,Verbündete rufen,6513,17,Convocar aliados,6487,15,Appel d'alliés,6314,12,Call Allies,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
111,2352319212,6429,17,Verbündete rufen,6530,17,Convocar aliados,6502,15,Appel d'alliés,6326,12,Call Allies,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
112,2352319212,6446,17,Verbündete rufen,6547,17,Convocar aliados,6517,15,Appel d'alliés,6338,12,Call Allies,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
113,2352319212,6463,17,Verbündete rufen,6564,17,Convocar aliados,6532,15,Appel d'alliés,6350,12,Call Allies,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
114,2352319212,6480,17,Verbündete rufen,6581,17,Convocar aliados,6547,15,Appel d'alliés,6362,12,Call Allies,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
115,2352319212,6497,17,Verbündete rufen,6598,17,Convocar aliados,6562,15,Appel d'alliés,6374,12,Call Allies,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
116,2352319836,6514,11,Krafttrunk,6615,16,Poción Poderosa,6577,15,Potion Pouvoir,6386,13,Power Potion,0,Super Move,21,Add Strengthen,3,One enemy,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
117,2352319852,6525,13,Schnelltrunk,6631,17,Poción de Prisas,6592,15,Potion Vitesse,6399,13,Speed Potion,0,Super Move,20,Add Quickened,4,All enemies,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
118,2352319668,6538,16,Sacres-Kristall,6648,15,Cristal Sacres,6607,15,Cristal Sacres,6412,15,Sacres Crystal,0,Super Move,31,Recover HP,3,One enemy,0,1000,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
119,2352319868,6554,13,Todesattacke,6663,17,Embestida Mortal,6622,13,Tacle Mortel,6427,13,Death Tackle,0,Super Move,0,Damage,102,Character line #3,0,16,40,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
120,2352319784,6567,6,DUMMY,6680,6,DUMMY,6635,6,DUMMY,6440,6,DUMMY,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
