Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Element ID,Padding #0,[Element name],Order by prio.,Occ. flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Padding #1,Padding #2,Effect value,Type ID,[Type name],State ID,[State name],State hit%,Padding #3,Padding #4,Padding #5,Ship occ. ID,[Ship occ. name],Padding #6,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unknown,Padding #7,Padding #8,Padding #9,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
46,2352244488,105909,13,Kaiserklinge,104947,12,Espada Real,105857,12,Épée Royale,104063,12,Royal Blade,6,0,Neutral,240,2,"",X,"",0,Damage,37,Enemy line #2,4,Enrique,1,8,0,0,40,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,62061,96,Enrique attackiert einen Feind mit einer Serie\npräziser Schwerthiebe.                     SP 8,61530,92,Enrique rebana a un enemigo en una ráfaga\nde precisos movimientos de espada.          SEP8,61756,97,Enrique taillade un seul ennemi sous une pluie\nd'attaques précises à l'épée.               ES 8,61037,95,Enrique slashes at a single enemy in a flurry\nof precise sword attacks.                  SP 8
47,2352244500,105922,11,Das Urteil,104959,10,El juicio,105869,12,Le Jugement,104075,14,The Judgement,6,0,Neutral,242,2,"",X,"",0,Damage,3,One enemy,4,Enrique,1,16,0,0,80,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,62157,88,Enrique lässt einen Feind im Coliseum\nfür seine Verbrechen verurteilen.          SP 16,61622,90,Enrique convoca a un enemigo al Coliseo\npara que sea juzgado por sus crimenes.     SEP16,61853,94,Enrique convoque un ennemi au Coloseum pour\nqu'il soit jugé de ses crimes.             ES 16,61132,95,Enrique summons one enemy to the Coliseum to\nbe judged for its crimes.                  SP 16
48,2352244516,105933,15,Waffenschlinge,104969,10,Pistolero,105881,15,Feux du Bandit,104089,11,Gunslinger,6,0,Neutral,250,2,"",X,"",0,Damage,43,Enemy line #5,5,Gilder,1,9,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,62245,94,Gilder feuert gleichzeitig aus zwei Pistolen\nund schädigt alle Feinde auf einer Linie.  SP 9,61712,91,"Gilder descarga dos revólveres a la vez,\nhiriendo a todos los enemigos en línea.     SEP9",61947,92,"Gilder décharge deux pistolets à la fois,\nblessant tous les ennemis alignés.          ES 9",61227,97,Gilder lets loose two handguns at the same time\ndamaging all enemies in a straight line.   SP 9
49,2352244528,105948,12,Die Claudia,104979,11,La Claudia,105896,11,Le Claudia,104100,12,The Claudia,6,0,Neutral,252,2,"",X,"",0,Damage,4,All enemies,5,Gilder,1,18,0,0,25,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,62339,96,Gilder feuert alle Kanonen der Claudia ab und\ngreift damit alle Feinde an.               SP 18,61803,99,Gilder llama al navío la Claudia y dispara todos\nsus cañones. Ataca a todos los enemigos.   SEP18,62039,97,Gilders appelle le Claudia et fait feu de tous\nses canons. Attaque tous les ennemis.      ES 18,61324,95,Gilder calls in the Claudia and fires all of\nher cannons. Attacks all enemies.          SP 18
50,2352244540,105960,13,Gegenangriff,104990,13,Contraataque,105907,15,Contre-attaque,104112,14,Counterstrike,6,0,Neutral,301,2,"",X,"",38,Counter attack + Guard,5,User,0,Vyse,2,1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,62435,95,Vyse geht in Abwehrstellung und erwidert eine\nRunde lang alle Feindattacken.             SP 1,61902,93,Vyse se defiende y responde ante todos los\nataques del enemigo durante todo un turno.  SEP1,62136,95,"Vyse se met en position de défense, contrant\nles attaques ennemies pendant un tour.      ES 1",61419,95,"Vyse takes a defensive stance, countering all\nenemy physical attacks for a full turn.    SP 1"
51,2352244556,105973,14,Schädelschild,105003,16,Escudo Calavera,105922,15,Bouclier Crâne,104126,13,Skull Shield,6,0,Neutral,303,2,"",X,"",46,Block attack + Counter attack,2,All characters,0,Vyse,2,5,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,62530,97,"Vyse ruft den Geist eines alten Luftpiraten an,\nseine Mannschaft zu verteidigen.           SP 5",61995,94,Vyse convoca al espíritu de un antepasado para\ncontraatacar y defender a su tripulación.SEP5,62231,96,Vyse invoque l'esprit d'un ancien Pirate pour\ndéfendre ses compagnons et contre-attaquer. ES 5,61514,97,Vyse summons the spirit of an ancient Air Pirate\nto defend and counterattack for his crew. SP 5
52,2352244572,105987,12,Deltaschild,105019,13,Escudo Delta,105937,15,Bouclier Delta,104139,13,Delta Shield,6,0,Neutral,311,2,"",X,"",39,Block magic,2,All characters,1,Aika,2,2,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,62627,87,Magieschutz für alle Verbündeten eine\nRunde lang. (Blockiert auch eigene Magie.) SP 2,62089,94,Escudo anti-magia que protege a los aliados\npor un turno pero bloquea su poder de magia.SEP2,62327,96,Crée une bulle d'anti-magie autour des alliés\npour un tour. (Bloque la magie des alliés)  ES 2,61611,95,Creates an anti-magic shell around all allies\nfor 1 turn. (Blocks allies' magic too.)    SP 2
53,2352244588,105999,15,Epsilonspiegel,105032,15,Espejo Épsilon,105952,16,Miroir Epsilon,104152,15,Epsilon Mirror,6,0,Neutral,313,2,"",X,"",77,Invulnerable + Recover MP,5,User,1,Aika,2,10,0,0,10,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,62714,96,"Schafft eine spiegelartige Aura, die Aika für\n1 Runde umhüllt und 10 MP wiederherstellt. SP 10",62183,95,Crea un aura como un espejo que rodea a Aika\npor un turno y restaura 10 puntos de Magia.SEP10,62423,89,Crée une aura miroitante qui enveloppe\nAika pendant un tour et redonne 10 PM.     ES 10,61706,96,Creates a mirror-like aura that envelops Aika\nfor 1 turn and restores 10 MP.             SP 10
54,2352244604,106014,12,Mondsegnung,105047,16,Bendición Lunar,105968,17,Bienfait Lunaire,104167,15,Lunar Blessing,6,0,Neutral,320,2,"",X,"",33,Add Regenerate,2,All characters,2,Fina,2,12,0,0,200,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,62810,91,"Fina erbittet den Segen des Silver Moon,\nder alle Gruppenmitglieder regeneriert.    SP 12",62278,94,Fina convoca a la Luna de Plata y bendice a\ncada miembro del grupo con la Regeneración.SEP12,62512,94,Fina appelle la Lune Argent et bénit chaque\nmembre du groupe avec Régénération.        ES 12,61802,99,Fina calls upon the Silver Moon and blesses each\nparty member with Regeneration.            SP 12
55,2352244620,106026,14,Mondreinigung,105063,17,Liberación Lunar,105985,16,Lune Purifiante,104182,16,Lunar Cleansing,6,0,Neutral,322,2,"",X,"",30,Remove negative states,2,All characters,2,Fina,2,6,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,62901,95,Silver Moonlight befreit alle Verbündeten von\nallem Negativen außer Bewusstlosigkeit.    SP 6,62372,95,La Luz de Luna libera a los aliados de todos\nlos efectos adversos menos el Inconsciente. SEP6,62606,91,La Lune d'argent purifie tous les alliés\ndes effets néfastes sauf l'Inconscience.    ES 6,61901,94,Silver Moonlight cleanses all allies of any\nadverse effects except Unconscious.         SP 6
56,2352244636,106040,10,Mondlicht,105080,10,Luz Lunar,106001,16,Lumière Lunaire,104198,12,Lunar Light,6,0,Neutral,324,2,"",X,"",47,Recover HP and MP + Remove negative states,2,All characters,2,Fina,2,18,0,0,10000,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,62996,97,Hebt alle negativen Effekte auf und stellt die\nvollen HP aller Verbündeten wieder her.    SP 18,62467,92,"Revive, cura todos los efectos adversos y\nrepone toda la Salud de todos los aliados. SEP18",62697,98,"Réanime, guérit de tous les effets néfastes, et\nredonne tous les PV aux alliés.            ES 18",61995,90,"Revives, cures all adverse effects, and\ncompletely restores all HP of all allies.  SP 18"
57,2352244648,106050,16,Spirit aufladen,105090,15,Doble Espíritu,106017,14,Concentration,104210,14,Spirit Charge,6,0,Neutral,331,2,"",X,"",41,Guard + Increase Spirit restoration to 200%,5,User,3,Drachma,2,0,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,63093,96,"Drachma geht in sich, verdoppelt seinen Spirit\nund wehrt Angriffe ab.                     SP 0",62559,98,Drachma se concentra hasta doblar sus puntos de\nEspíritu para defenderse de los ataques.    SEP0,62795,92,"Drachma se concentre, doublant ses points\nd'Esprit et se défend contre les attaques.  ES 0",62085,93,"Drachma focuses inward, doubling his Spirit\npoints and defending against attacks.      SP 0"
58,2352244664,106066,13,Rechtsschild,105105,17,Escudo Defensivo,106031,17,Bouclier Justice,104224,15,Justice Shield,6,0,Neutral,341,2,"",X,"",1,Guard,2,All characters,4,Enrique,2,4,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,63189,96,Erzeugt Schutzschild für eine Runde. Reduziert\nphysische Schäden auf die Hälfte.          SP 4,62657,95,Crea una barrera defensiva durante un turno.\nTodo daño recibido se reduce a la mitad.    SEP4,62887,99,Crée une barrière défensive pendant 1 tour. Tous\nles dégâts physiques diminuent de moitié.   ES 4,62178,95,Creates a defensive barrier for one turn. All\nphysical damage received is cut in half.   SP 4
59,2352244680,106079,11,Schutzaura,105122,17,Aura de Renuncia,106048,17,Aura Protectrice,104239,15,Aura of Denial,6,0,Neutral,351,2,"",X,"",42,Block negative states,2,All characters,5,Gilder,2,3,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,63285,83,Schützt eine Runde lang vor allen\nnegativen Effekten.                        SP 3,62752,96,Crea una barrera durante un turno que bloquea\ntodos los efectos negativos.                SEP3,62986,97,Crée une barrière pendant un tour pour bloquer\nuniquement tous les effets néfastes.        ES 3,62273,96,Creates a barrier for one turn that blocks all\nadverse (and only adverse) effects.        SP 3
60,2352244696,106090,12,Blue Rogues,105139,12,Blue Rogues,106065,14,Voleurs Bleus,104254,12,Blue Rogues,6,0,Neutral,-1,2,"",X,"",66,Blue Rogues,6,All characters and enemies,0,Vyse,-1,-1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,63368,88,Vereinigt alle aktiven Mitglieder der\nDelphinus-Crew. Ändert sich mit der Crew.SP ALLE,62848,95,Convoca a los miembros de la tripulación del\nDelphinus. El ataque depende de ellos.   SEP ALL,63083,92,Appel les membres actifs de l'équipage du\nDelphinus. Attaque varie selon équipage. ES TOUS,62369,94,Summons all active members of the Delphinus\ncrew. Attack varies depending on crew.    SP ALL
61,2352244708,106102,13,Prophezeiung,105151,9,Profecía,106079,9,Prophecy,104266,9,Prophecy,6,0,Neutral,-1,2,"",X,"",65,Prophecy,4,All enemies,0,Vyse,1,-1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,63456,98,Alle vier Gruppenmitglieder rufen mit vereinten\nKräften eine altertümliche Macht an.     SP AllE,62943,95,Combina el poder de los 4 miembros del grupo\npara convocar un poder ancestral.        SEP ALL,63175,95,Concentre le pouvoir des 4 membres du groupe\npour invoquer un pouvoir ancien.         ES TOUS,62463,95,Combines the power of all 4 party members to\ncall upon an ancient power.               SP ALL
