Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Element ID,Padding #0,[Element name],Order by prio.,Occ. flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Padding #1,Padding #2,Effect value,Type ID,[Type name],State ID,[State name],State hit%,Padding #3,Padding #4,Padding #5,Ship occ. ID,[Ship occ. name],Padding #6,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unknown,Padding #7,Padding #8,Padding #9,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.,[DE ship descr. pos.],[DE ship descr. size],DE ship descr. str.,[ES ship descr. pos.],[ES ship descr. size],ES ship descr. str.,[FR ship descr. pos.],[FR ship descr. size],FR ship descr. str.,[GB ship descr. pos.],[GB ship descr. size],GB ship descr. str.
10,2352244112,105588,5,Noxi,104606,5,Noxi,105512,5,Noxi,103740,5,Noxi,0,0,Green,50,2,"",X,"",4,Add Poison + Damage,3,One enemy,6,Magic,0,3,0,0,60,1,Magical,0,Poison,40,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,58648,95,Schädigt und vergiftet einen Feind. Am besten\nzu Beginn langer Kämpfe verwenden.         SP 3,58129,98,Debilita y envenena a uno de los enemigos.Mejor\nusarlo al principio de una batalla larga.   SEP3,58306,93,Blesse et empoisonne un ennemi. Mieux vaut\nl'utiliser au début de longues batailles.   ES 3,57601,97,Damages and Poisons any one enemy. Best if used\nat the beginning of long battles.          SP 3,100617,30,Kann nicht benutzt werden.\n,99674,20,No puede usarse.\n,100351,25,Ne peut être utilisé.\n,98906,24,Cannot be used.\n------
11,2352244120,105593,6,Noxus,104611,6,Noxus,105517,6,Noxus,103745,6,Noxus,0,0,Green,51,2,"",X,"",4,Add Poison + Damage,4,All enemies,6,Magic,0,6,0,0,100,1,Magical,0,Poison,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,58743,95,Schädigt und vergiftet alle Feinde. Am besten\nzu Beginn langer Kämpfe verwenden.         SP 6,58227,97,Debilita y envenena a todos los enemigos.Mejor\nusarlo al principio de una batalla larga.   SEP6,58399,99,Blesse & empoisonne tous les ennemis. Mieux vaut\nl'utiliser au début de longues batailles.   ES 6,57698,95,Damages and Poisons all enemies. Best if used\nat the beginning of long battles.          SP 6,100647,30,Kann nicht benutzt werden.\n,99694,21,No puede usarse. \n,100376,25,Ne peut être utilisé.\n,98930,24,Cannot be used.\n------
12,2352244128,105599,8,Slipara,104617,8,Slipara,105523,8,Slipara,103751,8,Slipara,3,0,Blue,110,2,"",X,"",9,Add Sleep,4,All enemies,6,Magic,0,6,0,0,0,0,Physical,3,Sleep,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,58838,91,Lässt mit etwas Glück alle Feinde auf dem\nBildschirm in tiefsten Schlaf sinken.      SP 6,58324,93,Hace que todos los enemigos en pantalla se\nduerman.                                    SEP6,58498,99,Offre la possibilité d'endormir tous les ennemis\nà l'écran.                                  ES 6,57793,94,Has a chance to put all enemies on screen to\nSleep.                                     SP 6,100677,30,Kann nicht benutzt werden.\n,99715,21,No puede usarse. \n,100401,25,Ne peut être utilisé.\n,98954,24,Cannot be used.\n------
13,2352244136,105607,6,Quika,104625,6,Quika,105531,6,Quika,103759,6,Quika,3,0,Blue,70,3,"",X,X,20,Add Quickened,2,All characters,6,Magic,0,6,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,104,Add Quickened (Ship),6,1,0,-1,0,0,0,58929,87,Verdoppelt die Geschwindigkeit aller \nVerbündeten. Erleichtert die Flucht.       SP 6,58417,91,Dobla la velocidad de todos los aliados.\nTambién hace más fácil huir de las batallas.SEP6,58597,95,"Double la vitesse de tous les alliés, ce qui\npermet aussi de fuir plus vite les combats. ES 6",57887,97,"Doubles the speed of all allies. Also, it makes\nit easier to run from battles.             SP 6",100707,91,Verdoppelt Geschwindigkeit des Schiffes.\nEffekt hält für 2 Runden an.                6 SP,99736,79,Dobla la velocidad del barco.\nEl efecto dura 2 turnos.                    6SP,100426,79,Double la vitesse du navire.\nLes effets durent 2 tours.                  6 ES,98978,70,Doubles ship speed.\nEffect lasts for 2 rounds.                  6 SP
14,2352244144,105613,6,Curia,104631,6,Curia,105537,6,Curia,103765,6,Curia,5,0,Silver,80,2,"",X,"",30,Remove negative states,1,One character,6,Magic,0,2,0,0,0,0,Physical,-1,None,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,59016,95,Kuriert einen Verbündeten von allen negativen\nEffekten (außer Bewusstlosigkeit).         SP 2,58508,88,Cura a un aliado de todos los efectos\nadversos (excepto Inconsciente).            SEP2,58692,94,Guérit un allié de tous les effets néfastes\n(à part l'Inconscience).                    ES 2,57984,96,Cures one ally of all adverse effects (except\nfor Unconscious).                           SP 2,100798,30,Kann nicht benutzt werden.\n,99815,20,No puede usarse.\n,100505,25,Ne peut être utilisé.\n,99048,24,Cannot be used.\n------
15,2352244152,105619,6,Risan,104637,6,Risan,105543,6,Risan,103771,6,Risan,5,0,Silver,90,2,"",X,"",27,Revive with 50% of HP,1,One character,6,Magic,0,4,0,0,0,0,Physical,7,Revival,50,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,59111,97,"50% Wahrscheinlichkeit, einen bewusstlosen Ver-\nbündeten mit 50% seiner HP aufzuwecken.    SP 4",58596,99,Puede revivir en un 50% a un aliado inconsciente\ny reponer el 50% de su Salud.               SEP4,58786,99,"A 50% de chance de ranimer un allié Inconscient,\net de lui redonner 50% de ses PV.           ES 4",58080,99,"Has a 50% chance of reviving an Unconscious ally,\nalong with 50% of their HP.                SP 4",100828,30,Kann nicht benutzt werden.\n,99835,20,No puede usarse.\n,100530,25,Ne peut être utilisé.\n,99072,24,Cannot be used.\n------
16,2352244160,105625,8,Riselem,104643,8,Riselem,105549,8,Riselem,103777,8,Riselem,5,0,Silver,91,2,"",X,"",28,Revive with 100% of HP,1,One character,6,Magic,0,8,0,0,0,0,Physical,7,Revival,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,59208,94,Weckt einen bewusstlosen Verbündeten auf und\nerneuert seine gesamten HP.                SP 8,58695,82,Revive a un aliado inconsciente\ny repone su Salud totalmente.               SEP8,58885,98,Ranime un allié Inconscient et lui redonne tous\nses PV.                                     ES 8,58179,96,Revives an Unconscious ally and restores their\nHP to full.                                SP 8,100858,30,Kann nicht benutzt werden.\n,99855,20,No puede usarse.\n,100555,25,Ne peut être utilisé.\n,99096,24,Cannot be used.\n------
17,2352244168,105633,7,Eterni,104651,7,Eterni,105557,7,Eterni,103785,7,Eterni,5,0,Silver,100,2,"",X,"",5,Add Unconscious,3,One enemy,6,Magic,0,5,0,0,0,0,Physical,1,Unconscious,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,59302,94,Kann einen Feind auf der Stelle töten. Wirkt\nbei mächtigen Feinden evtl. nicht.         SP 5,58777,98,"Mata instantáneamente a cualquier enemigo, pero\npuede fallar con monstruos o grandes jefes. SEP5",58983,100,Peut tuer instantanément un des ennemis. Mais pas\nforcément un chef ou un monstre puissant.   ES 5,58275,96,Can instantly kill any one enemy. May not work\non some powerful monsters or bosses.       SP 5,100888,30,Kann nicht benutzt werden.\n,99875,20,No puede usarse.\n,100580,25,Ne peut être utilisé.\n,99120,24,Cannot be used.\n------
18,2352244176,105640,8,Eternes,104658,8,Eternes,105564,8,Eternes,103792,8,Eternes,5,0,Silver,101,2,"",X,"",5,Add Unconscious,4,All enemies,6,Magic,0,10,0,0,0,0,Physical,1,Unconscious,80,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,59396,94,Kann alle Feinde auf dem Bildschirm auf der\nStelle töten.                              SP 10,58875,99,Causa la muerte instantánea a todos los enemigos\nen pantalla.                               SEP10,59083,94,Peut causer la mort instantanée de tous les\nennemis à l'écran.                         ES 10,58371,96,Can cause instant death to all enemies on the\nscreen.                                    SP 10,100918,30,Kann nicht benutzt werden.\n,99895,20,No puede usarse.\n,100605,25,Ne peut être utilisé.\n,99144,24,Cannot be used.\n------
19,2352244184,105648,8,Eternum,104666,8,Eternum,105572,8,Eternum,103800,8,Eternum,5,0,Silver,102,2,"",X,"",6,Add Unconscious + Damage #1,3,One enemy,6,Magic,0,15,0,0,250,1,Magical,1,Unconscious,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,59490,96,"Bewirkt sofortigen Tod eines Feindes. Ist das\nZiel immun, richtet es Schaden an.         SP 15",58974,98,"Causa la muerte instantánea de un enemigo.Si el\nobjetivo es inmune, le provocará daños.    SEP15",59177,99,"Cause la mort immédiate d'un ennemi. Si la cible\nest immunisée, elle subira des dégâts.     ES 15",58467,98,"Causes instant death to one enemy. If target is\nimmune, then it will cause damage.         SP 15",100948,30,Kann nicht benutzt werden.\n,99915,20,No puede usarse.\n,100630,25,Ne peut être utilisé.\n,99168,24,Cannot be used.\n------
20,2352244192,105656,6,Wevli,104674,6,Wevli,105580,6,Wevli,103808,6,Wevli,3,0,Blue,60,3,"",X,X,0,Damage,32,Enemy area #1,6,Magic,0,2,0,0,60,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,4,0,0,0,59586,95,"Entfacht eine Feuerexplosion, die alle Feinde\nauf dem Bildschirm schädigt.               SP 2",59072,96,Hiere a un enemigo con un torbellino de aire\ny agua. También hiere a enemigos próximos.  SEP2,59276,85,Blesse un ennemi avec une tornade.\nAtteint aussi les ennemis proches.          ES 2,58565,95,Damages one enemy with a whirlwind of air and\nwater. Also harms nearby enemies.          SP 2,100978,99,Feuert eine mit Blue Magic geladene Kanonenkugel\nab. Erfordert Spezialausrüstung.            2 SP,99935,92,Dispara una bala de cañón con Magia Azul.\nLanzar hechizos requiere un equipo especial. 2SP,100655,98,Lance un boulet de canon chargé de Magie Bleue.\nÉquipement spécial requis.                  2 ES,99192,94,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.        2 SP
21,2352244200,105662,7,Wevles,104680,7,Wevles,105586,7,Wevles,103814,7,Wevles,3,0,Blue,61,3,"",X,X,0,Damage,33,Enemy area #2,6,Magic,0,4,0,0,105,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,4,0,0,0,59681,96,Löst eine gewaltige Explosion aus und schädigt\nalle Feinde auf dem Bildschirm.            SP 4,59168,98,Crea un tornado largo alrededor de un enemigo y\nhiere a todos los enemigos a su alrededor.  SEP4,59361,96,Crée une grande tornade autour d'un ennemi et\nblesse tous les ennemis proches.            ES 4,58660,94,Creates a large tornado around one enemy and\ndamages all enemies nearby.                SP 4,101077,99,Feuert eine mit Blue Magic geladene Kanonenkugel\nab. Erfordert Spezialausrüstung.            4 SP,100027,92,Dispara una bala de cañón con Magia Azul.\nLanzar hechizos requiere un equipo especial. 4SP,100753,98,Lance un boulet de canon chargé de Magie Bleue.\nÉquipement spécial requis.                  4 ES,99286,94,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.        4 SP
22,2352244208,105669,7,Wevlen,104687,7,Wevlen,105593,7,Wevlen,103821,7,Wevlen,3,0,Blue,63,3,"",X,X,0,Damage,34,Enemy area #3,6,Magic,0,8,0,0,195,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),8,-1,150,4,0,0,0,59777,98,"Erzeugt ein Bündel von Tornados um einen Feind,\nschädigt fast alle Feinde auf dem Bildschirm.SP8",59266,98,Crea un tornado alrededor de un enemigo y hiere\na casi todos los enemigos en pantalla.      SEP8,59457,96,Crée plusieurs tornades autour d'un ennemi et\nblesse de nombreux ennemis à l'écran.       ES 8,58754,96,Creates a cluster of tornados around one enemy\nand damages nearly all enemies on screen.  SP 8,101176,99,Feuert eine mit Blue Magic geladene Kanonenkugel\nab. Erfordert Spezialausrüstung.            8 SP,100119,92,Dispara una bala de cañón con Magia Azul.\nLanzar hechizos requiere un equipo especial. 8SP,100851,98,Lance un boulet de canon chargé de Magie Bleue.\nÉquipement spécial requis.                  8 ES,99380,94,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.        8 SP
23,2352244216,105676,5,Pyri,104694,5,Pyri,105600,5,Pyri,103828,5,Pyri,1,0,Red,0,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,2,0,0,50,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,1,0,0,0,59875,95,"Entfacht eine Feuerexplosion, die alle Feinde\nauf dem Bildschirm schädigt.               SP 2",59364,94,"Produce una explosión de llamas, hiriendo a\ntodos los enemigos en pantalla.             SEP2",59553,94,"Provoque une explosion de flammes, blessant\ntous les ennemis à l'écran.                 ES 2",58850,97,"Summons a burst of flames, damaging all enemies\non screen.                                 SP 2",101275,100,Feuert eine mit Red Magic geladenene Kanonenkugel\nab. Erfordert Spezialausrüstung.            2 SP,100211,92,Dispara una bala de cañón con Magia Roja.\nLanzar hechizos requiere un equipo especial. 2SP,100949,98,Lance un boulet de canon chargé de Magie Rouge.\nÉquipement spécial requis.                  2 ES,99474,93,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.        2 SP
24,2352244224,105681,6,Pyres,104699,6,Pyres,105605,6,Pyres,103833,6,Pyres,1,0,Red,1,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,4,0,0,85,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,1,0,0,0,59970,96,Löst eine gewaltige Explosion aus und schädigt\nalle Feinde auf dem Bildschirm.            SP 4,59458,85,Produce una gran explosión y hiere\na todos los enemigos en pantalla.           SEP4,59647,95,Provoque une énorme explosion et blesse tous\nles ennemis à l'écran.                      ES 4,58947,91,Summons a great explosion and damages all\nenemies on screen.                         SP 4,101375,98,Feuert eine mit Red Magic geladene Kanonenkugel\nab. Erfordert Spezialausrüstung.            4 SP,100303,92,Dispara una bala de cañón con Magia Roja.\nLanzar hechizos requiere un equipo especial. 4SP,101047,98,Lance un boulet de canon chargé de Magie Rouge.\nÉquipement spécial requis.                  4 ES,99567,93,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.        4 SP
25,2352244232,105687,6,Pyrum,104705,6,Pyrum,105611,6,Pyrum,103839,6,Pyrum,1,0,Red,2,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,6,0,0,120,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,1,0,0,0,60066,97,Lässt Feuerbälle vom Himmel kommen und schädigt\nalle Feinde auf dem Bildschirm.            SP 6,59543,89,Hace surgir bolas de fuego del cielo y\nhiere a todos los enemigos en pantalla.     SEP6,59742,97,Invoque des boules de feu tombant des cieux et\nblesse tous les ennemis à l'écran.          ES 6,59038,92,Summons fireballs from the sky and damages\nall enemies on the screen.                 SP 6,101473,98,Feuert eine mit Red Magic geladene Kanonenkugel\nab. Erfordert Spezialausrüstung.            6 SP,100395,92,Dispara una bala de cañón con Magia Roja.\nLanzar hechizos requiere un equipo especial. 6SP,101145,98,Lance un boulet de canon chargé de Magie Rouge.\nÉquipement spécial requis.                  6 ES,99660,93,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.        6 SP
