Entry ID,EU SOT Pos,[Entry GB Name],PC ID,[PC Name],Sell%,EU Order 1,EU Order 2,Effect ID,[Effect Name],Pad 1,Buy,Attack,Hit%,Trait ID,[Trait Name],Pad 2,Trait Value,[GB Descr Str]
44,0x8c3449dc,Cupil Pan,2,Fina,0,45,15,-1,None,0,0,145,110,-1,None,0,0,"Cupil morphs into a frying pan and uses all of
its strength to whack enemies over their heads."
45,0x8c3449e8,Cupil Club,2,Fina,0,39,11,-1,None,0,0,99,110,-1,None,0,0,"Morphs into a club and bludgeons enemies into
submission. Even Cupil has a mean-streak."
46,0x8c3449f4,Cupil Hammer,2,Fina,0,42,13,-1,None,0,0,122,110,-1,None,0,0,"Cupil morphs into the shape of a giant hammer
and hits enemies over their heads."
47,0x8c344a04,Final Cupil,2,Fina,0,49,28,-1,None,0,0,500,100,-1,None,0,0,"Cupil's final and ultimate form, it looks very
impressive, and packs quite a punch."
48,0x8c344a10,Artificial Arm,3,Drachma,50,50,1,-1,None,0,390,43,80,-1,None,0,0,"A mechanical arm that shows signs of rigorous
use over many years, yet it looks sturdy."
49,0x8c344a20,Hook Hand,3,Drachma,50,51,34,-1,None,0,580,51,80,-1,None,0,0,"An attachment for Drachma's arm, it is a
hook-shaped blade that is razor sharp."
50,0x8c344a2c,Mace Hand,3,Drachma,50,54,42,-1,None,0,2000,125,0,-1,None,0,0,"A heavy, spiked steel ball with awesome
destructive power, but low accuracy."
51,0x8c344a38,Mining Arm,3,Drachma,50,57,44,-1,None,0,9980,172,80,-1,None,0,0,"Equipment designed to mine Moon Stones. Created
by De Loco when he was assigned to Ixa'taka."
52,0x8c344a44,Dragon Arm,3,Drachma,50,58,25,-1,None,0,11850,181,80,-1,None,0,0,"An arm specially designed for Drachma by the
master swordsmith, Ryu-kan."
53,0x8c344a50,Beak Hand,3,Drachma,50,52,3,5,Confusion by 20%,0,880,60,80,-1,None,0,0,"An attachment for Drachma's arm that is shaped
like a bird's beak. It can also Confuse enemies."
54,0x8c344a5c,De Loco Drill,3,Drachma,50,55,24,6,Unconscious by 10%,0,2600,95,80,-1,None,0,0,"A drill taken from mining equipment designed by
De Loco, its spinning blade can kill instantly."
55,0x8c344a6c,Excavation Arm,3,Drachma,50,53,27,-1,None,0,1340,73,80,-1,None,0,0,"An instrument designed for archeological digs,
it can even be used for delicate movements."
56,0x8c344a7c,Ruin Arm,3,Drachma,50,56,50,-1,None,0,3860,112,80,-1,None,0,0,"A strange arm, based on unknown technology,
left behind in the ruins of an ancient city."
57,0x8c344a88,Silver Arm,3,Drachma,50,59,53,-1,None,0,13710,190,80,37,Silver,0,-2,"Part of an android soldier created by the Silver
Civilization. Boasts high attack power."
58,0x8c344a94,Rapier,4,Enrique,50,60,49,12,Silence by 20%,0,4200,122,95,-1,None,0,0,"A thin but sharp blade, a symbol of the noble
warrior. Can impose Silence on enemies."
59,0x8c344a9c,Stoneblade,4,Enrique,50,64,57,13,Stone by 10%,0,9850,171,95,-1,None,0,0,"A work of genius by the master swordsmith,
Ryu-kan. It can also turn enemies to stone."
60,0x8c344aa8,Imperial Blade,4,Enrique,50,63,39,7,Silence by 20%,0,8660,163,95,-1,None,0,0,"The sword of the legitimate heir to the throne.
Can impose Silence on enemies."
61,0x8c344ab8,Serpent Strike,4,Enrique,50,65,52,8,Stone by 10%,0,11150,179,95,-1,None,0,0,"A powerful sword worn by warriors of the Silver
Civilization. Can turn enemies to Stone."
62,0x8c344ac8,Frostblade,4,Enrique,50,62,30,14,Confusion by 20%,0,7020,150,95,-1,None,0,0,"A blade so sharp and cold, it is almost numbing
to the touch. It can Confuse enemies."
63,0x8c344ad4,Blade of Slumber,4,Enrique,50,61,4,15,Sleep by 10%,0,5690,138,95,-1,None,0,0,"A large sword used in Yafutoman ceremonies, its
mysterious powers can put enemies to Sleep."
64,0x8c344ae8,Gilder's Own,5,Gilder,50,66,32,-1,None,0,2910,104,100,-1,None,0,0,"A gun that has gotten Gilder through many a
tight spot. Small, but easy to handle."
65,0x8c344af8,Nasr Pistol,5,Gilder,50,67,47,-1,None,0,3520,112,100,33,Red,0,-2,"A replica of the weapon used by the Royal Guard,
without the unnecessary decorative elements."
66,0x8c344b04,Warrior's Pistol,5,Gilder,50,72,69,-1,None,0,10920,176,100,-1,None,0,0,"A small gun used by ancient warriors. Its
appearance hides its destructive power well."
67,0x8c344b18,Valuan Pistol,5,Gilder,50,69,66,-1,None,0,8140,160,100,-1,None,0,0,"A stolen Valuan pistol, modified by sailors to
increase power, without sacrificing accuracy."
68,0x8c344b28,Marksman Gun,5,Gilder,50,71,43,10,Unconscious by 20%,0,3000,100,200,-1,None,0,0,"A small pistol used by Valuan assassins. Can
cause instant death with a good shot."
69,0x8c344b38,Daccat Custom,5,Gilder,50,68,22,9,Sleep by 50%,0,4290,120,100,-1,None,0,0,"A long pistol used by the legendary Air Pirate,
Daccat. Can sometimes put enemies to Sleep."
70,0x8c344b48,Gilder Special,5,Gilder,50,70,31,-1,None,0,9460,168,100,-1,None,0,0,"A gun made specifically to fit Gilder's touch.
It has unequaled accuracy and power."
71,0x8c344b58,Tuna Cutlass,0,Vyse,100,16,65,-1,None,0,22222,150,0,-1,None,0,0,"A special item for people on the Net.
Boasts high attack power, but low accuracy."
72,0x8c344b68,Swirlmerang,1,Aika,100,33,61,11,Confusion by 100%,0,11111,100,200,-1,None,0,0,"A special item for people on the Net.
Will always Confuse enemies without fail."
73,0x8c344b74,DUMMYBUKI,0,Vyse,0,-1,-1,-1,None,0,0,0,0,-1,None,0,0,"DUMMY
------"
74,0x8c344b74,DUMMYBUKI,0,Vyse,0,-1,-1,-1,None,0,0,0,0,-1,None,0,0,"DUMMY
------"
75,0x8c344b74,DUMMYBUKI,0,Vyse,0,-1,-1,-1,None,0,0,0,0,-1,None,0,0,"DUMMY
------"
76,0x8c344b74,DUMMYBUKI,0,Vyse,0,-1,-1,-1,None,0,0,0,0,-1,None,0,0,"DUMMY
------"
77,0x8c344b74,DUMMYBUKI,0,Vyse,0,-1,-1,-1,None,0,0,0,0,-1,None,0,0,"DUMMY
------"
78,0x8c344b74,DUMMYBUKI,0,Vyse,0,-1,-1,-1,None,0,0,0,0,-1,None,0,0,"DUMMY
------"
79,0x8c344b74,DUMMYBUKI,0,Vyse,0,-1,-1,-1,None,0,0,0,0,-1,None,0,0,"DUMMY
------"
