Entry ID,[Filter],[EC ID],[JP EC Name],[US EC Name],Type ID,[Type Name],Task ID,[Task Name],Param. ID,[Param. Name]
6,*,99,アルシノ,Kantor,0,Branch,27,Rating 70%,11,Go to 11
7,*,99,アルシノ,Kantor,0,Branch,26,Rating 60%,12,Go to 12
8,*,99,アルシノ,Kantor,0,Branch,30,Always,13,Go to 13
9,*,99,アルシノ,Kantor,0,Branch,25,Rating 50%,11,Go to 11
10,*,99,アルシノ,Kantor,0,Branch,30,Always,12,Go to 12
11,*,99,アルシノ,Kantor,1,Action,550,Attack,2,Random PC
12,*,99,アルシノ,Kantor,1,Action,5,Thunder of Fury,2,Random PC
13,*,99,アルシノ,Kantor,1,Action,34,Wait,-1,None
1,*,128,アントニオ,Antonio,0,Branch,2,HP < 25%,9,Go to 9
2,*,128,アントニオ,Antonio,0,Branch,20,Party SP ≤ 25%,6,Go to 6
3,*,128,アントニオ,Antonio,0,Branch,26,Rating 60%,11,Go to 11
4,*,128,アントニオ,Antonio,0,Branch,28,Rating 80%,12,Go to 12
5,*,128,アントニオ,Antonio,0,Branch,30,Always,13,Go to 13
6,*,128,アントニオ,Antonio,0,Branch,27,Rating 70%,11,Go to 11
7,*,128,アントニオ,Antonio,0,Branch,26,Rating 60%,12,Go to 12
8,*,128,アントニオ,Antonio,0,Branch,30,Always,13,Go to 13
9,*,128,アントニオ,Antonio,0,Branch,25,Rating 50%,11,Go to 11
10,*,128,アントニオ,Antonio,0,Branch,30,Always,12,Go to 12
11,*,128,アントニオ,Antonio,1,Action,550,Attack,2,Random PC
12,*,128,アントニオ,Antonio,1,Action,5,Thunder of Fury,2,Random PC
13,*,128,アントニオ,Antonio,1,Action,34,Wait,-1,None
1,*,129,アガタウマス,Agathamaus,0,Branch,48,Used Target Search?,9,Go to 9
2,*,129,アガタウマス,Agathamaus,0,Branch,5,Got Hit by Spell?,6,Go to 6
3,*,129,アガタウマス,Agathamaus,0,Branch,0,HP = 100%,6,Go to 6
4,*,129,アガタウマス,Agathamaus,0,Branch,21,Rating 10%,9,Go to 9
5,*,129,アガタウマス,Agathamaus,0,Branch,26,Rating 60%,7,Go to 7
6,*,129,アガタウマス,Agathamaus,0,Branch,30,Always,8,Go to 8
7,*,129,アガタウマス,Agathamaus,1,Action,550,Attack,1,Same PC
8,*,129,アガタウマス,Agathamaus,1,Action,9,Target Search,-1,None
9,*,129,アガタウマス,Agathamaus,1,Action,99,Blaster,2,Random PC
1,*,130,イマゴタリア,Imagotalia,0,Branch,11,Turn 1,8,Go to 8
2,*,130,イマゴタリア,Imagotalia,0,Branch,5,Got Hit by Spell?,8,Go to 8
3,*,130,イマゴタリア,Imagotalia,0,Branch,20,Party SP ≤ 25%,10,Go to 10
4,*,130,イマゴタリア,Imagotalia,0,Branch,37,Turn ≥ 5,10,Go to 10
5,*,130,イマゴタリア,Imagotalia,0,Branch,22,Rating 20%,15,Go to 15
6,*,130,イマゴタリア,Imagotalia,0,Branch,24,Rating 40%,14,Go to 14
7,*,130,イマゴタリア,Imagotalia,0,Branch,30,Always,13,Go to 13
8,*,130,イマゴタリア,Imagotalia,0,Branch,24,Rating 40%,14,Go to 14
9,*,130,イマゴタリア,Imagotalia,0,Branch,30,Always,13,Go to 13
10,*,130,イマゴタリア,Imagotalia,0,Branch,22,Rating 20%,15,Go to 15
11,*,130,イマゴタリア,Imagotalia,0,Branch,23,Rating 30%,14,Go to 14
12,*,130,イマゴタリア,Imagotalia,0,Branch,30,Always,13,Go to 13
13,*,130,イマゴタリア,Imagotalia,1,Action,550,Attack,2,Random PC
14,*,130,イマゴタリア,Imagotalia,1,Action,183,Frozen Breath,-1,None
15,*,130,イマゴタリア,Imagotalia,1,Action,25,Poisonous Bile,-1,None
1,*,131,獄長,Warden,0,Branch,17,ECs Alive = 1,12,Go to 12
2,*,131,獄長,Warden,0,Branch,16,Has Silence?,8,Go to 8
3,*,131,獄長,Warden,0,Branch,21,Rating 10%,16,Go to 16
4,*,131,獄長,Warden,0,Branch,23,Rating 30%,17,Go to 17
5,*,131,獄長,Warden,0,Branch,23,Rating 30%,18,Go to 18
6,*,131,獄長,Warden,0,Branch,28,Rating 80%,15,Go to 15
7,*,131,獄長,Warden,0,Branch,30,Always,19,Go to 19
8,*,131,獄長,Warden,0,Branch,22,Rating 20%,16,Go to 16
9,*,131,獄長,Warden,0,Branch,24,Rating 40%,17,Go to 17
10,*,131,獄長,Warden,0,Branch,28,Rating 80%,15,Go to 15
11,*,131,獄長,Warden,0,Branch,30,Always,19,Go to 19
12,*,131,獄長,Warden,0,Branch,24,Rating 40%,16,Go to 16
13,*,131,獄長,Warden,0,Branch,25,Rating 50%,17,Go to 17
14,*,131,獄長,Warden,0,Branch,30,Always,15,Go to 15
15,*,131,獄長,Warden,1,Action,550,Attack,2,Random PC
16,*,131,獄長,Warden,1,Action,11,Tackle,3,PC w/ Most HP
17,*,131,獄長,Warden,1,Action,251,Sonic Blast,2,Random PC
18,*,131,獄長,Warden,1,Action,533,Electra,2,Random PC
19,*,131,獄長,Warden,1,Action,551,Guard,-1,None
1,*,133,護送将兵,Escort Officer,0,Branch,5,Got Hit by Spell?,11,Go to 11
2,*,133,護送将兵,Escort Officer,0,Branch,38,Any EC HP < 50%,8,Go to 8
3,*,133,護送将兵,Escort Officer,0,Branch,25,Rating 50%,14,Go to 14
4,*,133,護送将兵,Escort Officer,0,Branch,24,Rating 40%,16,Go to 16
5,*,133,護送将兵,Escort Officer,0,Branch,25,Rating 50%,17,Go to 17
6,*,133,護送将兵,Escort Officer,0,Branch,28,Rating 80%,18,Go to 18
7,*,133,護送将兵,Escort Officer,0,Branch,30,Always,15,Go to 15
8,*,133,護送将兵,Escort Officer,0,Branch,25,Rating 50%,17,Go to 17
9,*,133,護送将兵,Escort Officer,0,Branch,32,Used Sacri Spells ≥ 2,11,Go to 11
10,*,133,護送将兵,Escort Officer,0,Branch,30,Always,15,Go to 15
11,*,133,護送将兵,Escort Officer,0,Branch,24,Rating 40%,14,Go to 14
12,*,133,護送将兵,Escort Officer,0,Branch,25,Rating 50%,16,Go to 16
13,*,133,護送将兵,Escort Officer,0,Branch,30,Always,17,Go to 17
14,*,133,護送将兵,Escort Officer,1,Action,550,Attack,2,Random PC
15,*,133,護送将兵,Escort Officer,1,Action,506,Sacri,7,Injured EC
16,*,133,護送将兵,Escort Officer,1,Action,533,Electra,2,Random PC
17,*,133,護送将兵,Escort Officer,1,Action,19,Set for Counter,-1,None
18,*,133,護送将兵,Escort Officer,1,Action,551,Guard,-1,None
1,*,134,ラァス,Laas,0,Branch,1,HP < 50%,6,Go to 6
2,*,134,ラァス,Laas,0,Branch,2,HP < 25%,9,Go to 9
3,*,134,ラァス,Laas,0,Branch,23,Rating 30%,14,Go to 14
4,*,134,ラァス,Laas,0,Branch,25,Rating 50%,13,Go to 13
5,*,134,ラァス,Laas,0,Branch,30,Always,12,Go to 12
6,*,134,ラァス,Laas,0,Branch,25,Rating 50%,14,Go to 14
7,*,134,ラァス,Laas,0,Branch,24,Rating 40%,13,Go to 13
8,*,134,ラァス,Laas,0,Branch,30,Always,12,Go to 12
9,*,134,ラァス,Laas,0,Branch,22,Rating 20%,14,Go to 14
10,*,134,ラァス,Laas,0,Branch,27,Rating 70%,13,Go to 13
11,*,134,ラァス,Laas,0,Branch,30,Always,12,Go to 12
12,*,134,ラァス,Laas,1,Action,550,Attack,2,Random PC
13,*,134,ラァス,Laas,1,Action,0,Volcanic Blast,-1,None
14,*,134,ラァス,Laas,1,Action,1,Stone Gas,13,PC w/o Stone
