Entry ID,[Filter],[Enemy ID],[JP Enemy Name],[US Enemy Name],Instr. Type ID,[Instr. Type Name],Instr. ID,[Instr. Name],Instr. Param. ID,[Instr. Param. Name]
11,*,128,アントニオ,Antonio,1,Action,550,Attack,2,Random character
12,*,128,アントニオ,Antonio,1,Action,5,Thunder of Fury,2,Random character
13,*,128,アントニオ,Antonio,1,Action,34,Wait,-1,None
1,*,129,アガタウマス,Agathamaus,0,Branch,48,???,9,???
2,*,129,アガタウマス,Agathamaus,0,Branch,5,???,6,???
3,*,129,アガタウマス,Agathamaus,0,Branch,0,???,6,???
4,*,129,アガタウマス,Agathamaus,0,Branch,21,???,9,???
5,*,129,アガタウマス,Agathamaus,0,Branch,26,???,7,???
6,*,129,アガタウマス,Agathamaus,0,Branch,30,???,8,???
7,*,129,アガタウマス,Agathamaus,1,Action,550,Attack,1,Common character
8,*,129,アガタウマス,Agathamaus,1,Action,9,Target Search,-1,None
9,*,129,アガタウマス,Agathamaus,1,Action,99,Blaster,2,Random character
1,*,130,イマゴタリア,Imagotalia,0,Branch,11,???,8,???
2,*,130,イマゴタリア,Imagotalia,0,Branch,5,???,8,???
3,*,130,イマゴタリア,Imagotalia,0,Branch,20,???,10,???
4,*,130,イマゴタリア,Imagotalia,0,Branch,37,???,10,???
5,*,130,イマゴタリア,Imagotalia,0,Branch,22,???,15,???
6,*,130,イマゴタリア,Imagotalia,0,Branch,24,???,14,???
7,*,130,イマゴタリア,Imagotalia,0,Branch,30,???,13,???
8,*,130,イマゴタリア,Imagotalia,0,Branch,24,???,14,???
9,*,130,イマゴタリア,Imagotalia,0,Branch,30,???,13,???
10,*,130,イマゴタリア,Imagotalia,0,Branch,22,???,15,???
11,*,130,イマゴタリア,Imagotalia,0,Branch,23,???,14,???
12,*,130,イマゴタリア,Imagotalia,0,Branch,30,???,13,???
13,*,130,イマゴタリア,Imagotalia,1,Action,550,Attack,2,Random character
14,*,130,イマゴタリア,Imagotalia,1,Action,183,Frozen Breath,-1,None
15,*,130,イマゴタリア,Imagotalia,1,Action,25,Poisonous Bile,-1,None
1,*,131,獄長,Warden,0,Branch,17,???,12,???
2,*,131,獄長,Warden,0,Branch,16,???,8,???
3,*,131,獄長,Warden,0,Branch,21,???,16,???
4,*,131,獄長,Warden,0,Branch,23,???,17,???
5,*,131,獄長,Warden,0,Branch,23,???,18,???
6,*,131,獄長,Warden,0,Branch,28,???,15,???
7,*,131,獄長,Warden,0,Branch,30,???,19,???
8,*,131,獄長,Warden,0,Branch,22,???,16,???
9,*,131,獄長,Warden,0,Branch,24,???,17,???
10,*,131,獄長,Warden,0,Branch,28,???,15,???
11,*,131,獄長,Warden,0,Branch,30,???,19,???
12,*,131,獄長,Warden,0,Branch,24,???,16,???
13,*,131,獄長,Warden,0,Branch,25,???,17,???
14,*,131,獄長,Warden,0,Branch,30,???,15,???
15,*,131,獄長,Warden,1,Action,550,Attack,2,Random character
16,*,131,獄長,Warden,1,Action,11,Tackle,3,Character with most HP
17,*,131,獄長,Warden,1,Action,251,Sonic Blast,2,Random character
18,*,131,獄長,Warden,1,Action,533,Electra,2,Random character
19,*,131,獄長,Warden,1,Action,551,Guard,-1,None
1,*,133,護送将兵,Escort Officer,0,Branch,5,???,11,???
2,*,133,護送将兵,Escort Officer,0,Branch,38,???,8,???
3,*,133,護送将兵,Escort Officer,0,Branch,25,???,14,???
4,*,133,護送将兵,Escort Officer,0,Branch,24,???,16,???
5,*,133,護送将兵,Escort Officer,0,Branch,25,???,17,???
6,*,133,護送将兵,Escort Officer,0,Branch,28,???,18,???
7,*,133,護送将兵,Escort Officer,0,Branch,30,???,15,???
8,*,133,護送将兵,Escort Officer,0,Branch,25,???,17,???
9,*,133,護送将兵,Escort Officer,0,Branch,32,???,11,???
10,*,133,護送将兵,Escort Officer,0,Branch,30,???,15,???
11,*,133,護送将兵,Escort Officer,0,Branch,24,???,14,???
12,*,133,護送将兵,Escort Officer,0,Branch,25,???,16,???
13,*,133,護送将兵,Escort Officer,0,Branch,30,???,17,???
14,*,133,護送将兵,Escort Officer,1,Action,550,Attack,2,Random character
15,*,133,護送将兵,Escort Officer,1,Action,506,Sacri,7,Injured enemy
16,*,133,護送将兵,Escort Officer,1,Action,533,Electra,2,Random character
17,*,133,護送将兵,Escort Officer,1,Action,19,Set for Counter,-1,None
18,*,133,護送将兵,Escort Officer,1,Action,551,Guard,-1,None
1,*,134,ラァス,Laas,0,Branch,1,???,6,???
2,*,134,ラァス,Laas,0,Branch,2,???,9,???
3,*,134,ラァス,Laas,0,Branch,23,???,14,???
4,*,134,ラァス,Laas,0,Branch,25,???,13,???
5,*,134,ラァス,Laas,0,Branch,30,???,12,???
6,*,134,ラァス,Laas,0,Branch,25,???,14,???
7,*,134,ラァス,Laas,0,Branch,24,???,13,???
8,*,134,ラァス,Laas,0,Branch,30,???,12,???
9,*,134,ラァス,Laas,0,Branch,22,???,14,???
10,*,134,ラァス,Laas,0,Branch,27,???,13,???
11,*,134,ラァス,Laas,0,Branch,30,???,12,???
12,*,134,ラァス,Laas,1,Action,550,Attack,2,Random character
13,*,134,ラァス,Laas,1,Action,0,Volcanic Blast,-1,None
14,*,134,ラァス,Laas,1,Action,1,Stone Gas,13,Character without Stone
