Entry ID,US entry name,Chara. flags,[Vyse],[Aika],[Fina],[Drachma],[Enrique],[Gilder],Retail price in %,Order by prio.,US order by ABC,Pad. #0,Purchase price,Feat. #0 ID,[Feat. #0 name],Pad. #1,Feat. #0 value,Feat. #1 ID,[Feat. #1 name],Pad. #2,Feat. #1 value,Feat. #2 ID,[Feat. #2 name],Pad. #3,Feat. #2 value,Feat. #3 ID,[Feat. #3 name],Pad. #4,Feat. #3 value,[US descr. pos.],[US descr. size],US descr. str.
170,防御の腕輪１,63,X,X,X,X,X,X,50,5,48,0,25,17,Defense,0,5,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
171,防御の腕輪２,63,X,X,X,X,X,X,50,17,49,0,202,17,Defense,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
172,命中の腕輪１,63,X,X,X,X,X,X,50,8,55,0,71,19,Hit%,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
173,命中の腕輪２,63,X,X,X,X,X,X,50,22,56,0,202,19,Hit%,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
174,回避の腕輪１,63,X,X,X,X,X,X,50,9,4,0,71,20,Dodge%,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
175,回避の腕輪２,63,X,X,X,X,X,X,50,23,5,0,202,20,Dodge%,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
176,Warbeads,63,X,X,X,X,X,X,50,29,33,0,2000,16,Attack,0,50,19,Hit%,0,20,-1,None,0,0,-1,None,0,0,3356200,88,A charm worn by an ancient hero that increases\nthe wearer's attack power and accuracy!
177,守りの腕輪,63,X,X,X,X,X,X,50,30,52,0,468,17,Defense,0,25,20,Dodge%,0,10,-1,None,0,0,-1,None,0,0,0,0,""
178,万能の腕輪１,63,X,X,X,X,X,X,50,41,45,0,1734,16,Attack,0,30,17,Defense,0,50,19,Hit%,0,10,20,Dodge%,0,20,0,0,""
179,アレスの腕輪,63,X,X,X,X,X,X,50,42,6,0,1734,72,???,0,50,-1,None,0,30,-1,None,0,20,-1,None,0,10,0,0,""
180,反撃の腕輪,63,X,X,X,X,X,X,50,51,42,0,2348,73,Counter%,0,50,16,Attack,0,50,19,Hit%,0,20,-1,None,0,0,0,0,""
181,攻撃無効の腕輪,63,X,X,X,X,X,X,50,50,23,0,2,65,Block attacks,0,1,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
182,Marocca's bangle,63,X,X,X,X,X,X,50,13,50,0,200,17,Defense,0,10,18,MagDef,0,10,-1,None,0,0,-1,None,0,0,3356288,88,A bangle made out of Marocca shell that\ndecreases the damage inflicted upon the wearer.
183,守りの首飾り２,63,X,X,X,X,X,X,50,37,51,0,1931,17,Defense,0,45,18,MagDef,0,45,-1,None,0,0,-1,None,0,0,3356376,48,首飾りです。バランスのよいアクセサリーです。
184,無毒の首飾り,63,X,X,X,X,X,X,50,11,54,0,304,17,Defense,0,5,18,MagDef,0,5,48,Poison,0,-128,32,Green,0,-2,0,0,""
185,不死の首飾り,63,X,X,X,X,X,X,50,28,47,0,1220,17,Defense,0,25,18,MagDef,0,25,49,Death,0,-128,37,Silver,0,-2,0,0,""
186,人形の首飾り,63,X,X,X,X,X,X,50,36,38,0,2128,17,Defense,0,40,18,MagDef,0,40,50,Stone,0,-128,-1,None,0,0,0,0,""
187,眠らずの首飾り,63,X,X,X,X,X,X,50,15,39,0,493,17,Defense,0,10,18,MagDef,0,10,51,Sleep,0,-128,35,Blue,0,-2,0,0,""
188,乱れずの首飾り,63,X,X,X,X,X,X,50,18,53,0,711,17,Defense,0,15,18,MagDef,0,15,52,Confuse,0,-128,34,Purple,0,-2,0,0,""
189,うるさい首飾り,63,X,X,X,X,X,X,50,24,2,0,954,17,Defense,0,20,18,MagDef,0,20,53,Silence,0,-128,34,Purple,0,-2,0,0,""
190,元気の首飾り,63,X,X,X,X,X,X,50,32,17,0,1499,17,Defense,0,30,18,MagDef,0,30,54,Fatigue,0,-128,-1,None,0,0,0,0,""
191,タカの首飾り,63,X,X,X,X,X,X,50,39,34,0,2478,17,Defense,0,45,18,MagDef,0,45,55,???,0,-128,36,Yellow,0,-2,0,0,""
192,Stonehawk Beak,63,X,X,X,X,X,X,50,14,31,0,200,16,Attack,0,10,1,Will,0,10,-1,None,0,0,-1,None,0,0,3356424,92,An amulet made from the beak of a Stonehawk that\nincreases damage inflicted by the wearer.
193,攻めの首飾り２,63,X,X,X,X,X,X,50,38,32,0,1931,16,Attack,0,45,1,Will,0,45,-1,None,0,0,-1,None,0,0,0,0,""
194,万能の首飾り１,63,X,X,X,X,X,X,50,10,43,0,85,17,Defense,0,5,18,MagDef,0,5,16,Attack,0,5,1,Will,0,5,0,0,""
195,万能の首飾り２,63,X,X,X,X,X,X,50,40,44,0,1931,17,Defense,0,40,18,MagDef,0,40,16,Attack,0,40,1,Will,0,40,0,0,""
196,生命力の首飾り,63,X,X,X,X,X,X,50,25,30,0,202,2,???,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
197,器用さの首飾り,63,X,X,X,X,X,X,50,26,13,0,71,3,???,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
198,素早さの首飾り,63,X,X,X,X,X,X,50,27,29,0,202,4,Quick,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
199,奇跡の首飾り,63,X,X,X,X,X,X,50,44,12,0,2,79,Block negative states,0,1,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
200,肉弾の首飾り,63,X,X,X,X,X,X,50,35,37,0,607,68,Reduce spirit,0,1,-1,None,0,35,-1,None,0,35,-1,None,0,10,0,0,""
201,Ribbon,25,"",X,X,"","",X,50,0,8,0,25,4,Quick,0,5,-1,None,0,0,-1,None,0,0,-1,None,0,0,3356516,72,An accessory to tie up long hair.It allows you\nto move with more ease
202,髪飾り２,25,"",X,X,"","",X,50,33,9,0,371,4,Quick,0,30,-1,None,0,0,-1,None,0,0,-1,None,0,0,3356588,32,髪飾りです。素早さを高めます。
203,髪飾りＳ,25,"",X,X,"","",X,50,45,10,0,1562,4,Quick,0,50,17,Defense,0,25,18,MagDef,0,25,-1,None,0,0,0,0,""
204,Goggle,48,X,X,"","","","",50,1,18,0,15,19,Hit%,0,5,-1,None,0,0,-1,None,0,0,-1,None,0,0,3356620,60,An accessory that enables you to see everything\nmuch better
205,ゴーグル２,48,X,X,"","","","",50,31,19,0,71,19,Hit%,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,3356680,36,ゴーグルです。器用さを高めます。
206,ゴーグルＳ,48,X,X,"","","","",50,47,20,0,755,19,Hit%,0,20,16,Attack,0,25,1,Will,0,25,-1,None,0,0,0,0,""
207,パイプ１,5,"","","",X,"",X,50,7,40,0,2,80,First strike%,0,1,81,Run%,0,0,-1,None,0,0,-1,None,0,0,3356716,44,パイプです。タバコは２０歳を過ぎてから。
208,パイプ２,5,"","","",X,"",X,50,46,41,0,800,82,???,0,50,83,Enemy run%,0,0,-1,None,0,0,-1,None,0,0,0,0,""
209,ガッツのブラ,24,"",X,X,"","","",50,48,7,0,71,74,???,0,10,77,Recover spirit,0,0,-1,None,0,0,-1,None,0,0,3356760,36,ブラジャーです。んーん、イカす。
210,出会いのブラ,24,"",X,X,"","","",50,12,35,0,221,84,Random encounter%,0,10,80,First strike%,0,10,83,Enemy run%,0,-10,-1,None,0,0,0,0,""
211,別れのブラ,24,"",X,X,"","","",50,19,57,0,221,84,Random encounter%,0,-10,81,Run%,0,10,82,???,0,-10,-1,None,0,0,0,0,""
212,ヴァイス用,32,X,"","","","","",50,52,1,0,2262,16,Attack,0,100,-1,None,0,0,-1,None,0,0,-1,None,0,0,3356796,40,各キャラ用スペシャルです。未定です。
213,アイカ用,16,"",X,"","","","",50,53,0,0,2262,16,Attack,0,50,1,Will,0,50,-1,None,0,0,-1,None,0,0,0,0,""
214,ファイナ用,8,"","",X,"","","",50,54,46,0,2262,1,Will,0,100,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
215,ドラクマ用,4,"","","",X,"","",50,55,36,0,2262,16,Attack,0,100,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
216,エンリック用,2,"","","","",X,"",50,56,3,0,2262,16,Attack,0,50,1,Will,0,50,-1,None,0,0,-1,None,0,0,0,0,""
217,ギルダー用,1,"","","","","",X,50,57,16,0,2262,16,Attack,0,100,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
218,ダミーアクセサリ,0,"","","","","","",0,-1,-1,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
219,ダミーアクセサリ,0,"","","","","","",0,-1,-1,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
220,ダミーアクセサリ,0,"","","","","","",0,-1,-1,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
221,ダミーアクセサリ,0,"","","","","","",0,-1,-1,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
222,ダミーアクセサリ,0,"","","","","","",0,-1,-1,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
223,ダミーアクセサリ,0,"","","","","","",0,-1,-1,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
224,ダミーアクセサリ,0,"","","","","","",0,-1,-1,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
225,ダミーアクセサリ,0,"","","","","","",0,-1,-1,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
226,ダミーアクセサリ,0,"","","","","","",0,-1,-1,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
227,ダミーアクセサリ,0,"","","","","","",0,-1,-1,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
228,ダミーアクセサリ,0,"","","","","","",0,-1,-1,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
229,ダミーアクセサリ,0,"","","","","","",0,-1,-1,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
230,ダミーアクセサリ,0,"","","","","","",0,-1,-1,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
231,ダミーアクセサリ,0,"","","","","","",0,-1,-1,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
232,ダミーアクセサリ,0,"","","","","","",0,-1,-1,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
233,ダミーアクセサリ,0,"","","","","","",0,-1,-1,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
234,ダミーアクセサリ,0,"","","","","","",0,-1,-1,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
235,ダミーアクセサリ,0,"","","","","","",0,-1,-1,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
236,ダミーアクセサリ,0,"","","","","","",0,-1,-1,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
237,ダミーアクセサリ,0,"","","","","","",0,-1,-1,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
238,ダミーアクセサリ,0,"","","","","","",0,-1,-1,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
239,ダミーアクセサリ,0,"","","","","","",0,-1,-1,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,""
