Entry ID,US Entry Name,Ship Flags,[L0],[L1],[D0],[D1],[D2],Feat. 0 ID,[Feat. 0 Name],Pad. 1,Feat. 0 Value,Feat. 1 ID,[Feat. 1 Name],Pad. 2,Feat. 1 Value,Feat. 2 ID,[Feat. 2 Name],Pad. 3,Feat. 2 Value,Feat. 3 ID,[Feat. 3 Name],Pad. 4,Feat. 3 Value,Pad. 5,Pad. 6,Purchase Price,Pad. 7,Pad. 8,Retail Price in %,Order by Prio.,US Order by ABC,Pad. 9,[US Descr. Pos.],[US Descr. Size],US Descr. Str.
462,偏向装甲板,0x3e,X,X,X,X,X,2,Defense,0,30,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,2200,0,0,50,22,22,0,0x335208,44,防御力が上昇する。\n敵弾を受け流す装甲板。
463,複合装甲板,0x3e,X,X,X,X,X,2,Defense,0,40,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,5500,0,0,50,23,23,0,0x335234,56,防御力が上昇する。\n２種類の鋼材を交互に重ねた装甲板。
464,重装甲板,0x3e,X,X,X,X,X,2,Defense,0,55,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,6700,0,0,50,24,24,0,0x33526c,60,防御力が上昇する。\n通常の３倍の厚みをもった装甲板。重い。
465,特殊鋼装甲板,0x3e,X,X,X,X,X,2,Defense,0,70,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,7300,0,0,50,25,25,0,0x3352a8,56,防御力が上昇する。\n月煌石を混合した金属でつくった装甲板
466,龍の装甲板,0x3e,X,X,X,X,X,2,Defense,0,110,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,7900,0,0,50,26,26,0,0x3352e0,64,防御力が上昇する。\nヤフトマーの職人が魂を込めてつくった装甲板。
467,古の装甲板,0x3e,X,X,X,X,X,2,Defense,0,150,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,8500,0,0,50,27,27,0,0x335320,64,防御力が上昇する。\n古くから伝わる謎の金属を装甲板にしたもの。
468,銀の装甲板,0x3e,X,X,X,X,X,2,Defense,0,200,6,Dodge%,0,1,4,Quick,0,3,-1,None,0,0,0,0,11000,0,0,50,28,28,0,0x335360,60,防御力が上昇する。\n月煌石のエネルギーで力場を作る装甲板。
469,きらめく装甲板,0x3e,X,X,X,X,X,2,Defense,0,500,6,Dodge%,0,2,4,Quick,0,6,-1,None,0,0,0,0,13500,0,0,50,29,29,0,0x33539c,48,防御力が上昇する。\n６色に輝く月煌石の装甲板。
470,カラオケセット,0x3e,X,X,X,X,X,7,Value,0,1000,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,1000,0,0,50,30,30,0,0x3353cc,48,船内でお祭り騒ぎができる。\n長旅も気にならない。
471,システムキッチン,0x3e,X,X,X,X,X,7,Value,0,5500,2,Defense,0,1,-1,None,0,0,-1,None,0,0,0,0,5500,0,0,50,31,31,0,0x3353fc,52,料理の失敗が少なくなる。\nおいしい食事が出てくる。
472,床暖房,0x3e,X,X,X,X,X,7,Value,0,3000,3,MagDef,0,1,-1,None,0,0,-1,None,0,0,0,0,3000,0,0,50,32,32,0,0x335430,64,エンジンの廃熱を利用し、室内の温度を上げる。\n冷え性を予防する。
473,空気清浄器,0x3e,X,X,X,X,X,7,Value,0,5800,3,MagDef,0,2,-1,None,0,0,-1,None,0,0,0,0,5800,0,0,50,33,33,0,0x335470,48,用を足すのが早くなる。\n女の子のうけが良くなる。
474,床の間,0x3e,X,X,X,X,X,7,Value,0,6700,3,MagDef,0,2,-1,None,0,0,-1,None,0,0,0,0,6700,0,0,50,34,34,0,0x3354a0,44,気分が落ち着く。\n精神集中を行う事ができる。
475,防音壁,0x3e,X,X,X,X,X,7,Value,0,11000,2,Defense,0,1,-1,None,0,0,-1,None,0,0,0,0,11000,0,0,50,35,35,0,0x3354cc,52,室内にエンジン音が響かなくなる。\n安眠が約束される。
476,高価な蛇輪,0x3e,X,X,X,X,X,7,Value,0,8500,4,Quick,0,2,-1,None,0,0,-1,None,0,0,0,0,8500,0,0,50,36,36,0,0x335500,52,人間工学に基づいた特別注文の舵。\n手にフィットする。
477,シャンデリア,0x3e,X,X,X,X,X,7,Value,0,9300,2,Defense,0,1,-1,None,0,0,-1,None,0,0,0,0,9300,0,0,50,37,37,0,0x335534,36,豪華な照明。\n室内を明るく照らす。
478,くまの置物,0x3e,X,X,X,X,X,7,Value,0,7300,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,7300,0,0,50,38,38,0,0x335558,40,くまの形をした木彫りの人形。\nかわいい。
479,観葉植物,0x3e,X,X,X,X,X,-1,None,0,10100,3,MagDef,0,1,-1,None,0,0,-1,None,0,0,0,0,10100,0,0,50,39,39,0,0x335580,40,室内に置く鑑賞用の植物。\n心が落ち着く。
