Entry ID,JP Entry Name,PS Flags,[L1],[L2],[D1],[D2],[D3],Feat. 1 ID,[Feat. 1 Name],Pad. 1,Feat. 1 Value,Feat. 2 ID,[Feat. 2 Name],Pad. 2,Feat. 2 Value,Feat. 3 ID,[Feat. 3 Name],Pad. 3,Feat. 3 Value,Feat. 4 ID,[Feat. 4 Name],Pad. 4,Feat. 4 Value,Purchase Price,Retail Price in %,Order by Prio.,JP Order by ABC,Pad. 5,[JP Descr. Pos.],[JP Descr. Size],JP Descr. Str.
450,エンジンカバー,0x3e,X,X,X,X,X,4,Quick,0,10,6,Dodge%,0,3,-1,None,0,0,-1,None,0,0,800,50,10,10,0,0x2cf29c,88,デリケートなエンジンをゴミやチリから守るカバー。\n燃焼効率がアップしスピードを上げる。
451,ターボキット,0x3e,X,X,X,X,X,4,Quick,0,20,6,Dodge%,0,5,-1,None,0,0,-1,None,0,0,1520,50,11,11,0,0x2cf2f4,72,燃料を強制的に送り込むキット。\n爆発的な出力を確保しスピードを上げる。
452,ボアアップキット,0x3e,X,X,X,X,X,4,Quick,0,30,6,Dodge%,0,8,-1,None,0,0,-1,None,0,0,2400,50,12,12,0,0x2cf33c,84,エンジンの容量をあげ、パワーを得るキット。\n排気量を増やすと同時にスピードも上げる。
453,ツインスクリュー,0x3e,X,X,X,X,X,4,Quick,0,40,6,Dodge%,0,10,-1,None,0,0,-1,None,0,0,3200,50,13,13,0,0x2cf390,80,艦尾にとりつける増設用のスクリュー。\n推進力が増すことにより、スピードが上がる。
454,エアインテーク,0x3e,X,X,X,X,X,4,Quick,0,80,6,Dodge%,0,12,-1,None,0,0,-1,None,0,0,6800,50,14,14,0,0x2cf3e0,76,クリーンな空気を送り込みエンジン内の燃料比を\n一定に保ち、スピードを上げる。
455,ツインターボ,0x3e,X,X,X,X,X,4,Quick,0,90,6,Dodge%,0,15,-1,None,0,0,-1,None,0,0,8800,50,15,15,0,0x2cf42c,84,ターボキットを２連装にしたもの。ターボキット以上\nの能力を出してスピードを上げる。
456,タイミングバルブ,0x3e,X,X,X,X,X,4,Quick,0,100,6,Dodge%,0,17,-1,None,0,0,-1,None,0,0,10800,50,16,16,0,0x2cf480,88,バルブのタイミングを一定にし、エンジンの給排気を\n安定させることによりスピードを上げる。
457,トリプルターボ,0x3e,X,X,X,X,X,4,Quick,0,130,6,Dodge%,0,20,-1,None,0,0,-1,None,0,0,12800,50,17,17,0,0x2cf4d8,76,ターボキットを３連装にしたもの。\n２連装以上の能力を出してスピードを上げる。
458,ハイトルクキット,0x3e,X,X,X,X,X,4,Quick,0,150,6,Dodge%,0,23,-1,None,0,0,-1,None,0,0,14800,50,18,18,0,0x2cf524,96,耐久性を上げ、出力を飛躍的に上昇させるキット。\nエンジン回転数を上げる事によりスピードを上げる。
459,ツインエンジン,0x3e,X,X,X,X,X,4,Quick,0,200,6,Dodge%,0,26,-1,None,0,0,-1,None,0,0,16640,50,19,19,0,0x2cf584,72,エンジン内を２段階に独立させ、２倍の出力を\n可能にしスピードを上げる。
460,装甲板,0x3e,X,X,X,X,X,2,Defense,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,1000,50,20,20,0,0x2cf5cc,68,ごく普通に手に入る装甲板。\n船体に装備する事により防御力を上げる。
461,鋼装甲板,0x3e,X,X,X,X,X,2,Defense,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,1900,50,21,21,0,0x2cf610,72,何枚も鋼板を重ねた装甲板。\n多少の砲撃にはビクともせず、防御力も高い。
462,偏向装甲板,0x3e,X,X,X,X,X,2,Defense,0,30,-1,None,0,0,-1,None,0,0,-1,None,0,0,2200,50,22,22,0,0x2cf658,96,通常の装甲板に偏向板を付けて敵弾を受け流す。\n直撃を避ける事でダメージを回避。防御力が上がる。
463,複合装甲板,0x3e,X,X,X,X,X,2,Defense,0,40,-1,None,0,0,-1,None,0,0,-1,None,0,0,5500,50,23,23,0,0x2cf6b8,84,２種類の鋼材を交互に重ねた装甲板。\nたくみな組み合わせで効果を発揮。防御力も高い。
464,重装甲板,0x3e,X,X,X,X,X,2,Defense,0,55,-1,None,0,0,-1,None,0,0,-1,None,0,0,6700,50,24,24,0,0x2cf70c,80,通常の３倍の厚みをもった装甲板。\n重いが剛性の高い素材を用い、防御力を上げる。
465,特殊鋼装甲板,0x3e,X,X,X,X,X,2,Defense,0,70,-1,None,0,0,-1,None,0,0,-1,None,0,0,7300,50,25,25,0,0x2cf75c,92,月Ж石を混合した金属で作り上げた装甲板。\n見た目以上に性能はよく、効率的に防御力を上げる。
466,龍の装甲板,0x3e,X,X,X,X,X,2,Defense,0,110,-1,None,0,0,-1,None,0,0,-1,None,0,0,7900,50,26,26,0,0x2cf7b8,84,ヤフトマーの職人が魂を込めてつくった装甲板。\nていねいな作りで美しく、防御力も高い。
467,古の装甲板,0x3e,X,X,X,X,X,2,Defense,0,150,-1,None,0,0,-1,None,0,0,-1,None,0,0,8500,50,27,27,0,0x2cf80c,92,古くから伝わる謎の金属を装甲板にしたもの。\n貴重なのでなかなか手に入らない。防御力を上げる。
468,銀の装甲板,0x3e,X,X,X,X,X,2,Defense,0,200,6,Dodge%,0,1,4,Quick,0,3,-1,None,0,0,11000,50,28,28,0,0x2cf868,84,純度の高い月Ж石を散りばめた装甲板。\n豊富なエネルギーで力場を作り防御力を上げる。
469,きらめく装甲板,0x3e,X,X,X,X,X,2,Defense,0,500,6,Dodge%,0,2,4,Quick,0,6,-1,None,0,0,13500,50,29,29,0,0x2cf8bc,88,６色の月Ж石を散りばめた装甲板。美しい輝きを放ち\n月Жエネルギーの力場で防御力を上げる。
470,カラオケセット,0x3e,X,X,X,X,X,7,Value,0,1000,-1,None,0,0,-1,None,0,0,-1,None,0,0,1000,50,30,30,0,0x2cf914,76,船内でお祭り騒ぎができる。\n長旅も気にならないが、アイカはマイクを離さない。
471,システムキッチン,0x3e,X,X,X,X,X,7,Value,0,5500,2,Defense,0,1,-1,None,0,0,-1,None,0,0,5500,50,31,31,0,0x2cf960,96,きれいに整っているので料理の失敗が少なくなる。\n毎晩、おいしい食事が楽しめる。後片付けも簡単。
472,床暖房,0x3e,X,X,X,X,X,7,Value,0,3000,3,MagDef,0,1,-1,None,0,0,-1,None,0,0,3000,50,32,32,0,0x2cf9c0,80,エンジンの廃熱を利用し、室内の温度を上げる。\n冷え性を予防する。女性に大人気。
473,空気清浄器,0x3e,X,X,X,X,X,7,Value,0,5800,3,MagDef,0,2,-1,None,0,0,-1,None,0,0,5800,50,33,33,0,0x2cfa10,88,汚れがちな艦内の空気をきれいにする。\nすがすがしい気持ちで航海ができ男くささも取れる。
474,床の間,0x3e,X,X,X,X,X,7,Value,0,6700,3,MagDef,0,2,-1,None,0,0,-1,None,0,0,6700,50,34,34,0,0x2cfa68,92,ヤフトマーの独特な雰囲気で気分が落ち着く。\n精神集中を行う事ができ、意外なひらめきも浮かぶ。
475,防音壁,0x3e,X,X,X,X,X,7,Value,0,11000,2,Defense,0,1,-1,None,0,0,-1,None,0,0,11000,50,35,35,0,0x2cfac4,84,室内にうるさいエンジン音が響かなくなる。\n安眠が約束され、旅の疲れもきれいに取れる。
476,高価な蛇輪,0x3e,X,X,X,X,X,7,Value,0,8500,4,Quick,0,2,-1,None,0,0,-1,None,0,0,8500,50,36,36,0,0x2cfb18,92,バルアの人間工学に基づいた特別注文の舵。\n舵輪は手にしっくりとなじみ、長旅でも疲れにくい。
477,シャンデリア,0x3e,X,X,X,X,X,7,Value,0,9300,2,Defense,0,1,-1,None,0,0,-1,None,0,0,9300,50,37,37,0,0x2cfb74,84,バルア貴族に愛用されている豪華な照明。\n殺風景な船内を照らしだし、気分も明るくなる。
478,くまの置物,0x3e,X,X,X,X,X,7,Value,0,7300,-1,None,0,0,-1,None,0,0,-1,None,0,0,7300,50,38,38,0,0x2cfbc8,68,くまの形をした木彫りの人形。\n素朴でかわいい。ファイナのお気に入り。
479,観葉植物,0x3e,X,X,X,X,X,-1,None,0,10100,3,MagDef,0,1,-1,None,0,0,-1,None,0,0,10100,50,39,39,0,0x2cfc0c,76,室内に置く鑑賞用の植物。\n心が落ち着き、空気もおいしくおいしく感じされる。
