Entry ID,US entry name,Element ID,[Element name],Order by prio.,Occ. flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Padding #0,Padding #1,Effect value,Type ID,[Type name],State ID,[State name],State hit%,Padding #2,Padding #3,Padding #4,Ship occ. ID,[Ship occ. name],Padding #5,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unknown,Padding #6,Padding #7,Padding #8,[US descr. pos.],[US descr. size],US descr. str.
46,Royal Blade,6,Neutral,240,2,"",X,"",0,Damage,37,Enemy line #2,4,Enrique,1,8,0,0,40,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3351772,96,Enrique slashes at a single enemy in a flurry\nof precise sword attacks.                  SP 8
47,The Judgement,6,Neutral,242,2,"",X,"",0,Damage,3,One enemy,4,Enrique,1,16,0,0,80,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3351868,96,Enrique summons one enemy to the Coliseum to\nbe judged for its crimes.                  SP 16
48,Gunslinger,6,Neutral,250,2,"",X,"",0,Damage,43,Enemy line #5,5,Gilder,1,9,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3351964,96,Gilder lets loose two handguns at the same time\ndamaging all enemies in a straight line.   SP 9
49,The Claudia,6,Neutral,252,2,"",X,"",0,Damage,4,All enemies,5,Gilder,1,18,0,0,25,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3352060,96,Gilder calls in the Claudia and fires all of\nher cannons. Attacks all enemies.          SP 18
50,Counterstrike,6,Neutral,301,2,"",X,"",38,Counter attack + Guard,5,User,0,Vyse,2,1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3352156,96,"Vyse takes a defensive stance, countering all\nenemy physical attacks for a full turn.    SP 1"
51,Skull Shield,6,Neutral,303,2,"",X,"",46,Block attack + Counter attack,2,All characters,0,Vyse,2,5,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3352252,96,Vyse summons the spirit of an ancient Air Pirate\nto defend and counterattack for his crew. SP 5
52,Delta Shield,6,Neutral,311,2,"",X,"",39,Block magic,2,All characters,1,Aika,2,2,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3352348,96,Creates an anti-magic shell around all allies\nfor 1 turn. (Blocks allies' magic too.)    SP 2
53,Epsilon Mirror,6,Neutral,313,2,"",X,"",77,Invulnerable + Recover MP,5,User,1,Aika,2,10,0,0,10,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3352444,96,Creates a mirror-like aura that envelops Aika\nfor 1 turn and restores 10 MP.             SP 10
54,Lunar Blessing,6,Neutral,320,2,"",X,"",33,Add Regenerate,2,All characters,2,Fina,2,12,0,0,200,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3352540,100,Fina calls upon the Silver Moon and blesses each\nparty member with Regeneration.            SP 12
55,Lunar Cleansing,6,Neutral,322,2,"",X,"",30,Remove negative states,2,All characters,2,Fina,2,6,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3352640,96,Silver Moonlight cleanses all allies of any\nadverse effects except Unconscious.         SP 6
56,Lunar Light,6,Neutral,324,2,"",X,"",47,Recover HP and MP + Remove negative states,2,All characters,2,Fina,2,18,0,0,10000,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3352736,92,"Revives, cures all adverse effects, and\ncompletely restores all HP of all allies.  SP 18"
57,Spirit Charge,6,Neutral,331,2,"",X,"",41,Guard + Increase Spirit restoration to 200%,5,User,3,Drachma,2,0,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3352828,92,"Drachma focuses inward, doubling his Spirit\npoints and defending against attacks.      SP 0"
58,Justice Shield,6,Neutral,341,2,"",X,"",1,Guard,2,All characters,4,Enrique,2,4,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3352920,96,Creates a defensive barrier for one turn. All\nphysical damage received is cut in half.   SP 4
59,Aura of Denial,6,Neutral,351,2,"",X,"",42,Block negative states,2,All characters,5,Gilder,2,3,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3353016,96,Creates a barrier for one turn that blocks all\nadverse (and only adverse) effects.        SP 3
60,Blue Rogues,6,Neutral,-1,2,"",X,"",66,Blue Rogues,6,All characters and enemies,0,Vyse,-1,-1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3353112,96,Summons all active members of the Delphinus\ncrew. Attack varies depending on crew.    SP ALL
61,Prophecy,6,Neutral,-1,2,"",X,"",65,Prophecy,4,All enemies,0,Vyse,1,-1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3353208,96,Combines the power of all 4 party members to\ncall upon an ancient power.               SP ALL
