Entry ID,US entry name,Occ. flags,[Menu],[Battle],[Ship battle],Ship effect ID,[Ship effect name],Ship effect turns,Consume%,Padding #0,Padding #1,Padding #2,Purchase price,Padding #3,Padding #4,Retail price in %,Order by prio.,US order by ABC,Padding #5,Ship effect amount,Element ID,[Element name],Unknown #0,Unknown #1,Hit%,[US descr. pos.],[US descr. size],US descr. str.
490,Repair Kit,5,X,"",X,100,Recover HP (Ship),-1,100,0,0,0,30,0,0,50,10,22,0,400,0,Green,0,0,0,3385980,68,"Repair materials for minor damage to the ship.\nRestores 4,000 HP."
491,Deluxe Kit,5,X,"",X,100,Recover HP (Ship),-1,100,0,0,0,75,0,0,50,11,8,0,800,0,Green,0,0,0,3386048,72,"Repair materials for moderate damage to the\nship. Restores 8,000 HP."
492,Magic Kit,5,X,"",X,100,Recover HP (Ship),-1,100,0,0,0,0,0,0,50,12,19,0,0,0,Green,0,0,0,3386120,92,Repair materials mixed with Green Moon Dust\nfor greater restorative power. Restores all HP.
493,Complete Kit,5,X,"",X,101,Recover HP to 100% (Ship),-1,100,0,0,0,300,0,0,50,13,5,0,0,0,Green,0,0,0,3386212,72,High-quality repair materials using pure\nMoon Stones. Restores all HP.
494,Gear Grease,1,"","",X,102,Recover Spirit (Ship),-1,100,0,0,0,500,0,0,50,14,11,0,10,0,Green,0,0,0,3386284,76,"Reduces friction in the gears, improving power\ntransfer. Restores Spirit."
495,Thermal Grease,1,"","",X,103,Recover Spirit to 100% (Ship),-1,100,0,0,0,1000,0,0,50,15,27,0,0,0,Green,0,0,0,3386360,80,Prevents heat-related breakdowns at high speeds.\nRestores Spirit completely.
496,Captain's Stripe,4,X,"","",115,Captain's Stripe,-1,100,0,0,0,0,0,0,50,16,4,0,0,0,Green,0,0,0,3386440,96,A mark earned by shooting down an enemy. Using\nit will increase ship parameters and endurance.
497,Apa Wax,1,"","",X,105,Add Strengthen (Ship),2,100,0,0,0,100,0,0,50,17,0,0,0,0,Green,0,0,0,3386536,92,Applying this wax to the ship and cannons\nimproves Attack and Defense Power for 2 turns.
498,Apo Wax,1,"","",X,105,Add Strengthen (Ship),4,100,0,0,0,1000,0,0,50,18,1,0,0,0,Green,0,0,0,3386628,92,Applying this wax to the ship and cannons\nimproves Attack and Defense Power for 4 turns.
499,Speed Wax,1,"","",X,104,Add Quickened (Ship),1,100,0,0,0,150,0,0,50,19,26,0,0,0,Green,0,0,0,3386720,68,Applying this wax to the engine improves engine\noutput for 1 turn.
500,Hybrid Wax,1,"","",X,108,Improve parameters (Ship),4,100,0,0,0,1500,0,0,50,20,15,0,0,0,Green,0,0,0,3386788,72,Wax developed by De Loco. Improves\nvarious ship parameters for 1 turn.
501,Heat Sensor,1,"","",X,112,Improve Critical% (Ship),0,100,0,0,0,2000,0,0,50,21,13,0,0,0,Green,0,0,0,3386860,92,Detects the engine room of enemy ships to help\nyour gunners aim. Raises Critical Hit Rate.
502,Rudder Grease,1,"","",X,113,Decrease Spirit consumption to 50% (Ship),0,100,0,0,0,2000,0,0,50,22,23,0,0,0,Green,0,0,0,3386952,72,"Improves rudder operation, and slows the rate\nof Spirit consumption."
503,Machine Oil,1,"","",X,114,Increase Spirit restoration to 200% (Ship),0,100,0,0,0,2000,0,0,50,23,17,0,0,0,Green,0,0,0,3387024,96,"Applying oil to the engine parts stabilizes\noutput, doubling the rate of Spirit restoration."
504,Light Alloy,1,"","",X,111,Improve First strike% (Ship),0,100,0,0,0,2000,0,0,50,24,16,0,0,0,Green,0,0,0,3387120,92,Alloy blends with the ship's hull to make it\nlighter. Improves chances for first strike.
505,Hex Shell,1,"","",X,109,Block artillery (Ship),0,100,0,0,0,5000,0,0,50,25,14,0,0,0,Green,0,0,0,3387212,84,"A barrier against artillery attacks for 1 turn,\ndeveloped by a master engineer."
506,Magic Shell,1,"","",X,110,Block magic (Ship),0,100,0,0,0,2500,0,0,50,26,20,0,0,0,Green,0,0,0,3387296,76,"A barrier against magic attacks for 1 turn,\ndeveloped by a master magician."
507,Gold Bullion,0,"","","",-1,None,-1,-1,0,0,0,10000,0,0,100,27,12,0,0,0,Green,0,0,0,3387372,92,"A piece of solid gold, too big to carry. You can\nkeep it, or sell it if you need the money."
508,Crystal Ball,0,"","","",-1,None,-1,-1,0,0,0,1000,0,0,100,28,7,0,0,0,Green,0,0,0,3387464,92,"A work of art by a well-known craftsman. You can\nkeep it, or sell it if you need the money."
509,Magic Cannon,0,"","","",-1,None,-1,-1,0,0,0,0,0,0,0,29,18,0,0,0,Green,0,0,0,3387556,96,A device that fires magic projectiles. Stolen\nfrom Belleza in a battle above the Nasr desert.
