Entry ID,US entry name,Padding #1,Padding #2,Padding #3,Padding #4,Category ID,[Category name],Effect ID,[Effect name],Scope ID,[Scope name],Effect value #1 ,Effect value #2 ,Element ID,[Element name],Type ID,[Type name],Unknown #1,Unknown #2,Unknown #3,Hit%,Padding #5,Padding #6
35,Electrulen,0,0,0,0,1,Magic,0,Damage,102,Ally line #3,1,195,4,Yellow,1,Magical,0,0,0,0,0,0
36,Volcanic Blast,0,0,0,0,0,Super Move,0,Damage,2,All allies,16,20,1,Red,0,Physical,0,0,0,0,0,0
37,Cinder Storm,0,0,0,0,0,Super Move,8,Add Stone + Damage,1,One ally,16,5,1,Red,0,Physical,16,17,2,50,0,0
38,Feather Slash,0,0,0,0,0,Super Move,0,Damage,102,Ally line #3,16,30,0,Green,0,Physical,0,0,0,0,0,0
39,欠番,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
40,Laser,0,0,0,0,0,Super Move,0,Damage,1,One ally,16,20,5,Silver,0,Physical,0,0,0,0,0,0
41,Thunder of Fury,0,0,0,0,0,Super Move,0,Damage,101,Ally line #2,16,30,4,Yellow,0,Physical,0,0,0,0,0,0
42,欠番,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
43,Circle of Panic,0,0,0,0,0,Super Move,11,Add Confusion,1,One ally,0,0,0,Green,0,Physical,16,17,4,0,0,0
44,Ring of Sleep,0,0,0,0,0,Super Move,9,Add Sleep,1,One ally,0,0,0,Green,0,Physical,16,17,3,0,0,0
45,Target Search,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
46,欠番,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
47,Tackle,0,0,0,0,0,Super Move,0,Damage,102,Ally line #3,16,40,4,Yellow,0,Physical,0,0,0,0,0,0
48,Death Strike,0,0,0,0,0,Super Move,68,Add Unconscious + Damage #2,1,One ally,16,5,5,Silver,0,Physical,16,17,1,70,0,0
49,Charge,0,0,0,0,0,Super Move,-1,None,5,User,0,0,0,Green,0,Physical,0,0,0,0,0,0
50,Poison Gas,0,0,0,0,0,Super Move,4,Add Poison + Damage,96,Ally area #1,16,20,0,Green,0,Physical,16,17,0,50,0,0
51,Stone Breath,0,0,0,0,0,Super Move,8,Add Stone + Damage,1,One ally,16,15,0,Green,0,Physical,16,17,2,60,0,0
52,欠番,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
53,Random Fire,0,0,0,0,0,Super Move,0,Damage,98,Ally area #3,16,25,1,Red,0,Physical,0,0,0,0,0,0
54,欠番,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
55,Counter Stance,0,0,0,0,0,Super Move,38,Counter attack + Guard,5,User,0,0,0,Green,0,Physical,0,0,0,0,0,0
56,Gather Strength,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
57,Counter Stance,0,0,0,0,0,Super Move,38,Counter attack + Guard,5,User,0,0,0,Green,0,Physical,0,0,0,0,0,0
58,Burst,0,0,0,0,0,Super Move,0,Damage,97,Ally area #2,16,40,1,Red,0,Physical,0,0,0,0,0,0
59,Terminal,0,0,0,0,0,Super Move,0,Damage,1,One ally,16,55,4,Yellow,0,Physical,0,0,0,0,0,0
60,Devolver,0,0,0,0,0,Super Move,38,Counter attack + Guard,5,User,0,0,0,Green,0,Physical,0,0,0,0,0,0
61,Poisonous Bile,0,0,0,0,0,Super Move,4,Add Poison + Damage,2,All allies,16,20,0,Green,0,Physical,16,17,0,50,0,0
62,Death Blossom,0,0,0,0,0,Super Move,0,Damage,201,Allies nearby #2,16,20,3,Blue,0,Physical,0,0,0,0,0,0
63,Cannon Fire,0,0,0,0,0,Super Move,0,Damage,1,One ally,16,50,1,Red,0,Physical,0,0,0,0,0,0
64,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,27,0,0,Green,0,Physical,0,0,0,0,0,0
65,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,31,0,0,Green,0,Physical,0,0,0,0,0,0
66,Wheel Blast,0,0,0,0,0,Super Move,0,Damage,97,Ally area #2,16,35,4,Yellow,0,Physical,0,0,0,0,0,0
67,Laser Blast,0,0,0,0,0,Super Move,8,Add Stone + Damage,1,One ally,16,5,6,Neutral,0,Physical,16,17,2,20,0,0
68,Crypt Laser,0,0,0,0,0,Super Move,68,Add Unconscious + Damage #2,1,One ally,16,5,5,Silver,0,Physical,16,17,1,60,0,0
69,Death Laser,0,0,0,0,0,Super Move,68,Add Unconscious + Damage #2,1,One ally,16,5,5,Silver,0,Physical,16,17,1,60,0,0
70,Assess Damage,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
71,欠番,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
72,Steelskin,0,0,0,0,0,Super Move,67,Invulnerable,5,User,0,0,0,Green,0,Physical,0,0,0,0,0,0
73,Focus,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
74,Eternal Freeze,0,0,0,0,0,Super Move,0,Damage,2,All allies,16,12,2,Purple,0,Physical,0,0,0,0,0,0
75,Lightning Strike,0,0,0,0,0,Super Move,0,Damage,1,One ally,16,20,4,Yellow,0,Physical,0,0,0,0,0,0
76,Terrible Bite,0,0,0,0,0,Super Move,72,Add Fatigue + Damage,1,One ally,16,15,0,Green,0,Physical,16,17,6,20,0,0
77,Deep Sleep,0,0,0,0,0,Super Move,63,Add Regenerate + Add Sleep,5,User,400,-256,0,Green,0,Physical,0,0,0,0,0,0
78,Avalauncher,0,0,0,0,0,Super Move,0,Damage,102,Ally line #3,16,35,2,Purple,0,Physical,0,0,0,0,0,0
79,Silver Eclipse,0,0,0,0,0,Super Move,0,Damage,2,All allies,16,25,5,Silver,0,Physical,0,0,0,0,0,0
80,Drain,0,0,0,0,0,Super Move,26,Add Weak,1,One ally,0,0,0,Green,0,Physical,16,17,8,0,0,0
81,Turn Recovery,0,0,0,0,0,Super Move,33,Add Regenerate,5,User,0,0,0,Green,0,Physical,0,0,0,0,0,0
82,Destruction,0,0,0,0,0,Super Move,17,Remove positive states,2,All allies,16,10,5,Silver,0,Physical,0,0,0,0,0,0
83,Tremble,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
84,Silver Tundra,0,0,0,0,0,Super Move,0,Damage,1,One ally,16,50,5,Silver,0,Physical,0,0,0,0,0,0
85,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,54,0,0,Green,0,Physical,0,0,0,0,0,0
86,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,85,0,0,Green,0,Physical,0,0,0,0,0,0
87,Explode,0,0,0,0,0,Super Move,0,Damage,2,All allies,16,20,1,Red,0,Physical,0,0,0,0,0,0
88,Stone Ooze,0,0,0,0,0,Super Move,7,Add Stone,1,One ally,0,0,0,Green,0,Physical,16,17,2,40,0,0
89,Tundra Blast,0,0,0,0,0,Super Move,0,Damage,2,All allies,16,20,2,Purple,0,Physical,0,0,0,0,0,0
90,Death Waltz,0,0,0,0,0,Super Move,0,Damage,2,All allies,16,40,6,Neutral,0,Physical,0,0,0,0,0,0
91,Engage,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
92,Thunder Storm,0,0,0,0,0,Super Move,0,Damage,2,All allies,16,20,4,Yellow,0,Physical,0,0,0,0,0,0
93,Eerie Wail,0,0,0,0,0,Super Move,0,Damage,107,Ally line #5,16,15,2,Purple,0,Physical,0,0,0,0,0,0
94,Assess Damage,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
95,Death Waltz,0,0,0,0,0,Super Move,0,Damage,2,All allies,16,40,6,Neutral,0,Physical,0,0,0,0,0,0
96,Vigoro's Charm,0,0,0,0,0,Super Move,70,Add Confusion + Damage,1,One ally,16,5,1,Red,0,Physical,16,17,4,0,0,0
97,Laser Blast,0,0,0,0,0,Super Move,8,Add Stone + Damage,1,One ally,16,20,5,Silver,0,Physical,16,17,2,50,0,0
98,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,12,0,0,Green,0,Physical,0,0,0,0,0,0
99,Digest,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
100,Terrible Bite,0,0,0,0,0,Super Move,72,Add Fatigue + Damage,1,One ally,16,15,2,Purple,0,Physical,16,17,6,20,0,0
101,Neglora,0,0,0,0,0,Super Move,17,Remove positive states,2,All allies,16,5,-1,None,-1,None,-1,-1,-1,-1,0,0
102,Ice Storm,0,0,0,0,0,Super Move,0,Damage,2,All allies,16,20,2,Purple,0,Physical,0,0,0,0,0,0
103,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,60,0,0,Green,0,Physical,0,0,0,0,0,0
104,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,84,0,0,Green,0,Physical,0,0,0,0,0,0
105,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,107,0,0,Green,0,Physical,0,0,0,0,0,0
106,Grenade,0,0,0,0,0,Super Move,0,Damage,96,Ally area #1,16,20,4,Yellow,0,Physical,0,0,0,0,0,0
107,Poison Gas,0,0,0,0,0,Super Move,4,Add Poison + Damage,96,Ally area #1,16,20,0,Green,0,Physical,16,17,0,50,0,0
108,Sacrum Crystal,0,0,0,0,0,Super Move,31,Recover HP,4,All enemies,1000,0,0,Green,0,Physical,0,0,0,0,0,0
109,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,97,0,0,Green,0,Physical,0,0,0,0,0,0
110,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,75,0,0,Green,0,Physical,0,0,0,0,0,0
111,Discharge,0,0,0,0,0,Super Move,0,Damage,2,All allies,16,20,4,Yellow,0,Physical,0,0,0,0,0,0
112,Tatatimorutto,0,0,0,0,0,Super Move,0,Damage,1,One ally,16,40,3,Blue,0,Physical,0,0,0,0,0,0
113,Round Claw,0,0,0,0,0,Super Move,0,Damage,1,One ally,16,40,5,Silver,0,Physical,0,0,0,0,0,0
114,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,93,0,0,Green,0,Physical,0,0,0,0,0,0
115,Sacri Crystal,0,0,0,0,0,Super Move,31,Recover HP,3,One enemy,500,0,0,Green,0,Physical,0,0,0,0,0,0
116,Sacres Crystal,0,0,0,0,0,Super Move,31,Recover HP,3,One enemy,1000,0,0,Green,0,Physical,0,0,0,0,0,0
117,Sacrulen Crystal,0,0,0,0,0,Super Move,31,Recover HP,4,All enemies,1000,0,0,Green,0,Physical,0,0,0,0,0,0
118,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,92,0,0,Green,0,Physical,0,0,0,0,0,0
119,Silver Nightmare,0,0,0,0,0,Super Move,74,Control ally,1,One ally,0,0,0,Green,0,Physical,0,0,0,0,0,0
120,Silver Binds,0,0,0,0,0,Super Move,0,Damage,1,One ally,16,50,5,Silver,0,Physical,0,0,0,0,0,0
121,Turn Recovery,0,0,0,0,0,Super Move,33,Add Regenerate,5,User,0,0,0,Green,0,Physical,0,0,0,0,0,0
122,Destruction,0,0,0,0,0,Super Move,17,Remove positive states,2,All allies,16,25,-1,None,-1,None,-1,-1,-1,-1,0,0
123,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,44,0,0,Green,0,Physical,0,0,0,0,0,0
124,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,21,0,0,Green,0,Physical,0,0,0,0,0,0
125,Call Allies,0,0,0,0,0,Super Move,43,Call enemy,0,None,22,0,0,Green,0,Physical,0,0,0,0,0,0
126,Silver Eclipse,0,0,0,0,0,Super Move,0,Damage,2,All allies,16,25,6,Neutral,0,Physical,0,0,0,0,0,0
127,使ってないよねえ,0,0,0,0,0,Super Move,8,Add Stone + Damage,1,One ally,16,15,0,Green,0,Physical,16,17,2,70,0,0
128,Fatigue Breath,0,0,0,0,0,Super Move,72,Add Fatigue + Damage,1,One ally,16,15,0,Green,0,Physical,16,17,6,20,0,0
129,Fatigue Breath,0,0,0,0,0,Super Move,72,Add Fatigue + Damage,1,One ally,16,15,1,Red,0,Physical,16,17,6,20,0,0
130,Lunar Blessing,0,0,0,0,0,Super Move,33,Add Regenerate,5,User,600,0,0,Green,0,Physical,0,0,0,0,0,0
131,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
132,欠番,0,0,0,0,0,Super Move,0,Damage,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
133,Emergency,0,0,0,0,0,Super Move,64,Call enemy + Defeat all enemies,0,None,99,0,0,Green,0,Physical,0,0,0,0,0,0
134,Call Allies,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
135,Blaster,0,0,0,0,0,Super Move,0,Damage,101,Ally line #2,16,25,5,Silver,0,Physical,0,0,0,0,0,0
136,Magic?,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
137,予備ブランク,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
138,予備ブランク,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
139,予備ブランク,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
140,予備ブランク,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
141,予備ブランク,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
142,Call Allies,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
143,Call Allies,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
144,Call Allies,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
145,Call Allies,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
146,Call Allies,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
147,Call Allies,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
148,Call Allies,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
149,Call Allies,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
150,Call Allies,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
151,Call Allies,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
152,Power Potion,0,0,0,0,0,Super Move,21,Add Strengthen,3,One enemy,0,0,0,Green,0,Physical,0,0,0,0,0,0
153,Speed Potion,0,0,0,0,0,Super Move,20,Add Quickened,4,All enemies,0,0,0,Green,0,Physical,0,0,0,0,0,0
154,Sacres Crystal,0,0,0,0,0,Super Move,31,Recover HP,3,One enemy,1000,0,0,Green,0,Physical,0,0,0,0,0,0
155,Death Tackle,0,0,0,0,0,Super Move,0,Damage,102,Ally line #3,16,40,4,Yellow,0,Physical,0,0,0,0,0,0
156,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
157,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
158,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
159,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
160,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
161,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
162,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
163,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
164,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
165,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
166,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
167,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
168,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
169,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
170,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
171,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
172,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
173,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
174,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
175,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
176,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
177,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
178,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
179,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
180,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
181,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
182,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
183,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
184,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
185,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
186,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
187,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
188,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
189,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
190,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
191,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
192,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
193,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
194,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
195,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
196,Search,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
197,Poison Gas,0,0,0,0,0,Super Move,4,Add Poison + Damage,96,Ally area #1,16,15,0,Green,0,Physical,16,17,0,50,0,0
198,Fatigue Gas,0,0,0,0,0,Super Move,72,Add Fatigue + Damage,96,Ally area #1,16,15,4,Yellow,0,Physical,16,17,6,20,0,0
199,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
200,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
201,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
202,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
203,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
204,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
205,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
206,Needle Storm,0,0,0,0,0,Super Move,0,Damage,1,One ally,16,40,3,Blue,0,Physical,0,0,0,0,0,0
207,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
208,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
209,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
210,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
211,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
212,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
213,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
214,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
215,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
216,Lava Storm,0,0,0,0,0,Super Move,0,Damage,2,All allies,16,10,1,Red,0,Physical,0,0,0,0,0,0
217,Blast Breath,0,0,0,0,0,Super Move,0,Damage,2,All allies,16,15,1,Red,0,Physical,0,0,0,0,0,0
