Entry ID,US entry name,Element ID,[Element name],Order by importance,Occasion flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Padding #1,Padding #2,Effect amount,Type ID,[Type name],Unknown #1,Hit%,Padding #3,Padding #4,Padding #5,Ship occasion ID,Ship occasion name,Padding #6,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unknown #2,Padding #7,Padding #8,Padding #9,[US description position],[US description size],US description string,[US ship description position],[US ship description size],US ship description string
10,Noxi,0,Green,50,2,"",X,"",4,Add Poison + Damage,3,One enemy,6,Magic,0,3,0,0,60,1,Magical,0,40,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2910748,96,Damages and Poisons any one enemy. Best if used\nat the beginning of long battles.          SP 3,0,0,""
11,Noxus,0,Green,51,2,"",X,"",4,Add Poison + Damage,4,All enemies,6,Magic,0,6,0,0,100,1,Magical,0,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2910844,96,Damages and Poisons all enemies. Best if used\nat the beginning of long battles.          SP 6,0,0,""
12,Slipara,3,Blue,110,2,"",X,"",9,Add Sleep,4,All enemies,6,Magic,0,6,0,0,0,0,Physical,3,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2910940,96,Has a chance to put all enemies on screen to\nSleep.                                     SP 6,0,0,""
13,Quika,3,Blue,70,3,"",X,X,20,Add Quickened,2,All allies,6,Magic,0,6,0,0,-1,-1,None,-1,0,0,0,0,1,Always,0,104,Add Quickened (Ship),6,1,0,-1,0,0,0,2911036,96,"Doubles the speed of all allies. Also, it makes\nit easier to run from battles.             SP 6",2951356,72,Doubles ship speed.\nEffect lasts for 2 rounds.                  6 SP
14,Curia,5,Silver,80,2,"",X,"",30,Remove negative states,1,One ally,6,Magic,0,2,0,0,-1,-1,None,-1,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2911132,96,Cures one ally of all adverse effects (except\nfor Unconscious).                          SP 2,0,0,""
15,Risan,5,Silver,90,2,"",X,"",27,Revive with 50% of HP,1,One ally,6,Magic,0,4,0,0,0,0,Physical,7,50,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2911228,100,"Has a 50% chance of reviving an Unconscious ally,\nalong with 50% of their HP.                SP 4",0,0,""
16,Riselem,5,Silver,91,2,"",X,"",28,Revive with 100% of HP,1,One ally,6,Magic,0,8,0,0,0,0,Physical,7,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2911328,96,Revives an Unconscious ally and restores their\nHP to full.                                SP 8,0,0,""
17,Eterni,5,Silver,100,2,"",X,"",5,Add Unconscious,3,One enemy,6,Magic,0,5,0,0,0,0,Physical,1,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2911424,96,Can instantly kill any one enemy. May not work\non some powerful monsters or bosses.       SP 5,0,0,""
18,Eternes,5,Silver,101,2,"",X,"",5,Add Unconscious,4,All enemies,6,Magic,0,10,0,0,0,0,Physical,1,80,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2911520,96,Can cause instant death to all enemies on the\nscreen.                                    SP 10,0,0,""
19,Eternum,5,Silver,102,2,"",X,"",6,Add Unconscious + Damage #1,3,One enemy,6,Magic,0,15,0,0,250,1,Magical,1,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2911616,100,"Causes instant death to one enemy. If target is\nimmune, then it will cause damage.         SP 15",0,0,""
20,Wevli,3,Blue,60,3,"",X,X,0,Damage,32,Enemy area #1,6,Magic,0,2,0,0,60,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,4,0,0,0,2911716,96,Damages one enemy with a whirlwind of air and\nwater. Also harms nearby enemies.          SP 2,2951428,96,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.        2 SP
21,Wevles,3,Blue,61,3,"",X,X,0,Damage,33,Enemy area #2,6,Magic,0,4,0,0,105,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,4,0,0,0,2911812,96,Creates a large tornado around one enemy and\ndamages all enemies nearby.                SP 4,2951524,96,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.        4 SP
22,Wevlen,3,Blue,63,3,"",X,X,0,Damage,34,Enemy area #3,6,Magic,0,8,0,0,195,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),8,-1,150,4,0,0,0,2911908,96,Creates a cluster of tornados around one enemy\nand damages nearly all enemies on screen.  SP 8,2951620,96,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.        8 SP
23,Pyri,1,Red,0,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,2,0,0,50,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,1,0,0,0,2912004,96,"Summons a burst of flames, damaging all enemies\non screen.                                 SP 2",2951716,92,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.        2 SP
24,Pyres,1,Red,1,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,4,0,0,85,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,1,0,0,0,2912100,92,Summons a great explosion and damages all\nenemies on screen.                         SP 4,2951808,92,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.        4 SP
25,Pyrum,1,Red,2,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,6,0,0,120,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,1,0,0,0,2912192,92,Summons fireballs from the sky and damages\nall enemies on the screen.                 SP 6,2951900,92,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.        6 SP
26,Crystali,2,Purple,10,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,1,0,0,70,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),1,-1,30,2,0,0,0,2912284,92,Encases a single enemy in ice. It is quite\npowerful and uses very little Spirit.      SP 1,2951992,96,Fires a cannonball charged with Purple Magic.\nSpecial equipment is needed to cast.        1 SP
27,Crystales,2,Purple,11,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,2,0,0,120,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,50,2,0,0,0,2912376,96,"Summons an icicle at the foot of a single enemy\nand impales it, causing great damage.      SP 2",2952088,96,Fires a cannonball charged with Purple Magic.\nSpecial equipment is needed to cast.        2 SP
28,Crystalum,2,Purple,12,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,3,0,0,170,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),3,-1,70,2,0,0,0,2912472,100,"Traps a single enemy in a column of ice, causing\nan extensive amount of damage.             SP 3",2952184,96,Fires a cannonball charged with Purple Magic.\nSpecial equipment is needed to cast.        3 SP
29,Crystalen,2,Purple,13,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,4,0,0,220,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,2,0,0,0,2912572,96,Huge pillars of ice rain from the sky to impale\none enemy for enormous damage.             SP 4,2952280,96,Fires a cannonball charged with Purple Magic.\nSpecial equipment is needed to cast.        4 SP
30,Pyrulen,1,Red,3,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,10,0,0,155,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),10,-1,150,1,0,0,0,2912668,96,Sets the air aflame and engulfs all enemies on\nscreen in a firestorm.                     SP 10,2952376,92,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.       10 SP
31,Wevlum,3,Blue,62,3,"",X,X,0,Damage,33,Enemy area #2,6,Magic,0,6,0,0,150,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,4,0,0,0,2912764,96,Summons a field of fierce winds and stinging\nrain to damage enemies in a large area.    SP 6,2952468,96,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.        6 SP
32,Electri,4,Yellow,30,3,"",X,X,0,Damage,36,Enemy line #1,6,Magic,0,2,0,0,60,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,3,0,0,0,2912860,96,"Shoots a bolt of electricity at a target, also\ndamaging any enemies in the way.           SP 2",2952564,96,Fires a cannonball charged with Yellow Magic.\nSpecial equipment is needed to cast.        2 SP
33,Electres,4,Yellow,31,3,"",X,X,0,Damage,37,Enemy line #2,6,Magic,0,4,0,0,105,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,3,0,0,0,2912956,100,Sends a lightning bolt through a line of enemies\ncausing major damage.                      SP 4,2952660,96,Fires a cannonball charged with Yellow Magic.\nSpecial equipment is needed to cast.        4 SP
34,Electrum,4,Yellow,32,3,"",X,X,0,Damage,37,Enemy line #2,6,Magic,0,6,0,0,150,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,3,0,0,0,2913056,96,A massive bolt of electricity is shot out and\nhits all enemies in a straight line.       SP 6,2952756,96,Fires a cannonball charged with Yellow Magic.\nSpecial equipment is needed to cast.        6 SP
35,Electrulen,4,Yellow,33,3,"",X,X,0,Damage,38,Enemy line #3,6,Magic,0,8,0,0,195,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),8,-1,150,3,0,0,0,2913152,96,The ultimate attack spell. It will cause major\ndamage on all enemies in a straight line.  SP 8,2952852,96,Fires a cannonball charged with Yellow Magic.\nSpecial equipment is needed to cast.        8 SP
36,Cutlass Fury,6,Neutral,200,2,"",X,"",0,Damage,3,One enemy,0,Vyse,1,7,0,0,25,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2913248,92,"Vyse unleashes his fury on a single enemy,\ncausing major damage.                      SP 7",0,0,""
37,Rain of Swords,6,Neutral,202,2,"",X,"",0,Damage,4,All enemies,0,Vyse,1,14,0,0,15,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2913340,100,Vyse summons the power of lightning to rain down\nupon all the enemies on the screen.        SP 14,0,0,""
38,Pirates' Wrath,6,Neutral,204,2,"",X,"",0,Damage,3,One enemy,0,Vyse,1,21,0,0,75,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2913440,96,Vyse unleashes the wrath of the Air Pirates on\na single enemy for devastating damage.     SP 21,0,0,""
39,Omega Psyclone,1,Red,214,2,"",X,"",0,Damage,4,All enemies,1,Aika,1,12,0,0,165,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2913536,92,Aika summons the powers of the Red Moon to\ndestroy all of the enemies on screen.      SP 12,0,0,""
40,Alpha Storm,1,Red,210,2,"",X,"",0,Damage,39,Enemy line #4,1,Aika,1,4,0,0,60,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2913628,96,"Aika spins her boomerang, summoning a vortex of\nflames to strike all enemies in a line.    SP 4",0,0,""
41,Lambda Burst,1,Red,212,2,"",X,"",0,Damage,4,All enemies,1,Aika,1,8,0,0,100,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2913724,92,"Aika causes the very ground around her to\nexplode, damaging all enemies on screen.   SP 8",0,0,""
42,Lunar Glyph,5,Silver,221,2,"",X,"",8,Add Stone + Damage,3,One enemy,2,Fina,1,3,0,0,25,0,Physical,2,25,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2913816,100,Fina uses the power of the Silver Moon to damage\nand possibly Stone a single enemy.         SP 3,0,0,""
43,Lunar Winds,5,Silver,223,2,"",X,"",17,Remove positive states,4,All enemies,2,Fina,1,6,0,0,75,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2913916,96,Cupil summons a storm to damage and remove any\nbeneficial effects from all enemies.       SP 6,0,0,""
44,Tackle,6,Neutral,230,2,"",X,"",0,Damage,3,One enemy,3,Drachma,1,10,0,0,30,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2914012,100,Drachma concentrates all of his energy into his\nmetal arm and charges one enemy.           SP 10,0,0,""
45,Hand of Fate,6,Neutral,232,2,"",X,"",6,Add Unconscious + Damage #1,3,One enemy,3,Drachma,1,25,0,0,90,0,Physical,1,50,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2914112,96,"Drachma crushes one enemy with his mighty arm,\ncausing instant death to most.             SP 25",0,0,""
46,Royal Blade,6,Neutral,240,2,"",X,"",0,Damage,37,Enemy line #2,4,Enrique,1,8,0,0,40,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2914208,96,Enrique slashes at a single enemy in a flurry\nof precise sword attacks.                  SP 8,0,0,""
47,The Judgement,6,Neutral,242,2,"",X,"",0,Damage,3,One enemy,4,Enrique,1,16,0,0,80,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2914304,96,Enrique summons one enemy to the Coliseum to\nbe judged for its crimes.                  SP 16,0,0,""
48,Gunslinger,6,Neutral,250,2,"",X,"",0,Damage,43,Enemy line #5,5,Gilder,1,9,0,0,30,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2914400,96,Gilder lets loose two handguns at the same time\ndamaging all enemies in a straight line.   SP 9,0,0,""
49,The Claudia,6,Neutral,252,2,"",X,"",0,Damage,4,All enemies,5,Gilder,1,18,0,0,25,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2914496,96,Gilder calls in the Claudia and fires all of\nher cannons. Attacks all enemies.          SP 18,0,0,""
50,Counterstrike,6,Neutral,301,2,"",X,"",38,Counter attack + Guard,5,User,0,Vyse,2,1,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2914592,96,"Vyse takes a defensive stance, countering all\nenemy physical attacks for a full turn.    SP 1",0,0,""
51,Skull Shield,6,Neutral,303,2,"",X,"",46,Block attack + Counter attack,2,All allies,0,Vyse,2,5,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2914688,100,Vyse summons the spirit of an ancient Air Pirate\nto defend and counterattack for his crew.  SP 5,0,0,""
52,Delta Shield,6,Neutral,311,2,"",X,"",39,Block magic,2,All allies,1,Aika,2,2,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2914788,96,Creates an anti-magic shell around all allies\nfor 1 turn. (Blocks allies' magic too.)    SP 2,0,0,""
53,Epsilon Mirror,6,Neutral,313,2,"",X,"",77,Invulnerable + Recover MP,5,User,1,Aika,2,10,0,0,10,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2914884,96,Creates a mirror-like aura that envelops Aika\nfor 1 turn and restores 10 MP.             SP 10,0,0,""
54,Lunar Blessing,6,Neutral,320,2,"",X,"",33,Add Regenerate,2,All allies,2,Fina,2,12,0,0,200,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2914980,100,Fina calls upon the Silver Moon and blesses each\nparty member with Regeneration.            SP 12,0,0,""
55,Lunar Cleansing,6,Neutral,322,2,"",X,"",30,Remove negative states,2,All allies,2,Fina,2,6,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2915080,92,Silver Moonlight cleanses all allies of any\nadverse effects except Unconscious.        SP 6,0,0,""
56,Lunar Light,6,Neutral,324,2,"",X,"",47,Recover HP and MP + Remove negative states,2,All allies,2,Fina,2,18,0,0,10000,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2915172,92,"Revives, cures all adverse effects, and\ncompletely restores all HP of all allies.  SP 18",0,0,""
57,Spirit Charge,6,Neutral,331,2,"",X,"",41,Guard + Increase Spirit restoration to 200%,5,User,3,Drachma,2,0,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2915264,92,"Drachma focuses inward, doubling his Spirit\npoints and defending against attacks.      SP 0",0,0,""
58,Justice Shield,6,Neutral,341,2,"",X,"",1,Guard,2,All allies,4,Enrique,2,4,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2915356,96,Creates a defensive barrier for one turn. All\nphysical damage received is cut in half.   SP 4,0,0,""
59,Aura of Denial,6,Neutral,351,2,"",X,"",42,Block negative states,2,All allies,5,Gilder,2,3,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2915452,96,Creates a barrier for one turn that blocks all\nadverse (and only adverse) effects.        SP 3,0,0,""
60,Blue Rogues,6,Neutral,-1,2,"",X,"",66,Blue Rogues,6,All allies and enemies,0,Vyse,-1,-1,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2915548,96,Summons all active members of the Delphinus\ncrew. Attack varies depending on crew.    SP ALL,0,0,""
61,Prophecy,6,Neutral,-1,2,"",X,"",65,Prophecy,4,All enemies,0,Vyse,1,-1,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2915644,96,Combines the power of all 4 party members to\ncall upon an ancient power.               SP ALL,0,0,""
