Entry ID,JP entry name,Element ID,[Element name],Order by prio.,Occ. flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Pad. #0,Pad. #1,Effect value,Type ID,[Type name],State ID,[State name],State miss%,Pad. #2,Pad. #3,Pad. #4,Ship occ. ID,[Ship occ. name],Pad. #5,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unk.,Pad. #6,Pad. #7,Pad. #8,[JP descr. pos.],[JP descr. size],JP descr. str.
13,クイッカ,3,Blue,70,3,"",X,X,20,Add Quickened,2,All characters,6,Magic,0,2,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,108,Improve parameters (Ship),5,8,100,-1,0,0,0,0x2ae978,56,すばやさアップЖ術です。\nＰＣ１人の素早さを上げます。
14,キュア,5,Silver,80,2,"",X,"",30,Remove negative states,1,One character,6,Magic,0,2,0,0,0,0,Physical,-1,None,0,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2ae9b0,60,治療Ж術です。\nＰＣ１人の毒、眠り、混乱を確実に解除します。
15,ライザ,5,Silver,90,2,"",X,"",27,Revive with 50% of HP,1,One character,6,Magic,0,5,0,0,0,0,Physical,-1,None,40,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2ae9ec,68,復活Ж術の第１段階です。\nＰＣ１人の戦闘不能を一定確率で解除します。
16,ライゾン,5,Silver,91,2,"",X,"",28,Revive with 100% of HP,1,One character,6,Magic,0,10,0,0,0,0,Physical,-1,None,0,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2aea30,64,復活Ж術の第２段階です。\nＰＣ１人の戦闘不能を確実に解除します。
17,ジェダ,5,Silver,100,2,"",X,"",5,Add Unconscious,3,One enemy,6,Magic,0,4,0,0,0,0,Physical,1,Unconscious,70,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2aea70,64,即死Ж術の第１段階です。\nＥＣ単体を一定確率で戦闘不能にします。
18,ジェデス,5,Silver,101,2,"",X,"",5,Add Unconscious,4,All enemies,6,Magic,0,10,0,0,0,0,Physical,1,Unconscious,70,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2aeab0,64,即死Ж術の第２段階です。\nＥＣ全体を一定確率で戦闘不能にします。
19,ジェドーサ,5,Silver,102,2,"",X,"",6,Add Unconscious + Damage #1,3,One enemy,6,Magic,0,25,0,0,250,1,Magical,1,Unconscious,0,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2aeaf0,60,即死Ж術の第３段階です。\nＥＣ単体を確実に戦闘不能にします。
20,ウェイバ,3,Blue,60,3,"",X,X,0,Damage,32,Enemy area #0,6,Magic,0,2,0,0,40,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,15,0,100,4,0,0,0,0x2aeb2c,68,波動攻撃Ж術の第１段階です。\n円範囲の敵に青属性ダメージを与えます。
21,ウェイビィ,3,Blue,61,3,"",X,X,0,Damage,33,Enemy area #1,6,Magic,0,4,0,0,95,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,20,0,200,4,0,0,0,0x2aeb70,68,波動攻撃Ж術の第２段階です。\n円範囲の敵に青属性ダメージを与えます。
22,ウェボーン,3,Blue,63,3,"",X,X,0,Damage,34,Enemy area #2,6,Magic,0,8,0,0,175,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,25,0,300,4,0,0,0,0x2aebb4,68,波動攻撃Ж術の第４段階です。\n円範囲の敵に青属性ダメージを与えます。
23,バーナ,1,Red,0,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,2,0,0,20,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,15,0,100,1,0,0,0,0x2aebf8,76,敵全体にダメージを与える炎のЖ術だ。\n数ばっかりのザコなんか、一網打尽だぞ!!
24,バーニィ,1,Red,1,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,4,0,0,85,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,20,0,200,1,0,0,0,0x2aec44,64,火炎攻撃Ж術の第２段階です。\n敵全体に赤属性ダメージを与えます。
25,バーネス,1,Red,2,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,6,0,0,120,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,25,0,350,1,0,0,0,0x2aec84,64,火炎攻撃Ж術の第３段階です。\n敵全体に赤属性ダメージを与えます。
26,グラシャ,2,Purple,10,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,2,0,0,40,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,15,0,120,2,0,0,0,0x2aecc4,64,敵１体に大ダメージを与える氷のЖ術だ。\n巨大なボスにも有効だぞ!!
27,グラシィ,2,Purple,11,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,4,0,0,110,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,20,0,210,2,0,0,0,0x2aed04,64,凍気攻撃Ж術の第２段階です。\n敵単体に紫属性ダメージを与えます。
28,グラシェス,2,Purple,12,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,6,0,0,155,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,25,0,300,2,0,0,0,0x2aed44,64,凍気攻撃Ж術の第３段階です。\n敵単体に紫属性ダメージを与えます。
29,グラゾーバ,2,Purple,13,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,5,0,0,80,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,30,0,400,2,0,0,0,0x2aed84,88,敵１体に巨大ダメージを与える氷のЖ術だ。\nこの呪文さえあれば、あのボスだって倒せるぜ!!
30,バーノーン,1,Red,3,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,5,0,0,60,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,30,0,500,1,0,0,0,0x2aeddc,84,敵全体に大ダメージを与える爆炎のЖ術だ。\nほとんどのザコを、一撃で全滅させられるぞ!!
31,ウェイベス,3,Blue,62,3,"",X,X,0,Damage,33,Enemy area #1,6,Magic,0,6,0,0,135,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,30,0,400,4,0,0,0,0x2aee30,68,波動攻撃Ж術の第３段階です。\n円範囲の敵に青属性ダメージを与えます。
32,ボルタ,4,Yellow,30,3,"",X,X,0,Damage,36,Enemy line #0,6,Magic,0,2,0,0,15,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,15,0,200,3,0,0,0,0x2aee74,76,電撃攻撃Ж術の第１段階です。\n直線上の敵すべてに黄属性ダメージを与えます。
33,ボルティ,4,Yellow,31,3,"",X,X,0,Damage,37,Enemy line #1,6,Magic,0,4,0,0,25,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,20,0,260,3,0,0,0,0x2aeec0,76,電撃攻撃Ж術の第２段階です。\n直線上の敵すべてに黄属性ダメージを与えます。
34,ボルテス,4,Yellow,32,3,"",X,X,0,Damage,37,Enemy line #1,6,Magic,0,6,0,0,140,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,25,0,320,3,0,0,0,0x2aef0c,76,電撃攻撃Ж術の第３段階です。\n直線上の敵すべてに黄属性ダメージを与えます。
35,ボルドーラ,4,Yellow,33,3,"",X,X,0,Damage,38,Enemy line #2,6,Magic,0,8,0,0,180,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,128,???,30,0,380,3,0,0,0,0x2aef58,76,電撃攻撃Ж術の第４段階です。\n直線上の敵すべてに黄属性ダメージを与えます。
