Entry ID,Entry JP Name,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Consume%,Sell%,JP Order 1,JP Order 2,Buy,Pad 1,Pad 2,Effect Base,Element ID,[Element Name],Type ID,[Type Name],State ID,[State Name],State Miss%,[JP Descr Pos],[JP Descr Size],JP Descr Str
272,竜巻の小箱,0b0010,"",X,"",0,Damage,34,EC Square S7,24,1,29,42,1600,0,0,525,3,Blue,1,Magical,0,Poison,0,0x339384,92,"東の老Ж術師がウェボーンの効果を封じ込めた小箱。
３〜４回も使うと大抵の場合、壊れてしまう。"
273,雷の小箱,0b0010,"",X,"",0,Damage,36,EC Ray S1,8,1,30,16,400,0,0,180,4,Yellow,1,Magical,0,Poison,0,0x3393e0,88,"北の老Ж術師がボルタの効果を封じ込めた小箱。
長く使っていると、たまに壊れることがある。"
274,稲妻の小箱,0b0010,"",X,"",0,Damage,37,EC Ray S3,16,1,31,5,1200,0,0,420,4,Yellow,1,Magical,0,Poison,0,0x339438,92,"北の老Ж術師がボルテスの効果を封じ込めた小箱。
５〜６回ほど使ったところで壊れることが多い。"
275,回復の小箱,0b0010,"",X,"",31,Recover HP,1,Single PC,8,1,32,12,800,0,0,500,-1,None,-1,None,0,Poison,0,0x339494,88,"西の老Ж術師がサプラの効果を封じ込めた小箱。
長く使っていると、たまに壊れることがある。"
276,回復の玉手箱,0b0010,"",X,"",31,Recover HP,2,All PCs,16,1,33,13,1200,0,0,1000,-1,None,-1,None,0,Poison,0,0x3394ec,96,"西の老Ж術師がサプレスの効果を封じ込めた玉手箱。
５〜６回ほど使ったところで壊れることが多い。"
277,生命の玉手箱,0b0010,"",X,"",28,Revive With HP of 100%,1,Single PC,32,1,34,38,2400,0,0,0,0,Green,0,Physical,7,Revival,0,0x33954c,88,"伝説の不死Ж術師がライゾンの効果を封じ込めた
玉手箱。１回の使用でも壊れることがある。"
278,沈黙の小箱,0b0010,"",X,"",12,Silence,3,Single EC,12,1,35,47,600,0,0,0,0,Green,0,Physical,5,Silence,30,0x3395a4,96,"南の老Ж術師がサイレシャの効果を封じ込めた小箱。
７〜８回ほど使ったところで壊れることが多い。"
279,混乱の小箱,0b0010,"",X,"",11,Confusion,3,Single EC,24,1,36,28,1200,0,0,0,0,Green,0,Physical,4,Confusion,30,0x339604,88,"南の老Ж術師がパニカの効果を封じ込めた小箱。
３〜４回も使うと大抵の場合、壊れてしまう。"
280,脱力の小箱,0b0010,"",X,"",26,Decr All Attr,3,Single EC,12,1,37,43,600,0,0,0,0,Green,0,Physical,8,Weak,50,0x33965c,92,"北の老Ж術師がダウナの効果を封じ込めた小箱。
７〜８回ほど使ったところで壊れることが多い。"
281,睡眠の小箱,0b0010,"",X,"",9,Sleep,4,All ECs,24,1,38,34,1200,0,0,0,0,Green,0,Physical,3,Sleep,50,0x3396b8,92,"東の老Ж術師がスリーパの効果を封じ込めた小箱。
３〜４回も使うと大抵の場合、壊れてしまう。"
282,即死の玉手箱,0b0010,"",X,"",6,Unconscious + Damage A,3,Single EC,32,1,39,39,3600,0,0,250,5,Silver,1,Magical,49,???,0,0x339714,88,"伝説の不死Ж術師がジェドーサの効果を封じ込めた
玉手箱。１回の使用でも壊れることがある。"
283,伝説のパピルス,0b0000,"","","",-1,None,0,None,0,100,47,55,1000,0,0,0,0,Green,0,Physical,0,Poison,0,0x33976c,96,"盗掘者シモンが、ピュラミスで狙っていた宝物。
コレクションしてもいいが、売ればそれなりに高い。"
284,伝説の石仮面,0b0000,"","","",-1,None,0,None,0,100,48,50,2000,0,0,0,0,Green,0,Physical,0,Poison,0,0x3397cc,92,"盗掘者シモンが、ドラドで狙っていた宝物。
コレクションしてもいいが、売ればそれなりに高い。"
285,ソライワシ,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,58,40,1,0,0,1,-1,None,-1,None,0,Poison,0,0x339828,88,"空に広く生息する魚の一種。味はイマイチ。
白身をすりつぶして、焼いて食べるのが一般的だ。"
286,アカイワシ,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,59,0,10,0,0,1,-1,None,-1,None,0,Poison,0,0x339880,92,"ソライワシの一種で、基本的に味は変わらないが
美しい姿形のためか、やや高値で取り引きされる。"
287,ソラマンボウ,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,60,41,2,0,0,1,-1,None,-1,None,0,Poison,0,0x3398dc,92,"オーシャンを中心に分布している。皮はザラザラ
しているが、肉は煮れば食べられないことはない。"
288,トゲマンボウ,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,61,59,20,0,0,1,-1,None,-1,None,0,Poison,0,0x339938,88,"ソラマンボウの群れの中にまれに混じっていることが
ある。味も売り値も、ともにそこそこ。"
289,ベリグリチャム,0b0100,X,"","",75,Evolve Cupil Now,0,None,100,0,15,67,50000,0,0,-1,-2,???,-1,None,0,Poison,0,0x339990,96,"世界に３つしかないといわれるキュピルの大々好物。
ベリーグッドなお味で、与えると必ず成長する。"
290,チョム,0b0100,X,"","",76,Reset Cupil,0,None,100,1,16,46,3000,0,0,-1,-2,???,-1,None,0,Poison,0,0x3399f0,96,"一見チャムにそっくりだが、実はまったくの別物。
キュピルに与えると、胃の中のすべてを吐き出す。"
291,黄金の花粉,0b0000,"","","",-1,None,0,None,100,100,41,9,5000,0,0,0,0,Green,0,Physical,0,Poison,0,0x339a50,96,"ナスル北方空域を中心に生息するカネヅルの花粉。
ナスラードの名産品として、高値で取り引きされる。"
292,アルコンディ,0b0100,X,"","",51,Recover HP & MP by 100% B,2,All PCs,100,100,46,4,400,0,0,10000,-1,None,-1,None,0,Poison,0,0x339ab0,100,"アルキュミスが値段を抑えて作った、すごい回復薬。
移動中のみ、仲間全員のＨＰとＫＰを完全回復する。"
293,伝説を受け継ぐ器,0b0000,"","","",-1,None,0,None,0,100,54,57,10000,0,0,0,0,Green,0,Physical,0,Poison,0,0x339b14,96,"盗掘王シモンが、アトランティアで狙っていた宝物。
コレクションしてもいいが、売ればかなり高い。"
294,シシカバブ,0b0110,X,X,"",48,Recover MP,1,Single PC,100,100,42,33,100,0,0,2,-1,None,-1,None,0,Poison,0,0x339b74,88,"ヒツジの肉をあぶって焼いた、ナスルの郷土料理。
仲間ひとりのＫＰを２ポイント回復する。"
295,究極のシシカバブ,0b0110,X,X,"",49,Recover MP of 100%,1,Single PC,100,100,43,19,200,0,0,100,-1,None,-1,None,0,Poison,0,0x339bcc,92,"厳選されたこだわりの素材を、魂を込めて焼いた
シシカバブ。仲間ひとりのＫＰを完全に回復する。"
296,トロピカマンゴー,0b0100,X,"","",59,Grow MAXHP,1,Single PC,100,100,40,61,1000,0,0,200,-1,None,-1,None,0,Poison,0,0x339c28,96,"モンテスマ王ですら、めったに口にできないという
至高の果実。最大ＨＰを一気に200ポイント上げる。"
297,ウララのお弁当,0b0100,X,"","",51,Recover HP & MP by 100% B,1,Single PC,100,100,44,8,200,0,0,10000,-1,None,-1,None,0,Poison,0,0x339c88,92,"ウララが愛情こめて作った重箱入りのお弁当。
ロクマイハネの塩焼きとコメという実がとても美味。"
298,ポリーのランチ,0b0100,X,"","",51,Recover HP & MP by 100% B,1,Single PC,100,100,45,69,200,0,0,10000,-1,None,-1,None,0,Poison,0,0x339ce4,96,"ポリーが真心こめて作ったバスケット入りのランチ。
チョウチンカサゴのフライとサラダがとても美味。"
299,ミザールの神像,0b0000,"","","",-1,None,0,None,0,100,55,70,25000,0,0,0,0,Green,0,Physical,0,Poison,0,0x339d44,88,"ピンタが探し求める幻の三神像のひとつ。
ミザールという名のサル神がモデルになっている。"
300,イワザールの神像,0b0000,"","","",-1,None,0,None,0,100,56,6,25000,0,0,0,0,Green,0,Physical,0,Poison,0,0x339d9c,88,"ピンタが探し求める幻の三神像のひとつ。
岩石を粗削りした姿は、神々しいものを感じさせる。"
301,キカザールの神像,0b0000,"","","",-1,None,0,None,0,100,57,17,25000,0,0,0,0,Green,0,Physical,0,Poison,0,0x339df4,88,"ピンタが探し求める幻の三神像のひとつ。
着飾っている金銀財宝の価値で国をも買えるという。"
302,ダミー,0b0000,"","","",-1,None,0,None,0,0,77,77,0,0,0,0,0,Green,0,Physical,0,Poison,0,0x0,0,""
303,ダミー,0b0000,"","","",-1,None,0,None,0,0,78,78,0,0,0,0,0,Green,0,Physical,0,Poison,0,0x0,0,""
304,ダミー,0b0000,"","","",-1,None,0,None,0,0,79,79,0,0,0,0,0,Green,0,Physical,0,Poison,0,0x0,0,""
305,古代魚,0b0000,"","","",-1,None,0,None,100,100,76,27,3000,0,0,0,0,Green,0,Physical,0,Poison,0,0x339e4c,96,"数千万年前に絶滅したと考えられていた大型の魚類。
サルガッソー周辺の光が届かない空域に生息する。"
306,カイトエイ,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,62,11,5,0,0,10,-1,None,-1,None,0,Poison,0,0x339eac,80,"バルア大陸周辺に生息。やや臭みがあるものの
調理法しだいでは上品な味が楽しめる。"
307,ステルスエイ,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,63,35,50,0,0,10,-1,None,-1,None,0,Poison,0,0x339efc,96,"エイの中でも特に大型種で、漁獲されることはまれ。
食用よりもむしろ革製品の原料として用いられる。"
308,ヤリイカ,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,64,71,30,0,0,1,-1,None,-1,None,0,Poison,0,0x339f5c,96,"風の強い空域を中心に群泳していることが多い。
食用になるが、身が小さいため食べごたえはうすい。"
309,ドリルイカ,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,65,60,300,0,0,10,-1,None,-1,None,0,Poison,0,0x339fbc,92,"通常のイカよりもやや大ぶりで、食べごたえも
そこそこある。そのまま生で食べることもできる。"
310,チョウチンカサゴ,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,66,45,40,0,0,10,-1,None,-1,None,0,Poison,0,0x33a018,96,"おもにサルガッソー周辺の暗い空域に生息する魚。
グロテスクな容姿とはうらはらに、けっこううまい。"
311,ニシキカサゴ,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,67,62,400,0,0,50,-1,None,-1,None,0,Poison,0,0x33a078,96,"光る触手状のトゲで小魚を集めて食べる不思議な魚。
その白身は美味で、さまざまな料理に用いられる。"
312,ツキノツカイ,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,68,48,150,0,0,10,-1,None,-1,None,0,Poison,0,0x33a0d8,92,"やや透き通った白い体を持ち、雲の上の高空域にのみ
生息する。無味無臭で淡白な味わいがある。"
313,ギンツキノツカイ,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,69,20,1500,0,0,500,-1,None,-1,None,0,Poison,0,0x33a134,96,"オーシャン高空域に生息するという珍しい種類の魚。
滋養に富んだ味わいで、栄養分も豊富に含まれる。"
314,ロクマイハネ,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,70,76,100,0,0,50,-1,None,-1,None,0,Poison,0,0x33a194,96,"羽根状に発達したひれを持つ。東方に広く分布し
生で食されたり、鍋の食材として用いられたりする。"
315,ハチマイハネ,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,71,64,1000,0,0,100,-1,None,-1,None,0,Poison,0,0x33a1f4,92,"ヤフトマーの高空域に棲む。ヤフトマーでは高級魚
として珍重されるが、食べられる部分は少ない。"
316,アゴウナギ,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,72,1,80,0,0,10,-1,None,-1,None,0,Poison,0,0x33a250,96,"大陸や厚い雲の下など、光が差さぬ空域をおもな
生息域としている。味は泥臭く、食用には向かない。"
317,オオアゴウナギ,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,73,10,800,0,0,1,-1,None,-1,None,0,Poison,0,0x33a2b0,92,"アゴウナギは一般的に寿命が長いが、その中でも
数十年を生きたもの。食すると精がつくという。"
318,レッドドラゴン,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,74,75,200,0,0,50,-1,None,-1,None,0,Poison,0,0x33a30c,92,"生息域も生態もよく知られていない珍しい生物。
珍味として知られ、乾燥させて食することが多い。"
319,ゴールドドラゴン,0b0100,X,"","",31,Recover HP,1,Single PC,100,100,75,22,2000,0,0,100,-1,None,-1,None,0,Poison,0,0x33a368,92,"非常にまれにしか見つからない幻の生物。金持ちの
間では観賞用として高値で取り引きされている。"
