Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Pos. ID,[Pos. name],Pad. #0,Feat. ID,[Feat. name],Pad. #1,Feat. value,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Pad. #2,Pad. #3,Pad. #4,Ship effect amount,Unk.,Pad. #5,Pad. #6,Pad. #7,Pad. #8,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
10,0x8034ff68,0x1edba,7,Izmael,0x1ebbd,7,Izmael,0x1edd6,7,Izmael,0x1e422,7,Izmael,5,Builder,0,96,Special attack,0,100,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x1c3cc,89,Mit Izmael in deiner aktiven Mannschaft steigt\\ndie Feuerkraft deiner Moon Stone-Kanone.,0x1bfd5,97,"Si tienes a Izmael en tu tripulación, aumenta el\\npoder destructivo de tu Cañón de Piedra lunar.",0x1c1d3,93,Avoir Izmael dans votre équipage augmentera\\nle pouvoir destructeur du Canon Pierre de Lune.,0x1ba98,98,Having Izmael in your active crew will increase\\nthe destructive power of your Moon Stone Cannon.
11,0x8034ff70,0x1edc1,7,Kirala,0x1ebc4,7,Kirala,0x1eddd,7,Kirala,0x1e429,7,Kirala,5,Builder,0,-1,None,0,0,101,Recover HP to 100% (Ship),7,0,0,0,0,0,1,0,0,0,0,0x1c425,80,Mit dem Crew Command kann sie die HP deines\\nSchiffs komplett wieder auffüllen.,0x1c036,77,Kirala restaurará toda la Salud de tu navío\\nal usar el Comando Tripulación.,0x1c230,78,"À l'aide de la Commande Équipage, elle\\nredonnera à votre navire tous ses PV.",0x1bafa,68,"Using the Crew Command, she will replenish your\\nship's HP to full."
12,0x8034ff78,0x1edc8,6,Polly,0x1ebcb,6,Polly,0x1ede4,6,Polly,0x1e430,6,Polly,6,Cook,0,-1,None,0,0,117,Recover MP (Ship),6,-1,0,0,0,10,130,0,0,0,0,0x1c475,73,Mit dem Crew Command kann sie die MP einer\\nSpielfigur wieder auffüllen.,0x1c083,86,Polly restaurará los puntos de Magia de un\\npersonaje al usar el Comando Tripulación.,0x1c27e,74,"À l'aide de la Commande Équipage, elle redonnera\\nà un personnage ses PM.",0x1bb3e,64,"Using the Crew Command, she will replenish one\\ncharacter's MP."
13,0x8034ff80,0x1edce,6,Urala,0x1ebd1,6,Urala,0x1edea,6,Urala,0x1e436,6,Urala,6,Cook,0,-1,None,0,0,103,Recover Spirit to 100% (Ship),15,-1,0,0,0,0,9,0,0,0,0,0x1c4be,63,Mit dem Crew Command kann sie deine\\nSpirit Points maximieren.,0x1c0d9,73,Urala maximizará tus puntos de Espíritu\\nal usar el Comando Tripulación.,0x1c2c8,85,"En utilisant la commande Équipage, elle vous\\nredonnera un maximum de point d'esprit",0x1bb7e,62,"Using the Crew Command, she will max out\\nyour Spirit Points."
14,0x8034ff88,0x1edd4,8,Ryu-kan,0x1ebd7,8,Ryu-kan,0x1edf0,8,Ryu-kan,0x1e43c,8,Ryu-kan,7,Artisan,0,-1,None,0,0,105,Add Strengthen (Ship),15,4,0,0,0,0,0,0,0,0,0,0x1c4fd,87,Mit dem Crew Command kann er vorübergehend\\nAttack und Defense deines Schiffs erhöhen.,0x1c122,89,Ryu-kan mejorará el poder de Ataque y Defensa\\ndel navío al usar el Comando Tripulación.,0x1c31d,96,"En utilisant la commande Équipage, il augmentera\\nbrièvement l'attaque et la défense du navire.",0x1bbbc,89,"Using the Crew Command, he will raise your \\nship's Attack and Defense for a short time."
15,0x802d5bb0,0x1eddc,9,Ilchymis,0x1ebdf,9,Ilchymis,0x1edf8,9,Ilchymis,0x1e444,9,Ilchymis,7,Artisan,0,-1,None,0,0,108,Improve parameters (Ship),8,8,0,0,0,50,0,0,0,0,0,0x1c554,82,Mit dem Crew Command kann er vorübergehend die\\nAttribute deines Schiffs erhöhen.,0x1c17b,92,Ilchymis aumentará los atributos de tu navío\\ntemporalmente al usar el Comando Tripulación.,0x1c37d,91,"À l'aide de la Commande Équipage, il augmentera\\nbrièvement les attributs de votre navire.",0x1bc15,90,"Using the Crew Command, he will raise your\\nship's attributes for a short period of time."
16,0x8034ff90,0x1ede5,6,Marco,0x1ebe8,6,Marco,0x1ee01,6,Marco,0x1e44d,6,Marco,8,Sailor,0,-1,None,0,0,114,Increase Spirit restoration to 200% (Ship),8,-1,0,0,0,0,0,0,0,0,0,0x1c5a6,87,Mit dem Crew Command kann er alle deine Spirit\\nPoints für einen Durchgang verdoppeln.,0x1c1d7,91,"Marco duplicará todos tus puntos de Espíritu, 1\\nturno cuando uses el Comando Tripulación.",0x1c3d8,88,"À l'aide de la Commande Équipage, il doublera\\ntous vos point d'esprit pendant un tour.",0x1bc6f,80,"Using the Crew Command, he will double all of\\nyour Spirit Points for one turn."
17,0x802d5bbc,0x1edeb,9,Robinson,0x1ebee,9,Robinson,0x1ee07,9,Robinson,0x1e453,9,Robinson,8,Sailor,0,-1,None,0,0,113,Decrease Spirit consumption to 50% (Ship),8,0,0,0,0,0,0,0,0,0,0,0x1c5fd,91,Mit dem Crew Command kann er die Kosten für\\nSpirit Points für einen Durchgang reduzieren.,0x1c232,90,Robinson reducirá tu gasto de puntos de\\nEspíritu 1 turno al usar el Comando Tripulación.,0x1c430,87,"Grâce à la commande Équipage, il réduira les\\nPoints d'esprit utilisés pendant 1 tour.",0x1bcbf,87,"Using the Crew Command, he will reduce the\\nSpirit Points cost for actions for a turn."
18,0x8034ff98,0x1edf4,4,Pow,0x1ebf7,4,Pow,0x1ee10,4,Pow,0x1e45c,4,Pow,9,Jester,0,-1,None,0,0,111,Improve First strike% (Ship),4,0,0,0,0,0,0,0,0,0,0,0x1c658,93,Mit dem Crew Command kann er deine Chancen auf\\nden Erstangriff für einen Durchgang erhöhen.,0x1c28c,93,Pow te hará ser el primero en atacar durante 1\\nturno entero al usar el Comando Tripulación.,0x1c487,92,"Grâce à la commande Équipage, il augmentera\\nvos chances d'attaquer en 1er pendant un tour.",0x1bd16,88,"Using the Crew Command, he will raise your\\nchances of attacking first for a full turn."
19,0x8034ff9c,0x1edf8,7,Merida,0x1ebfb,7,Merida,0x1ee14,7,Merida,0x1e460,7,Merida,9,Jester,0,7,Value,0,10000,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x1c6b5,69,Merida in deiner aktiven Mannschaft\\nerhöht den Wert deines Schiffs.,0x1c2e9,63,"Con Merida en tu tripulación,\\naumentará el valor de tu barco.",0x1c4e3,83,Avoir Merida comme membre de votre équipage\\naugmentera la valeur de votre navire.,0x1bd6e,68,Having Merida in your active crew will increase\\nyour ship's value.
20,0x8034ffa4,0x1edff,6,Moegi,0x1ec02,6,Moegi,0x1ee1b,6,Moegi,0x1e467,6,Moegi,10,Delegate,0,-1,None,0,0,110,Block magic (Ship),10,0,0,0,0,0,0,0,0,0,0,0x1c6fa,83,Mit dem Crew Command schützt sie dein Schiff für\\neinen Durchgang vor Feindzauber.,0x1c328,88,"Moegi protegerá tu navío de magia enemiga\\npor 1 turno, al usar el Comando Tripulación.",0x1c536,99,"À l'aide de la Commande Équipage, elle protègera\\nvotre navire de la magie ennemie pendant 1 tour.",0x1bdb2,86,"Using the Crew Command, she will protect your\\nship from enemy magic for a full turn."
21,0x8034ffac,0x1ee05,6,Pinta,0x1ec08,6,Pinta,0x1ee21,6,Pinta,0x1e46d,6,Pinta,10,Delegate,0,-1,None,0,0,109,Block artillery (Ship),10,0,0,0,0,0,0,0,0,0,0,0x1c74d,94,Mit dem Crew Command schützt er dein Schiff für\\n1 Durchgang vor feindlichem Kanonenbeschuss.,0x1c380,90,Pinta protegerá tu navío de cañones enemigos\\npor 1 turno al usar el Comando Tripulación.,0x1c599,97,"À l'aide de la Commande Équipage, il protègera\\nvotre navire des canons ennemis pendant un tour.",0x1be08,91,"Using the Crew Command, he will protect your\\nship from enemy cannon fire for a full turn."
