Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Category ID,[Category name],Effect ID,[Effect name],Scope ID,[Scope name],Pad. #0,Effect value #0,Effect value #1,Element ID,[Element name],Type ID,[Type name],Unk. #0,Unk. #1,State ID,[State name],State hit%,Pad. #1,Pad. #2
12,2150940696,5163,8,Slipara,5150,8,Slipara,5152,8,Slipara,5147,8,Slipara,1,Magic,9,Add Sleep,2,All characters,0,0,0,0,Green,0,Physical,1,1,3,Sleep,60,0,0
13,2150940704,5171,6,Quika,5158,6,Quika,5160,6,Quika,5155,6,Quika,1,Magic,20,Add Quickened,4,All enemies,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
14,2150940712,5177,6,Curia,5164,6,Curia,5166,6,Curia,5161,6,Curia,1,Magic,30,Remove negative states,3,One enemy,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
15,2150940720,5183,6,Risan,5170,6,Risan,5172,6,Risan,5167,6,Risan,1,Magic,27,Revive with 50% of HP,3,One enemy,0,0,0,0,Green,0,Physical,55,55,7,Revival,50,0,0
16,2150940728,5189,8,Riselem,5176,8,Riselem,5178,8,Riselem,5173,8,Riselem,1,Magic,28,Revive with 100% of HP,3,One enemy,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
17,2150940736,5197,7,Eterni,5184,7,Eterni,5186,7,Eterni,5181,7,Eterni,1,Magic,5,Add Unconscious,1,One character,0,0,0,0,Green,0,Physical,1,1,1,Unconscious,60,0,0
18,2150940744,5204,8,Eternes,5191,8,Eternes,5193,8,Eternes,5188,8,Eternes,1,Magic,5,Add Unconscious,2,All characters,0,0,0,0,Green,0,Physical,1,1,1,Unconscious,80,0,0
19,2150940752,5212,8,Eternum,5199,8,Eternum,5201,8,Eternum,5196,8,Eternum,1,Magic,6,Add Unconscious + Damage #1,1,One character,0,1,250,5,Silver,1,Magical,1,1,1,Unconscious,0,0,0
20,2150940760,5220,6,Wevli,5207,6,Wevli,5209,6,Wevli,5204,6,Wevli,1,Magic,0,Damage,96,Character area #1,0,1,60,3,Blue,1,Magical,0,0,0,Poison,0,0,0
21,2150940768,5226,7,Wevles,5213,7,Wevles,5215,7,Wevles,5210,7,Wevles,1,Magic,0,Damage,97,Character area #2,0,1,105,3,Blue,1,Magical,0,0,0,Poison,0,0,0
22,2150940776,5233,7,Wevlen,5220,7,Wevlen,5222,7,Wevlen,5217,7,Wevlen,1,Magic,0,Damage,98,Character area #3,0,1,195,3,Blue,1,Magical,0,0,0,Poison,0,0,0
23,2150940784,5240,5,Pyri,5227,5,Pyri,5229,5,Pyri,5224,5,Pyri,1,Magic,0,Damage,2,All characters,0,1,50,1,Red,1,Magical,0,0,0,Poison,0,0,0
24,2150940792,5245,6,Pyres,5232,6,Pyres,5234,6,Pyres,5229,6,Pyres,1,Magic,0,Damage,2,All characters,0,1,85,1,Red,1,Magical,0,0,0,Poison,0,0,0
25,2150940800,5251,6,Pyrum,5238,6,Pyrum,5240,6,Pyrum,5235,6,Pyrum,1,Magic,0,Damage,2,All characters,0,1,120,1,Red,1,Magical,0,0,0,Poison,0,0,0
26,2150305176,5257,9,Crystali,5244,9,Crystali,5246,9,Crystali,5241,9,Crystali,1,Magic,0,Damage,1,One character,0,1,70,2,Purple,1,Magical,0,0,0,Poison,0,0,0
27,2150305188,5266,10,Crystales,5253,10,Crystales,5255,10,Crystales,5250,10,Crystales,1,Magic,0,Damage,1,One character,0,1,120,2,Purple,1,Magical,0,0,0,Poison,0,0,0
28,2150305200,5276,10,Crystalum,5263,10,Crystalum,5265,10,Crystalum,5260,10,Crystalum,1,Magic,0,Damage,1,One character,0,1,170,2,Purple,1,Magical,0,0,0,Poison,0,0,0
29,2150305212,5286,10,Crystalen,5273,10,Crystalen,5275,10,Crystalen,5270,10,Crystalen,1,Magic,0,Damage,1,One character,0,1,220,2,Purple,1,Magical,0,0,0,Poison,0,0,0
30,2150940808,5296,8,Pyrulen,5283,8,Pyrulen,5285,8,Pyrulen,5280,8,Pyrulen,1,Magic,0,Damage,2,All characters,0,1,155,1,Red,1,Magical,0,0,0,Poison,0,0,0
31,2150940816,5304,7,Wevlum,5291,7,Wevlum,5293,7,Wevlum,5288,7,Wevlum,1,Magic,0,Damage,97,Character area #2,0,1,150,3,Blue,1,Magical,0,0,0,Poison,0,0,0
32,2150940824,5311,8,Electri,5298,8,Electri,5300,8,Electri,5295,8,Electri,1,Magic,0,Damage,100,Character line #1,0,1,60,4,Yellow,1,Magical,0,0,0,Poison,0,0,0
33,2150305224,5319,9,Electres,5306,9,Electres,5308,9,Electres,5303,9,Electres,1,Magic,0,Damage,101,Character line #2,0,1,105,4,Yellow,1,Magical,0,0,0,Poison,0,0,0
34,2150305236,5328,9,Electrum,5315,9,Electrum,5317,9,Electrum,5312,9,Electrum,1,Magic,0,Damage,101,Character line #2,0,1,150,4,Yellow,1,Magical,0,0,0,Poison,0,0,0
35,2150305248,5337,11,Electrulen,5324,11,Electrulen,5326,11,Electrulen,5321,11,Electrulen,1,Magic,0,Damage,102,Character line #3,0,1,195,4,Yellow,1,Magical,0,0,0,Poison,0,0,0
