Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Element ID,Pad. #0,[Element name],Order by prio.,Occ. flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Pad. #1,Pad. #2,Effect value,Type ID,[Type name],State ID,[State name],State miss%,Pad. #3,Pad. #4,Pad. #5,Ship occ. ID,[Ship occ. name],Pad. #6,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unk.,Pad. #7,Pad. #8,Pad. #9,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
46,2150392944,118213,13,Kaiserklinge,117291,12,Espada Real,117917,12,Épée Royale,115841,12,Royal Blade,6,0,Neutral,240,2,"",X,"",0,Damage,37,Enemy line #1,4,Enrique,1,8,0,0,40,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,73999,96,Enrique attackiert einen Feind mit einer Serie\npräziser Schwerthiebe.                     SP 8,73240,92,Enrique rebana a un enemigo en una ráfaga\nde precisos movimientos de espada.          8 PE,73314,97,Enrique taillade un seul ennemi sous une pluie\nd'attaques précises à l'épée.               ES 8,72293,95,Enrique slashes at a single enemy in a flurry\nof precise sword attacks.                  SP 8
47,2150392956,118226,11,Das Urteil,117303,10,El Juicio,117929,12,Le Jugement,115853,14,The Judgement,6,0,Neutral,242,2,"",X,"",0,Damage,3,One enemy,4,Enrique,1,16,0,0,80,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,74095,88,Enrique lässt einen Feind im Coliseum\nfür seine Verbrechen verurteilen.          SP 16,73332,90,Enrique convoca a un enemigo al Coliseo\npara que sea juzgado por sus crimenes.     16 PE,73411,94,Enrique convoque un ennemi au Coliseum pour\nqu'il soit jugé de ses crimes.             ES 16,72388,95,Enrique summons one enemy to the Coliseum to\nbe judged for its crimes.                  SP 16
48,2150392972,118237,15,Waffenschlinge,117313,10,Pistolero,117941,15,Feux du Bandit,115867,11,Gunslinger,6,0,Neutral,250,2,"",X,"",0,Damage,43,Enemy line #4,5,Gilder,1,9,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,74183,94,Gilder feuert gleichzeitig aus zwei Pistolen\nund schädigt alle Feinde auf einer Linie.  SP 9,73422,91,"Gilder descarga dos revólveres a la vez,\nhiriendo a todos los enemigos en línea.     9 PE",73505,92,"Gilder décharge deux pistolets à la fois,\nblessant tous les ennemis alignés.          ES 9",72483,97,Gilder lets loose two handguns at the same time\ndamaging all enemies in a straight line.   SP 9
49,2150392984,118252,12,Die Claudia,117323,11,La Claudia,117956,11,Le Claudia,115878,12,The Claudia,6,0,Neutral,252,2,"",X,"",0,Damage,4,All enemies,5,Gilder,1,18,0,0,25,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,74277,96,Gilder feuert alle Kanonen der Claudia ab und\ngreift damit alle Feinde an.               SP 18,73513,99,Gilder llama al navío la Claudia y dispara todos\nsus cañones. Ataca a todos los enemigos.   18 PE,73597,97,Gilders appelle le Claudia et fait feu de tous\nses canons. Attaque tous les ennemis.      ES 18,72580,95,Gilder calls in the Claudia and fires all of\nher cannons. Attacks all enemies.          SP 18
50,2150392996,118264,13,Gegenangriff,117334,13,Contraataque,117967,15,Contre-Attaque,115890,14,Counterstrike,6,0,Neutral,301,2,"",X,"",38,Counter attack + Guard,5,User,0,Vyse,2,1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,74373,95,Vyse geht in Abwehrstellung und erwidert eine\nRunde lang alle Feindattacken.             SP 1,73612,93,Vyse se defiende y responde ante todos los\nataques del enemigo durante todo un turno.  1 PE,73694,95,"Vyse se met en position de défense, contrant\nles attaques ennemies pendant un tour.      ES 1",72675,95,"Vyse takes a defensive stance, countering all\nenemy physical attacks for a full turn.    SP 1"
51,2150393012,118277,14,Schädelschild,117347,16,Escudo Calavera,117982,15,Bouclier Crâne,115904,13,Skull Shield,6,0,Neutral,303,2,"",X,"",46,Block attack + Counter attack,2,All characters,0,Vyse,2,5,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,74468,97,"Vyse ruft den Geist eines alten Luftpiraten an,\nseine Mannschaft zu verteidigen.           SP 5",73705,97,Vyse convoca al espíritu de un antepasado para\ncontraatacar y defender a su tripulación.   5 PE,73789,96,Vyse invoque l'esprit d'un ancien Pirate pour\ndéfendre ses compagnons et contre-attaquer. ES 5,72770,97,Vyse summons the spirit of an ancient Air Pirate\nto defend and counterattack for his crew. SP 5
52,2150393028,118291,12,Deltaschild,117363,13,Escudo Delta,117997,15,Bouclier Delta,115917,13,Delta Shield,6,0,Neutral,311,2,"",X,"",39,Block magic,2,All characters,1,Aika,2,2,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,74565,87,Magieschutz für alle Verbündeten eine\nRunde lang. (Blockiert auch eigene Magie.) SP 2,73802,98,Escudo anti-magia que protege a los aliados por\nun turno pero bloquea su poder de magia.    2 PE,73885,96,Crée une bulle d'anti-magie autour des alliés\npour un tour. (Bloque la magie des alliés)  ES 2,72867,95,Creates an anti-magic shell around all allies\nfor 1 turn. (Blocks allies' magic too.)    SP 2
53,2150393044,118303,15,Epsilonspiegel,117376,15,Espejo Épsilon,118012,15,Miroir Epsilon,115930,15,Epsilon Mirror,6,0,Neutral,313,2,"",X,"",77,Invulnerable + Recover MP,5,User,1,Aika,2,10,0,0,10,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,74652,96,"Schafft eine spiegelartige Aura, die Aika für\n1 Runde umhüllt und 10 MP wiederherstellt. SP 10",73900,99,Crea un aura como un espejo que rodea a Aika por\nun turno y restaura 10 puntos de Magia.    10 PE,73981,89,Crée une aura miroitante qui enveloppe\nAika pendant un tour et redonne 10 PM.     ES 10,72962,96,Creates a mirror-like aura that envelops Aika\nfor 1 turn and restores 10 MP.             SP 10
54,2150393060,118318,12,Mondsegnung,117391,16,Bendición Lunar,118027,17,Bienfait Lunaire,115945,15,Lunar Blessing,6,0,Neutral,320,2,"",X,"",33,Add Regenerate,2,All characters,2,Fina,2,12,0,0,200,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,74748,91,"Fina erbittet den Segen des Silver Moon,\nder alle Gruppenmitglieder regeneriert.    SP 12",73999,99,Fina convoca a la Luna de Plata y bendice a cada\nmiembro del grupo con la Regeneración.     12 PE,74070,94,Fina appelle la Lune Argent et bénit chaque\nmembre du groupe avec Régénération.        ES 12,73058,99,Fina calls upon the Silver Moon and blesses each\nparty member with Regeneration.            SP 12
55,2150393076,118330,14,Mondreinigung,117407,17,Liberación Lunar,118044,16,Lune Purifiante,115960,16,Lunar Cleansing,6,0,Neutral,322,2,"",X,"",30,Remove negative states,2,All characters,2,Fina,2,6,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,74839,95,Silver Moonlight befreit alle Verbündeten von\nallem Negativen außer Bewusstlosigkeit.    SP 6,74098,99,La Luz de Luna libera a los aliados de todos los\nefectos adversos menos de la Inconsciencia. 6 PE,74164,91,La Lune d'argent purifie tous les alliés\ndes effets néfastes sauf l'Inconscience.    ES 6,73157,94,Silver Moonlight cleanses all allies of any\nadverse effects except Unconscious.         SP 6
56,2150393092,118344,10,Mondlicht,117424,10,Luz Lunar,118060,16,Lumière Lunaire,115976,12,Lunar Light,6,0,Neutral,324,2,"",X,"",47,Recover HP and MP + Remove negative states,2,All characters,2,Fina,2,18,0,0,10000,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,74934,97,Hebt alle negativen Effekte auf und stellt die\nvollen HP aller Verbündeten wieder her.    SP 18,74197,92,"Revive, cura todos los efectos adversos y\nrepone toda la Salud de todos los aliados. 18 PE",74255,98,"Réanime, guérit de tous les effets néfastes, et\nredonne tous les PV aux alliés.            ES 18",73251,90,"Revives, cures all adverse effects, and\ncompletely restores all HP of all allies.  SP 18"
57,2150393104,118354,16,Spirit aufladen,117434,15,Doble Espíritu,118076,14,Concentration,115988,14,Spirit Charge,6,0,Neutral,331,2,"",X,"",41,Guard + Increase Spirit restoration to 200%,5,User,3,Drachma,2,0,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,75031,96,"Drachma geht in sich, verdoppelt seinen Spirit\nund wehrt Angriffe ab.                     SP 0",74289,98,Drachma se concentra hasta doblar sus puntos de\nEspíritu para defenderse de los ataques.    0 PE,74353,92,"Drachma se concentre, doublant ses points\nd'Esprit et se défend contre les attaques.  ES 0",73341,93,"Drachma focuses inward, doubling his Spirit\npoints and defending against attacks.      SP 0"
58,2150393120,118370,13,Rechtsschild,117449,17,Escudo Defensivo,118090,17,Bouclier Justice,116002,15,Justice Shield,6,0,Neutral,341,2,"",X,"",1,Guard,2,All characters,4,Enrique,2,4,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,75127,96,Erzeugt Schutzschild für eine Runde. Reduziert\nphysische Schäden auf die Hälfte.          SP 4,74387,95,Crea una barrera defensiva durante un turno.\nTodo daño recibido se reduce a la mitad.    4 PE,74445,99,Crée une barrière défensive pendant 1 tour. Tous\nles dégâts physiques diminuent de moitié.   ES 4,73434,95,Creates a defensive barrier for one turn. All\nphysical damage received is cut in half.   SP 4
59,2150393136,118383,11,Schutzaura,117466,17,Aura de Renuncia,118107,17,Aura Protectrice,116017,15,Aura of Denial,6,0,Neutral,351,2,"",X,"",42,Block negative states,2,All characters,5,Gilder,2,3,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,75223,83,Schützt eine Runde lang vor allen\nnegativen Effekten.                        SP 3,74482,96,Crea una barrera durante un turno que bloquea\ntodos los efectos negativos.                3 PE,74544,97,Crée une barrière pendant un tour pour bloquer\nuniquement tous les effets néfastes.        ES 3,73529,96,Creates a barrier for one turn that blocks all\nadverse (and only adverse) effects.        SP 3
60,2150393152,118394,12,Blue Rogues,117483,16,Bandidos Azules,118124,14,Voleurs Bleus,116032,12,Blue Rogues,6,0,Neutral,-1,2,"",X,"",66,Blue Rogues,6,All characters and enemies,0,Vyse,-1,-1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,75306,88,Vereinigt alle aktiven Mitglieder der\nDelphinus-Crew. Ändert sich mit der Crew.SP ALLE,74578,95,Convoca a los miembros de la tripulación del\nDelphinus. El ataque depende de ellos.  TODOS PE,74641,94,Appelle les membres actifs de l'équipage du\nDelphinus. Attaque varie selon équipage. ES TOUS,73625,94,Summons all active members of the Delphinus\ncrew. Attack varies depending on crew.    SP ALL
61,2150393164,118406,13,Prophezeiung,117499,9,Profecía,118138,9,Prophecy,116044,9,Prophecy,6,0,Neutral,-1,2,"",X,"",65,Prophecy,4,All enemies,0,Vyse,1,-1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,75394,98,Alle vier Gruppenmitglieder rufen mit vereinten\nKräften eine altertümliche Macht an.     SP ALLE,74673,95,Combina el poder de los 4 miembros del grupo\npara convocar un poder ancestral.       TODOS PE,74735,95,Concentre le pouvoir des 4 membres du groupe\npour invoquer un pouvoir ancien.         ES TOUS,73719,95,Combines the power of all 4 party members to\ncall upon an ancient power.               SP ALL
