Entry ID,[Filter],[Enemy Ship ID],[Enemy Ship Name],Unk.,Task Rating,Task A Type ID,[Task A Type Name],Task A Arm. ID,[Task A Arm. Name],Task A Param. ID,[Task A Param. Name],Task A Arm. Range,Task B Type ID,[Task B Type Name],Task B Arm. ID,[Task B Arm. Name],Task B Param. ID,[Task B Param. Name],Task B Arm. Range
1,r501a.tec,2,Valuan Cruiser,-1,0,0,Attack,1,Subcannon,-1,None,0,0,Attack,1,Subcannon,-1,None,0
2,r501a.tec,2,Valuan Cruiser,-1,0,0,Attack,0,Standard Cannon,-1,None,0,0,Attack,0,Standard Cannon,-1,None,0
3,r501a.tec,2,Valuan Cruiser,0,0,0,Attack,0,Standard Cannon,0,None,0,0,Attack,0,Standard Cannon,0,None,0
4,r501a.tec,2,Valuan Cruiser,3,50,0,Attack,0,Standard Cannon,-1,None,0,0,Attack,1,Subcannon,-1,None,0
5,r501a.tec,2,Valuan Cruiser,-1,0,0,Attack,1,Subcannon,-1,None,0,0,Attack,1,Subcannon,-1,None,0
6,r501a.tec,2,Valuan Cruiser,-1,0,0,Attack,0,Standard Cannon,-1,None,0,0,Attack,0,Standard Cannon,-1,None,0
7,r501a.tec,2,Valuan Cruiser,0,0,0,Attack,0,Standard Cannon,0,None,0,0,Attack,0,Standard Cannon,0,None,0
0,r503a.tec,21,Black Pirates,3,20,2,Focus,-1,None,0,Focus,0,0,Attack,0,Black Cannon,-1,None,0
1,r503a.tec,21,Black Pirates,3,20,0,Attack,1,Black Torpedo,-1,None,2,0,Attack,1,Black Torpedo,-1,None,2
2,r503a.tec,21,Black Pirates,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
3,r503a.tec,21,Black Pirates,0,50,3,Guard,-1,None,0,Evasive Action,0,0,Attack,0,Black Cannon,-1,None,0
4,r503a.tec,21,Black Pirates,3,40,0,Attack,1,Black Torpedo,-1,None,2,0,Attack,0,Black Cannon,-1,None,0
5,r503a.tec,21,Black Pirates,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
6,r503a.tec,21,Black Pirates,1,95,0,Attack,0,Black Cannon,-1,None,0,3,Guard,-1,None,0,Evasive Action,0
7,r503a.tec,21,Black Pirates,-1,0,3,Guard,-1,None,0,Evasive Action,0,3,Guard,-1,None,0,Evasive Action,0
8,r503a.tec,21,Black Pirates,3,70,0,Attack,1,Black Torpedo,-1,None,1,0,Attack,1,Black Torpedo,-1,None,1
9,r503a.tec,21,Black Pirates,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
10,r503a.tec,21,Black Pirates,30,20,3,Guard,-1,None,0,Evasive Action,0,0,Attack,0,Black Cannon,-1,None,0
11,r503a.tec,21,Black Pirates,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
12,r503a.tec,21,Black Pirates,3,80,0,Attack,1,Black Torpedo,-1,None,2,2,Focus,-1,None,0,Focus,0
13,r503a.tec,21,Black Pirates,3,50,3,Guard,-1,None,0,Evasive Action,0,2,Focus,-1,None,0,Focus,0
14,r503a.tec,21,Black Pirates,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
15,r503a.tec,21,Black Pirates,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
16,r503a.tec,21,Black Pirates,3,30,2,Focus,-1,None,0,Focus,0,0,Attack,1,Black Torpedo,-1,None,2
17,r503a.tec,21,Black Pirates,3,50,2,Focus,-1,None,0,Focus,0,0,Attack,0,Black Cannon,-1,None,0
18,r503a.tec,21,Black Pirates,-1,0,4,Nothing,-1,None,0,Awaiting Orders,0,4,Nothing,-1,None,0,Awaiting Orders,0
19,r503a.tec,21,Black Pirates,3,80,0,Attack,0,Black Cannon,-1,None,0,3,Guard,-1,None,0,Evasive Action,0
20,r503a.tec,21,Black Pirates,3,20,3,Guard,-1,None,0,Evasive Action,0,0,Attack,1,Black Torpedo,-1,None,3
21,r503a.tec,21,Black Pirates,3,90,0,Attack,0,Black Cannon,-1,None,0,2,Focus,-1,None,0,Focus,0
22,r503a.tec,21,Black Pirates,3,30,4,Nothing,-1,None,0,Awaiting Orders,0,0,Attack,0,Black Cannon,-1,None,0
23,r503a.tec,21,Black Pirates,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
24,r503a.tec,21,Black Pirates,3,20,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
25,r503a.tec,21,Black Pirates,3,50,2,Focus,-1,None,0,Focus,0,4,Nothing,-1,None,0,Awaiting Orders,0
26,r503a.tec,21,Black Pirates,-1,0,0,Attack,1,Black Torpedo,-1,None,3,0,Attack,2,-,-1,None,3
27,r503a.tec,21,Black Pirates,1,80,0,Attack,0,Black Cannon,-1,None,0,2,Focus,-1,None,0,Focus,0
28,r503a.tec,21,Black Pirates,3,20,2,Focus,-1,None,0,Focus,0,0,Attack,0,Black Cannon,-1,None,0
29,r503a.tec,21,Black Pirates,-1,0,0,Attack,1,Black Torpedo,-1,None,3,0,Attack,1,Black Torpedo,-1,None,3
30,r503a.tec,21,Black Pirates,1,50,0,Attack,0,Black Cannon,-1,None,0,4,Nothing,-1,None,0,Awaiting Orders,0
31,r503a.tec,21,Black Pirates,-1,0,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Cannon,-1,None,0
0,r506a.tec,24,Recumen,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Red Ray,-1,None,0
1,r506a.tec,24,Recumen,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Red Ray,-1,None,0
2,r506a.tec,24,Recumen,-1,0,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,Red Ray,-1,None,0
3,r506a.tec,24,Recumen,9,0,4,Nothing,-1,None,4,Red Ray,0,0,Attack,0,Red Ray,-1,None,0
4,r506a.tec,24,Recumen,-1,0,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,Red Ray,-1,None,0
5,r506a.tec,24,Recumen,9,0,4,Nothing,-1,None,4,Red Ray,0,0,Attack,0,Red Ray,-1,None,0
6,r506a.tec,24,Recumen,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Red Ray,-1,None,0
7,r506a.tec,24,Recumen,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Red Ray,-1,None,0
8,r506a.tec,24,Recumen,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Red Ray,-1,None,0
9,r506a.tec,24,Recumen,-1,0,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,Red Ray,-1,None,0
10,r506a.tec,24,Recumen,9,0,4,Nothing,-1,None,4,Red Ray,0,0,Attack,0,Red Ray,-1,None,0
11,r506a.tec,24,Recumen,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Red Ray,-1,None,0
12,r506a.tec,24,Recumen,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Red Ray,-1,None,0
13,r506a.tec,24,Recumen,-1,0,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,Red Ray,-1,None,0
14,r506a.tec,24,Recumen,9,0,4,Nothing,-1,None,4,Red Ray,0,0,Attack,0,Red Ray,-1,None,0
15,r506a.tec,24,Recumen,-1,0,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Red Ray,-1,None,0
16,r506a.tec,24,Recumen,-1,0,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,Red Ray,-1,None,0
17,r506a.tec,24,Recumen,9,0,4,Nothing,-1,None,4,Red Ray,0,0,Attack,0,Red Ray,-1,None,0
18,r506a.tec,24,Recumen,-1,0,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,Red Ray,-1,None,0
19,r506a.tec,24,Recumen,9,0,4,Nothing,-1,None,4,Red Ray,0,0,Attack,0,Red Ray,-1,None,0
20,r506a.tec,24,Recumen,-1,0,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,Red Ray,-1,None,0
21,r506a.tec,24,Recumen,9,0,4,Nothing,-1,None,4,Red Ray,0,0,Attack,0,Red Ray,-1,None,0
22,r506a.tec,24,Recumen,-1,0,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,Red Ray,-1,None,0
23,r506a.tec,24,Recumen,9,0,4,Nothing,-1,None,4,Red Ray,0,0,Attack,0,Red Ray,-1,None,0
0,r507a.tec,11,Lynx,-1,0,1,Magic,-1,None,0,Increm,0,0,Attack,0,Lynx Cannon,-1,None,0
1,r507a.tec,11,Lynx,-1,0,1,Magic,-1,None,23,Pyri,0,0,Attack,0,Lynx Cannon,-1,None,0
2,r507a.tec,11,Lynx,-1,0,2,Focus,-1,None,1,Taking Aim,0,0,Attack,0,Lynx Cannon,-1,None,0
3,r507a.tec,11,Lynx,0,50,1,Magic,-1,None,23,Pyri,0,1,Magic,-1,None,22,Wevlen,0
4,r507a.tec,11,Lynx,1,50,0,Attack,0,Lynx Cannon,-1,None,0,1,Magic,-1,None,23,Pyri,0
5,r507a.tec,11,Lynx,-1,0,0,Attack,2,Lynx Torpedo,-1,None,1,0,Attack,0,Lynx Cannon,-1,None,0
6,r507a.tec,11,Lynx,1,50,0,Attack,0,Lynx Cannon,-1,None,0,1,Magic,-1,None,22,Wevlen,0
7,r507a.tec,11,Lynx,-1,0,3,Guard,-1,None,-1,None,0,0,Attack,0,Lynx Cannon,-1,None,0
8,r507a.tec,11,Lynx,-1,0,0,Attack,1,Lynx Subcannon,-1,None,2,0,Attack,0,Lynx Cannon,-1,None,0
9,r507a.tec,11,Lynx,-1,0,0,Attack,2,Lynx Torpedo,-1,None,1,0,Attack,0,Lynx Cannon,-1,None,0
10,r507a.tec,11,Lynx,1,50,0,Attack,0,Lynx Cannon,-1,None,0,1,Magic,-1,None,22,Wevlen,0
11,r507a.tec,11,Lynx,1,30,1,Magic,-1,None,6,Sacri,0,3,Guard,-1,None,-1,None,0
12,r507a.tec,11,Lynx,-1,0,0,Attack,1,Lynx Subcannon,-1,None,2,0,Attack,0,Lynx Cannon,-1,None,0
13,r507a.tec,11,Lynx,-1,0,0,Attack,2,Lynx Torpedo,-1,None,1,0,Attack,0,Lynx Cannon,-1,None,0
14,r507a.tec,11,Lynx,1,50,0,Attack,0,Lynx Cannon,-1,None,0,1,Magic,-1,None,22,Wevlen,0
15,r507a.tec,11,Lynx,1,30,1,Magic,-1,None,6,Sacri,0,1,Magic,-1,None,0,Increm,0
16,r507a.tec,11,Lynx,-1,0,0,Attack,1,Lynx Subcannon,-1,None,2,0,Attack,0,Lynx Cannon,-1,None,0
17,r507a.tec,11,Lynx,-1,0,4,Nothing,-1,None,1,Target Lost,0,0,Attack,0,Lynx Cannon,-1,None,0
18,r507a.tec,11,Lynx,-1,0,0,Attack,2,Lynx Torpedo,-1,None,1,0,Attack,0,Lynx Cannon,-1,None,0
19,r507a.tec,11,Lynx,1,50,0,Attack,0,Lynx Cannon,-1,None,0,1,Magic,-1,None,23,Pyri,0
20,r507a.tec,11,Lynx,1,30,1,Magic,-1,None,6,Sacri,0,1,Magic,-1,None,0,Increm,0
21,r507a.tec,11,Lynx,-1,0,0,Attack,2,Lynx Torpedo,-1,None,2,0,Attack,0,Lynx Cannon,-1,None,0
22,r507a.tec,11,Lynx,-1,0,0,Attack,1,Lynx Subcannon,-1,None,1,0,Attack,0,Lynx Cannon,-1,None,0
23,r507a.tec,11,Lynx,1,50,0,Attack,0,Lynx Cannon,-1,None,0,1,Magic,-1,None,23,Pyri,0
24,r507a.tec,11,Lynx,-1,0,2,Focus,-1,None,1,Taking Aim,0,0,Attack,0,Lynx Cannon,-1,None,0
25,r507a.tec,11,Lynx,-1,0,0,Attack,1,Lynx Subcannon,-1,None,2,0,Attack,0,Lynx Cannon,-1,None,0
26,r507a.tec,11,Lynx,-1,0,0,Attack,2,Lynx Torpedo,-1,None,1,0,Attack,0,Lynx Cannon,-1,None,0
27,r507a.tec,11,Lynx,1,50,0,Attack,0,Lynx Cannon,-1,None,0,1,Magic,-1,None,22,Wevlen,0
28,r507a.tec,11,Lynx,-1,0,2,Focus,-1,None,1,Taking Aim,0,0,Attack,0,Lynx Cannon,-1,None,0
29,r507a.tec,11,Lynx,-1,0,0,Attack,2,Lynx Torpedo,-1,None,2,0,Attack,0,Lynx Cannon,-1,None,0
30,r507a.tec,11,Lynx,-1,0,0,Attack,1,Lynx Subcannon,-1,None,1,0,Attack,0,Lynx Cannon,-1,None,0
31,r507a.tec,11,Lynx,1,50,0,Attack,0,Lynx Cannon,-1,None,0,1,Magic,-1,None,22,Wevlen,0
32,r507a.tec,11,Lynx,-1,0,0,Attack,1,Lynx Subcannon,-1,None,2,0,Attack,0,Lynx Cannon,-1,None,0
33,r507a.tec,11,Lynx,-1,0,4,Nothing,-1,None,1,Target Lost,0,0,Attack,0,Lynx Cannon,-1,None,0
34,r507a.tec,11,Lynx,-1,0,0,Attack,2,Lynx Torpedo,-1,None,1,0,Attack,0,Lynx Cannon,-1,None,0
35,r507a.tec,11,Lynx,1,50,0,Attack,0,Lynx Cannon,-1,None,0,1,Magic,-1,None,23,Pyri,0
0,r509a.tec,12,Chameleon,3,30,4,Nothing,-1,None,0,Awaiting Orders,0,0,Attack,2,Type D Torpedo,-1,None,3
1,r509a.tec,12,Chameleon,3,80,4,Nothing,-1,None,0,Awaiting Orders,0,3,Guard,-1,None,-1,None,0
2,r509a.tec,12,Chameleon,3,40,4,Nothing,-1,None,0,Awaiting Orders,0,2,Focus,-1,None,0,Focus,0
3,r509a.tec,12,Chameleon,3,20,4,Nothing,-1,None,0,Awaiting Orders,0,0,Attack,1,Type D Subcannon,-1,None,0
4,r509a.tec,12,Chameleon,-1,0,0,Attack,2,Type D Torpedo,-1,None,3,0,Attack,2,Type D Torpedo,-1,None,3
5,r509a.tec,12,Chameleon,-1,0,0,Attack,1,Type D Subcannon,-1,None,2,0,Attack,1,Type D Subcannon,-1,None,2
6,r509a.tec,12,Chameleon,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
7,r509a.tec,12,Chameleon,-1,0,3,Guard,-1,None,-1,None,0,3,Guard,-1,None,-1,None,0
8,r509a.tec,12,Chameleon,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
9,r509a.tec,12,Chameleon,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
10,r509a.tec,12,Chameleon,-1,0,0,Attack,0,Revolver Cannon,-1,None,0,0,Attack,0,Revolver Cannon,-1,None,0
11,r509a.tec,12,Chameleon,-1,0,0,Attack,3,Flamethrower,-1,None,0,0,Attack,3,Flamethrower,-1,None,0
12,r509a.tec,12,Chameleon,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
13,r509a.tec,12,Chameleon,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
14,r509a.tec,12,Chameleon,-1,0,4,Nothing,-1,None,1,Target Lost,0,4,Nothing,-1,None,0,Awaiting Orders,0
15,r509a.tec,12,Chameleon,-1,0,4,Nothing,-1,None,1,Target Lost,0,4,Nothing,-1,None,0,Awaiting Orders,0
16,r509a.tec,12,Chameleon,3,50,2,Focus,-1,None,0,Focus,0,4,Nothing,-1,None,0,Awaiting Orders,0
17,r509a.tec,12,Chameleon,-1,0,0,Attack,1,Type D Subcannon,-1,None,3,0,Attack,1,Type D Subcannon,-1,None,3
18,r509a.tec,12,Chameleon,-1,0,0,Attack,2,Type D Torpedo,-1,None,1,0,Attack,3,Flamethrower,-1,None,1
19,r509a.tec,12,Chameleon,3,50,2,Focus,-1,None,0,Focus,0,4,Nothing,-1,None,0,Awaiting Orders,0
20,r509a.tec,12,Chameleon,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
21,r509a.tec,12,Chameleon,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
22,r509a.tec,12,Chameleon,-1,0,0,Attack,0,Revolver Cannon,-1,None,0,0,Attack,0,Revolver Cannon,-1,None,0
23,r509a.tec,12,Chameleon,-1,0,0,Attack,3,Flamethrower,-1,None,0,0,Attack,3,Flamethrower,-1,None,0
24,r509a.tec,12,Chameleon,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
25,r509a.tec,12,Chameleon,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
26,r509a.tec,12,Chameleon,-1,0,4,Nothing,-1,None,1,Target Lost,0,4,Nothing,-1,None,0,Awaiting Orders,0
27,r509a.tec,12,Chameleon,-1,0,4,Nothing,-1,None,1,Target Lost,0,4,Nothing,-1,None,0,Awaiting Orders,0
28,r509a.tec,12,Chameleon,-1,0,4,Nothing,-1,None,0,Awaiting Orders,0,4,Nothing,-1,None,0,Awaiting Orders,0
29,r509a.tec,12,Chameleon,-1,0,0,Attack,2,Type D Torpedo,-1,None,3,0,Attack,2,Type D Torpedo,-1,None,3
30,r509a.tec,12,Chameleon,-1,0,0,Attack,1,Type D Subcannon,-1,None,2,0,Attack,1,Type D Subcannon,-1,None,2
31,r509a.tec,12,Chameleon,-1,0,4,Nothing,-1,None,0,Awaiting Orders,0,4,Nothing,-1,None,0,Awaiting Orders,0
0,r510a.tec,4,Valuan Gunboat,0,50,4,Nothing,-1,None,-1,None,0,1,Magic,-1,None,23,Pyri,0
1,r510a.tec,4,Valuan Gunboat,0,20,4,Nothing,-1,None,-1,None,0,1,Magic,-1,None,23,Pyri,0
2,r510a.tec,4,Valuan Gunboat,3,30,3,Guard,-1,None,0,Evasive Action,0,2,Focus,-1,None,0,Focus,0
3,r510a.tec,4,Valuan Gunboat,3,10,3,Guard,-1,None,0,Evasive Action,0,0,Attack,1,Heavy Subcannon,-1,None,0
4,r510a.tec,4,Valuan Gunboat,0,20,4,Nothing,-1,None,-1,None,0,1,Magic,-1,None,23,Pyri,0
5,r510a.tec,4,Valuan Gunboat,1,40,1,Magic,-1,None,6,Sacri,0,0,Attack,0,Large Cannon,-1,None,0
6,r510a.tec,4,Valuan Gunboat,3,30,3,Guard,-1,None,0,Evasive Action,0,4,Nothing,-1,None,-1,None,0
7,r510a.tec,4,Valuan Gunboat,3,30,3,Guard,-1,None,0,Evasive Action,0,1,Magic,-1,None,23,Pyri,0
8,r510a.tec,4,Valuan Gunboat,1,20,1,Magic,-1,None,6,Sacri,0,0,Attack,1,Heavy Subcannon,-1,None,3
9,r510a.tec,4,Valuan Gunboat,1,10,1,Magic,-1,None,6,Sacri,0,1,Magic,-1,None,23,Pyri,0
10,r510a.tec,4,Valuan Gunboat,3,50,2,Focus,-1,None,0,Focus,0,3,Guard,-1,None,0,Evasive Action,0
11,r510a.tec,4,Valuan Gunboat,1,10,1,Magic,-1,None,6,Sacri,0,1,Magic,-1,None,23,Pyri,0
12,r510a.tec,4,Valuan Gunboat,3,50,0,Attack,1,Heavy Subcannon,-1,None,2,2,Focus,-1,None,0,Focus,0
13,r510a.tec,4,Valuan Gunboat,1,30,3,Guard,-1,None,0,Evasive Action,0,4,Nothing,-1,None,-1,None,0
14,r510a.tec,4,Valuan Gunboat,3,30,1,Magic,-1,None,6,Sacri,0,2,Focus,-1,None,0,Focus,0
15,r510a.tec,4,Valuan Gunboat,3,50,2,Focus,-1,None,0,Focus,0,0,Attack,0,Large Cannon,-1,None,0
0,r513a.tec,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
1,r513a.tec,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
2,r513a.tec,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
3,r513a.tec,35,Roc,-1,0,0,Attack,0,Blast Voice,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
4,r513a.tec,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,3,Guard,-1,None,0,Evasive Action,0
5,r513a.tec,35,Roc,-1,0,0,Attack,3,Grab,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
6,r513a.tec,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
7,r513a.tec,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
8,r513a.tec,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
9,r513a.tec,35,Roc,-1,0,0,Attack,3,Grab,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
10,r513a.tec,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
11,r513a.tec,35,Roc,-1,0,0,Attack,3,Grab,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
12,r513a.tec,35,Roc,3,50,0,Attack,0,Blast Voice,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
13,r513a.tec,35,Roc,-1,0,0,Attack,3,Grab,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
14,r513a.tec,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,3,Guard,-1,None,0,Evasive Action,0
15,r513a.tec,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
16,r513a.tec,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
17,r513a.tec,35,Roc,-1,0,0,Attack,3,Grab,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
18,r513a.tec,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,3,Guard,-1,None,0,Evasive Action,0
19,r513a.tec,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
20,r513a.tec,35,Roc,-1,0,0,Attack,3,Grab,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
21,r513a.tec,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
22,r513a.tec,35,Roc,-1,0,0,Attack,3,Grab,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
23,r513a.tec,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
24,r513a.tec,35,Roc,3,50,0,Attack,0,Blast Voice,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
25,r513a.tec,35,Roc,-1,0,0,Attack,3,Grab,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
26,r513a.tec,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,3,Guard,-1,None,0,Evasive Action,0
27,r513a.tec,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
28,r513a.tec,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,3,Guard,-1,None,0,Evasive Action,0
29,r513a.tec,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,3,Guard,-1,None,0,Evasive Action,0
30,r513a.tec,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,3,Guard,-1,None,0,Evasive Action,0
31,r513a.tec,35,Roc,-1,0,0,Attack,0,Blast Voice,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
32,r513a.tec,35,Roc,-1,0,0,Attack,0,Blast Voice,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
33,r513a.tec,35,Roc,-1,0,0,Attack,3,Grab,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
34,r513a.tec,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
35,r513a.tec,35,Roc,-1,0,0,Attack,0,Blast Voice,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
0,r514a.tec,13,Chameleon,3,50,0,Attack,0,Handgun,-1,None,0,0,Attack,2,Type D Torpedo,-1,None,3
1,r514a.tec,13,Chameleon,3,50,0,Attack,0,Handgun,-1,None,0,0,Attack,1,Type D Subcannon,-1,None,1
2,r514a.tec,13,Chameleon,3,50,2,Focus,-1,None,0,Focus,0,4,Nothing,-1,None,-1,None,0
