Entry ID,Entry US Name,Element ID,[Element Name],Order,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Speed,Effect SP,Pad 1,Pad 2,Effect Base,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad 3,Pad 4,Pad 5,Ship Occ ID,[Ship Occ Name],Pad 6,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Ship Eff Base,Unk,Pad 7,Pad 8,Pad 9,[US Descr Pos],[US Descr Size],US Descr Str,[Ship US Descr Pos],[Ship US Descr Size],Ship US Descr Str
10,Noxi,0,Green,50,0x2,"",X,"",4,Poison + Damage,3,Single EC,6,Magic,0,3,0,0,60,1,Magical,0,Poison,40,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x331768,96,Damages and Poisons any one enemy. Best if used\nat the beginning of long battles.          SP 3,0x0,0,""
11,Noxus,0,Green,51,0x2,"",X,"",4,Poison + Damage,4,All ECs,6,Magic,0,6,0,0,100,1,Magical,0,Poison,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x3317c8,96,Damages and Poisons all enemies. Best if used\nat the beginning of long battles.          SP 6,0x0,0,""
12,Slipara,3,Blue,110,0x2,"",X,"",9,Sleep,4,All ECs,6,Magic,0,6,0,0,0,0,Physical,3,Sleep,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x331828,96,Has a chance to put all enemies on screen to\nSleep.                                     SP 6,0x0,0,""
13,Quika,3,Blue,70,0x3,"",X,X,20,Incr Quick,2,All PCs,6,Magic,0,6,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,104,Incr Quick,6,1,0,-1,0,0,0,0x331888,96,"Doubles the speed of all allies. Also, it makes\nit easier to run from battles.             SP 6",0x33b3fc,72,Doubles ship speed.\nEffect lasts for 2 rounds.                  6 SP
14,Curia,5,Silver,80,0x2,"",X,"",30,Rem Neg States B,1,Single PC,6,Magic,0,2,0,0,0,0,Physical,-1,None,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x3318e8,96,Cures one ally of all adverse effects (except\nfor Unconscious).                           SP 2,0x0,0,""
15,Risan,5,Silver,90,0x2,"",X,"",27,Revive w/ HP of 50%,1,Single PC,6,Magic,0,4,0,0,0,0,Physical,7,Revival,50,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x331948,100,"Has a 50% chance of reviving an Unconscious ally,\nalong with 50% of their HP.                SP 4",0x0,0,""
16,Riselem,5,Silver,91,0x2,"",X,"",28,Revive w/ HP of 100%,1,Single PC,6,Magic,0,8,0,0,0,0,Physical,7,Revival,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x3319ac,96,Revives an Unconscious ally and restores their\nHP to full.                                SP 8,0x0,0,""
17,Eterni,5,Silver,100,0x2,"",X,"",5,Unconscious,3,Single EC,6,Magic,0,5,0,0,0,0,Physical,1,Unconscious,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x331a0c,96,Can instantly kill any one enemy. May not work\non some powerful monsters or bosses.       SP 5,0x0,0,""
18,Eternes,5,Silver,101,0x2,"",X,"",5,Unconscious,4,All ECs,6,Magic,0,10,0,0,0,0,Physical,1,Unconscious,80,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x331a6c,96,Can cause instant death to all enemies on the\nscreen.                                    SP 10,0x0,0,""
19,Eternum,5,Silver,102,0x2,"",X,"",6,Unconscious + Damage A,3,Single EC,6,Magic,0,15,0,0,250,1,Magical,1,Unconscious,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x331acc,100,"Causes instant death to one enemy. If target is\nimmune, then it will cause damage.         SP 15",0x0,0,""
20,Wevli,3,Blue,60,0x3,"",X,X,0,Damage,32,EC Square S3,6,Magic,0,2,0,0,60,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,60,4,0,0,0,0x331b30,96,Damages one enemy with a whirlwind of air and\nwater. Also harms nearby enemies.          SP 2,0x33b444,96,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.        2 SP
21,Wevles,3,Blue,61,0x3,"",X,X,0,Damage,33,EC Square S5,6,Magic,0,4,0,0,105,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,90,4,0,0,0,0x331b90,96,Creates a large tornado around one enemy and\ndamages all enemies nearby.                SP 4,0x33b4a4,96,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.        4 SP
22,Wevlen,3,Blue,63,0x3,"",X,X,0,Damage,34,EC Square S7,6,Magic,0,8,0,0,195,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,8,-1,150,4,0,0,0,0x331bf0,96,Creates a cluster of tornados around one enemy\nand damages nearly all enemies on screen.  SP 8,0x33b504,96,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.        8 SP
23,Pyri,1,Red,0,0x3,"",X,X,0,Damage,4,All ECs,6,Magic,0,2,0,0,50,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,60,1,0,0,0,0x331c50,96,"Summons a burst of flames, damaging all enemies\non screen.                                 SP 2",0x33b564,92,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.        2 SP
24,Pyres,1,Red,1,0x3,"",X,X,0,Damage,4,All ECs,6,Magic,0,4,0,0,85,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,90,1,0,0,0,0x331cb0,92,Summons a great explosion and damages all\nenemies on screen.                         SP 4,0x33b5c0,92,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.        4 SP
25,Pyrum,1,Red,2,0x3,"",X,X,0,Damage,4,All ECs,6,Magic,0,6,0,0,120,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,6,-1,120,1,0,0,0,0x331d0c,92,Summons fireballs from the sky and damages\nall enemies on the screen.                 SP 6,0x33b61c,92,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.        6 SP
26,Crystali,2,Purple,10,0x3,"",X,X,0,Damage,3,Single EC,6,Magic,0,1,0,0,70,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,1,-1,30,2,0,0,0,0x331d68,92,Encases a single enemy in ice. It is quite\npowerful and uses very little Spirit.      SP 1,0x33b678,96,Fires a cannonball charged with Purple Magic.\nSpecial equipment is needed to cast.        1 SP
27,Crystales,2,Purple,11,0x3,"",X,X,0,Damage,3,Single EC,6,Magic,0,2,0,0,120,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,50,2,0,0,0,0x331dc4,96,"Summons an icicle at the foot of a single enemy\nand impales it, causing great damage.      SP 2",0x33b6d8,96,Fires a cannonball charged with Purple Magic.\nSpecial equipment is needed to cast.        2 SP
28,Crystalum,2,Purple,12,0x3,"",X,X,0,Damage,3,Single EC,6,Magic,0,3,0,0,170,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,3,-1,70,2,0,0,0,0x331e24,88,Traps a single enemy in a column of ice\nan extensive amount of damage.             SP 3,0x33b738,96,Fires a cannonball charged with Purple Magic.\nSpecial equipment is needed to cast.        3 SP
29,Crystalen,2,Purple,13,0x3,"",X,X,0,Damage,3,Single EC,6,Magic,0,4,0,0,220,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,90,2,0,0,0,0x331e7c,96,Huge pillars of ice rain from the sky to impale\none enemy for enormous damage.             SP 4,0x33b798,96,Fires a cannonball charged with Purple Magic.\nSpecial equipment is needed to cast.        4 SP
30,Pyrulen,1,Red,3,0x3,"",X,X,0,Damage,4,All ECs,6,Magic,0,10,0,0,155,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,10,-1,150,1,0,0,0,0x331edc,96,Sets the air aflame and engulfs all enemies on\nscreen in a firestorm.                     SP 10,0x33b7f8,92,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.       10 SP
31,Wevlum,3,Blue,62,0x3,"",X,X,0,Damage,33,EC Square S5,6,Magic,0,6,0,0,150,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,6,-1,120,4,0,0,0,0x331f3c,96,Summons a field of fierce winds and stinging\nrain to damage enemies in a large area.    SP 6,0x33b854,96,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.        6 SP
32,Electri,4,Yellow,30,0x3,"",X,X,0,Damage,36,EC Ray S1,6,Magic,0,2,0,0,60,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,60,3,0,0,0,0x331f9c,96,"Shoots a bolt of electricity at a target, also\ndamaging any enemies in the way.           SP 2",0x33b8b4,96,Fires a cannonball charged with Yellow Magic.\nSpecial equipment is needed to cast.        2 SP
33,Electres,4,Yellow,31,0x3,"",X,X,0,Damage,37,EC Ray S3,6,Magic,0,4,0,0,105,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,90,3,0,0,0,0x331ffc,100,Sends a lightning bolt through a line of enemies\ncausing major damage.                      SP 4,0x33b914,96,Fires a cannonball charged with Yellow Magic.\nSpecial equipment is needed to cast.        4 SP
34,Electrum,4,Yellow,32,0x3,"",X,X,0,Damage,37,EC Ray S3,6,Magic,0,6,0,0,150,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,6,-1,120,3,0,0,0,0x332060,96,A massive bolt of electricity is shot out and\nhits all enemies in a straight line.       SP 6,0x33b974,96,Fires a cannonball charged with Yellow Magic.\nSpecial equipment is needed to cast.        6 SP
35,Electrulen,4,Yellow,33,0x3,"",X,X,0,Damage,38,EC Ray S5,6,Magic,0,8,0,0,195,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,8,-1,150,3,0,0,0,0x3320c0,96,The ultimate attack spell. It will cause major\ndamage on all enemies in a straight line.  SP 8,0x33b9d4,96,Fires a cannonball charged with Yellow Magic.\nSpecial equipment is needed to cast.        8 SP
