Entry ID,[Filter],Year,Month,Day,Version
0,ME099I.SCT,2000,6,27,41
0,ME099M.SCT,2000,6,27,28
0,ME101B.SCT,2000,6,27,5
0,ME101C.SCT,2000,6,27,6
0,ME103A.SCT,2000,6,27,4
0,ME103B.SCT,2000,6,27,13
0,ME103C.SCT,2000,6,27,4
0,ME106A.SCT,2000,6,27,5
0,ME106B.SCT,2000,6,27,6
0,ME106C.SCT,2000,6,27,7
0,ME107A.SCT,2000,6,27,8
0,ME107D.SCT,2000,6,27,4
0,ME107E.SCT,2000,6,27,4
0,ME109A.SCT,2000,6,27,17
0,ME109B.SCT,2000,6,27,5
0,ME109C.SCT,2000,6,27,7
0,ME109D.SCT,2000,6,27,7
0,ME109E.SCT,2000,6,27,7
0,ME109G.SCT,2000,6,27,4
0,ME111A.SCT,2000,6,27,8
0,ME111B.SCT,2000,6,27,5
0,ME111C.SCT,2000,6,27,18
0,ME111D.SCT,2000,6,27,19
0,ME112A.SCT,2000,6,27,5
0,ME112B.SCT,2000,6,27,13
0,ME112C.SCT,2000,6,27,13
0,ME115A.SCT,2000,6,27,5
0,ME115B.SCT,2000,6,27,19
0,ME115C.SCT,2000,6,27,7
0,ME116A.SCT,2000,6,27,17
0,ME116B.SCT,2000,6,27,1
0,ME116C.SCT,2000,6,27,10
0,ME116D.SCT,2000,6,27,9
0,ME116E.SCT,2000,6,27,7
0,ME116F.SCT,2000,6,27,9
0,ME116G.SCT,2000,6,27,3
0,ME116H.SCT,2000,6,27,2
0,ME121A.SCT,2000,6,27,6
0,ME121B.SCT,2000,6,27,12
0,ME121C.SCT,2000,6,27,9
0,ME121D.SCT,2000,6,27,8
0,ME122A.SCT,2000,6,27,20
0,ME122B.SCT,2000,6,27,6
0,ME125C.SCT,2000,6,27,5
0,ME199F.SCT,2000,5,1,1
0,ME200A.SCT,2000,6,27,3
0,ME201A.SCT,2000,6,27,8
0,ME202A.SCT,2000,6,27,5
0,ME203A.SCT,2000,6,27,3
0,ME204A.SCT,2000,6,27,8
0,ME205A.SCT,2000,6,27,10
0,ME208A.SCT,2000,6,27,4
0,ME209A.SCT,2000,6,27,9
0,ME213A.SCT,2000,6,27,4
0,ME215A.SCT,2000,6,27,7
0,ME216A.SCT,2000,6,27,5
0,ME219A.SCT,2000,6,27,7
0,ME220A.SCT,2000,6,27,5
0,ME222A.SCT,2000,6,27,9
0,ME230A.SCT,2000,6,27,14
0,ME232A.SCT,2000,6,27,15
0,ME235A.SCT,2000,6,27,15
0,ME236A.SCT,2000,6,27,7
0,ME237A.SCT,2000,6,27,6
0,ME238A.SCT,2000,6,27,4
0,ME239A.SCT,2000,6,27,7
0,ME240A.SCT,2000,6,27,14
0,ME241A.SCT,2000,6,27,13
0,ME242A.SCT,2000,6,27,13
0,ME243A.SCT,2000,6,27,19
0,ME246A.SCT,2000,6,27,4
0,ME247A.SCT,2000,6,27,22
0,ME249A.SCT,2000,6,27,17
0,ME250A.SCT,2000,6,27,94
0,ME251A.SCT,2000,6,27,7
0,ME253A.SCT,2000,6,27,3
0,ME292A.SCT,2000,6,27,5
0,ME299A.SCT,2000,6,27,9
0,ME355A.SCT,2000,6,27,2
0,ME398A.SCT,2000,6,27,0
0,ME500A.SCT,2000,6,16,10
0,ME501A.SCT,2000,6,16,9
0,ME503A.SCT,2000,6,16,18
0,ME506A.SCT,2000,6,16,16
0,ME507A.SCT,2000,6,16,20
0,ME509A.SCT,2000,6,16,19
0,ME510A.SCT,2000,6,16,12
0,ME513A.SCT,2000,6,16,22
0,ME514A.SCT,2000,6,16,25
0,ME515A.SCT,2000,6,16,21
0,ME518A.SCT,2000,6,16,13
0,ME519A.SCT,2000,6,16,8
0,ME520A.SCT,2000,6,16,10
0,ME521A.SCT,2000,6,16,12
0,ME522A.SCT,2000,6,16,23
0,ME523A.SCT,2000,6,16,15
0,ME524A.SCT,2000,6,16,28
0,ME525A.SCT,2000,6,16,13
0,ME527A.SCT,2000,6,16,12
0,ME530A.SCT,2000,6,16,10
0,ME531A.SCT,2000,6,16,23
0,ME532A.SCT,2000,6,16,15
0,ME550A.SCT,2000,6,16,12
0,ME551A.SCT,2000,6,16,12
0,ME553A.SCT,2000,6,16,13
0,ME554A.SCT,2000,6,16,15
0,ME555A.SCT,2000,6,16,15
0,ME556A.SCT,2000,6,16,12
0,ME557A.SCT,2000,6,16,15
0,ME558A.SCT,2000,6,16,11
0,ME559A.SCT,2000,6,16,14
0,ME560A.SCT,2000,6,16,13
0,ME562A.SCT,2000,6,16,13
0,ME563A.SCT,2000,6,16,14
0,ME564A.SCT,2000,6,16,13
0,ME565A.SCT,2000,6,16,14
0,ME566A.SCT,2000,6,16,13
0,ME568A.SCT,2000,6,16,14
0,ME572A.SCT,2000,6,16,14
0,TEST.SCT,1999,10,6,1
