Entry ID,Magic EXP,Chara. #0 ID,[Chara. #0 name],Chara. #0 X,Chara. #0 Z,Chara. #1 ID,[Chara. #1 name],Chara. #1 X,Chara. #1 Z,Chara. #2 ID,[Chara. #2 name],Chara. #2 X,Chara. #2 Z,Chara. #3 ID,[Chara. #3 name],Chara. #3 X,Chara. #3 Z,Enemy #0 ID,[JP enemy #0 name],Enemy #0 X,Enemy #0 Z,Enemy #1 ID,[JP enemy #1 name],Enemy #1 X,Enemy #1 Z,Enemy #2 ID,[JP enemy #2 name],Enemy #2 X,Enemy #2 Z,Enemy #3 ID,[JP enemy #3 name],Enemy #3 X,Enemy #3 Z,Enemy #4 ID,[JP enemy #4 name],Enemy #4 X,Enemy #4 Z,Enemy #5 ID,[JP enemy #5 name],Enemy #5 X,Enemy #5 Z,Enemy #6 ID,[JP enemy #6 name],Enemy #6 X,Enemy #6 Z,Party vigor,Defeat cond. ID,[Defeat cond. name],Escape cond. ID,[Escape cond. name],BGM ID
33,2,0,Vyse,5,6,1,Aika,6,7,2,Fina,4,7,-1,None,-1,-1,24,デシェレト,3,4,24,デシェレト,5,3,24,デシェレト,7,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,66,0,Must not lose,0,Can escape,58
34,4,0,Vyse,5,7,1,Aika,3,7,2,Fina,7,7,-1,None,-1,-1,100,アサシン,5,3,100,アサシン,3,3,100,アサシン,7,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,158,1,May try again,1,Cannot escape,58
35,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,59,ナマトヌカ,1,2,59,ナマトヌカ,7,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,130,0,Must not lose,1,Cannot escape,58
36,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,9,4,Enrique,7,9,59,ナマトヌカ,2,2,59,ナマトヌカ,6,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,130,0,Must not lose,1,Cannot escape,58
37,1,0,Vyse,4,7,1,Aika,6,7,-1,None,-1,-1,-1,None,-1,-1,4,アーアペプ,4,1,3,マロッカ,3,4,3,マロッカ,7,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,28,0,Must not lose,0,Can escape,58
38,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,60,モノノフ,4,3,60,モノノフ,6,3,60,モノノフ,3,2,60,モノノフ,7,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,134,0,Must not lose,0,Can escape,59
39,2,0,Vyse,4,7,1,Aika,6,7,2,Fina,2,8,3,Drachma,8,8,111,盗掘者シモン,5,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,90,1,May try again,1,Cannot escape,58
40,2,0,Vyse,4,8,5,Gilder,6,8,-1,None,-1,-1,-1,None,-1,-1,112,盗掘者シモン,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,102,1,May try again,1,Cannot escape,58
41,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,113,盗掘者シモン,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,110,1,May try again,1,Cannot escape,58
42,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,114,盗掘者シモン,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,122,1,May try again,1,Cannot escape,59
43,3,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,4,Enrique,6,9,115,盗掘者シモン,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,130,1,May try again,1,Cannot escape,58
44,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,116,盗掘者シモン,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,142,1,May try again,1,Cannot escape,58
45,5,0,Vyse,4,6,1,Aika,6,6,2,Fina,3,7,3,Drachma,7,7,117,盗掘王シモン,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,166,1,May try again,1,Cannot escape,58
46,5,0,Vyse,4,6,1,Aika,6,6,2,Fina,3,7,4,Enrique,7,7,117,盗掘王シモン,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,166,1,May try again,1,Cannot escape,58
47,5,0,Vyse,4,6,1,Aika,6,6,2,Fina,3,7,5,Gilder,7,7,117,盗掘王シモン,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,166,1,May try again,1,Cannot escape,58
48,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,151,ガルシアン,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,0,0,Must not lose,0,Can escape,61
49,10,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,153,ラミレス,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,168,1,May try again,1,Cannot escape,61
50,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,157,ラミレス,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,170,1,May try again,1,Cannot escape,62
51,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,151,ガルシアン,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,164,1,May try again,1,Cannot escape,61
52,10,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,153,ラミレス,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,168,1,May try again,1,Cannot escape,61
53,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,157,ラミレス,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,170,1,May try again,1,Cannot escape,62
54,2,0,Vyse,4,7,5,Gilder,6,7,-1,None,-1,-1,-1,None,-1,-1,102,要塞将兵,4,2,102,要塞将兵,6,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,106,0,Must not lose,1,Cannot escape,58
55,2,0,Vyse,4,8,1,Aika,6,9,5,Gilder,3,9,-1,None,-1,-1,102,要塞将兵,3,1,102,要塞将兵,6,1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,106,0,Must not lose,1,Cannot escape,58
56,3,0,Vyse,4,7,1,Aika,6,7,2,Fina,3,6,4,Enrique,7,6,71,テンコウ,4,3,71,テンコウ,6,3,71,テンコウ,3,4,71,テンコウ,7,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,134,0,Must not lose,0,Can escape,58
57,3,0,Vyse,4,7,1,Aika,6,7,2,Fina,3,6,4,Enrique,7,6,71,テンコウ,4,3,71,テンコウ,6,3,71,テンコウ,3,4,71,テンコウ,7,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,134,0,Must not lose,0,Can escape,58
58,3,0,Vyse,4,7,1,Aika,6,7,2,Fina,3,6,4,Enrique,7,6,71,テンコウ,4,3,71,テンコウ,6,3,71,テンコウ,3,4,71,テンコウ,7,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,134,0,Must not lose,0,Can escape,58
59,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,75,デ式レーダー,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,108,0,Must not lose,0,Can escape,-1
60,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,75,デ式レーダー,3,2,75,デ式レーダー,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,108,0,Must not lose,0,Can escape,-1
61,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,75,デ式レーダー,4,2,75,デ式レーダー,3,3,75,デ式レーダー,5,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,108,0,Must not lose,0,Can escape,-1
62,2,0,Vyse,3,8,1,Aika,5,8,2,Fina,2,9,5,Gilder,6,9,75,デ式レーダー,3,2,75,デ式レーダー,5,2,75,デ式レーダー,2,3,75,デ式レーダー,6,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,108,0,Must not lose,0,Can escape,-1
63,2,0,Vyse,5,6,1,Aika,6,7,2,Fina,4,7,-1,None,-1,-1,24,デシェレト,3,2,24,デシェレト,5,3,24,デシェレト,7,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,66,0,Must not lose,0,Can escape,-1
64,2,0,Vyse,5,7,1,Aika,6,8,2,Fina,4,8,-1,None,-1,-1,24,デシェレト,3,3,24,デシェレト,5,2,24,デシェレト,7,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,66,0,Must not lose,0,Can escape,-1
65,3,0,Vyse,5,7,1,Aika,6,7,2,Fina,4,8,4,Enrique,7,8,105,ベレーザ兵,4,3,105,ベレーザ兵,7,3,105,ベレーザ兵,3,2,105,ベレーザ兵,8,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,134,0,Must not lose,0,Can escape,-1
66,4,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,108,ヒュドラ巨兵,4,1,108,ヒュドラ巨兵,2,4,108,ヒュドラ巨兵,6,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,162,1,May try again,1,Cannot escape,-1
67,3,0,Vyse,4,6,1,Aika,5,6,2,Fina,3,6,4,Enrique,6,6,106,工作兵,3,3,106,工作兵,4,3,106,工作兵,5,3,106,工作兵,6,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,150,0,Must not lose,0,Can escape,-1
68,3,0,Vyse,4,6,1,Aika,5,6,2,Fina,3,6,4,Enrique,6,6,106,工作兵,3,3,106,工作兵,4,3,106,工作兵,5,3,106,工作兵,6,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,150,0,Must not lose,0,Can escape,-1
69,20,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,121,エルシアン,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,210,1,May try again,0,Can escape,-1
70,20,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,121,エルシアン,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,210,1,May try again,0,Can escape,-1
71,20,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,121,エルシアン,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,210,1,May try again,0,Can escape,-1
