Entry ID,[Filter],[Enemy Ship ID],[Enemy Ship Name],Unk.,Task Rating,Task A Type ID,[Task A Type Name],Task A Arm. ID,Task A Param. ID,[Task A Param. Name],Task A Arm. Range,Task B Type ID,[Task B Type Name],Task B Arm. ID,Task B Param. ID,[Task B Param. Name],Task B Arm. Range
17,R500A.BIN,23,ブラックベアード,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
18,R500A.BIN,23,ブラックベアード,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
19,R500A.BIN,23,ブラックベアード,0,0,0,Attack,0,0,None,0,0,Attack,0,0,None,0
0,R501A.BIN,2,バルア巡洋艦,3,50,0,Attack,0,-1,None,0,0,Attack,1,-1,None,0
1,R501A.BIN,2,バルア巡洋艦,-1,0,0,Attack,1,-1,None,0,0,Attack,1,-1,None,0
2,R501A.BIN,2,バルア巡洋艦,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
3,R501A.BIN,2,バルア巡洋艦,0,0,0,Attack,0,0,None,0,0,Attack,0,0,None,0
4,R501A.BIN,2,バルア巡洋艦,3,50,0,Attack,0,-1,None,0,0,Attack,1,-1,None,0
5,R501A.BIN,2,バルア巡洋艦,-1,0,0,Attack,1,-1,None,0,0,Attack,1,-1,None,0
6,R501A.BIN,2,バルア巡洋艦,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
7,R501A.BIN,2,バルア巡洋艦,0,0,0,Attack,0,0,None,0,0,Attack,0,0,None,0
0,R503A.BIN,21,黒空賊船,3,20,2,Focus,-1,0,Focus,0,0,Attack,0,-1,None,0
1,R503A.BIN,21,黒空賊船,3,20,0,Attack,1,-1,None,2,0,Attack,1,-1,None,2
2,R503A.BIN,21,黒空賊船,-1,0,2,Focus,-1,0,Focus,0,2,Focus,-1,0,Focus,0
3,R503A.BIN,21,黒空賊船,0,50,3,Guard,-1,0,Evasive Action,0,0,Attack,0,-1,None,0
4,R503A.BIN,21,黒空賊船,3,40,0,Attack,1,-1,None,2,0,Attack,0,-1,None,0
5,R503A.BIN,21,黒空賊船,-1,0,2,Focus,-1,0,Focus,0,2,Focus,-1,0,Focus,0
6,R503A.BIN,21,黒空賊船,1,95,0,Attack,0,-1,None,0,3,Guard,-1,0,Evasive Action,0
7,R503A.BIN,21,黒空賊船,-1,0,3,Guard,-1,0,Evasive Action,0,3,Guard,-1,0,Evasive Action,0
8,R503A.BIN,21,黒空賊船,3,70,0,Attack,1,-1,None,1,0,Attack,1,-1,None,1
9,R503A.BIN,21,黒空賊船,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
10,R503A.BIN,21,黒空賊船,30,20,3,Guard,-1,0,Evasive Action,0,0,Attack,0,-1,None,0
11,R503A.BIN,21,黒空賊船,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
12,R503A.BIN,21,黒空賊船,3,80,0,Attack,1,-1,None,2,2,Focus,-1,0,Focus,0
13,R503A.BIN,21,黒空賊船,3,50,3,Guard,-1,0,Evasive Action,0,2,Focus,-1,0,Focus,0
14,R503A.BIN,21,黒空賊船,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
15,R503A.BIN,21,黒空賊船,-1,0,2,Focus,-1,0,Focus,0,2,Focus,-1,0,Focus,0
16,R503A.BIN,21,黒空賊船,3,30,2,Focus,-1,0,Focus,0,0,Attack,1,-1,None,2
17,R503A.BIN,21,黒空賊船,3,50,2,Focus,-1,0,Focus,0,0,Attack,0,-1,None,0
18,R503A.BIN,21,黒空賊船,-1,0,4,Nothing,-1,0,Awaiting Orders,0,4,Nothing,-1,0,Awaiting Orders,0
19,R503A.BIN,21,黒空賊船,3,80,0,Attack,0,-1,None,0,3,Guard,-1,0,Evasive Action,0
20,R503A.BIN,21,黒空賊船,3,20,3,Guard,-1,0,Evasive Action,0,0,Attack,1,-1,None,3
21,R503A.BIN,21,黒空賊船,3,90,0,Attack,0,-1,None,0,2,Focus,-1,0,Focus,0
22,R503A.BIN,21,黒空賊船,3,30,4,Nothing,-1,0,Awaiting Orders,0,0,Attack,0,-1,None,0
23,R503A.BIN,21,黒空賊船,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
24,R503A.BIN,21,黒空賊船,3,20,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
25,R503A.BIN,21,黒空賊船,3,50,2,Focus,-1,0,Focus,0,4,Nothing,-1,0,Awaiting Orders,0
26,R503A.BIN,21,黒空賊船,-1,0,0,Attack,1,-1,None,3,0,Attack,2,-1,None,3
27,R503A.BIN,21,黒空賊船,1,80,0,Attack,0,-1,None,0,2,Focus,-1,0,Focus,0
28,R503A.BIN,21,黒空賊船,3,20,2,Focus,-1,0,Focus,0,0,Attack,0,-1,None,0
29,R503A.BIN,21,黒空賊船,-1,0,0,Attack,1,-1,None,3,0,Attack,1,-1,None,3
30,R503A.BIN,21,黒空賊船,1,50,0,Attack,0,-1,None,0,4,Nothing,-1,0,Awaiting Orders,0
31,R503A.BIN,21,黒空賊船,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
0,R506A.BIN,24,レドキュラム,-1,0,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
1,R506A.BIN,24,レドキュラム,-1,0,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
2,R506A.BIN,24,レドキュラム,-1,0,2,Focus,-1,2,Preparing Attack,0,0,Attack,0,-1,None,0
3,R506A.BIN,24,レドキュラム,9,0,4,Nothing,-1,4,Red Ray,0,0,Attack,0,-1,None,0
4,R506A.BIN,24,レドキュラム,-1,0,2,Focus,-1,2,Preparing Attack,0,0,Attack,0,-1,None,0
5,R506A.BIN,24,レドキュラム,9,0,4,Nothing,-1,4,Red Ray,0,0,Attack,0,-1,None,0
6,R506A.BIN,24,レドキュラム,-1,0,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
7,R506A.BIN,24,レドキュラム,-1,0,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
8,R506A.BIN,24,レドキュラム,-1,0,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
9,R506A.BIN,24,レドキュラム,-1,0,2,Focus,-1,2,Preparing Attack,0,0,Attack,0,-1,None,0
10,R506A.BIN,24,レドキュラム,9,0,4,Nothing,-1,4,Red Ray,0,0,Attack,0,-1,None,0
11,R506A.BIN,24,レドキュラム,-1,0,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
12,R506A.BIN,24,レドキュラム,-1,0,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
13,R506A.BIN,24,レドキュラム,-1,0,2,Focus,-1,2,Preparing Attack,0,0,Attack,0,-1,None,0
14,R506A.BIN,24,レドキュラム,9,0,4,Nothing,-1,4,Red Ray,0,0,Attack,0,-1,None,0
15,R506A.BIN,24,レドキュラム,-1,0,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
16,R506A.BIN,24,レドキュラム,-1,0,2,Focus,-1,2,Preparing Attack,0,0,Attack,0,-1,None,0
17,R506A.BIN,24,レドキュラム,9,0,4,Nothing,-1,4,Red Ray,0,0,Attack,0,-1,None,0
18,R506A.BIN,24,レドキュラム,-1,0,2,Focus,-1,2,Preparing Attack,0,0,Attack,0,-1,None,0
19,R506A.BIN,24,レドキュラム,9,0,4,Nothing,-1,4,Red Ray,0,0,Attack,0,-1,None,0
20,R506A.BIN,24,レドキュラム,-1,0,2,Focus,-1,2,Preparing Attack,0,0,Attack,0,-1,None,0
21,R506A.BIN,24,レドキュラム,9,0,4,Nothing,-1,4,Red Ray,0,0,Attack,0,-1,None,0
22,R506A.BIN,24,レドキュラム,-1,0,2,Focus,-1,2,Preparing Attack,0,0,Attack,0,-1,None,0
23,R506A.BIN,24,レドキュラム,9,0,4,Nothing,-1,4,Red Ray,0,0,Attack,0,-1,None,0
0,R507A.BIN,11,リンクス,-1,0,1,Magic,-1,0,アパ,0,0,Attack,0,-1,None,0
1,R507A.BIN,11,リンクス,-1,0,1,Magic,-1,23,バーナ,0,0,Attack,0,-1,None,0
2,R507A.BIN,11,リンクス,-1,0,2,Focus,-1,1,Taking Aim,0,0,Attack,0,-1,None,0
3,R507A.BIN,11,リンクス,0,50,1,Magic,-1,23,バーナ,0,1,Magic,-1,22,ウェボーン,0
4,R507A.BIN,11,リンクス,1,50,0,Attack,0,-1,None,0,1,Magic,-1,23,バーナ,0
5,R507A.BIN,11,リンクス,-1,0,0,Attack,2,-1,None,1,0,Attack,0,-1,None,0
6,R507A.BIN,11,リンクス,1,50,0,Attack,0,-1,None,0,1,Magic,-1,22,ウェボーン,0
7,R507A.BIN,11,リンクス,-1,0,3,Guard,-1,-1,None,0,0,Attack,0,-1,None,0
8,R507A.BIN,11,リンクス,-1,0,0,Attack,1,-1,None,2,0,Attack,0,-1,None,0
9,R507A.BIN,11,リンクス,-1,0,0,Attack,2,-1,None,1,0,Attack,0,-1,None,0
10,R507A.BIN,11,リンクス,1,50,0,Attack,0,-1,None,0,1,Magic,-1,22,ウェボーン,0
11,R507A.BIN,11,リンクス,1,30,1,Magic,-1,6,サプラ,0,3,Guard,-1,-1,None,0
12,R507A.BIN,11,リンクス,-1,0,0,Attack,1,-1,None,2,0,Attack,0,-1,None,0
13,R507A.BIN,11,リンクス,-1,0,0,Attack,2,-1,None,1,0,Attack,0,-1,None,0
14,R507A.BIN,11,リンクス,1,50,0,Attack,0,-1,None,0,1,Magic,-1,22,ウェボーン,0
15,R507A.BIN,11,リンクス,1,30,1,Magic,-1,6,サプラ,0,1,Magic,-1,0,アパ,0
16,R507A.BIN,11,リンクス,-1,0,0,Attack,1,-1,None,2,0,Attack,0,-1,None,0
17,R507A.BIN,11,リンクス,-1,0,4,Nothing,-1,1,Target Lost,0,0,Attack,0,-1,None,0
18,R507A.BIN,11,リンクス,-1,0,0,Attack,2,-1,None,1,0,Attack,0,-1,None,0
19,R507A.BIN,11,リンクス,1,50,0,Attack,0,-1,None,0,1,Magic,-1,23,バーナ,0
20,R507A.BIN,11,リンクス,1,30,1,Magic,-1,6,サプラ,0,1,Magic,-1,0,アパ,0
21,R507A.BIN,11,リンクス,-1,0,0,Attack,2,-1,None,2,0,Attack,0,-1,None,0
22,R507A.BIN,11,リンクス,-1,0,0,Attack,1,-1,None,1,0,Attack,0,-1,None,0
23,R507A.BIN,11,リンクス,1,50,0,Attack,0,-1,None,0,1,Magic,-1,23,バーナ,0
24,R507A.BIN,11,リンクス,-1,0,2,Focus,-1,1,Taking Aim,0,0,Attack,0,-1,None,0
25,R507A.BIN,11,リンクス,-1,0,0,Attack,1,-1,None,2,0,Attack,0,-1,None,0
26,R507A.BIN,11,リンクス,-1,0,0,Attack,2,-1,None,1,0,Attack,0,-1,None,0
27,R507A.BIN,11,リンクス,1,50,0,Attack,0,-1,None,0,1,Magic,-1,22,ウェボーン,0
28,R507A.BIN,11,リンクス,-1,0,2,Focus,-1,1,Taking Aim,0,0,Attack,0,-1,None,0
29,R507A.BIN,11,リンクス,-1,0,0,Attack,2,-1,None,2,0,Attack,0,-1,None,0
30,R507A.BIN,11,リンクス,-1,0,0,Attack,1,-1,None,1,0,Attack,0,-1,None,0
31,R507A.BIN,11,リンクス,1,50,0,Attack,0,-1,None,0,1,Magic,-1,22,ウェボーン,0
32,R507A.BIN,11,リンクス,-1,0,0,Attack,1,-1,None,2,0,Attack,0,-1,None,0
33,R507A.BIN,11,リンクス,-1,0,4,Nothing,-1,1,Target Lost,0,0,Attack,0,-1,None,0
34,R507A.BIN,11,リンクス,-1,0,0,Attack,2,-1,None,1,0,Attack,0,-1,None,0
35,R507A.BIN,11,リンクス,1,50,0,Attack,0,-1,None,0,1,Magic,-1,23,バーナ,0
0,R509A.BIN,12,カミュレオン,3,30,4,Nothing,-1,0,Awaiting Orders,0,0,Attack,2,-1,None,3
1,R509A.BIN,12,カミュレオン,3,80,4,Nothing,-1,0,Awaiting Orders,0,3,Guard,-1,-1,None,0
2,R509A.BIN,12,カミュレオン,3,40,4,Nothing,-1,0,Awaiting Orders,0,2,Focus,-1,0,Focus,0
3,R509A.BIN,12,カミュレオン,3,20,4,Nothing,-1,0,Awaiting Orders,0,0,Attack,1,-1,None,0
4,R509A.BIN,12,カミュレオン,-1,0,0,Attack,2,-1,None,3,0,Attack,2,-1,None,3
5,R509A.BIN,12,カミュレオン,-1,0,0,Attack,1,-1,None,2,0,Attack,1,-1,None,2
6,R509A.BIN,12,カミュレオン,-1,0,2,Focus,-1,0,Focus,0,2,Focus,-1,0,Focus,0
7,R509A.BIN,12,カミュレオン,-1,0,3,Guard,-1,-1,None,0,3,Guard,-1,-1,None,0
8,R509A.BIN,12,カミュレオン,-1,0,2,Focus,-1,0,Focus,0,2,Focus,-1,0,Focus,0
9,R509A.BIN,12,カミュレオン,-1,0,2,Focus,-1,0,Focus,0,2,Focus,-1,0,Focus,0
10,R509A.BIN,12,カミュレオン,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
11,R509A.BIN,12,カミュレオン,-1,0,0,Attack,3,-1,None,0,0,Attack,3,-1,None,0
12,R509A.BIN,12,カミュレオン,-1,0,2,Focus,-1,0,Focus,0,2,Focus,-1,0,Focus,0
13,R509A.BIN,12,カミュレオン,-1,0,2,Focus,-1,0,Focus,0,2,Focus,-1,0,Focus,0
14,R509A.BIN,12,カミュレオン,-1,0,4,Nothing,-1,1,Target Lost,0,4,Nothing,-1,0,Awaiting Orders,0
15,R509A.BIN,12,カミュレオン,-1,0,4,Nothing,-1,1,Target Lost,0,4,Nothing,-1,0,Awaiting Orders,0
16,R509A.BIN,12,カミュレオン,3,50,2,Focus,-1,0,Focus,0,4,Nothing,-1,0,Awaiting Orders,0
17,R509A.BIN,12,カミュレオン,-1,0,0,Attack,1,-1,None,3,0,Attack,1,-1,None,3
18,R509A.BIN,12,カミュレオン,-1,0,0,Attack,2,-1,None,1,0,Attack,3,-1,None,1
19,R509A.BIN,12,カミュレオン,3,50,2,Focus,-1,0,Focus,0,4,Nothing,-1,0,Awaiting Orders,0
20,R509A.BIN,12,カミュレオン,-1,0,2,Focus,-1,0,Focus,0,2,Focus,-1,0,Focus,0
21,R509A.BIN,12,カミュレオン,-1,0,2,Focus,-1,0,Focus,0,2,Focus,-1,0,Focus,0
22,R509A.BIN,12,カミュレオン,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
23,R509A.BIN,12,カミュレオン,-1,0,0,Attack,3,-1,None,0,0,Attack,3,-1,None,0
24,R509A.BIN,12,カミュレオン,-1,0,2,Focus,-1,0,Focus,0,2,Focus,-1,0,Focus,0
25,R509A.BIN,12,カミュレオン,-1,0,2,Focus,-1,0,Focus,0,2,Focus,-1,0,Focus,0
26,R509A.BIN,12,カミュレオン,-1,0,4,Nothing,-1,1,Target Lost,0,4,Nothing,-1,0,Awaiting Orders,0
27,R509A.BIN,12,カミュレオン,-1,0,4,Nothing,-1,1,Target Lost,0,4,Nothing,-1,0,Awaiting Orders,0
28,R509A.BIN,12,カミュレオン,-1,0,4,Nothing,-1,0,Awaiting Orders,0,4,Nothing,-1,0,Awaiting Orders,0
29,R509A.BIN,12,カミュレオン,-1,0,0,Attack,2,-1,None,3,0,Attack,2,-1,None,3
30,R509A.BIN,12,カミュレオン,-1,0,0,Attack,1,-1,None,2,0,Attack,1,-1,None,2
31,R509A.BIN,12,カミュレオン,-1,0,4,Nothing,-1,0,Awaiting Orders,0,4,Nothing,-1,0,Awaiting Orders,0
0,R510A.BIN,4,バルア戦艦,0,50,4,Nothing,-1,-1,None,0,1,Magic,-1,23,バーナ,0
1,R510A.BIN,4,バルア戦艦,0,20,4,Nothing,-1,-1,None,0,1,Magic,-1,23,バーナ,0
2,R510A.BIN,4,バルア戦艦,3,30,3,Guard,-1,0,Evasive Action,0,2,Focus,-1,0,Focus,0
3,R510A.BIN,4,バルア戦艦,3,10,3,Guard,-1,0,Evasive Action,0,0,Attack,1,-1,None,0
4,R510A.BIN,4,バルア戦艦,0,20,4,Nothing,-1,-1,None,0,1,Magic,-1,23,バーナ,0
5,R510A.BIN,4,バルア戦艦,1,40,1,Magic,-1,6,サプラ,0,0,Attack,0,-1,None,0
6,R510A.BIN,4,バルア戦艦,3,30,3,Guard,-1,0,Evasive Action,0,4,Nothing,-1,-1,None,0
7,R510A.BIN,4,バルア戦艦,3,30,3,Guard,-1,0,Evasive Action,0,1,Magic,-1,23,バーナ,0
8,R510A.BIN,4,バルア戦艦,1,20,1,Magic,-1,6,サプラ,0,0,Attack,1,-1,None,3
9,R510A.BIN,4,バルア戦艦,1,10,1,Magic,-1,6,サプラ,0,1,Magic,-1,23,バーナ,0
10,R510A.BIN,4,バルア戦艦,3,50,2,Focus,-1,0,Focus,0,3,Guard,-1,0,Evasive Action,0
11,R510A.BIN,4,バルア戦艦,1,10,1,Magic,-1,6,サプラ,0,1,Magic,-1,23,バーナ,0
12,R510A.BIN,4,バルア戦艦,3,50,0,Attack,1,-1,None,2,2,Focus,-1,0,Focus,0
13,R510A.BIN,4,バルア戦艦,1,30,3,Guard,-1,0,Evasive Action,0,4,Nothing,-1,-1,None,0
14,R510A.BIN,4,バルア戦艦,3,30,1,Magic,-1,6,サプラ,0,2,Focus,-1,0,Focus,0
15,R510A.BIN,4,バルア戦艦,3,50,2,Focus,-1,0,Focus,0,0,Attack,0,-1,None,0
0,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
1,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
2,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
3,R513A.BIN,35,ロック鳥,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
4,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,3,Guard,-1,0,Evasive Action,0
5,R513A.BIN,35,ロック鳥,-1,0,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
6,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
7,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
8,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
9,R513A.BIN,35,ロック鳥,-1,0,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
10,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
11,R513A.BIN,35,ロック鳥,-1,0,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
12,R513A.BIN,35,ロック鳥,3,50,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
13,R513A.BIN,35,ロック鳥,-1,0,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
14,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,3,Guard,-1,0,Evasive Action,0
15,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
16,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
17,R513A.BIN,35,ロック鳥,-1,0,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
18,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,3,Guard,-1,0,Evasive Action,0
19,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
20,R513A.BIN,35,ロック鳥,-1,0,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
21,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
22,R513A.BIN,35,ロック鳥,-1,0,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
23,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
24,R513A.BIN,35,ロック鳥,3,50,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
25,R513A.BIN,35,ロック鳥,-1,0,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
26,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,3,Guard,-1,0,Evasive Action,0
27,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
28,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,3,Guard,-1,0,Evasive Action,0
29,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,3,Guard,-1,0,Evasive Action,0
30,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,3,Guard,-1,0,Evasive Action,0
31,R513A.BIN,35,ロック鳥,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
32,R513A.BIN,35,ロック鳥,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
33,R513A.BIN,35,ロック鳥,-1,0,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
34,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
35,R513A.BIN,35,ロック鳥,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
0,R514A.BIN,13,カミュレオン,3,50,0,Attack,0,-1,None,0,0,Attack,2,-1,None,3
1,R514A.BIN,13,カミュレオン,3,50,0,Attack,0,-1,None,0,0,Attack,1,-1,None,1
2,R514A.BIN,13,カミュレオン,3,50,2,Focus,-1,0,Focus,0,4,Nothing,-1,-1,None,0
3,R514A.BIN,13,カミュレオン,-1,1,0,Attack,1,-1,None,0,-1,None,-1,-1,None,0
4,R514A.BIN,13,カミュレオン,-1,0,0,Attack,2,-1,None,1,0,Attack,2,-1,None,2
5,R514A.BIN,13,カミュレオン,-1,0,4,Nothing,0,0,Awaiting Orders,0,-1,None,-1,-1,None,0
6,R514A.BIN,13,カミュレオン,3,50,0,Attack,0,-1,None,1,0,Attack,0,-1,None,0
7,R514A.BIN,13,カミュレオン,3,50,0,Attack,0,-1,None,0,4,Nothing,-1,0,Awaiting Orders,0
8,R514A.BIN,13,カミュレオン,-1,0,2,Focus,-1,1,Taking Aim,0,-1,None,-1,-1,None,0
9,R514A.BIN,13,カミュレオン,-1,0,2,Focus,-1,1,Taking Aim,0,-1,None,-1,-1,None,0
10,R514A.BIN,13,カミュレオン,-1,0,2,Focus,-1,1,Taking Aim,0,-1,None,-1,-1,None,0
11,R514A.BIN,13,カミュレオン,-1,0,0,Attack,3,-1,None,0,-1,None,-1,-1,None,0
12,R514A.BIN,13,カミュレオン,-1,0,2,Focus,-1,1,Taking Aim,0,-1,None,-1,-1,None,0
13,R514A.BIN,13,カミュレオン,-1,0,2,Focus,-1,1,Taking Aim,0,-1,None,-1,-1,None,0
14,R514A.BIN,13,カミュレオン,-1,0,2,Focus,-1,1,Taking Aim,0,-1,None,-1,-1,None,0
15,R514A.BIN,13,カミュレオン,-1,0,0,Attack,3,-1,None,0,-1,None,-1,-1,None,0
16,R514A.BIN,13,カミュレオン,-1,0,2,Focus,-1,0,Focus,0,-1,None,-1,-1,None,0
17,R514A.BIN,13,カミュレオン,3,50,0,Attack,2,-1,None,1,3,Guard,-1,0,Evasive Action,0
18,R514A.BIN,13,カミュレオン,-1,0,0,Attack,0,-1,None,0,-1,None,-1,-1,None,0
19,R514A.BIN,13,カミュレオン,-1,0,4,Nothing,-1,0,Awaiting Orders,0,-1,None,-1,-1,None,0
20,R514A.BIN,13,カミュレオン,-1,0,2,Focus,-1,0,Focus,0,-1,None,-1,-1,None,0
21,R514A.BIN,13,カミュレオン,3,50,0,Attack,2,-1,None,1,3,Guard,-1,0,Evasive Action,0
22,R514A.BIN,13,カミュレオン,3,70,0,Attack,0,-1,None,0,4,Nothing,-1,0,Awaiting Orders,0
23,R514A.BIN,13,カミュレオン,-1,0,4,Nothing,-1,0,Awaiting Orders,0,-1,None,-1,-1,None,0
24,R514A.BIN,13,カミュレオン,-1,0,2,Focus,-1,1,Taking Aim,0,-1,None,-1,-1,None,0
25,R514A.BIN,13,カミュレオン,-1,0,0,Attack,1,-1,None,0,-1,None,-1,-1,None,0
26,R514A.BIN,13,カミュレオン,-1,0,2,Focus,-1,1,Taking Aim,0,-1,None,-1,-1,None,0
27,R514A.BIN,13,カミュレオン,-1,0,0,Attack,3,-1,None,0,-1,None,-1,-1,None,0
28,R514A.BIN,13,カミュレオン,-1,0,2,Focus,-1,1,Taking Aim,0,-1,None,-1,-1,None,0
29,R514A.BIN,13,カミュレオン,-1,0,2,Focus,-1,1,Taking Aim,0,-1,None,-1,-1,None,0
30,R514A.BIN,13,カミュレオン,-1,0,2,Focus,-1,1,Taking Aim,0,-1,None,-1,-1,None,0
31,R514A.BIN,13,カミュレオン,-1,0,0,Attack,3,1,None,0,-1,None,-1,-1,None,0
32,R514A.BIN,13,カミュレオン,-1,0,2,Focus,-1,0,Focus,0,-1,None,-1,-1,None,0
33,R514A.BIN,13,カミュレオン,-1,0,0,Attack,2,-1,None,2,3,Guard,-1,0,Evasive Action,0
