Entry ID,Entry US Name,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Consume%,Sell%,Ord by 123,US Ord by ABC,Buy,Pad 1,Pad 2,Effect Base,Element ID,[Element Name],Type ID,[Type Name],State ID,[State Name],State Miss%,[US Descr Pos],[US Descr Size],US Descr Str
296,Tropica ,0x4,X,"","",59,Grow MAXHP,1,Single PC,100,100,40,61,1000,0,0,200,-1,None,-1,None,0,Poison,0,0x3663cc,64,An extremely rare gourd\nthat increases an ally's Max HP by 200.
297,Urala's Lunch,0x4,X,"","",51,Recover HP & MP by 100% B,1,Single PC,100,100,44,8,200,0,0,10000,-1,None,-1,None,0,Poison,0,0x36640c,84,A meal made from exotic ingredients that \nfully replenishes the party's HP and MP.
298,Polly Special,0x4,X,"","",51,Recover HP & MP by 100% B,1,Single PC,100,100,45,69,200,0,0,10000,-1,None,-1,None,0,Poison,0,0x366460,84,A meal made from rare ingredients that \nfully replenishes the party's HP and MP.
299,Magillex Idol,0x0,"","","",-1,None,0,None,0,100,55,70,25000,0,0,0,0,Green,0,Physical,0,Poison,0,0x3664b4,68,One of the three lost sacred figurines that\nPinta is looking for.
300,Pharax Idol,0x0,"","","",-1,None,0,None,0,100,56,6,25000,0,0,0,0,Green,0,Physical,0,Poison,0,0x3664f8,68,One of the three lost sacred figurines that\nPinta is looking for. 
301,Euconyx Idol,0x0,"","","",-1,None,0,None,0,100,57,17,25000,0,0,0,0,Green,0,Physical,0,Poison,0,0x0,0,""
302,ダミー,0x0,"","","",-1,None,0,None,0,0,77,77,0,0,0,0,0,Green,0,Physical,0,Poison,0,0x0,0,""
303,ダミー,0x0,"","","",-1,None,0,None,0,0,78,78,0,0,0,0,0,Green,0,Physical,0,Poison,0,0x0,0,""
304,ダミー,0x0,"","","",-1,None,0,None,0,0,79,79,0,0,0,0,0,Green,0,Physical,0,Poison,0,0x0,0,""
305,Drajik Fish,0x0,"","","",-1,None,0,None,100,100,76,27,3000,0,0,0,0,Green,0,Physical,0,Poison,0,0x36653c,16,A fish\nWorld
306,Kite Ray,0x4,X,"","",31,Recover HP,1,Single PC,100,100,62,11,5,0,0,10,-1,None,-1,None,0,Poison,0,0x36654c,52,Found near Valua. An air fish\nfor it's great taste.
307,Stealth Ray,0x4,X,"","",31,Recover HP,1,Single PC,100,100,63,35,50,0,0,10,-1,None,-1,None,0,Poison,0,0x366580,20,A larger ray\nhide
308,Spear Squid,0x4,X,"","",31,Recover HP,1,Single PC,100,100,64,71,30,0,0,1,-1,None,-1,None,0,Poison,0,0x366594,72,These small creatures are often found in windy\nareas. They are small
309,Drill Squid,0x4,X,"","",31,Recover HP,1,Single PC,100,100,65,60,300,0,0,10,-1,None,-1,None,0,Poison,0,0x3665dc,60,Larger than a Spear Squid\ndecent meal. Can be eaten raw.
310,Grule,0x4,X,"","",31,Recover HP,1,Single PC,100,100,66,45,40,0,0,10,-1,None,-1,None,0,Poison,0,0x366618,68,A fish found near the Dark Rift. Despite its\ngrotesque appearance
311,Rainbow Grule,0x4,X,"","",31,Recover HP,1,Single PC,100,100,67,62,400,0,0,50,-1,None,-1,None,0,Poison,0,0x36665c,96,A fish that uses a glowing tentacle as a lure\nto catch smaller fish. These fish are delicious.
312,Moonfish,0x4,X,"","",31,Recover HP,1,Single PC,100,100,68,48,150,0,0,10,-1,None,-1,None,0,Poison,0,0x3666bc,64,Its body is a translucent white. It's found at\nhigh altitudes
313,Silverfish,0x4,X,"","",31,Recover HP,1,Single PC,100,100,69,20,1500,0,0,500,-1,None,-1,None,0,Poison,0,0x3666fc,88,A rare fish found at high altitudes above Mid\nOcean. Very high in nutritional value.
314,Romuhai Fish,0x4,X,"","",31,Recover HP,1,Single PC,100,100,70,76,100,0,0,50,-1,None,-1,None,0,Poison,0,0x366754,64,Has fins that look like wings. Commonly eaten in\nthe East raw
315,Hamahai Fish,0x4,X,"","",31,Recover HP,1,Single PC,100,100,71,64,1000,0,0,100,-1,None,-1,None,0,Poison,0,0x366794,60,Found at high altitudes above Yaftoma. Prized\nas a delicacy
316,Nerath Eel,0x4,X,"","",31,Recover HP,1,Single PC,100,100,72,1,80,0,0,10,-1,None,-1,None,0,Poison,0,0x3667d0,56,An eel found in dark areas\ncontinents. Barely edible.
317,Great Nerath Eel,0x4,X,"","",31,Recover HP,1,Single PC,100,100,73,10,800,0,0,1,-1,None,-1,None,0,Poison,0,0x366808,88,A Nerath Eel that has lived for years.\nGood food for those who need an energy boost.
318,Red Dragon,0x4,X,"","",31,Recover HP,1,Single PC,100,100,74,75,200,0,0,50,-1,None,-1,None,0,Poison,0,0x366860,72,Very little is known about this rare creature.\nIts meat is a delicacy.
319,Gold Dragon,0x4,X,"","",31,Recover HP,1,Single PC,100,100,75,22,2000,0,0,100,-1,None,-1,None,0,Poison,0,0x3668a8,64,An extremely rare creature. The wealthy would \npay bags of gold
