Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Chara. ID,[Chara. name],Retail price in %,Order by prio.,EU order by ABC,Effect ID,[Effect name],Pad. #0,Purchase price,Attack,Hit%,Feat. ID,[Feat. name],Pad. #1,Feat. value,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
10,2352236564,105722,14,Steinschneide,105253,12,Cortapiedra,106082,13,Coupe Pierre,104398,12,Stonecutter,0,Vyse,50,6,58,-1,None,0,3120,99,90,-1,None,0,0,64081,86,"Messer, ursprünglich zu Steinmetzarbeiten\nbenutzt, jetzt für den Kampf umgearbeitet.",63868,93,"Una espada que se utilizaba en albañilería,\npero se ha transformado para su uso en combate.",64003,95,"Une lame utilisée à l'origine en maçonnerie, qui\na été modifiée pour servir dans les combats.",63469,91,"A blade originally used in masonry work, it has\nsince been modified to be used in combat."
11,2352236576,105736,13,Traummachete,105265,16,Sable de Sueños,106095,11,Sabre Rêve,104410,14,Dream Cutlass,0,Vyse,50,10,26,-1,None,0,6690,137,90,35,Blue,0,-2,64167,96,"Legendäres Schwert, das den Stoff der Wirklich-\nkeit zerschneiden und Träume wahr machen kann.",63961,88,Mítica espada que deshace la materia de lo real\npara que los sueños se hagan realidad.,64098,96,Une épée légendaire qui peut soi-disant déchirer\nle tissu de la réalité et réaliser les rêves.,63560,92,A legendary sword that can supposedly rip the\nfabric of reality and make dreams come true.
12,2352236592,105749,12,Windspalter,105281,13,Corta-viento,106106,16,Coupeur de Vent,104424,11,Windslicer,0,Vyse,50,12,70,-1,None,0,8760,153,90,-1,None,0,0,64263,90,"Ein so dünnes Messer, das man von ihm sagt, es\nkönne die Luft in zwei Hälften schneiden.",64049,86,"Espada de hoja tan fina que, según la leyenda,\ncorta el mismisimo aire por la mitad.",64194,64,Une épée si fine qu'elle peut couper l'air\nd'après la légende.,63652,78,A blade so slender that it is fabled to be able\nto cut the very air in half.
13,2352236604,105761,14,Vorlik-Klinge,105294,14,Espada Vorlik,106122,12,Épée Vorlik,104435,13,Vorlik Blade,0,Vyse,50,15,68,-1,None,0,16500,200,200,-1,None,0,0,64353,72,"Meisterwerk des legendären Schmieds Ryu-kan,\naus Velorium hergestellt.",64135,79,"Una obra maestra del mítico creador de espadas\nRyu-kan, forjada con Velorium.",64258,79,"Un chef d'oeuvre du légendaire façonneur d'épée,\nRyu-kan, forgée en Velorium.",63730,75,"A masterpiece of the legendary swordsmith,\nRyu-kan, forged from Velorium."
14,2352236620,105775,14,Suiran-Klinge,105308,14,Espada Suiran,106134,12,Épée Suiran,104448,13,Suiran Blade,0,Vyse,50,11,60,-1,None,0,7500,141,90,-1,None,0,0,64425,93,"Von yafutoman-Soldaten benutztes Schwert, trotz\nseiner schweren Klinge leicht zu handhaben.",64214,97,"Espada corta usada por los soldados Yafutoman.\nAunque sea gruesa y pesada, es fácil de manejar.",64337,96,"Une courte épée dont se servaient les soldats\nYafutoman, à lame large et lourde mais maniable.",63805,91,"A short sword used by Yafutoman soldiers, its\nthick, heavy blade is still easy to handle."
15,2352236636,105789,14,Seelenschwert,105322,16,Espada del Alma,106146,9,Épée Âme,104461,11,Soul Sword,0,Vyse,50,14,56,16,Add Death #3,0,12340,174,90,-1,None,0,0,64518,94,"Das Schwert der Schwerter, die Meisterstück des\nSchmieds Ryu-kan. Kann auf der Stelle töten.",64311,91,"La espada por antonomasia, obra maestra del\nmaestro Ryu-kan. Causa la muerte instantánea.",64433,92,"L'ultime épée, le meilleur travail du façonneur\nd'épée, Ryu-kan. Peut tuer d'un seul coup.",63896,95,"The ultimate sword, the best work of the master\nswordsmith, Ryu-kan. Can cause instant death."
16,2352236648,105803,9,Bumerang,105338,8,Bumerán,106155,10,Boomerang,104472,10,Boomerang,1,Aika,50,17,5,-1,None,0,70,19,110,-1,None,0,0,64612,79,"Aikas Lieblings-Bumerang. Sehr groß, aber nicht\nschwer und leicht zu steuern.",64402,71,"El Bumerán preferido de Aika. Grande pero\nligero, y fácil de dirigir.",64525,71,Boomerang préféré d'Aika. Il est grand mais\nléger et facile à lancer.,63991,78,"Aika's favorite boomerang. It's large but light,\nand relatively easy to aim."
17,2352236660,105812,16,Himmelsschwinge,105346,12,Ala Celeste,106165,13,Aile du ciel,104482,8,Skywing,1,Aika,50,26,55,-1,None,0,3670,107,110,-1,None,0,0,64691,90,"Bumerang, der wie ein fliegender Vogel geformt\nist. Er kommt immer zum Werfenden zurück.",64473,91,"Bumerán con forma de pájaro volador. Siempre\nregresa, da igual lo lejos que sea lanzado.",64596,83,"Un boomerang en forme d'oiseau. Il revient\ntoujours, quelle que soit la distance.",64069,91,"A boomerang shaped like a flying bird. It\nalways returns, no matter how far it is thrown."
18,2352236668,105828,15,Späherschwinge,105358,16,Ala Exploradora,106178,14,Aile du scout,104490,11,Scout Wing,1,Aika,50,21,51,-1,None,0,680,53,110,-1,None,0,0,64781,80,"Waffe, die von den Spähtrupps benutzt\nwird, sie soll schnell und tödlich sein.",64564,93,El arma que usan las tripulaciones de partidas\nde reconocimiento. Debe ser rápida y mortal.,64679,94,"Arme transportée par les équipes d'éclaireurs,\nelle est conçue pour être rapide et mortelle.",64160,83,"A weapon carried by crews of scouting parties,\nit is meant to be fast and deadly."
19,2352236680,105843,11,Eisspalter,105374,11,Cortahielo,106192,17,Fendeur de Glace,104501,13,Ice Splitter,1,Aika,50,29,38,-1,None,0,7390,142,110,34,Purple,0,-2,64861,79,"Bumerang mit scharfer Klinge, der im\nFlug scheinbar die Luft gefrieren lässt.",64657,94,"Un Bumerán de hoja afilada y transparente como\nel hielo, que congela el aire que atraviesa.",64773,78,Un boomerang à la lame glacée et aiguisée qui\nsemble geler l'air qu'il fend.,64243,93,"A boomerang with an icy clear, sharp blade that\nseemingly freezes the air it flies through."
20,2352236696,105854,12,Ledersichel,105385,13,Bumerán piel,106209,13,Aile de Cuir,104514,17,Leather Crescent,1,Aika,50,18,41,-1,None,0,180,30,110,-1,None,0,0,64940,74,"Lederverstärkter Bumerang, sehr robust gebaut\nund äußerst schlagkräftig.",64751,72,Un Bumerán reforzado con cuero de hechura\nrecia y con un gran impacto.,64851,81,Un boomerang en cuir renforcé qui est très\nsolide et particulièrement puissant.,64336,88,"A leather-reinforced boomerang that is very\nsturdy in build, and packs an extra punch."
21,2352236716,105866,11,Wurfklinge,105398,17,Espada de lanzar,106222,15,Lame de Lancer,104531,15,Throwing Blade,1,Aika,50,19,63,-1,None,0,310,38,110,-1,None,0,0,65014,94,"Alte Waffe, die nahe Sailors' Island gefunden\nwurde. Vermutlich für Holz- und Steinarbeiten.",64823,84,Arma antigua de la Isla del Pirata. Se usaba\npara trabajar la madera y la piedra.,64932,98,Ancienne arme trouvée près de l'île aux Marins.\nAurait servie au travail du bois & de la pierre.,64424,96,An ancient weapon found near Sailors' Island.\nThought to have been used for wood & stone work.
22,2352236732,105877,10,Jagdbogen,105415,13,Arco de caza,106237,14,Arc de Chasse,104546,12,Hunting Arc,1,Aika,50,24,36,-1,None,0,1820,80,110,-1,None,0,0,65108,77,"Traditionelle Ixa'taka-Jagdwaffe; Kinder lernen\nsehr früh, damit umzugehen.",64907,96,"Un arma de caza tradicional de los Ixa'takan,\nque los niños aprenden a manejar desde pequeños.",65030,89,"Arme traditionnelle de chasse Ixa'takan, on\napprend très tôt aux enfants à s'en servir.",64520,96,"A traditional Ixa'takan hunting weapon, children\nare taught to use them from a very young age."
23,2352236744,105887,10,Valuarang,105428,10,Valuarang,106251,10,Valuarang,104558,10,Valuarang,1,Aika,50,20,67,-1,None,0,480,46,110,-1,None,0,0,65185,96,"Leichter Bumerang, zur Übung für den jährlichen\nBumerang-Wettbewerb im Valua-Coliseum benutzt.",65003,82,Bumerán ligero con el que practicar para el\nconcurso anual del Coliseo de Valua.,65119,91,Un boomerang léger qui sert pour l'entraînement\nau championnat annuel du Coliseum Valuan.,64616,93,A light boomerang used to practice for the\nannual boomerang contest in the Valuan Coliseum.
24,2352236756,105897,13,Yin-Schwinge,105438,9,Yin Wing,106261,9,Aile Yin,104568,9,Yin Wing,1,Aika,50,28,72,17,Add Sleep #5,0,5930,130,110,-1,None,0,0,65281,84,"Tränenförmige Klinge, von einem Meisterschmied\naus einem Stück Moon Stone geformt.",65085,94,Una espada en forma de lágrima creada por un\nmaestro artesano con una pieza de Piedra Lunar.,65210,93,Épée en forme de larme réalisée par un grand\nmaître avec un seul morceau de Pierre de Lune.,64709,88,A tear-shaped blade crafted by a master\nweaponsmith from a single piece of Moon Stone.
25,2352236768,105910,12,Tänzerspeer,105447,14,Arco Danzarín,106270,12,Arc Dansant,104577,12,Dancing Arc,1,Aika,50,22,23,-1,None,0,1100,65,110,-1,None,0,0,65365,86,"Ornamentaler Wurfspeer, von Nasr-Tänzern\nbenutzt. Wird auch als Jagdwaffe gebraucht.",65179,84,Las bailarinas de Nasr usan este cuchillo\nornamental que sirve también para cazar.,65303,95,Une épée de lancer décorative utilisée par les\ndanceurs Nasrean. Sert aussi d'arme de chasse.,64797,94,A decorative throwing blade used by Nasrean\ndancers. It is used as a hunting weapon as well.
26,2352236780,105922,18,Hoffnungsschwinge,105461,17,Ala de Esperanza,106282,14,Aile d'Espoir,104589,13,Wing of Hope,1,Aika,50,27,71,-1,None,0,4760,119,110,-1,None,0,0,65451,96,"Zur Erinnerung an diejenigen, die im Dark Rift\nihr Leben ließen, damit es anderen besser geht.",65263,92,"Hecha en memoria de los desaparecidos en la\nGruta Oscura, para dar esperanza a los nuevos.",65398,91,Réalisée en mémoire des disparus du Récif Noir\ndans l'espoir que d'autres s'en sortiront.,64891,93,Crafted in memory of those lost in the Dark Rift\nand in hopes that others will fare better.
27,2352236796,105940,14,Sturmschwinge,105478,16,Ala de Tormenta,106296,13,Aile d'Orage,104602,11,Storm Wing,1,Aika,50,23,59,2,Add Weak,0,1280,69,150,-1,None,0,0,65547,85,"Von Wächtern eines alten Kaiserpalasts benutzt,\nkann diese Klinge Feinde schwächen.",65355,92,Usada por los guardias de un antiguo palacio\nimperial. Su función es debilitar al enemigo.,65489,97,"Épée utilisée par les gardes d'un ancien palais\nimpérial, a le pouvoir d'affaiblir les ennemis.",64984,91,"Used by guards in an ancient imperial palace,\nthis blade has the power to weaken enemies."
28,2352236808,105954,13,Mondschwinge,105494,10,Ala Lunar,106309,13,Aile de Lune,104613,10,Moon Wing,1,Aika,50,31,45,-1,None,0,10170,161,110,-1,None,0,0,65632,86,Ausgezeichnete Waffe vom Meister Ryu-kan.\nPerfekte Harmonie von Design und Funktion.,65447,96,Insuperable arma creada por el maestro Ryu-kan.\nPerfecto equilibrio de diseño y funcionalidad.,65586,91,Arme superbe créée par maître Ryu-kan. Parfait\néquilibre entre fonctionnel et esthétique.,65075,96,"A superb weapon created by the master, Ryu-kan.\nA perfect balance of design and functionality."
29,2352236820,105967,15,Hydra-Schwinge,105504,10,Ala Hydra,106322,13,Aile d'Hydra,104623,11,Hydra Wing,1,Aika,50,32,37,-1,None,0,11390,168,110,-1,None,0,0,65718,76,"Ein Bumerang, der von der Valua Armee für\nden Nahkampf umgearbeitet wurde.",65543,86,Un Bumerán reforzado por el ejército de Valua\npara usar en combates cuerpo a cuerpo.,65677,88,Un boomerang modifié par l'armée Valuan avec\nrenforcement pour les combats rapprochés.,65171,87,A boomerang modified by the Valuan army with\nreinforcement for close-quarters combat.
30,2352236832,105982,17,Grendel-Schwinge,105514,12,Ala Grendel,106335,16,Aile de Grendel,104634,13,Grendel Wing,1,Aika,50,25,33,-1,None,0,2820,96,150,32,Green,0,-2,65794,90,Bumerang aus dem Knochen des Green Gigas.\nSeine Macht reicht an die des Fist of Grendel.,65629,88,Bumerán hecho con un hueso del Gigas Verde.\nSu poder es comparable al Puño de Grendel.,65765,96,Un boomerang fabriqué avec un os de Gigas Vert.\nSon pouvoir rivalise avec le Poing de Grendel.,65258,88,A boomerang made from a bone of the Green Gigas.\nIts power rivals the Fist of Grendel.
31,2352236848,105999,14,Flatterklinge,105526,15,Hoja Oscilante,106351,13,Lame Volante,104647,14,Flutter Blade,1,Aika,50,30,29,3,Add Confusion #1,0,8910,153,110,-1,None,0,0,65884,94,Doppelklingiger Bumerang mit unvorhersehbarer\nFlugbahn. Kann beim Feind Verwirrung auslösen.,65717,87,Bumerán de doble hoja cuya trayectoria de\nvuelo es impredecible. Confunde al enemigo.,65861,93,Boomerang à double tranchant. Sa trajectoire\nest imprévisible ce qui peut tromper l'ennemi.,65346,96,A double-bladed boomerang with an unpredictable\nflight path. It can induce Confuse in enemies.
32,2352236864,106013,6,Cupil,105541,6,Cupil,106364,6,Cupil,104661,6,Cupil,2,Fina,0,34,7,-1,None,0,0,58,120,-1,None,0,0,65978,97,Von den Silvites kreierte künstliche Lebensform.\nCupil begleitet Fina seit ihrem 4. Lebensjahr.,65804,94,Forma de vida artificial creada por Silvites.\nFina recogió a Cupil cuando ella tenía 4 años.,65954,91,Espèce artificielle créée par les Silvites.\nCupil accompagne Fina depuis qu'elle a 4 ans.,65442,88,An artificial life form created by Silvites.\nCupil has been with Fina since she was 4.
33,2352236872,106019,12,Cupil-Lanze,105547,12,Lanza Cupil,106370,12,Lance Cupil,104667,12,Cupil Lance,2,Fina,0,41,14,-1,None,0,0,110,120,-1,None,0,0,66075,88,"Cupil verwandelt sich in eine Lanze und wirft\nsich auf jeden Feind, den Fina bestimmt.",65898,87,Cupil se transforma en lanza y se arroja contra\ncualquier enemigo que Fina le ordene.,66045,76,Cupil se change en lance et se jette sur\nl'ennemi au commandement de Fina.,65530,78,Cupil morphs into a lance and lunges itself at\nwhatever enemy Fina commands.
34,2352236884,106031,12,Cupil-Stern,105559,15,Estrella Cupil,106382,13,Étoile Cupil,104679,11,Cupil Star,2,Fina,0,40,18,-1,None,0,0,103,120,-1,None,0,0,66163,85,Cupil verwandelt sich in einen Stern und bewegt\nsich spiralförmig auf den Feind zu.,65985,74,Cupil se transforma en estrella y se lanza en\nespiral contra el enemigo.,66121,63,Cupil se change en étoile et fonce en spirale\nsur son ennemi.,65608,57,Cupil morphs into a star and spirals towards its\nenemy.
35,2352236896,106043,9,Cupicone,105574,9,Cupicono,106395,9,Cupicône,104690,9,Cupicone,2,Fina,0,36,6,-1,None,0,0,73,120,-1,None,0,0,66248,77,Verwandelt sich in einen spitzen Kegel und wirft\nsich den Feinden entgegen.,66059,64,Se transforma en un cono afilado y arremete\ncontra el enemigo.,66184,56,"Se change en cône pointu, et se jette sur ses\nennemis.",65665,61,"Morphs into a sharp cone, and lunges itself\nat its enemies."
36,2352236908,106052,12,Cupil-Speer,105583,12,Arpón Cupil,106404,12,Pique Cupil,104699,12,Cupil Spear,2,Fina,0,46,16,-1,None,0,0,147,120,-1,None,0,0,66325,81,Verwandelt sich in eine gezackte Speerspitze.\nSo richtet Cupil mehr Schaden an.,66123,91,Se transforma en una punta de lanza con púas y\ncada púa ayuda a Cupil a causar más daños.,66240,76,Cupil se change en lance barbelée qui lui\npermet de causer plus de dégâts.,65726,76,Morphs into a barbed spearhead. Each barb\nhelps Cupil inflict more damage.
37,2352236920,106064,13,Cupil-Messer,105595,15,Cuchillo Cupil,106416,11,Lame Cupil,104711,12,Cupil Blade,2,Fina,0,35,8,4,Add Sleep #2,0,0,67,115,-1,None,0,0,66406,80,"Cupil erlernt die Fähigkeit, sich in ein extrem\nscharfes Messer zu verwandeln.",66214,74,Cupil adquiere la habilidad de transformarse\nen un cuchillo afiladísimo.,66316,62,Cupil apprend à se changer en couteau\nextrêmement tranchant.,65802,66,Cupil learns the ability to morph into an\nextremely sharp knife.
38,2352236932,106077,14,Cupil-Schwert,105610,13,Espada Cupil,106427,11,Épée Cupil,104723,12,Cupil Sword,2,Fina,0,38,19,4,Add Sleep #2,0,0,90,115,-1,None,0,0,66486,97,"Indem er sich in ein Schwert verwandelt, kann\nCupil fast jeden Feind in zwei Hälften schneiden.",66288,87,"Transformándose en espada, Cupil puede partir\na casi todos sus enemigos por la mitad.",66378,78,"En se changeant en épée, Cupil peut fendre en\ndeux presque tous les ennemis.",65868,69,"By morphing into a sword, Cupil can cleave\nalmost any enemy in two."
39,2352236944,106091,14,Cupil-Machete,105623,12,Sable Cupil,106438,12,Sabre Cupil,104735,14,Cupil Cutlass,2,Fina,0,43,12,4,Add Sleep #2,0,0,127,115,-1,None,0,0,66583,90,"Cupil hat gelernt, sich in eine Machete zu\nverwandeln, als er Vyse beim Kampf zuschaute.",66375,91,Cupil aprende a transformarse en sable viendo\npelear a Vyse. Confunde al enemigo. ¡Furia!,66456,86,Cupil a appris à se changer en sabre en\nregardant Vyse se battre. Furie de Cupil !!!,65937,77,Cupil learned to morph into a cutlass by\nwatching Vyse fight. Cupil Fury!!!
40,2352236960,106105,17,Cupil-Zweihänder,105635,15,Cupil Claymore,106450,15,Claymore Cupil,104749,15,Cupil Claymore,2,Fina,0,47,10,4,Add Sleep #2,0,0,157,115,-1,None,0,0,66673,87,Cupil verwandelt sich in ein riesiges\nzweihändiges Schwert und schädigt Feind massiv.,66466,89,Cupil se convierte en una espada gigante de\ndoble hoja y causa muchos danos al enemigo.,66542,82,"En se changeant en épée géante à 2 lames,\nCupil peut gravement blesser l'ennemi.",66014,95,"Morphing into a giant 2-handed sword, Cupil can\ncause massive amounts of damage on any enemy."
41,2352236976,106122,13,Cupil-Kanone,105650,12,Cañón Cupil,106465,12,Canon Cupil,104764,13,Cupil Cannon,2,Fina,0,37,9,-1,None,0,0,86,105,20,Dodge%,0,5,66760,97,"Verwandelt sich in eine kleine, schwere Kanonen-\nkugel und fällt von hoch oben auf einen Feind.",66555,96,"Se transforma en una pequeña, pero pesada, bala\nde cañón y cae sobre el enemigo desde lo alto.",66624,82,"Se change en boule de canon, petite mais lourde\net tombe de haut sur un ennemi.",66109,84,"Morphs into a small, but heavy, cannonball,\nand drops on an enemy from high above."
42,2352236992,106135,14,Cupil-Stachel,105662,15,Cupil con púas,106477,13,Pointe Cupil,104777,12,Cupil Spike,2,Fina,0,44,17,-1,None,0,0,141,105,20,Dodge%,0,10,66857,94,Cupil verwandelt sich in ein Nagelbrett und\nfällt auf den Kopf eines Feindes. Trifft selten!,66651,94,Cupil se convierte en una tabla llena de púas y\ncae sobre sus enemigos. También falla mucho.,66706,97,Cupil se change en planche couverte de pointes\n& tombe sur la tête d'un ennemi. Échoue souvent.,66193,94,"Cupil morphs into a spike-laden board and drops\non an enemy's head. It misses a lot, though."
43,2352237004,106149,14,Cupil-Gewicht,105677,13,Cupil Pesado,106490,15,Poids de Cupil,104789,13,Cupil Weight,2,Fina,0,48,20,-1,None,0,0,172,105,20,Dodge%,0,15,66951,97,Cupil erhöht durch Magie sein Körpergewicht um\nein Vielfaches und fällt dem Feind auf den Kopf.,66745,93,"Haciendo magia, Cupil multiplica su propio peso\ny se deja caer sobre la cabeza del enemigo.",66803,89,"Cupil fait un tour de magie pour augmenter son\npoids, et tombe sur la tête d'un ennemi.",66287,97,"Cupil uses magic to increase its own weight many\ntimes over, and then drops on an enemy's head."
44,2352237020,106163,13,Cupil-Pfanne,105690,13,Sartén Cupil,106505,12,Poêle Cupil,104802,10,Cupil Pan,2,Fina,0,45,15,-1,None,0,0,145,110,-1,None,0,0,67048,94,"Cupil verwandelt sich in eine Pfanne und legt\nalles daran, Feinden auf den Kopf zu schlagen.",66838,91,Cupil se transforma en sartén y golpea a sus\nenemigos en la cabeza con todas sus fuerzas.,66892,90,Cupil se change en poêle à frire et frappe de\ntoutes ses forces sur la tête des ennemis.,66384,96,Cupil morphs into a frying pan and uses all of\nits strength to whack enemies over their heads.
45,2352237032,106176,12,Cupil-Keule,105703,11,Club Cupil,106517,11,Club Cupil,104812,11,Cupil Club,2,Fina,0,39,11,-1,None,0,0,99,110,-1,None,0,0,67142,99,"Verwandelt sich in eine Keule und prügelt Feinde,\nbis sie aufgeben. Sogar Cupil kann gemein sein.",66929,97,Se convierte en porra y golpea al enemigo hasta\nque éste se rinde. Es el lado malvado de Cupil.,66982,88,Se change en massue et force les ennemis à se\nsoumettre. Même Cupil peut être méchant.,66480,89,Morphs into a club and bludgeons enemies into\nsubmission. Even Cupil has a mean-streak.
46,2352237044,106188,13,Cupil-Hammer,105714,15,Martillo Cupil,106528,14,Marteau Cupil,104823,13,Cupil Hammer,2,Fina,0,42,13,-1,None,0,0,122,110,-1,None,0,0,67241,80,Cupil nimmt die Form eines großen Hammers\nan und schlägt Feinden auf den Kopf.,67026,77,Adopta la forma de un martillo gigante y\natiza a los enemigos en la cabeza.,67070,69,Cupil se change en marteau géant et frappe\nsur la tête des ennemis.,66569,82,Cupil morphs into the shape of a giant hammer\nand hits enemies over their heads.
47,2352237060,106201,10,End-Cupil,105729,18,Cupil Definitivo,106542,13,Ultime Cupil,104836,12,Final Cupil,2,Fina,0,49,28,-1,None,0,0,500,100,-1,None,0,0,67321,83,"Cupils letzte und endgültige Form, sehr\neindrucksvoll und ziemlich schlagkräftig.",67103,96,La última y definitiva forma que Cupil adopta es\nimpresionante. Tiene gran impacto y potencia.,67139,68,"Forme finale et ultime de Cupil, très\nimpressionante et puissante.",66651,85,"Cupil's final and ultimate form, it looks very\nimpressive, and packs quite a punch."
