Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Element ID,Pad. #0,[Element name],Order by prio.,Occ. flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Pad. #1,Pad. #2,Effect value,Type ID,[Type name],State ID,[State name],State hit%,Pad. #3,Pad. #4,Pad. #5,Ship occ. ID,[Ship occ. name],Pad. #6,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unk.,Pad. #7,Pad. #8,Pad. #9,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.,[DE ship descr. pos.],[DE ship descr. size],DE ship descr. str.,[ES ship descr. pos.],[ES ship descr. size],ES ship descr. str.,[FR ship descr. pos.],[FR ship descr. size],FR ship descr. str.,[GB ship descr. pos.],[GB ship descr. size],GB ship descr. str.
10,2352235812,105061,5,Noxi,104559,5,Noxi,105368,5,Noxi,103725,5,Noxi,0,0,Green,50,2,"",X,"",4,Add Poison + Damage,3,One enemy,6,Magic,0,3,0,0,60,1,Magical,0,Poison,40,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,58279,95,Schädigt und vergiftet einen Feind. Am besten\nzu Beginn langer Kämpfe verwenden.         SP 3,58090,98,Debilita y envenena a uno de los enemigos.Mejor\nusarlo al principio de una batalla larga.   SEP3,58162,93,Blesse et empoisonne un ennemi. Mieux vaut\nl'utiliser au début de longues batailles.   ES 3,57588,97,Damages and Poisons any one enemy. Best if used\nat the beginning of long battles.          SP 3,100090,30,Kann nicht benutzt werden.\n,99629,20,No puede usarse.\n,100207,25,Ne peut être utilisé.\n,98891,24,Cannot be used.\n------
11,2352235820,105066,6,Noxus,104564,6,Noxus,105373,6,Noxus,103730,6,Noxus,0,0,Green,51,2,"",X,"",4,Add Poison + Damage,4,All enemies,6,Magic,0,6,0,0,100,1,Magical,0,Poison,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,58374,95,Schädigt und vergiftet alle Feinde. Am besten\nzu Beginn langer Kämpfe verwenden.         SP 6,58188,97,Debilita y envenena a todos los enemigos.Mejor\nusarlo al principio de una batalla larga.   SEP6,58255,99,Blesse & empoisonne tous les ennemis. Mieux vaut\nl'utiliser au début de longues batailles.   ES 6,57685,95,Damages and Poisons all enemies. Best if used\nat the beginning of long battles.          SP 6,100120,30,Kann nicht benutzt werden.\n,99649,21,No puede usarse. \n,100232,25,Ne peut être utilisé.\n,98915,24,Cannot be used.\n------
12,2352235828,105072,8,Slipara,104570,8,Slipara,105379,8,Slipara,103736,8,Slipara,3,0,Blue,110,2,"",X,"",9,Add Sleep,4,All enemies,6,Magic,0,6,0,0,0,0,Physical,3,Sleep,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,58469,91,Lässt mit etwas Glück alle Feinde auf dem\nBildschirm in tiefsten Schlaf sinken.      SP 6,58285,93,Hace que todos los enemigos en pantalla se\nduerman.                                    SEP6,58354,99,Offre la possibilité d'endormir tous les ennemis\nà l'écran.                                  ES 6,57780,94,Has a chance to put all enemies on screen to\nSleep.                                     SP 6,100150,30,Kann nicht benutzt werden.\n,99670,21,No puede usarse. \n,100257,25,Ne peut être utilisé.\n,98939,24,Cannot be used.\n------
13,2352235836,105080,6,Quika,104578,6,Quika,105387,6,Quika,103744,6,Quika,3,0,Blue,70,3,"",X,X,20,Add Quickened,2,All characters,6,Magic,0,6,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,104,Add Quickened (Ship),6,1,0,-1,0,0,0,58560,87,Verdoppelt die Geschwindigkeit aller \nVerbündeten. Erleichtert die Flucht.       SP 6,58378,91,Dobla la velocidad de todos los aliados.\nTambién hace más fácil huir de las batallas.SEP6,58453,95,"Double la vitesse de tous les alliés, ce qui\npermet aussi de fuir plus vite les combats. ES 6",57874,97,"Doubles the speed of all allies. Also, it makes\nit easier to run from battles.             SP 6",100180,91,Verdoppelt Geschwindigkeit des Schiffes.\nEffekt hält für 2 Runden an.                6 SP,99691,79,Dobla la velocidad del barco.\nEl efecto dura 2 turnos.                    6SP,100282,79,Double la vitesse du navire.\nLes effets durent 2 tours.                  6 ES,98963,70,Doubles ship speed.\nEffect lasts for 2 rounds.                  6 SP
14,2352235844,105086,6,Curia,104584,6,Curia,105393,6,Curia,103750,6,Curia,5,0,Silver,80,2,"",X,"",30,Remove negative states,1,One character,6,Magic,0,2,0,0,0,0,Physical,-1,None,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,58647,95,Kuriert einen Verbündeten von allen negativen\nEffekten (außer Bewusstlosigkeit).         SP 2,58469,88,Cura a un aliado de todos los efectos\nadversos (excepto Inconsciente).            SEP2,58548,94,Guérit un allié de tous les effets néfastes\n(à part l'Inconscience).                    ES 2,57971,96,Cures one ally of all adverse effects (except\nfor Unconscious).                           SP 2,100271,30,Kann nicht benutzt werden.\n,99770,20,No puede usarse.\n,100361,25,Ne peut être utilisé.\n,99033,24,Cannot be used.\n------
15,2352235852,105092,6,Risan,104590,6,Risan,105399,6,Risan,103756,6,Risan,5,0,Silver,90,2,"",X,"",27,Revive with 50% of HP,1,One character,6,Magic,0,4,0,0,0,0,Physical,7,Revival,50,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,58742,97,"50% Wahrscheinlichkeit, einen bewusstlosen Ver-\nbündeten mit 50% seiner HP aufzuwecken.    SP 4",58557,99,Puede revivir en un 50% a un aliado inconsciente\ny reponer el 50% de su Salud.               SEP4,58642,99,"A 50% de chance de ranimer un allié Inconscient,\net de lui redonner 50% de ses PV.           ES 4",58067,99,"Has a 50% chance of reviving an Unconscious ally,\nalong with 50% of their HP.                SP 4",100301,30,Kann nicht benutzt werden.\n,99790,20,No puede usarse.\n,100386,25,Ne peut être utilisé.\n,99057,24,Cannot be used.\n------
16,2352235860,105098,8,Riselem,104596,8,Riselem,105405,8,Riselem,103762,8,Riselem,5,0,Silver,91,2,"",X,"",28,Revive with 100% of HP,1,One character,6,Magic,0,8,0,0,0,0,Physical,7,Revival,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,58839,94,Weckt einen bewusstlosen Verbündeten auf und\nerneuert seine gesamten HP.                SP 8,58656,82,Revive a un aliado inconsciente\ny repone su Salud totalmente.               SEP8,58741,98,Ranime un allié Inconscient et lui redonne tous\nses PV.                                     ES 8,58166,96,Revives an Unconscious ally and restores their\nHP to full.                                SP 8,100331,30,Kann nicht benutzt werden.\n,99810,20,No puede usarse.\n,100411,25,Ne peut être utilisé.\n,99081,24,Cannot be used.\n------
17,2352235868,105106,7,Eterni,104604,7,Eterni,105413,7,Eterni,103770,7,Eterni,5,0,Silver,100,2,"",X,"",5,Add Unconscious,3,One enemy,6,Magic,0,5,0,0,0,0,Physical,1,Unconscious,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,58933,94,Kann einen Feind auf der Stelle töten. Wirkt\nbei mächtigen Feinden evtl. nicht.         SP 5,58738,98,"Mata instantáneamente a cualquier enemigo, pero\npuede fallar con monstruos o grandes jefes. SEP5",58839,100,Peut tuer instantanément un des ennemis. Mais pas\nforcément un chef ou un monstre puissant.   ES 5,58262,96,Can instantly kill any one enemy. May not work\non some powerful monsters or bosses.       SP 5,100361,30,Kann nicht benutzt werden.\n,99830,20,No puede usarse.\n,100436,25,Ne peut être utilisé.\n,99105,24,Cannot be used.\n------
18,2352235876,105113,8,Eternes,104611,8,Eternes,105420,8,Eternes,103777,8,Eternes,5,0,Silver,101,2,"",X,"",5,Add Unconscious,4,All enemies,6,Magic,0,10,0,0,0,0,Physical,1,Unconscious,80,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,59027,94,Kann alle Feinde auf dem Bildschirm auf der\nStelle töten.                              SP 10,58836,99,Causa la muerte instantánea a todos los enemigos\nen pantalla.                               SEP10,58939,94,Peut causer la mort instantanée de tous les\nennemis à l'écran.                         ES 10,58358,96,Can cause instant death to all enemies on the\nscreen.                                    SP 10,100391,30,Kann nicht benutzt werden.\n,99850,20,No puede usarse.\n,100461,25,Ne peut être utilisé.\n,99129,24,Cannot be used.\n------
19,2352235884,105121,8,Eternum,104619,8,Eternum,105428,8,Eternum,103785,8,Eternum,5,0,Silver,102,2,"",X,"",6,Add Unconscious + Damage #1,3,One enemy,6,Magic,0,15,0,0,250,1,Magical,1,Unconscious,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,59121,96,"Bewirkt sofortigen Tod eines Feindes. Ist das\nZiel immun, richtet es Schaden an.         SP 15",58935,98,"Causa la muerte instantánea de un enemigo.Si el\nobjetivo es inmune, le provocará daños.    SEP15",59033,99,"Cause la mort immédiate d'un ennemi. Si la cible\nest immunisée, elle subira des dégâts.     ES 15",58454,98,"Causes instant death to one enemy. If target is\nimmune, then it will cause damage.         SP 15",100421,30,Kann nicht benutzt werden.\n,99870,20,No puede usarse.\n,100486,25,Ne peut être utilisé.\n,99153,24,Cannot be used.\n------
20,2352235892,105129,6,Wevli,104627,6,Wevli,105436,6,Wevli,103793,6,Wevli,3,0,Blue,60,3,"",X,X,0,Damage,32,Enemy area #0,6,Magic,0,2,0,0,60,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,4,0,0,0,59217,95,Schädigt einen Feind mit einem Wirbelwind aus\nLuft und Wasser. Schädigt auch nahe Feinde.SP 2,59033,96,Hiere a un enemigo con un torbellino de aire\ny agua. También hiere a enemigos próximos.  SEP2,59132,85,Blesse un ennemi avec une tornade.\nAtteint aussi les ennemis proches.          ES 2,58552,95,Damages one enemy with a whirlwind of air and\nwater. Also harms nearby enemies.          SP 2,100451,99,Feuert eine mit Blue Magic geladene Kanonenkugel\nab. Erfordert Spezialausrüstung.            2 SP,99890,92,Dispara una bala de cañón con Magia Azul.\nLanzar hechizos requiere un equipo especial. 2SP,100511,98,Lance un boulet de canon chargé de Magie Bleue.\nÉquipement spécial requis.                  2 ES,99177,94,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.        2 SP
21,2352235900,105135,7,Wevles,104633,7,Wevles,105442,7,Wevles,103799,7,Wevles,3,0,Blue,61,3,"",X,X,0,Damage,33,Enemy area #1,6,Magic,0,4,0,0,105,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,4,0,0,0,59312,96,Löst eine gewaltige Explosion aus und schädigt\nalle Feinde auf dem Bildschirm.            SP 4,59129,98,Crea un tornado largo alrededor de un enemigo y\nhiere a todos los enemigos a su alrededor.  SEP4,59217,96,Crée une grande tornade autour d'un ennemi et\nblesse tous les ennemis proches.            ES 4,58647,94,Creates a large tornado around one enemy and\ndamages all enemies nearby.                SP 4,100550,99,Feuert eine mit Blue Magic geladene Kanonenkugel\nab. Erfordert Spezialausrüstung.            4 SP,99982,92,Dispara una bala de cañón con Magia Azul.\nLanzar hechizos requiere un equipo especial. 4SP,100609,98,Lance un boulet de canon chargé de Magie Bleue.\nÉquipement spécial requis.                  4 ES,99271,94,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.        4 SP
22,2352235908,105142,7,Wevlen,104640,7,Wevlen,105449,7,Wevlen,103806,7,Wevlen,3,0,Blue,63,3,"",X,X,0,Damage,34,Enemy area #2,6,Magic,0,8,0,0,195,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),8,-1,150,4,0,0,0,59408,98,"Erzeugt ein Bündel von Tornados um einen Feind,\nschädigt fast alle Feinde auf dem Bildschirm.SP8",59227,98,Crea un tornado alrededor de un enemigo y hiere\na casi todos los enemigos en pantalla.      SEP8,59313,96,Crée plusieurs tornades autour d'un ennemi et\nblesse de nombreux ennemis à l'écran.       ES 8,58741,96,Creates a cluster of tornados around one enemy\nand damages nearly all enemies on screen.  SP 8,100649,99,Feuert eine mit Blue Magic geladene Kanonenkugel\nab. Erfordert Spezialausrüstung.            8 SP,100074,92,Dispara una bala de cañón con Magia Azul.\nLanzar hechizos requiere un equipo especial. 8SP,100707,98,Lance un boulet de canon chargé de Magie Bleue.\nÉquipement spécial requis.                  8 ES,99365,94,Fires a cannonball charged with Blue Magic.\nSpecial equipment is needed to cast.        8 SP
23,2352235916,105149,5,Pyri,104647,5,Pyri,105456,5,Pyri,103813,5,Pyri,1,0,Red,0,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,2,0,0,50,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,1,0,0,0,59506,95,"Entfacht eine Feuerexplosion, die alle Feinde\nauf dem Bildschirm schädigt.               SP 2",59325,94,"Produce una explosión de llamas, hiriendo a\ntodos los enemigos en pantalla.             SEP2",59409,94,"Provoque une explosion de flammes, blessant\ntous les ennemis à l'écran.                 ES 2",58837,97,"Summons a burst of flames, damaging all enemies\non screen.                                 SP 2",100748,100,Feuert eine mit Red Magic geladenene Kanonenkugel\nab. Erfordert Spezialausrüstung.            2 SP,100166,92,Dispara una bala de cañón con Magia Roja.\nLanzar hechizos requiere un equipo especial. 2SP,100805,98,Lance un boulet de canon chargé de Magie Rouge.\nÉquipement spécial requis.                  2 ES,99459,93,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.        2 SP
24,2352235924,105154,6,Pyres,104652,6,Pyres,105461,6,Pyres,103818,6,Pyres,1,0,Red,1,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,4,0,0,85,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,1,0,0,0,59601,96,Löst eine gewaltige Explosion aus und schädigt\nalle Feinde auf dem Bildschirm.            SP 4,59419,85,Produce una gran explosión y hiere\na todos los enemigos en pantalla.           SEP4,59503,95,Provoque une énorme explosion et blesse tous\nles ennemis à l'écran.                      ES 4,58934,91,Summons a great explosion and damages all\nenemies on screen.                         SP 4,100848,98,Feuert eine mit Red Magic geladene Kanonenkugel\nab. Erfordert Spezialausrüstung.            4 SP,100258,92,Dispara una bala de cañón con Magia Roja.\nLanzar hechizos requiere un equipo especial. 4SP,100903,98,Lance un boulet de canon chargé de Magie Rouge.\nÉquipement spécial requis.                  4 ES,99552,93,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.        4 SP
25,2352235932,105160,6,Pyrum,104658,6,Pyrum,105467,6,Pyrum,103824,6,Pyrum,1,0,Red,2,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,6,0,0,120,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,1,0,0,0,59697,97,Lässt Feuerbälle vom Himmel kommen und schädigt\nalle Feinde auf dem Bildschirm.            SP 6,59504,89,Hace surgir bolas de fuego del cielo y\nhiere a todos los enemigos en pantalla.     SEP6,59598,97,Invoque des boules de feu tombant des cieux et\nblesse tous les ennemis à l'écran.          ES 6,59025,92,Summons fireballs from the sky and damages\nall enemies on the screen.                 SP 6,100946,98,Feuert eine mit Red Magic geladene Kanonenkugel\nab. Erfordert Spezialausrüstung.            6 SP,100350,92,Dispara una bala de cañón con Magia Roja.\nLanzar hechizos requiere un equipo especial. 6SP,101001,98,Lance un boulet de canon chargé de Magie Rouge.\nÉquipement spécial requis.                  6 ES,99645,93,Fires a cannonball charged with Red Magic.\nSpecial equipment is needed to cast.        6 SP
