Entry ID,[Filter],[Enemy ship ID],[Enemy ship name],Unk.,Task rating,Task A type ID,[Task A type name],Task A arm. ID,[Task A arm. name],Task A param. ID,[Task A param. name],Task A arm. range,Task B type ID,[Task B type name],Task B arm. ID,[Task B arm. name],Task B param. ID,[Task B param. name],Task B arm. range
20,R506A.BIN,24,Recumen,-1,0,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,Red Ray,-1,None,0
21,R506A.BIN,24,Recumen,9,0,4,Nothing,-1,None,4,Red Ray,0,0,Attack,0,Red Ray,-1,None,0
22,R506A.BIN,24,Recumen,-1,0,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,Red Ray,-1,None,0
23,R506A.BIN,24,Recumen,9,0,4,Nothing,-1,None,4,Red Ray,0,0,Attack,0,Red Ray,-1,None,0
0,R507A.BIN,11,Lynx,-1,0,1,Magic,-1,None,0,Increm,0,0,Attack,0,Lynx Cannon,-1,None,0
1,R507A.BIN,11,Lynx,-1,0,1,Magic,-1,None,23,Pyri,0,0,Attack,0,Lynx Cannon,-1,None,0
2,R507A.BIN,11,Lynx,-1,0,2,Focus,-1,None,1,Taking Aim,0,0,Attack,0,Lynx Cannon,-1,None,0
3,R507A.BIN,11,Lynx,0,50,1,Magic,-1,None,23,Pyri,0,1,Magic,-1,None,22,Wevlen,0
4,R507A.BIN,11,Lynx,1,50,0,Attack,0,Lynx Cannon,-1,None,0,1,Magic,-1,None,23,Pyri,0
5,R507A.BIN,11,Lynx,-1,0,0,Attack,2,Lynx Torpedo,-1,None,1,0,Attack,0,Lynx Cannon,-1,None,0
6,R507A.BIN,11,Lynx,1,50,0,Attack,0,Lynx Cannon,-1,None,0,1,Magic,-1,None,22,Wevlen,0
7,R507A.BIN,11,Lynx,-1,0,3,Guard,-1,None,-1,None,0,0,Attack,0,Lynx Cannon,-1,None,0
8,R507A.BIN,11,Lynx,-1,0,0,Attack,1,Lynx Subcannon,-1,None,2,0,Attack,0,Lynx Cannon,-1,None,0
9,R507A.BIN,11,Lynx,-1,0,0,Attack,2,Lynx Torpedo,-1,None,1,0,Attack,0,Lynx Cannon,-1,None,0
10,R507A.BIN,11,Lynx,1,50,0,Attack,0,Lynx Cannon,-1,None,0,1,Magic,-1,None,22,Wevlen,0
11,R507A.BIN,11,Lynx,1,30,1,Magic,-1,None,6,Sacri,0,3,Guard,-1,None,-1,None,0
12,R507A.BIN,11,Lynx,-1,0,0,Attack,1,Lynx Subcannon,-1,None,2,0,Attack,0,Lynx Cannon,-1,None,0
13,R507A.BIN,11,Lynx,-1,0,0,Attack,2,Lynx Torpedo,-1,None,1,0,Attack,0,Lynx Cannon,-1,None,0
14,R507A.BIN,11,Lynx,1,50,0,Attack,0,Lynx Cannon,-1,None,0,1,Magic,-1,None,22,Wevlen,0
15,R507A.BIN,11,Lynx,1,30,1,Magic,-1,None,6,Sacri,0,1,Magic,-1,None,0,Increm,0
16,R507A.BIN,11,Lynx,-1,0,0,Attack,1,Lynx Subcannon,-1,None,2,0,Attack,0,Lynx Cannon,-1,None,0
17,R507A.BIN,11,Lynx,-1,0,4,Nothing,-1,None,1,Target Lost,0,0,Attack,0,Lynx Cannon,-1,None,0
18,R507A.BIN,11,Lynx,-1,0,0,Attack,2,Lynx Torpedo,-1,None,1,0,Attack,0,Lynx Cannon,-1,None,0
19,R507A.BIN,11,Lynx,1,50,0,Attack,0,Lynx Cannon,-1,None,0,1,Magic,-1,None,23,Pyri,0
20,R507A.BIN,11,Lynx,1,30,1,Magic,-1,None,6,Sacri,0,1,Magic,-1,None,0,Increm,0
21,R507A.BIN,11,Lynx,-1,0,0,Attack,2,Lynx Torpedo,-1,None,2,0,Attack,0,Lynx Cannon,-1,None,0
22,R507A.BIN,11,Lynx,-1,0,0,Attack,1,Lynx Subcannon,-1,None,1,0,Attack,0,Lynx Cannon,-1,None,0
23,R507A.BIN,11,Lynx,1,50,0,Attack,0,Lynx Cannon,-1,None,0,1,Magic,-1,None,23,Pyri,0
24,R507A.BIN,11,Lynx,-1,0,2,Focus,-1,None,1,Taking Aim,0,0,Attack,0,Lynx Cannon,-1,None,0
25,R507A.BIN,11,Lynx,-1,0,0,Attack,1,Lynx Subcannon,-1,None,2,0,Attack,0,Lynx Cannon,-1,None,0
26,R507A.BIN,11,Lynx,-1,0,0,Attack,2,Lynx Torpedo,-1,None,1,0,Attack,0,Lynx Cannon,-1,None,0
27,R507A.BIN,11,Lynx,1,50,0,Attack,0,Lynx Cannon,-1,None,0,1,Magic,-1,None,22,Wevlen,0
28,R507A.BIN,11,Lynx,-1,0,2,Focus,-1,None,1,Taking Aim,0,0,Attack,0,Lynx Cannon,-1,None,0
29,R507A.BIN,11,Lynx,-1,0,0,Attack,2,Lynx Torpedo,-1,None,2,0,Attack,0,Lynx Cannon,-1,None,0
30,R507A.BIN,11,Lynx,-1,0,0,Attack,1,Lynx Subcannon,-1,None,1,0,Attack,0,Lynx Cannon,-1,None,0
31,R507A.BIN,11,Lynx,1,50,0,Attack,0,Lynx Cannon,-1,None,0,1,Magic,-1,None,22,Wevlen,0
32,R507A.BIN,11,Lynx,-1,0,0,Attack,1,Lynx Subcannon,-1,None,2,0,Attack,0,Lynx Cannon,-1,None,0
33,R507A.BIN,11,Lynx,-1,0,4,Nothing,-1,None,1,Target Lost,0,0,Attack,0,Lynx Cannon,-1,None,0
34,R507A.BIN,11,Lynx,-1,0,0,Attack,2,Lynx Torpedo,-1,None,1,0,Attack,0,Lynx Cannon,-1,None,0
35,R507A.BIN,11,Lynx,1,50,0,Attack,0,Lynx Cannon,-1,None,0,1,Magic,-1,None,23,Pyri,0
0,R509A.BIN,12,Chameleon,3,30,4,Nothing,-1,None,0,Awaiting Orders,0,0,Attack,2,Type D Torpedo,-1,None,3
1,R509A.BIN,12,Chameleon,3,80,4,Nothing,-1,None,0,Awaiting Orders,0,3,Guard,-1,None,-1,None,0
2,R509A.BIN,12,Chameleon,3,40,4,Nothing,-1,None,0,Awaiting Orders,0,2,Focus,-1,None,0,Focus,0
3,R509A.BIN,12,Chameleon,3,20,4,Nothing,-1,None,0,Awaiting Orders,0,0,Attack,1,Type D Subcannon,-1,None,0
4,R509A.BIN,12,Chameleon,-1,0,0,Attack,2,Type D Torpedo,-1,None,3,0,Attack,2,Type D Torpedo,-1,None,3
5,R509A.BIN,12,Chameleon,-1,0,0,Attack,1,Type D Subcannon,-1,None,2,0,Attack,1,Type D Subcannon,-1,None,2
6,R509A.BIN,12,Chameleon,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
7,R509A.BIN,12,Chameleon,-1,0,3,Guard,-1,None,-1,None,0,3,Guard,-1,None,-1,None,0
8,R509A.BIN,12,Chameleon,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
9,R509A.BIN,12,Chameleon,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
10,R509A.BIN,12,Chameleon,-1,0,0,Attack,0,Revolver Cannon,-1,None,0,0,Attack,0,Revolver Cannon,-1,None,0
11,R509A.BIN,12,Chameleon,-1,0,0,Attack,3,Flamethrower,-1,None,0,0,Attack,3,Flamethrower,-1,None,0
12,R509A.BIN,12,Chameleon,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
13,R509A.BIN,12,Chameleon,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
14,R509A.BIN,12,Chameleon,-1,0,4,Nothing,-1,None,1,Target Lost,0,4,Nothing,-1,None,0,Awaiting Orders,0
15,R509A.BIN,12,Chameleon,-1,0,4,Nothing,-1,None,1,Target Lost,0,4,Nothing,-1,None,0,Awaiting Orders,0
16,R509A.BIN,12,Chameleon,3,50,2,Focus,-1,None,0,Focus,0,4,Nothing,-1,None,0,Awaiting Orders,0
17,R509A.BIN,12,Chameleon,-1,0,0,Attack,1,Type D Subcannon,-1,None,3,0,Attack,1,Type D Subcannon,-1,None,3
18,R509A.BIN,12,Chameleon,-1,0,0,Attack,2,Type D Torpedo,-1,None,1,0,Attack,3,Flamethrower,-1,None,1
19,R509A.BIN,12,Chameleon,3,50,2,Focus,-1,None,0,Focus,0,4,Nothing,-1,None,0,Awaiting Orders,0
20,R509A.BIN,12,Chameleon,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
21,R509A.BIN,12,Chameleon,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
22,R509A.BIN,12,Chameleon,-1,0,0,Attack,0,Revolver Cannon,-1,None,0,0,Attack,0,Revolver Cannon,-1,None,0
23,R509A.BIN,12,Chameleon,-1,0,0,Attack,3,Flamethrower,-1,None,0,0,Attack,3,Flamethrower,-1,None,0
24,R509A.BIN,12,Chameleon,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
25,R509A.BIN,12,Chameleon,-1,0,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
26,R509A.BIN,12,Chameleon,-1,0,4,Nothing,-1,None,1,Target Lost,0,4,Nothing,-1,None,0,Awaiting Orders,0
27,R509A.BIN,12,Chameleon,-1,0,4,Nothing,-1,None,1,Target Lost,0,4,Nothing,-1,None,0,Awaiting Orders,0
28,R509A.BIN,12,Chameleon,-1,0,4,Nothing,-1,None,0,Awaiting Orders,0,4,Nothing,-1,None,0,Awaiting Orders,0
29,R509A.BIN,12,Chameleon,-1,0,0,Attack,2,Type D Torpedo,-1,None,3,0,Attack,2,Type D Torpedo,-1,None,3
30,R509A.BIN,12,Chameleon,-1,0,0,Attack,1,Type D Subcannon,-1,None,2,0,Attack,1,Type D Subcannon,-1,None,2
31,R509A.BIN,12,Chameleon,-1,0,4,Nothing,-1,None,0,Awaiting Orders,0,4,Nothing,-1,None,0,Awaiting Orders,0
0,R510A.BIN,4,Valuan Gunboat,0,50,4,Nothing,-1,None,-1,None,0,1,Magic,-1,None,23,Pyri,0
1,R510A.BIN,4,Valuan Gunboat,0,20,4,Nothing,-1,None,-1,None,0,1,Magic,-1,None,23,Pyri,0
2,R510A.BIN,4,Valuan Gunboat,3,30,3,Guard,-1,None,0,Evasive Action,0,2,Focus,-1,None,0,Focus,0
3,R510A.BIN,4,Valuan Gunboat,3,10,3,Guard,-1,None,0,Evasive Action,0,0,Attack,1,Heavy Subcannon,-1,None,0
4,R510A.BIN,4,Valuan Gunboat,0,20,4,Nothing,-1,None,-1,None,0,1,Magic,-1,None,23,Pyri,0
5,R510A.BIN,4,Valuan Gunboat,1,40,1,Magic,-1,None,6,Sacri,0,0,Attack,0,Large Cannon,-1,None,0
6,R510A.BIN,4,Valuan Gunboat,3,30,3,Guard,-1,None,0,Evasive Action,0,4,Nothing,-1,None,-1,None,0
7,R510A.BIN,4,Valuan Gunboat,3,30,3,Guard,-1,None,0,Evasive Action,0,1,Magic,-1,None,23,Pyri,0
8,R510A.BIN,4,Valuan Gunboat,1,20,1,Magic,-1,None,6,Sacri,0,0,Attack,1,Heavy Subcannon,-1,None,3
9,R510A.BIN,4,Valuan Gunboat,1,10,1,Magic,-1,None,6,Sacri,0,1,Magic,-1,None,23,Pyri,0
10,R510A.BIN,4,Valuan Gunboat,3,50,2,Focus,-1,None,0,Focus,0,3,Guard,-1,None,0,Evasive Action,0
11,R510A.BIN,4,Valuan Gunboat,1,10,1,Magic,-1,None,6,Sacri,0,1,Magic,-1,None,23,Pyri,0
12,R510A.BIN,4,Valuan Gunboat,3,50,0,Attack,1,Heavy Subcannon,-1,None,2,2,Focus,-1,None,0,Focus,0
13,R510A.BIN,4,Valuan Gunboat,1,30,3,Guard,-1,None,0,Evasive Action,0,4,Nothing,-1,None,-1,None,0
14,R510A.BIN,4,Valuan Gunboat,3,30,1,Magic,-1,None,6,Sacri,0,2,Focus,-1,None,0,Focus,0
15,R510A.BIN,4,Valuan Gunboat,3,50,2,Focus,-1,None,0,Focus,0,0,Attack,0,Large Cannon,-1,None,0
0,R513A.BIN,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
1,R513A.BIN,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
2,R513A.BIN,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
3,R513A.BIN,35,Roc,-1,0,0,Attack,0,Blast Voice,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
4,R513A.BIN,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,3,Guard,-1,None,0,Evasive Action,0
5,R513A.BIN,35,Roc,-1,0,0,Attack,3,Grab,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
6,R513A.BIN,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
7,R513A.BIN,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
8,R513A.BIN,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
9,R513A.BIN,35,Roc,-1,0,0,Attack,3,Grab,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
10,R513A.BIN,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
11,R513A.BIN,35,Roc,-1,0,0,Attack,3,Grab,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
12,R513A.BIN,35,Roc,3,50,0,Attack,0,Blast Voice,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
13,R513A.BIN,35,Roc,-1,0,0,Attack,3,Grab,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
14,R513A.BIN,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,3,Guard,-1,None,0,Evasive Action,0
15,R513A.BIN,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
16,R513A.BIN,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
17,R513A.BIN,35,Roc,-1,0,0,Attack,3,Grab,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
18,R513A.BIN,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,3,Guard,-1,None,0,Evasive Action,0
19,R513A.BIN,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
20,R513A.BIN,35,Roc,-1,0,0,Attack,3,Grab,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
21,R513A.BIN,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
22,R513A.BIN,35,Roc,-1,0,0,Attack,3,Grab,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
23,R513A.BIN,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
24,R513A.BIN,35,Roc,3,50,0,Attack,0,Blast Voice,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
25,R513A.BIN,35,Roc,-1,0,0,Attack,3,Grab,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
26,R513A.BIN,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,3,Guard,-1,None,0,Evasive Action,0
27,R513A.BIN,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
28,R513A.BIN,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,3,Guard,-1,None,0,Evasive Action,0
29,R513A.BIN,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,3,Guard,-1,None,0,Evasive Action,0
30,R513A.BIN,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,3,Guard,-1,None,0,Evasive Action,0
31,R513A.BIN,35,Roc,-1,0,0,Attack,0,Blast Voice,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
32,R513A.BIN,35,Roc,-1,0,0,Attack,0,Blast Voice,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
33,R513A.BIN,35,Roc,-1,0,0,Attack,3,Grab,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
34,R513A.BIN,35,Roc,3,50,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,Blast Voice,-1,None,0
35,R513A.BIN,35,Roc,-1,0,0,Attack,0,Blast Voice,-1,None,0,0,Attack,0,Blast Voice,-1,None,0
0,R514A.BIN,13,Chameleon,3,50,0,Attack,0,Handgun,-1,None,0,0,Attack,2,Type D Torpedo,-1,None,3
