Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Occ. flags,[Menu],[Battle],[Ship battle],Ship effect ID,[Ship effect name],Ship effect turns,Consume%,Purchase price,Pad. #0,Pad. #1,Retail price in %,Order by prio.,EU order by ABC,Pad. #2,Ship effect amount,Element ID,[Element name],Unk. #0,Unk. #1,Hit%,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
494,2352243424,113078,12,Gear Grease,112986,17,Grasa de Marchas,113726,17,Huile de Vitesse,111711,12,Gear Grease,1,"","",X,102,Recover Spirit (Ship),-1,100,500,0,0,50,14,11,0,10,0,Green,0,0,0,97872,97,"Reduziert Reibung in der Gangschaltung, was die\nKraftübertragung verbessert. Stellt Spirit her.",97433,78,"Reduce la fricción de las marchas, y\nmejora la movilidad. Restaura Espíritu.",97946,95,"Réduit la friction des vitesses, améliorant le\ntransfert de puissance. Rend de l'Esprit (ES).",96751,75,"Reduces friction in the gears, improving power\ntransfer. Restores Spirit."
495,2352243436,113090,15,Thermal Grease,113003,14,Grasa Térmica,113743,15,Thermo-graisse,111723,15,Thermal Grease,1,"","",X,103,Recover Spirit to 100% (Ship),-1,100,1000,0,0,50,15,27,0,0,0,Green,0,0,0,97969,95,Verhindert Hochgeschwindigkeits-Pannen aufgrund\nvon Hitze. Stellt Spirit komplett wieder her.,97511,94,Previene las averías producidas por la fricción\na gran velocidad. Restaura todo el Espíritu.,98041,76,Evite les pannes de chaleur dûes à la\nvitesse. Redonne tout l'Esprit (ES).,96826,78,Prevents heat-related breakdowns at high speeds.\nRestores Spirit completely.
496,2352243452,113105,17,Captain's Stripe,113017,17,Galón de Capitán,113758,7,Galon,111738,17,Captain's Stripe,4,X,"","",115,Captain's Stripe,-1,100,0,0,0,50,16,4,0,0,0,Green,0,0,0,98064,90,Auszeichnung für das Abschießen eines Feindes.\nVerbessert Schiffsparameter und Ausdauer.,97605,91,"Ganado al abatir a un enemigo. Si se usa,\naumenta los parámetros y resistencia del navío.",98117,89,Galon obtenu en abattant un ennemi. Il accroît\nles paramètres et l'endurance du navire.,96904,96,A mark earned by shooting down an enemy. Using\nit will increase ship parameters and endurance.
497,2352243472,113122,8,Apa Wax,113034,9,Cera Apa,113765,9,Cire Apa,111755,8,Apa Wax,1,"","",X,105,Add Strengthen (Ship),2,100,100,0,0,50,17,0,0,0,0,Green,0,0,0,98154,88,Auftragen auf Schiff und Kanonen verbessert\nAttack und Defense Power für 2 Durchgänge.,97696,94,Al aplicar esta cera al navío y cañones mejora\nel poder de Ataque y de Defensa por 2 turnos.,98206,93,Appliquer cette cire au navire et aux canons\naugmente l'Attaque et la Défense pour 2 tours.,97000,90,Applying this wax to the ship and cannons\nimproves Attack and Defense Power for 2 turns.
498,2352243480,113130,8,Apo Wax,113043,9,Cera Apo,113774,10,Cire Apo,111763,8,Apo Wax,1,"","",X,105,Add Strengthen (Ship),4,100,1000,0,0,50,18,1,0,0,0,Green,0,0,0,98242,88,Auftragen auf Schiff und Kanonen verbessert\nAttack und Defense Power für 4 Durchgänge.,97790,94,Al aplicar esta cera al navío y cañones mejora\nel poder de Ataque y de Defensa por 4 turnos.,98299,93,Appliquer cette cire au navire et aux canons\naugmente l'Attaque et la Défense pour 4 tours.,97090,90,Applying this wax to the ship and cannons\nimproves Attack and Defense Power for 4 turns.
499,2352243488,113138,10,Speed Wax,113052,15,Cera Velocidad,113784,13,Cire Vitesse,111771,10,Speed Wax,1,"","",X,104,Add Quickened (Ship),1,100,150,0,0,50,19,26,0,0,0,Green,0,0,0,98330,88,Auftragen dieses Wachses auf den Motor ver-\nbessert die Motorleistung für 1 Durchgang.,97884,83,Al aplicar esta cera al motor mejora el\nfuncionamiento del motor durante 1 turno.,98392,72,Appliquer cette cire au moteur améliore son\nrendement pendant un tour.,97180,68,Applying this wax to the engine improves engine\noutput for 1 turn.
500,2352243500,113148,11,Hybrid Wax,113067,13,Cera Híbrida,113797,13,Cire Hybride,111781,11,Hybrid Wax,1,"","",X,108,Improve parameters (Ship),4,100,1500,0,0,50,20,15,0,0,0,Green,0,0,0,98418,91,Von De Loco entwickeltes Wachs. Verbessert\nverschiedene Schiffsparameter für 1 Durchgang.,97967,84,Cera desarrollada por De Loco. Mejora\nvarios parámetros del navío durante 1 turno.,98464,84,Cire développée par De Loco. Améliore divers\nparamètres du navire pendant un tour.,97248,72,Wax developed by De Loco. Improves\nvarious ship parameters for 1 turn.
501,2352243512,113159,12,Heat Sensor,113080,16,Sensor de Calor,113810,16,Capteur Chaleur,111792,12,Heat Sensor,1,"","",X,112,Improve Critical% (Ship),0,100,2000,0,0,50,21,13,0,0,0,Green,0,0,0,98509,92,Ermittelt Maschinenraum von Feindschiffen zum\nbesseren Anpeilen. Erhöht Critical Hit Rate.,98051,93,Detecta la sala de máquinas del navío enemigo\npara disparar. Aumenta los Aciertos Críticos.,98548,98,Détecte le moteur des navires ennemis pour aider\nles canonniers à cibler. Plus de Coups mortels.,97320,92,Detects the engine room of enemy ships to help\nyour gunners aim. Raises Critical Hit Rate.
502,2352243524,113171,14,Rudder Grease,113096,15,Grasa de Timón,113826,17,Graisse Gouverne,111804,14,Rudder Grease,1,"","",X,113,Decrease Spirit consumption to 50% (Ship),0,100,2000,0,0,50,22,23,0,0,0,Green,0,0,0,98601,66,Verbessert die Steuerung und setzt Spirit-\nVerbrauchsrate herab.,98144,72,Mejora el funcionamiento del timón\ny disminuye el consumo de Espíritu.,98646,89,Améliore la manipulation du gouvernail et\nralentit le taux de consommation de l'Esprit.,97412,70,"Improves rudder operation, and slows the rate\nof Spirit consumption."
503,2352243540,113185,12,Machine Oil,113111,16,Aceite de Motor,113843,17,Huile de Machine,111818,12,Machine Oil,1,"","",X,114,Increase Spirit restoration to 200% (Ship),0,100,2000,0,0,50,23,17,0,0,0,Green,0,0,0,98667,94,Maschinenteile ölen stabilisiert die Leistung\nund verdoppelt die Rate der Spirit-Erneuerung.,98216,97,Al aplicarlo a las piezas del motor estabiliza\nla potencia y dobla la restauración de Espíritu.,98735,93,Appliquer l'huile sur le moteur le stabilise et\ndouble son taux de restoration de l'Esprit.,97482,94,"Applying oil to the engine parts stabilizes\noutput, doubling the rate of Spirit restoration."
504,2352243552,113197,12,Light Alloy,113127,16,Aleación Ligera,113860,14,Alliage Léger,111830,12,Light Alloy,1,"","",X,111,Improve First strike% (Ship),0,100,2000,0,0,50,24,16,0,0,0,Green,0,0,0,98761,92,"Legierungen machen den Schiffsrumpf leichter.\ngang, entwickelt von einem Meisteringenieur.",98313,94,Aleación del casco del navío que lo hace más\nligero. Aumenta la posibilidad de Primer Golpe.,98828,99,Alliage qui s'intègre à la coque pour alléger le\nnavire. Accroît les chances de tirer en premier.,97576,90,Alloy blends with the ship's hull to make it\nlighter. Improves chances for first strike.
505,2352243564,113209,10,Hex Shell,113143,16,Escudo Benéfico,113874,14,Bouclier Sort,111842,10,Hex Shell,1,"","",X,109,Block artillery (Ship),0,100,5000,0,0,50,25,14,0,0,0,Green,0,0,0,98853,83,"Barriere gegen Artillerie für 1 Durchgang,\nentwickelt von einem Meisteringenieur.",98407,90,Escudo que protege de ataques de artillería\npor 1 turno. Hecha por un maestro ingeniero.,98927,92,"Barrière contre les attaques d'artillerie pour\n1 tour, développée par un maître ingénieur.",97666,82,"A barrier against artillery attacks for 1 turn,\ndeveloped by a master engineer."
506,2352243576,113219,12,Magic Shell,113159,16,Escudo de Magia,113888,15,Bouclier Magie,111852,12,Magic Shell,1,"","",X,110,Block magic (Ship),0,100,2500,0,0,50,26,20,0,0,0,Green,0,0,0,98936,82,"Abwehr magischer Angriffe für 1 Durchgang,\nentwickelt von einem Meisterzauberer.",98497,90,Barrera que protege de los ataques de magia\ndurante 1 turno. Creado por un maestro mago.,99019,90,"Barrière contre les attaques de magie pendant\n1 tour, développée par un maître magicien.",97748,77,"A barrier against magic attacks for 1 turn,\ndeveloped by a master magician."
507,2352243588,113231,13,Gold Bullion,113175,15,Lingote de Oro,113903,12,Lingot d'Or,111864,13,Gold Bullion,0,"","","",-1,None,-1,-1,10000,0,0,100,27,12,0,0,0,Green,0,0,0,99018,82,"Reines Gold, zu schwer zum Tragen. Man kann\nes verkaufen, wenn man Geld braucht.",98587,86,"Pieza de oro macizo, demasiado grande para \nacarrear. Guárdala o véndela por dinero.",99109,91,Lingot d'or pur trop lourd à porter. Gardez-le\nou vendez-le si vous avez besoin d'argent.,97825,93,"A piece of solid gold, too big to carry. You can\nkeep it, or sell it if you need the money."
508,2352243604,113244,13,Crystal Ball,113190,16,Bola de Cristal,113915,17,Boule de Cristal,111877,13,Crystal Ball,0,"","","",-1,None,-1,-1,1000,0,0,100,28,7,0,0,0,Green,0,0,0,99100,95,"Kunstwerk von einem bekannten Handwerker. Zum\nBehalten oder Verkaufen, wenn man Geld braucht.",98673,79,Obra de un célebre artesano. Puedes\nguardarla o venderla si necesitas dinero.,99200,92,Oeuvre d'art d'un artisan très connu. Gardez-la\nou vendez-la si vous avez besoin d'argent.,97918,93,"A work of art by a well-known craftsman. You can\nkeep it, or sell it if you need the money."
509,2352243620,113257,13,Magic Cannon,113206,13,Cañón Mágico,113932,14,Canon Magique,111890,13,Magic Cannon,0,"","","",-1,None,-1,-1,0,0,0,0,29,18,0,0,0,Green,0,0,0,99195,94,"Kanone, die magische Geschosse abfeuert. Von\nBelleza im Kampf über der Nasr Wüste entwendet.",98752,89,Dispara proyectiles mágicos. Robado a Belleza\nen una batalla sobre el desierto de Nasr.,99292,94,Dispositif lançant des projectiles magiques.\nPris à Belleza dans la bataille du désert Nasr.,98011,95,A device that fires magic projectiles. Stolen\nfrom Belleza in a battle above the Nasr desert.
