Entry ID,EU SOT Pos,[Entry GB Name],PS Flags,[L1],[L2],[D1],[D2],[D3],Type ID,[Type Name],Element ID,[Element Name],Pad 1,Attack,Hit%,Limit,SP,Trait ID,[Trait Name],Pad 2,Trait Value,Pad 3,Pad 4,Buy,Pad 5,Pad 6,Sell%,EU Order 1,EU Order 2,Pad 7,[GB Descr Str]
426,0x8c374070,Serpent Torpedo,0b00001110,"","",X,X,X,2,Torpedo,6,Neutral,0,300,65,2,4,-1,None,0,0,0,0,5360,0,0,50,26,33,0,"A medium-sized torpedo that goes after a target
like a snake. Short range, but very powerful."
427,0x8c374080,Flash Torpedo,0b00001110,"","",X,X,X,2,Torpedo,6,Neutral,0,350,70,3,5,-1,None,0,0,0,0,6320,0,0,50,27,17,0,"A small torpedo that packs a big punch. Has long
range and good firepower."
428,0x8c374090,Arcwhale Torpedo,0b00001110,"","",X,X,X,2,Torpedo,6,Neutral,0,400,70,3,6,-1,None,0,0,0,0,6800,0,0,50,28,12,0,"A torpedo with both good range and destructive
power. But, uses a high level of Spirit."
429,0x8c3740a4,Dragon Torpedo,0b00001110,"","",X,X,X,2,Torpedo,6,Neutral,0,450,60,2,7,-1,None,0,0,0,0,8800,0,0,50,29,15,0,"A torpedo that emphasizes firepower more than
range. Does a great deal of damage when it hits."
430,0x8c3740b4,Harpoon Cannon,0b00100000,X,"","","","",3,Special,6,Neutral,0,350,65535,0,15,-1,None,0,0,0,0,0,0,0,0,30,20,0,"The Little Jack's ultimate weapon. It was
acquired to destroy Rhaknam."
431,0x8c3740c4,MoonStone Cannon,0b00001110,"","",X,X,X,3,Special,6,Neutral,0,800,65535,0,20,-1,None,0,0,0,0,0,0,0,0,31,30,0,"The ultimate weapon of the Delphinus. Builds up
Moon energy and releases it in a massive blast."
432,0x8c3740d8,Moon Cannon,0b00111110,X,X,X,X,X,0,Main Cannon,6,Neutral,0,500,99,0,9,-1,None,0,0,0,0,1000,0,0,100,32,27,0,"A main cannon that uses both Moonstone energy
and gunpowder to fire."
433,0x8c3740e4,Moon Gun,0b00111110,X,X,X,X,X,1,Sec Cannon,6,Neutral,0,400,99,3,5,-1,None,0,0,0,0,1000,0,0,100,33,28,0,"A secondary cannon relies on Moonstone energy
instead of draining Spirit."
434,0x8c3740f0,Moon Torpedo,0b00111110,X,X,X,X,X,2,Torpedo,6,Neutral,0,600,75,3,3,-1,None,0,0,0,0,1000,0,0,100,34,29,0,"A torpedo that uses Moonstone energy to keep
Spirit consumption low."
435,0x8c374100,Pyril Cannon,0b00001110,"","",X,X,X,0,Main Cannon,1,Red,0,200,120,0,6,-1,None,0,0,0,0,13200,0,0,50,35,32,0,"A rotating cannon designed for battleships.
Has Red properties, and high accuracy."
436,0x8c374110,Wevl Cannon,0b00001110,"","",X,X,X,1,Sec Cannon,3,Blue,0,180,120,3,4,-1,None,0,0,0,0,10200,0,0,50,36,37,0,"A secondary cannon designed for battleships.
Has Blue properties, and high accuracy."
437,0x8c37411c,Electril Torpedo,0b00001110,"","",X,X,X,2,Torpedo,4,Yellow,0,500,50,3,2,-1,None,0,0,0,0,1000,0,0,50,37,16,0,"A torpedo designed for large warships. Has
Yellow properties, and great firepower."
438,0x8c374130,Crystil Cannon,0b00001110,"","",X,X,X,0,Main Cannon,2,Purple,0,550,60,0,4,-1,None,0,0,0,0,1000,0,0,50,38,14,0,"Made of a special alloy for added durability.
Has Purple properties, and great firepower."
439,0x8c374140,Kazai Gun,0b00110000,X,X,"","","",1,Sec Cannon,3,Blue,0,50,99,2,5,-1,None,0,0,0,0,1000,0,0,50,39,24,0,"Contains a tower bar to absorb the shock of
firing. Has Blue properties, and high accuracy."
