Entry ID,EU SOT Pos,[Entry GB Name],Sell%,EU Order 1,EU Order 2,Pad 1,Buy,Pad 2,Pad 3,[GB Descr Str]
360,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
361,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
362,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
363,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
364,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
365,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
366,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
367,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
368,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
369,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
370,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
371,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
372,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
373,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
374,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
375,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
376,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
377,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
378,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
379,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
380,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
381,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
382,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
383,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
384,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
385,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
386,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
387,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
388,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
389,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
390,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
391,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
392,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
393,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
394,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
395,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
396,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
397,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
398,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
399,0x8c373af0,DUMMYCLEAR,0,-1,-1,0,0,0,0,"DUMMY
------"
