Entry ID,EU SOT Pos,[Entry GB Name],Occasion Flags,[M],[B],[S],Ship Eff ID,[Ship Eff Name],Ship Eff Turns,Consume%,Buy,Pad 1,Pad 2,Sell%,EU Order 1,EU Order 2,Pad 3,Ship Eff Base,Element ID,[Element Name],Unk 1,Unk 2,Hit%,[GB Descr Str]
500,0x8c3744b0,Hybrid Wax,0b0001,"","",X,108,Incr All Attr,4,100,1500,0,0,50,20,15,0,0,0,Green,0,0,0,"Wax developed by De Loco. Improves
various ship parameters for 1 turn."
501,0x8c3744bc,Heat Sensor,0b0001,"","",X,112,Incr Critical%,0,100,2000,0,0,50,21,13,0,0,0,Green,0,0,0,"Detects the engine room of enemy ships to help
your gunners aim. Raises Critical Hit Rate."
502,0x8c3744c8,Rudder Grease,0b0001,"","",X,113,Consume SP by 50%,0,100,2000,0,0,50,22,23,0,0,0,Green,0,0,0,"Improves rudder operation, and slows the rate
of Spirit consumption."
503,0x8c3744d8,Machine Oil,0b0001,"","",X,114,Recover SP by 200%,0,100,2000,0,0,50,23,17,0,0,0,Green,0,0,0,"Applying oil to the engine parts stabilizes
output, doubling the rate of Spirit restoration."
504,0x8c3744e4,Light Alloy,0b0001,"","",X,111,Incr First Strike%,0,100,2000,0,0,50,24,16,0,0,0,Green,0,0,0,"Alloy blends with the ship's hull to make it
lighter. Improves chances for first strike."
505,0x8c3744f0,Hex Shell,0b0001,"","",X,109,Block Attack,0,100,5000,0,0,50,25,14,0,0,0,Green,0,0,0,"A barrier against artillery attacks for 1 turn,
developed by a master engineer. "
506,0x8c3744fc,Magic Shell,0b0001,"","",X,110,Block Magic,0,100,2500,0,0,50,26,20,0,0,0,Green,0,0,0,"A barrier against magic attacks for 1 turn,
developed by a master magician."
507,0x8c374508,Gold Bullion,0b0000,"","","",-1,None,-1,-1,10000,0,0,100,27,12,0,0,0,Green,0,0,0,"A piece of solid gold, too big to carry. You can
keep it, or sell it if you need the money."
508,0x8c374518,Crystal Ball,0b0000,"","","",-1,None,-1,-1,1000,0,0,100,28,7,0,0,0,Green,0,0,0,"A work of art by a well-known craftsman. You can
keep it, or sell it if you need the money."
509,0x8c374528,Magic Cannon,0b0000,"","","",-1,None,-1,-1,0,0,0,0,29,18,0,0,0,Green,0,0,0,"A device that fires magic projectiles. Stolen
from Belleza in a battle above the Nasr desert."
