Entry ID,Entry JP Name,PC ID,[PC Name],Sell%,Ord by 123,JP Ord by ABC,Effect ID,[Effect Name],Buy,Attack,Hit%,Trait ID,[Trait Name],Pad 1,Trait Value,[JP Descr Pos],[JP Descr Size],JP Descr Str
19,フリーズカッター,1,Aika,50,29,60,-1,None,7390,142,110,34,Purple,0,-2,0x338db0,96,氷のように透き通った鋭い刃を持つブーメラン。\n周りの空気を凍りつかせるかのような切れ味を誇る。
20,革のブーメラン,1,Aika,50,18,6,-1,None,180,30,110,-1,None,0,0,0x338e10,96,安定した円弧状の軌跡を描く革張りのブーメラン。\n刃の裏側を補強することで耐久性が上がっている。
21,古代の投刃,1,Aika,50,19,28,-1,None,310,38,110,-1,None,0,0,0x338e70,96,船乗り島周辺の島々で時折発掘される古代の武器。\nかつては木や石の細工に使われたと考えられている。
22,狩猟のブーメラン,1,Aika,50,24,32,-1,None,1820,80,110,-1,None,0,0,0x338ed0,100,遠くから標的めがけて投げつける狩猟用ブーメラン。\nモンテスマの人間は、子供の頃からこの武器で遊ぶ。
23,バルメラン,1,Aika,50,20,52,-1,None,480,46,110,-1,None,0,0,0x338f34,88,バルアのコロシアムで、年に一度だけ開催される\n刃投げ大会の練習用ブーメラン。とても軽い。
24,勾玉の投刃,1,Aika,50,28,62,17,Sleep by 5%,5930,130,110,-1,None,0,0,0x338f8c,96,しずく形の玉石に柄をつけて投げやすくした武器。\n不思議な力で、標的を眠らせてしまうこともある。
25,舞踏のブーメラン,1,Aika,50,22,58,-1,None,1100,65,110,-1,None,0,0,0x338fec,96,砂漠の町に暮らす踊り子が美しい舞を披露する際に\n手に持つ小道具。芸妓用だが、高い殺傷力がある。
26,希望の翼,1,Aika,50,27,8,-1,None,4760,119,110,-1,None,0,0,0x33904c,96,東を目指した冒険家たちが、魔の空域で帰らぬ者と\nなった先人の魂を鎮めるために作ったブーメラン。
27,呪いの投刃,1,Aika,50,23,49,2,Weak by 10%,1280,69,150,-1,None,0,0,0x3390ac,96,古代王朝時代、神殿の警護を司った者が身につけた。\n標的を「衰弱」させる、不気味な力を秘めた投刃。
28,風神の翼,1,Aika,50,31,55,-1,None,10170,161,110,-1,None,0,0,0x33910c,100,名工・リュウカンの手による逸品。武器本来の特性を\n損なうことなく、卓越したデザインを実現している。
29,ヒュドラウィング,1,Aika,50,32,54,-1,None,11390,168,110,-1,None,0,0,0x339170,96,バルア軍が白兵戦用に装甲を強化したブーメラン。\n眼前の敵を撃滅することに主眼をおいて開発された。
30,グリデガウィング,1,Aika,50,25,26,-1,None,2820,96,150,32,Green,0,-2,0x3391d0,96,緑のギガス・グリデガルデの骨でできたブーメラン。\n得意技である「鉄拳」なみの攻撃力を秘めている。
31,乱れ斬りの投刃,1,Aika,50,30,64,3,Confusion by 20%,8910,153,110,-1,None,0,0,0x339230,100,固定式の刃と可動式の刃を組み合わせたブーメラン。\n不規則な軌道を描く二枚刃が標的を「混乱」させる。
32,キュピル,2,Fina,0,34,19,-1,None,0,58,120,-1,None,0,0,0x339294,92,銀飛類ミュミュ科に属する人工生物。性別不明。\nファイナとは４歳の誕生日からのパートナーだ。
33,キュピランス,2,Fina,0,41,18,-1,None,0,110,120,-1,None,0,0,0x3392f0,84,命をかけて君主を守る「騎士」の象徴である\nランスに姿を変え、鋭いほこ先で敵を貫く。
34,キュピングスター,2,Fina,0,40,22,-1,None,0,103,120,-1,None,0,0,0x339344,92,夜空にЖく星に姿を変えて、敵に猛然と突進する。\nその間に願いごとを３回言うと叶うらしい……？
35,キュピコーン,2,Fina,0,36,13,-1,None,0,73,120,-1,None,0,0,0x3393a0,88,鋭いコーン＝円すいに姿を変え、敵に向かって\n回転アタックする。パラソルではないらしい。
36,キュピアー,2,Fina,0,46,10,-1,None,0,147,120,-1,None,0,0,0x3393f8,80,一度刺さったらなかなか抜けない、鋭い矢じりに\n姿を変え、敵に向かって猛突進する。
37,キュピクルブレド,2,Fina,0,35,11,4,Silence by 20%,0,67,115,-1,None,0,0,0x339448,100,キュピルは成長とともに、戦闘時の姿を変えていく。\nまずはマナ板をも切断する銀包丁にキュピチェンジ!!
38,キュピルソード,2,Fina,0,38,20,4,Silence by 20%,0,90,115,-1,None,0,0,0x3394ac,92,攻撃力なら誰にも負けない「戦士」の象徴である\nソードに姿を変え、敵を一刀両断に切り捨てる。
39,キュピラス,2,Fina,0,43,17,4,Silence by 20%,0,127,115,-1,None,0,0,0x339508,88,ヴァイスの象徴であるカトラスに姿を変え、\n舞えぇ…うなれぇ…キュピラスダぁ〜ンスっっ!!
40,キュピバッソ,2,Fina,0,47,15,4,Silence by 20%,0,157,115,-1,None,0,0,0x339560,92,強さと優しさをあわせ持つ「勇者」の象徴である\nバスタードソードに姿を変え、敵をぶった斬る。
41,フォールンキュピ,2,Fina,0,37,57,-1,None,0,86,105,20,Dodge%,0,5,0x3395bc,92,小さいながらも中身のつまった砲丸に姿を変え、\n上空から重力加速度9.8で、敵に落下攻撃する。
42,キュピットラップ,2,Fina,0,44,14,-1,None,0,141,105,20,Dodge%,0,10,0x339618,88,当たると痛そうなトゲトゲ板に姿を変え、\n敵の頭上から黒板消しアタック!!　命中率は低め。
43,ヘビーキュピル,2,Fina,0,48,61,-1,None,0,172,105,20,Dodge%,0,15,0x339670,96,重たいものの代名詞である16ｔの分銅に姿を変え、\n敵の頭上から落下＆圧殺!!　攻撃力はかなり高い。
44,キュピルパン,2,Fina,0,45,21,-1,None,0,145,110,-1,None,0,0,0x3396d0,96,毎日おいしいランチを作る「コック」の象徴である\nフライパンに姿を変え、敵の頭にフライパーンっ!!
45,クラブキュピル,2,Fina,0,39,25,-1,None,0,99,110,-1,None,0,0,0x339730,92,硬いこん棒に姿を変え、敵の脳天を直撃大混乱!!\n間違っても、飲んだり踊ったりする場所ではない。
46,キュピゲンノー,2,Fina,0,42,12,-1,None,0,122,110,-1,None,0,0,0x33978c,88,伝説の大工・ヤギュウが使用していたという\n金の玄翁に姿を変え、敵の頭にハンマーチャンス!!
47,キュピファイナル,2,Fina,0,49,16,-1,None,0,500,100,-1,None,0,0,0x3397e4,88,ファイナの名前を冠した、キュピルの究極奥義。\n見た目もすごいが、攻撃力もハンパじゃない。
48,義手,3,Drachma,50,50,7,-1,None,390,43,80,-1,None,0,0,0x33983c,84,長年に渡ってよく使いこまれた器械の手。\n握る力も強いが、細かい作業もらくらくこなす。
49,カギ爪,3,Drachma,50,51,3,-1,None,580,51,80,-1,None,0,0,0x339890,88,標的の首を掻き斬るカギ型の大きなツメ。\nむき出しの刃が触れるものをことごとく傷つける。
50,モーニングスター,3,Drachma,50,54,65,-1,None,2000,125,0,-1,None,0,0,0x3398e8,88,鋭いトゲが何本も突き出した重い鉄の球。\nすさまじい破壊力を誇るが命中精度がとても低い。
51,デ式アーム,3,Drachma,50,57,45,-1,None,9980,172,80,-1,None,0,0,0x339940,88,鉱山に埋もれる月Ж石を採取するための工具。\nモンテスマに赴任したデ・ロッコが考案した。
52,キャッチアーム,3,Drachma,50,58,9,-1,None,11850,181,80,-1,None,0,0,0x339998,92,名工・リュウカンの手によって、さらに扱いやすい\nデザインに生まれ変わったドラクマ専用の義手。
53,パロットアーム,3,Drachma,50,52,53,5,Confusion by 20%,880,60,80,-1,None,0,0,0x3399f4,96,くちばし型の圧搾器具。刃の開閉時に出る鳥の鳴き声\nのような音が、敵を「混乱」に陥れることがある。
54,デ式ドリル,3,Drachma,50,55,46,6,Unconscious by 10%,2600,95,80,-1,None,0,0,0x339a54,92,デ・ロッコが発明した削岩機に装備されたドリル。\n高速回転する刃で、敵を即死させることもある。
55,発掘アーム,3,Drachma,50,53,50,-1,None,1340,73,80,-1,None,0,0,0x339ab0,96,遺跡の調査隊が秘宝を発掘するために開発した器具。\nもろい土を崩さずに掴むなど、微妙な操作が可能。
56,ルインアーム,3,Drachma,50,56,70,-1,None,3860,112,80,-1,None,0,0,0x339b10,92,滅びた都に置き去りにされた不思議なかたちの義手。\n内部構造には未知の技術が用いられている。
57,シルバーアーム,3,Drachma,50,59,34,-1,None,13710,190,80,37,Silver,0,-2,0x339b6c,92,銀の文明が創り出した人型兵器の部品の一部。\n高度な技術が用いられており、高い攻撃力を持つ。
58,レイピア,4,Enrique,50,60,71,12,Silence by 20%,4200,122,95,-1,None,0,0,0x339bc8,96,騎士の象徴ともいえる刀剣。細身だが切れ味は鋭く、\nその刃に斬られた者は「沈黙」させられるという。
59,ソリッドソード,4,Enrique,50,64,40,13,Stone by 10%,9850,171,95,-1,None,0,0,0x339c28,92,名工・リュウカンが精魂こめて鋳造した至高の刀剣。\nその切れ味は時として相手を「石化」させる。
60,ロイヤルソード,4,Enrique,50,63,72,7,Silence by 20%,8660,163,95,-1,None,0,0,0x339c84,88,帝位継承者のみが拝領を許される由緒正しい宝剣。\nその高貴さによって相手を「沈黙」させる。
61,いにしえの皇龍刀,4,Enrique,50,65,1,8,Stone by 10%,11150,179,95,-1,None,0,0,0x339cdc,100,銀の文明の戦士が身につけたといわれる最強の刀剣。\n斬りつけた相手を「石化」させる不思議な力を持つ。
62,アイスソード,4,Enrique,50,62,0,14,Confusion by 20%,7020,150,95,-1,None,0,0,0x339d40,92,斬られた者がその身に冷たさを感じるほど鋭い刀剣。\nその凄まじい切れ味が相手を「混乱」させる。
63,青斬刀,4,Enrique,50,61,37,15,Sleep by 10%,5690,138,95,-1,None,0,0,0x339d9c,96,祭事や儀式などに用いられるヤフトマー製の大刀。\n妖しく光る太刀筋が、相手を「睡眠」にいざなう。
64,俺様の拳銃,5,Gilder,50,66,2,-1,None,2910,104,100,-1,None,0,0,0x339dfc,96,ギルダーとともに数々の修羅場をくぐり抜けた拳銃。\n小さいが、手にしっかりとなじむ形状をしている。
65,ナスル式短銃,5,Gilder,50,67,48,-1,None,3520,112,100,33,Red,0,-2,0x339e5c,92,王宮警護隊で正式採用されている短銃のレプリカ。\nムダな装飾を省き、より扱いやすくなっている。
66,戦士の拳銃,5,Gilder,50,72,38,-1,None,10920,176,100,-1,None,0,0,0x339eb8,88,古代の戦士が使ったといわれる小型の銃。\nその外見とうらはらに絶大な破壊力を秘めている。
67,バルア式拳銃,5,Gilder,50,69,51,-1,None,8140,160,100,-1,None,0,0,0x339f10,100,バルア軍から奪った銃を船乗りたちが改造したもの。\n命中精度を下げずに破壊力を上げることに成功した。
68,殺し屋の短銃,5,Gilder,50,71,29,10,Unconscious by 20%,3000,100,200,-1,None,0,0,0x339f74,96,バルアの暗殺者もその性能を認めた小さな拳銃。\n急所に命中すると標的を「即死」させることもある。
69,ダカットカスタム,5,Gilder,50,68,42,9,Sleep by 50%,4290,120,100,-1,None,0,0,0x339fd4,96,伝説の大空賊ダカットが愛用した銃身の長い拳銃。\n時折標的を「睡眠」状態にすることがあるという。
70,ギルダーＳＰ,5,Gilder,50,70,23,-1,None,9460,168,100,-1,None,0,0,0x33a034,92,名工・リュウカンの手により外見の美しさだけでなく\n破壊力が格段に向上したギルダー専用の銃。
71,まぐろかとらす,0,Vyse,100,16,63,-1,None,22222,150,0,-1,None,0,0,0x33a090,88,ネットにつないだ人用のスペシャルアイテム。\n攻撃力はかなり高いが、命中率はいたって低い。
72,ぐるぐるめらん,1,Aika,100,33,27,11,Confusion by 100%,11111,100,200,-1,None,0,0,0x33a0e8,92,ネットにつないだ人用のスペシャルアイテム。\n混乱耐性がない相手は確実に「混乱」状態になる。
73,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0x33a144,16,ダミーです。\n
74,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0x0,0,""
75,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0x0,0,""
76,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0x0,0,""
77,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0x0,0,""
78,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0x0,0,""
79,ダミー武器,0,Vyse,0,-1,-1,-1,None,0,0,0,-1,None,0,0,0x0,0,""
