Entry ID,EU Message ID,[DE Entry Name Pos.],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos.],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos.],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos.],[GB Entry Name Size],GB Entry Name,Category ID,[Category Name],Effect ID,[Effect Name],Scope ID,[Scope Name],Pad. 1,Effect Value 1,Effect Value 2,Element ID,[Element Name],Type ID,[Type Name],Unk. 1,Unk. 2,State ID,[State Name],State Miss%,Pad. 2,Pad. 3
19,0x8c385a14,0x12fc,8,Eternum,0x12ff,8,Eternum,0x1302,8,Eternum,0x12fc,8,Eternum,1,Magic,6,"Damage, Unconscious 1",1,Single PC,0,1,250,5,Silver,1,Magical,1,1,1,Unconscious,0,0,0
20,0x8c385a1c,0x1304,6,Wevli,0x1307,6,Wevli,0x130a,6,Wevli,0x1304,6,Wevli,1,Magic,0,Damage,96,PC Square S3,0,1,60,3,Blue,1,Magical,0,0,0,Poison,0,0,0
21,0x8c385a24,0x130a,7,Wevles,0x130d,7,Wevles,0x1310,7,Wevles,0x130a,7,Wevles,1,Magic,0,Damage,97,PC Square S5,0,1,105,3,Blue,1,Magical,0,0,0,Poison,0,0,0
22,0x8c385a2c,0x1311,7,Wevlen,0x1314,7,Wevlen,0x1317,7,Wevlen,0x1311,7,Wevlen,1,Magic,0,Damage,98,PC Square S7,0,1,195,3,Blue,1,Magical,0,0,0,Poison,0,0,0
23,0x8c385a34,0x1318,5,Pyri,0x131b,5,Pyri,0x131e,5,Pyri,0x1318,5,Pyri,1,Magic,0,Damage,2,All PCs,0,1,50,1,Red,1,Magical,0,0,0,Poison,0,0,0
24,0x8c385a3c,0x131d,6,Pyres,0x1320,6,Pyres,0x1323,6,Pyres,0x131d,6,Pyres,1,Magic,0,Damage,2,All PCs,0,1,85,1,Red,1,Magical,0,0,0,Poison,0,0,0
25,0x8c385a44,0x1323,6,Pyrum,0x1326,6,Pyrum,0x1329,6,Pyrum,0x1323,6,Pyrum,1,Magic,0,Damage,2,All PCs,0,1,120,1,Red,1,Magical,0,0,0,Poison,0,0,0
26,0x8c385a4c,0x1329,9,Crystali,0x132c,9,Crystali,0x132f,9,Crystali,0x1329,9,Crystali,1,Magic,0,Damage,1,Single PC,0,1,70,2,Purple,1,Magical,0,0,0,Poison,0,0,0
27,0x8c385a58,0x1332,10,Crystales,0x1335,10,Crystales,0x1338,10,Crystales,0x1332,10,Crystales,1,Magic,0,Damage,1,Single PC,0,1,120,2,Purple,1,Magical,0,0,0,Poison,0,0,0
28,0x8c385a64,0x133c,10,Crystalum,0x133f,10,Crystalum,0x1342,10,Crystalum,0x133c,10,Crystalum,1,Magic,0,Damage,1,Single PC,0,1,170,2,Purple,1,Magical,0,0,0,Poison,0,0,0
29,0x8c385a70,0x1346,10,Crystalen,0x1349,10,Crystalen,0x134c,10,Crystalen,0x1346,10,Crystalen,1,Magic,0,Damage,1,Single PC,0,1,220,2,Purple,1,Magical,0,0,0,Poison,0,0,0
30,0x8c385a7c,0x1350,8,Pyrulen,0x1353,8,Pyrulen,0x1356,8,Pyrulen,0x1350,8,Pyrulen,1,Magic,0,Damage,2,All PCs,0,1,155,1,Red,1,Magical,0,0,0,Poison,0,0,0
31,0x8c385a84,0x1358,7,Wevlum,0x135b,7,Wevlum,0x135e,7,Wevlum,0x1358,7,Wevlum,1,Magic,0,Damage,97,PC Square S5,0,1,150,3,Blue,1,Magical,0,0,0,Poison,0,0,0
32,0x8c385a8c,0x135f,8,Electri,0x1362,8,Electri,0x1365,8,Electri,0x135f,8,Electri,1,Magic,0,Damage,100,PC Ray S1,0,1,60,4,Yellow,1,Magical,0,0,0,Poison,0,0,0
33,0x8c385a94,0x1367,9,Electres,0x136a,9,Electres,0x136d,9,Electres,0x1367,9,Electres,1,Magic,0,Damage,101,PC Ray S3,0,1,105,4,Yellow,1,Magical,0,0,0,Poison,0,0,0
34,0x8c385aa0,0x1370,9,Electrum,0x1373,9,Electrum,0x1376,9,Electrum,0x1370,9,Electrum,1,Magic,0,Damage,101,PC Ray S3,0,1,150,4,Yellow,1,Magical,0,0,0,Poison,0,0,0
35,0x8c385aac,0x1379,11,Electrulen,0x137c,11,Electrulen,0x137f,11,Electrulen,0x1379,11,Electrulen,1,Magic,0,Damage,102,PC Ray S5,0,1,195,4,Yellow,1,Magical,0,0,0,Poison,0,0,0
