Entry ID,EU Message ID,[DE Entry Name Pos.],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos.],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos.],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos.],[GB Entry Name Size],GB Entry Name,Category ID,[Category Name],Effect ID,[Effect Name],Scope ID,[Scope Name],Pad. 1,Effect Value 1,Effect Value 2,Element ID,[Element Name],Type ID,[Type Name],Unk. 1,Unk. 2,State ID,[State Name],State Miss%,Pad. 2,Pad. 3
18,0x8c385ae8,0x1453,9,KETSUBAN,0x1469,9,KETSUBAN,0x146e,9,KETSUBAN,0x1453,9,KETSUBAN,0,S-Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
19,0x8c385b80,0x145c,15,Counter Stance,0x1472,15,Contraposición,0x1477,8,Défense,0x145c,15,Counter Stance,0,S-Move,38,"Guard, Counter Attack",5,Self,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
20,0x8c385b90,0x146b,16,Gather Strength,0x1481,17,Recuperar Fuerza,0x147f,17,Rassembler Force,0x146b,16,Gather Strength,0,S-Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
21,0x8c385b80,0x147b,15,Counter Stance,0x1492,15,Contraposición,0x1490,8,Défense,0x147b,15,Counter Stance,0,S-Move,38,"Guard, Counter Attack",5,Self,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
22,0x8c385ba0,0x148a,6,Burst,0x14a1,10,Explosión,0x1498,10,Explosion,0x148a,6,Burst,0,S-Move,0,Damage,97,PC Square S5,0,16,40,1,Red,0,Physical,0,0,0,Poison,0,0,0
23,0x8c385ba8,0x1490,9,Terminal,0x14ab,9,Terminal,0x14a2,9,Terminal,0x1490,9,Terminal,0,S-Move,0,Damage,1,Single PC,0,16,55,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
24,0x8c385bb4,0x1499,9,Devolver,0x14b4,8,Delegar,0x14ab,9,Devolver,0x1499,9,Devolver,0,S-Move,38,"Guard, Counter Attack",5,Self,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
25,0x8c385bc0,0x14a2,15,Poisonous Bile,0x14bc,15,Furia Venenosa,0x14b4,15,Bile Venimeuse,0x14a2,15,Poisonous Bile,0,S-Move,4,"Damage, Poison",2,All PCs,0,16,20,0,Green,0,Physical,16,17,0,Poison,50,0,0
26,0x8c385bd0,0x14b1,14,Death Blossom,0x14cb,18,Flor de la Muerte,0x14c3,16,Éclosion Tueuse,0x14b1,14,Death Blossom,0,S-Move,0,Damage,201,PCs Nearby S1,0,16,20,3,Blue,0,Physical,0,0,0,Poison,0,0,0
27,0x8c385be0,0x14bf,12,Cannon Fire,0x14dd,15,Fuego de Cañón,0x14d3,13,Tir de Canon,0x14bf,12,Cannon Fire,0,S-Move,0,Damage,1,Single PC,0,16,50,1,Red,0,Physical,0,0,0,Poison,0,0,0
28,0x8c385bec,0x14cb,12,Call Allies,0x14ec,17,Convocar aliados,0x14e0,15,Appel d'alliés,0x14cb,12,Call Allies,0,S-Move,43,Call EC,0,None,0,27,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
29,0x8c385bec,0x14d7,12,Call Allies,0x14fd,17,Convocar aliados,0x14ef,15,Appel d'alliés,0x14d7,12,Call Allies,0,S-Move,43,Call EC,0,None,0,31,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
30,0x8c385bf8,0x14e3,12,Wheel Blast,0x150e,12,Wheel Blast,0x14fe,14,Obus explosif,0x14e3,12,Wheel Blast,0,S-Move,0,Damage,97,PC Square S5,0,16,35,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
31,0x8c385c04,0x14ef,12,Laser Blast,0x151a,13,Ráfaga láser,0x150c,16,Explosion Laser,0x14ef,12,Laser Blast,0,S-Move,8,"Damage, Stone",1,Single PC,0,16,5,6,Neutral,0,Physical,16,17,2,Stone,20,0,0
32,0x8c385c10,0x14fb,12,Crypt Laser,0x1527,16,Láser de Cripta,0x151c,13,Laser Crypte,0x14fb,12,Crypt Laser,0,S-Move,68,"Damage, Unconscious 2",1,Single PC,0,16,5,5,Silver,0,Physical,16,17,1,Unconscious,60,0,0
33,0x8c385c1c,0x1507,12,Death Laser,0x1537,16,Láser Mortífero,0x1529,13,Laser Mortel,0x1507,12,Death Laser,0,S-Move,68,"Damage, Unconscious 2",1,Single PC,0,16,5,5,Silver,0,Physical,16,17,1,Unconscious,60,0,0
34,0x8c385c28,0x1513,14,Assess Damage,0x1547,13,Evaluar Daño,0x1536,15,Estimer Dégâts,0x1513,14,Assess Damage,0,S-Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
35,0x8c385ae8,0x1521,9,KETSUBAN,0x1554,9,KETSUBAN,0x1545,9,KETSUBAN,0x1521,9,KETSUBAN,0,S-Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
36,0x8c385c38,0x152a,10,Steelskin,0x155d,12,Pieldeacero,0x154e,13,Peau d'acier,0x152a,10,Steelskin,0,S-Move,67,Invulnerable,5,Self,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
37,0x8c385c44,0x1534,6,Focus,0x1569,8,Enfoque,0x155b,6,Focus,0x1534,6,Focus,0,S-Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
38,0x8c385c4c,0x153a,15,Eternal Freeze,0x1571,13,Hielo Eterno,0x1561,12,Gel Éternel,0x153a,15,Eternal Freeze,0,S-Move,0,Damage,2,All PCs,0,16,12,2,Purple,0,Physical,0,0,0,Poison,0,0,0
39,0x8c385c5c,0x1549,17,Lightning Strike,0x157e,15,Golpe del Rayo,0x156d,15,Coup de Foudre,0x1549,17,Lightning Strike,0,S-Move,0,Damage,1,Single PC,0,16,20,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
40,0x8c385c70,0x155a,14,Terrible Bite,0x158d,17,Mordisco Temible,0x157c,17,Terrible Morsure,0x155a,14,Terrible Bite,0,S-Move,72,"Damage, Fatigue",1,Single PC,0,16,15,0,Green,0,Physical,16,17,6,Fatigue,20,0,0
41,0x8c385c80,0x1568,11,Deep Sleep,0x159e,15,Sueño Profundo,0x158d,16,Profond Sommeil,0x1568,11,Deep Sleep,0,S-Move,63,"Regenerate, Sleep",5,Self,0,400,65535,0,Green,0,Physical,0,0,0,Poison,0,0,0
42,0x8c385c8c,0x1573,12,Avalauncher,0x15ad,12,Avalauncher,0x159d,11,Avalanceur,0x1573,12,Avalauncher,0,S-Move,0,Damage,102,PC Ray S5,0,16,35,2,Purple,0,Physical,0,0,0,Poison,0,0,0
43,0x8c385c98,0x157f,15,Silver Eclipse,0x15b9,17,Eclipse de Plata,0x15a8,17,Éclipse d'argent,0x157f,15,Silver Eclipse,0,S-Move,0,Damage,2,All PCs,0,16,25,5,Silver,0,Physical,0,0,0,Poison,0,0,0
44,0x8c385ca8,0x158e,6,Drain,0x15ca,8,Desecar,0x15b9,11,Épuisement,0x158e,6,Drain,0,S-Move,26,Weak,1,Single PC,0,0,0,0,Green,0,Physical,16,17,8,Weak,0,0,0
45,0x8c385cb0,0x1594,14,Turn Recovery,0x15d2,17,Turno de Reposar,0x15c4,13,Récupération,0x1594,14,Turn Recovery,0,S-Move,33,Regenerate,5,Self,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
46,0x8c385cc0,0x15a2,12,Destruction,0x15e3,12,Destrucción,0x15d1,12,Destruction,0x15a2,12,Destruction,0,S-Move,17,"Damage, Rem. Pos. States",2,All PCs,0,16,10,5,Silver,0,Physical,0,0,0,Poison,0,0,0
47,0x8c385ccc,0x15ae,8,Tremble,0x15ef,7,Seísmo,0x15dd,12,Tremblement,0x15ae,8,Tremble,0,S-Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
48,0x8c385cd4,0x15b6,14,Silver Tundra,0x15f6,16,Tundra de Plata,0x15e9,17,Toundra d'argent,0x15b6,14,Silver Tundra,0,S-Move,0,Damage,1,Single PC,0,16,50,5,Silver,0,Physical,0,0,0,Poison,0,0,0
49,0x8c385bec,0x15c4,12,Call Allies,0x1606,17,Convocar aliados,0x15fa,15,Appel d'alliés,0x15c4,12,Call Allies,0,S-Move,43,Call EC,0,None,0,54,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
50,0x8c385bec,0x15d0,12,Call Allies,0x1617,17,Convocar aliados,0x1609,15,Appel d'alliés,0x15d0,12,Call Allies,0,S-Move,43,Call EC,0,None,0,85,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
51,0x8c385ce4,0x15dc,8,Explore,0x1628,9,Explorar,0x1618,12,Exploration,0x15dc,8,Explore,0,S-Move,0,Damage,2,All PCs,0,16,20,1,Red,0,Physical,0,0,0,Poison,0,0,0
52,0x8c385cec,0x15e4,11,Stone Ooze,0x1631,16,Fango de Piedra,0x1624,17,Pierre Suintante,0x15e4,11,Stone Ooze,0,S-Move,7,Stone,1,Single PC,0,0,0,0,Green,0,Physical,16,17,2,Stone,40,0,0
53,0x8c385cf8,0x15ef,13,Tundra Blast,0x1641,17,Ráfaga de Tundra,0x1635,17,Tundra Explosive,0x15ef,13,Tundra Blast,0,S-Move,0,Damage,2,All PCs,0,16,20,2,Purple,0,Physical,0,0,0,Poison,0,0,0
54,0x8c385d08,0x15fc,12,Death Waltz,0x1652,12,Vals Mortal,0x1646,17,Valse de la Mort,0x15fc,12,Death Waltz,0,S-Move,0,Damage,2,All PCs,0,16,40,6,Neutral,0,Physical,0,0,0,Poison,0,0,0
55,0x8c385d14,0x1608,7,Engage,0x165e,11,Involucrar,0x1657,11,Engagement,0x1608,7,Engage,0,S-Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
56,0x8c385d1c,0x160f,14,Thunder Storm,0x1669,17,Ráfaga de Trueno,0x1662,6,Orage,0x160f,14,Thunder Storm,0,S-Move,0,Damage,2,All PCs,0,16,20,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
57,0x8c385d2c,0x161d,11,Eerie Wail,0x167a,17,Sollozo Pavoroso,0x1668,12,Cri Lugubre,0x161d,11,Eerie Wail,0,S-Move,0,Damage,107,PC Triangle 60°,0,16,15,2,Purple,0,Physical,0,0,0,Poison,0,0,0
58,0x8c385c28,0x1628,14,Assess Damage,0x168b,13,Evaluar Daño,0x1674,15,Estimer Dégâts,0x1628,14,Assess Damage,0,S-Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
59,0x8c385d08,0x1636,12,Death Waltz,0x1698,12,Vals Mortal,0x1683,17,Valse de la Mort,0x1636,12,Death Waltz,0,S-Move,0,Damage,2,All PCs,0,16,40,6,Neutral,0,Physical,0,0,0,Poison,0,0,0
60,0x8c385d38,0x1642,15,Vigoro's Charm,0x16a4,17,Magia de Vigoro ,0x1694,17,Charme de Vigoro,0x1642,15,Vigoro's Charm,0,S-Move,70,"Damage, Confusion",1,Single PC,0,16,5,1,Red,0,Physical,16,17,4,Confusion,0,0,0
61,0x8c385c04,0x1651,12,Laser Blast,0x16b5,13,Ráfaga láser,0x16a5,16,Explosion Laser,0x1651,12,Laser Blast,0,S-Move,8,"Damage, Stone",1,Single PC,0,16,20,5,Silver,0,Physical,16,17,2,Stone,50,0,0
62,0x8c385bec,0x165d,12,Call Allies,0x16c2,17,Convocar aliados,0x16b5,15,Appel d'alliés,0x165d,12,Call Allies,0,S-Move,43,Call EC,0,None,0,12,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
63,0x8c385d48,0x1669,7,Digest,0x16d3,8,Digerir,0x16c4,8,Digérer,0x1669,7,Digest,0,S-Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
64,0x8c385c70,0x1670,14,Terrible Bite,0x16db,17,Mordisco Temible,0x16cc,17,Terrible Morsure,0x1670,14,Terrible Bite,0,S-Move,72,"Damage, Fatigue",1,Single PC,0,16,15,2,Purple,0,Physical,16,17,6,Fatigue,20,0,0
65,0x8c385d50,0x167e,8,Neglora,0x16ec,8,Neglora,0x16dd,8,Neglora,0x167e,8,Neglora,0,S-Move,17,"Damage, Rem. Pos. States",2,All PCs,0,16,5,4,Yellow,0,Physical,-1,-2,-1,None,-2,0,0
66,0x8c385d58,0x1686,10,Ice Storm,0x16f4,16,Ráfaga de Hielo,0x16e5,15,Orage de Glace,0x1686,10,Ice Storm,0,S-Move,0,Damage,2,All PCs,0,16,20,2,Purple,0,Physical,0,0,0,Poison,0,0,0
67,0x8c385bec,0x1690,12,Call Allies,0x1704,17,Convocar aliados,0x16f4,15,Appel d'alliés,0x1690,12,Call Allies,0,S-Move,43,Call EC,0,None,0,60,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
68,0x8c385bec,0x169c,12,Call Allies,0x1715,17,Convocar aliados,0x1703,15,Appel d'alliés,0x169c,12,Call Allies,0,S-Move,43,Call EC,0,None,0,84,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
69,0x8c385bec,0x16a8,12,Call Allies,0x1726,17,Convocar aliados,0x1712,15,Appel d'alliés,0x16a8,12,Call Allies,0,S-Move,43,Call EC,0,None,0,107,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
70,0x8c385d64,0x16b4,8,Grenade,0x1737,8,Grenade,0x1721,8,Grenade,0x16b4,8,Grenade,0,S-Move,0,Damage,96,PC Square S3,0,16,20,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
71,0x8c385b58,0x16bc,11,Poison Gas,0x173f,13,Gas Venenoso,0x1729,15,Gas Empoisonné,0x16bc,11,Poison Gas,0,S-Move,4,"Damage, Poison",96,PC Square S3,0,16,20,0,Green,0,Physical,16,17,0,Poison,50,0,0
72,0x8c385d6c,0x16c7,15,Sacrum Crystal,0x174c,15,Cristal Sacrum,0x1738,15,Cristal Sacrum,0x16c7,15,Sacrum Crystal,0,S-Move,31,Recover HP,4,All ECs,0,1000,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
73,0x8c385bec,0x16d6,12,Call Allies,0x175b,17,Convocar aliados,0x1747,15,Appel d'alliés,0x16d6,12,Call Allies,0,S-Move,43,Call EC,0,None,0,97,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
74,0x8c385bec,0x16e2,12,Call Allies,0x176c,17,Convocar aliados,0x1756,15,Appel d'alliés,0x16e2,12,Call Allies,0,S-Move,43,Call EC,0,None,0,75,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
75,0x8c385d7c,0x16ee,10,Discharge,0x177d,8,Evacuar,0x1765,7,Renvoi,0x16ee,10,Discharge,0,S-Move,0,Damage,2,All PCs,0,16,20,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
76,0x8c385d88,0x16f8,14,Tatatimorutto,0x1785,14,Tatatimorutto,0x176c,14,Tatatimorutto,0x16f8,14,Tatatimorutto,0,S-Move,0,Damage,1,Single PC,0,16,40,3,Blue,0,Physical,0,0,0,Poison,0,0,0
77,0x8c385d98,0x1706,11,Round Claw,0x1793,15,Tenaza Redonda,0x177a,16,Griffe Arrondie,0x1706,11,Round Claw,0,S-Move,0,Damage,1,Single PC,0,16,40,5,Silver,0,Physical,0,0,0,Poison,0,0,0
78,0x8c385bec,0x1711,12,Call Allies,0x17a2,17,Convocar aliados,0x178a,15,Appel d'alliés,0x1711,12,Call Allies,0,S-Move,43,Call EC,0,None,0,93,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
79,0x8c385da4,0x171d,14,Sacri Crystal,0x17b3,14,Cristal Sacri,0x1799,14,Cristal Sacri,0x171d,14,Sacri Crystal,0,S-Move,31,Recover HP,3,Single EC,0,500,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
80,0x8c385db4,0x172b,15,Sacres Crystal,0x17c1,15,Cristal Sacres,0x17a7,15,Cristal Sacres,0x172b,15,Sacres Crystal,0,S-Move,31,Recover HP,3,Single EC,0,1000,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
81,0x8c385dc4,0x173a,17,Sacrulen Crystal,0x17d0,17,Cristal Sacrulen,0x17b6,17,Cristal Sacrulen,0x173a,17,Sacrulen Crystal,0,S-Move,31,Recover HP,4,All ECs,0,1000,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
82,0x8c385bec,0x174b,12,Call Allies,0x17e1,17,Convocar aliados,0x17c7,15,Appel d'alliés,0x174b,12,Call Allies,0,S-Move,43,Call EC,0,None,0,92,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
83,0x8c385dd8,0x1757,17,Silver Nightmare,0x17f2,10,Pesadilla,0x17d6,18,SCauchemar Argent,0x1757,17,Silver Nightmare,0,S-Move,74,Control PC,1,Single PC,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
84,0x8c385dec,0x1768,13,Silver Binds,0x17fc,15,Lazos de Plata,0x17e8,15,Liens d'argent,0x1768,13,Silver Binds,0,S-Move,0,Damage,1,Single PC,0,16,50,5,Silver,0,Physical,0,0,0,Poison,0,0,0
85,0x8c385cb0,0x1775,14,Turn Recovery,0x180b,17,Turno de Reposar,0x17f7,13,Récupération,0x1775,14,Turn Recovery,0,S-Move,33,Regenerate,5,Self,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
86,0x8c385cc0,0x1783,12,Destruction,0x181c,12,Destrucción,0x1804,12,Destruction,0x1783,12,Destruction,0,S-Move,17,"Damage, Rem. Pos. States",2,All PCs,0,16,25,5,Silver,0,Physical,-1,-2,-1,None,-2,0,0
87,0x8c385bec,0x178f,12,Call Allies,0x1828,17,Convocar aliados,0x1810,15,Appel d'alliés,0x178f,12,Call Allies,0,S-Move,43,Call EC,0,None,0,44,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
88,0x8c385bec,0x179b,12,Call Allies,0x1839,17,Convocar aliados,0x181f,15,Appel d'alliés,0x179b,12,Call Allies,0,S-Move,43,Call EC,0,None,0,21,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
89,0x8c385bec,0x17a7,12,Call Allies,0x184a,17,Convocar aliados,0x182e,15,Appel d'alliés,0x17a7,12,Call Allies,0,S-Move,43,Call EC,0,None,0,22,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
90,0x8c385c98,0x17b3,15,Silver Eclipse,0x185b,17,Eclipse de Plata,0x183d,17,Éclipse d'argent,0x17b3,15,Silver Eclipse,0,S-Move,0,Damage,2,All PCs,0,16,25,6,Neutral,0,Physical,0,0,0,Poison,0,0,0
91,0x8c385dfc,0x17c2,9,Not Used,0x186c,10,No se usa,0x184e,15,Non Utilisé(e),0x17c2,9,Not Used,0,S-Move,8,"Damage, Stone",1,Single PC,0,16,15,0,Green,0,Physical,16,17,2,Stone,70,0,0
92,0x8c385e08,0x17cb,15,Fatigue Breath,0x1876,16,Brisa de Fatiga,0x185d,16,Souffle Fatigue,0x17cb,15,Fatigue Breath,0,S-Move,72,"Damage, Fatigue",1,Single PC,0,16,15,0,Green,0,Physical,16,17,6,Fatigue,20,0,0
93,0x8c385e08,0x17da,15,Fatigue Breath,0x1886,16,Brisa de Fatiga,0x186d,16,Souffle Fatigue,0x17da,15,Fatigue Breath,0,S-Move,72,"Damage, Fatigue",1,Single PC,0,16,15,1,Red,0,Physical,16,17,6,Fatigue,20,0,0
94,0x8c385e18,0x17e9,15,Lunar Blessing,0x1896,16,Bendición Lunar,0x187d,17,Bienfait lunaire,0x17e9,15,Lunar Blessing,0,S-Move,33,Regenerate,5,Self,0,600,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
95,0x8c385e28,0x17f8,6,DUMMY,0x18a6,6,DUMMY,0x188e,6,DUMMY,0x17f8,6,DUMMY,0,S-Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
96,0x8c385ae8,0x17fe,9,KETSUBAN,0x18ac,9,KETSUBAN,0x1894,9,KETSUBAN,0x17fe,9,KETSUBAN,0,S-Move,0,Damage,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
97,0x8c385e30,0x1807,10,Emergency,0x18b5,11,Emergencia,0x189d,8,Urgence,0x1807,10,Emergency,0,S-Move,64,"Call EC, Defeat All ECs",0,None,0,99,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
98,0x8c385bec,0x1811,12,Call Allies,0x18c0,17,Convocar aliados,0x18a5,15,Appel d'alliés,0x1811,12,Call Allies,0,S-Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
99,0x8c385e3c,0x181d,8,Blaster,0x18d1,8,Blaster,0x18b4,9,Explosif,0x181d,8,Blaster,0,S-Move,0,Damage,101,PC Ray S3,0,16,25,5,Silver,0,Physical,0,0,0,Poison,0,0,0
100,0x8c385e44,0x1825,7,Magic?,0x18d9,8,¿Magia?,0x18bd,8,Magie ?,0x1825,7,Magic?,0,S-Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
101,0x8c385e4c,0x182c,6,DUMMY,0x18e1,6,DUMMY,0x18c5,6,DUMMY,0x182c,6,DUMMY,0,S-Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
102,0x8c385e4c,0x1832,6,DUMMY,0x18e7,6,DUMMY,0x18cb,6,DUMMY,0x1832,6,DUMMY,0,S-Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
103,0x8c385e4c,0x1838,6,DUMMY,0x18ed,6,DUMMY,0x18d1,6,DUMMY,0x1838,6,DUMMY,0,S-Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
104,0x8c385e4c,0x183e,6,DUMMY,0x18f3,6,DUMMY,0x18d7,6,DUMMY,0x183e,6,DUMMY,0,S-Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
105,0x8c385e4c,0x1844,6,DUMMY,0x18f9,6,DUMMY,0x18dd,6,DUMMY,0x1844,6,DUMMY,0,S-Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
106,0x8c385bec,0x184a,12,Call Allies,0x18ff,17,Convocar aliados,0x18e3,15,Appel d'alliés,0x184a,12,Call Allies,0,S-Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
107,0x8c385bec,0x1856,12,Call Allies,0x1910,17,Convocar aliados,0x18f2,15,Appel d'alliés,0x1856,12,Call Allies,0,S-Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
