Entry ID,EU Message ID,[DE Entry Name Pos.],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos.],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos.],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos.],[GB Entry Name Size],GB Entry Name,PS Flags,[L1],[L2],[D1],[D2],[D3],Type ID,[Type Name],Element ID,[Element Name],Pad. 1,Attack,Hit%,Limit,SP,Feat. ID,[Feat. Name],Pad. 2,Feat. Value,Pad. 3,Pad. 4,Purchase Price,Pad. 5,Pad. 6,Retail Price in %,Order by Prio.,EU Order by ABC,Pad. 7,[DE Descr. Pos.],[DE Descr. Size],DE Descr. Str.,[ES Descr. Pos.],[ES Descr. Size],ES Descr. Str.,[FR Descr. Pos.],[FR Descr. Size],FR Descr. Str.,[GB Descr. Pos.],[GB Descr. Size],GB Descr. Str.
410,0x8c373f94,0x1b0cb,10,"3\\""Cannon",0x1b5d5,9,Cañón 3”,0x1ba4b,9,"Canon 3""",0x1b0cb,10,"3\\""Cannon",0x30,X,X,"","","",1,Sec. Cannon,6,Neutral,0,70,80,1,2,-1,None,0,0,0,0,700,0,0,50,10,6,0,0x15f72,54,A small caliber secondary cannon for smaller \\nships.,0x161e0,73,Canon secundario de pequeno calibre\\npara uso en navios de menor tamano.,0x164ec,70,Un canon secondaire de petit calibre adapté\\naux plus petits navires.,0x15f72,54,A small caliber secondary cannon for smaller \\nships.
411,0x8c373fa0,0x1b0d5,10,"3\\""Cannon",0x1b5de,13,Explosivo 3”,0x1ba54,11,"Blaster 3""",0x1b0d5,10,"3\\""Cannon",0x30,X,X,"","","",1,Sec. Cannon,6,Neutral,0,80,83,1,2,-1,None,0,0,0,0,1015,0,0,50,11,5,0,0x15fa8,83,A secondary cannon for the Little Jack. An\\nupgraded version of the 3 Inch Cannon.,0x16229,84,Canon secundario del Little Jack. Es una\\nversion avanzada del canon de 3 pulgadas.,0x16532,81,Un canon secondaire pour le Petit Jack. Version\\naméliorée du Canon de 3 pouces.,0x15fa8,83,A secondary cannon for the Little Jack. An\\nupgraded version of the 3 Inch Cannon.
412,0x8c373fac,0x1b0df,10,"5\\""Cannon",0x1b5eb,10,"5\\""Cannon",0x1ba5f,9,"Canon 5""",0x1b0df,10,"5\\""Cannon",0x30,X,X,"","","",1,Sec. Cannon,6,Neutral,0,90,80,1,3,-1,None,0,0,0,0,1330,0,0,50,12,8,0,0x15ffb,79,A secondary cannon for the Little Jack. More\\npowerful than the 3 Inch Cannon.,0x1627d,76,Canon secundario del Little Jack. Mas\\npoderoso que el canon de 3 pulgadas.,0x16583,81,Un canon secondaire pour le Petit Jack. Plus\\npuissant que le Canon de 3 pouces.,0x15ffb,79,A secondary cannon for the Little Jack. More\\npowerful than the 3 Inch Cannon.
413,0x8c373fb8,0x1b0e9,10,"8\\""Cannon",0x1b5f5,10,"8\\""Cannon",0x1ba68,9,"Canon 8""",0x1b0e9,10,"8\\""Cannon",0x30,X,X,"","","",1,Sec. Cannon,6,Neutral,0,100,82,2,3,-1,None,0,0,0,0,2100,0,0,50,13,9,0,0x1604a,80,A secondary cannon for the Little Jack.\\nA modified version of the Main Cannon.,0x162c9,91,Canon secundario del Little Jack. Viene a ser\\nuna version modificada del Canon Principal.,0x165d4,82,Un canon secondaire pour le Petit Jack.\\nUne version modifiée du Canon Principal.,0x1604a,80,A secondary cannon for the Little Jack.\\nA modified version of the Main Cannon.
414,0x8c373fc4,0x1b0f3,11,"12\\""Cannon",0x1b5ff,11,"12\\""Cannon",0x1ba71,10,"Canon 12""",0x1b0f3,11,"12\\""Cannon",0xe,"","",X,X,X,1,Sec. Cannon,6,Neutral,0,170,77,2,4,-1,None,0,0,0,0,3500,0,0,50,14,3,0,0x1609a,57,A high-caliber secondary cannon developed for\\nwarships.,0x16324,66,Canon secundario de alto calibre\\ndisenado para buques de guerra.,0x16626,80,Un canon secondaire de très gros calibre\\ndéveloppé pour les navires de guerre.,0x1609a,57,A high-caliber secondary cannon developed for\\nwarships.
415,0x8c373fd0,0x1b0fe,11,"10\\""Cannon",0x1b60a,11,"10\\""Cannon",0x1ba7b,10,"Canon 10""",0x1b0fe,11,"10\\""Cannon",0xe,"","",X,X,X,1,Sec. Cannon,6,Neutral,0,200,82,3,4,-1,None,0,0,0,0,3640,0,0,50,15,0,0,0x160d3,68,"The first 10 Inch secondary cannon, developed\\nby the Nasrean Navy.",0x16366,78,El primer canon secundario de 10 pulgadas.\\nFue creado por la Armada de Nasr.,0x16676,76,"Le premier canon secondaire de 10 pouces,\\ndéveloppé par la Marine Nasrean.",0x160d3,68,"The first 10 Inch secondary cannon, developed\\nby the Nasrean Navy."
416,0x8c373fdc,0x1b109,11,"10\\""Cannon",0x1b615,11,"10\\""Cannon",0x1ba85,14,Canon torsadé,0x1b109,11,"10\\""Cannon",0xe,"","",X,X,X,1,Sec. Cannon,6,Neutral,0,220,89,3,4,-1,None,0,0,0,0,3710,0,0,50,16,1,0,0x16117,81,A 10 inch secondary cannon with a reinforced\\nbarrel that helps to absorb shock.,0x163b4,82,Canon secundario de 10 pulgadas con un\\ntambor que permite amortiguar el impacto.,0x166c2,74,Un canon secondaire de 10 pouces\\nrenforcé pour mieux absorber les chocs.,0x16117,81,A 10 inch secondary cannon with a reinforced\\nbarrel that helps to absorb shock.
417,0x8c373fec,0x1b114,11,"12\\""Cannon",0x1b620,11,"12\\""Cannon",0x1ba93,12,"Blaster 12""",0x1b114,11,"12\\""Cannon",0xe,"","",X,X,X,1,Sec. Cannon,6,Neutral,0,250,85,2,5,-1,None,0,0,0,0,3850,0,0,50,17,2,0,0x16168,61,"A high-caliber secondary cannon, only used\\non larger ships.",0x16406,85,Canon secundario de alto calibre utilizado\\nexclusivamente en navios de gran tamano.,0x1670c,84,"Un canon secondaire de très gros calibre,\\nutilisé uniquement sur les gros navires.",0x16168,61,"A high-caliber secondary cannon, only used\\non larger ships."
418,0x8c373ff8,0x1b11f,9,3'Cannon,0x1b62b,9,3'Cannon,0x1ba9f,9,Canon 3',0x1b11f,9,3'Cannon,0xe,"","",X,X,X,1,Sec. Cannon,6,Neutral,0,280,87,3,6,-1,None,0,0,0,0,4690,0,0,50,18,4,0,0x161a5,75,"A secondary cannon developed in Yafutoma,\\ninspired by cylindrical plants.",0x1645b,80,Canon secundario desarrollado en Yafutoma\\ne inspirado por plantas cilindricas.,0x16760,81,"Un canon secondaire développé à Yafutoma,\\ninspiré par des plantes cylindriques.",0x161a5,75,"A secondary cannon developed in Yafutoma,\\ninspired by cylindrical plants."
419,0x8c374004,0x1b128,9,5'Cannon,0x1b634,9,5'Cannon,0x1baa8,9,Canon 5',0x1b128,9,5'Cannon,0xe,"","",X,X,X,1,Sec. Cannon,6,Neutral,0,330,90,2,6,-1,None,0,0,0,0,5110,0,0,50,19,7,0,0x161f0,90,"A secondary cannon used by the Yafutoman Navy.\\nIt is a short-range, high-powered cannon.",0x164ab,87,"Canon secundario usado por la Armada de\\nYafutoma. Muy potente, pero de corto alcance.",0x167b1,88,Un canon secondaire utilisé par la Marine\\nYafutoma. Très puissant et de courte portée.,0x161f0,90,"A secondary cannon used by the Yafutoman Navy.\\nIt is a short-range, high-powered cannon."
420,0x8c374010,0x1b131,14,Light Torpedo,0x1b63d,14,Light Torpedo,0x1bab1,16,Torpille Légère,0x1b131,14,Light Torpedo,0x30,X,X,"","","",2,Torpedo,6,Neutral,0,120,60,2,3,-1,None,0,0,0,0,1520,0,0,50,20,25,0,0x1624a,97,"A light torpedo, well-suited for smaller ships.\\nAfter launch, it attacks its target from above.",0x16502,77,Torpedo ligero especial para navios pequenos.\\nAtaca al objetivo por arriba.,0x16809,93,"Une torpille légère adaptée aux petits navires.\\nAprès lancement, elle frappe par le dessus.",0x1624a,97,"A light torpedo, well-suited for smaller ships.\\nAfter launch, it attacks its target from above."
421,0x8c374020,0x1b13f,15,Guided Torpedo,0x1b64b,15,Guided Torpedo,0x1bac1,16,Torpille Guidée,0x1b13f,15,Guided Torpedo,0x30,X,X,"","","",2,Torpedo,6,Neutral,0,120,70,2,2,-1,None,0,0,0,0,1760,0,0,50,21,19,0,0x162ab,97,A torpedo equippable by the Little Jack. Has the\\nhighest chance to hit out of all the torpedos.,0x1654f,80,Torpedo especialmente disenado para el\\nLittle Jack. Es el torpedo mas preciso.,0x16866,95,Une torpille conçue pour le Petit Jack. A plus\\nde chance d'atteindre sa cible que les autres.,0x162ab,97,A torpedo equippable by the Little Jack. Has the\\nhighest chance to hit out of all the torpedos.
422,0x8c374030,0x1b14e,14,Shock Torpedo,0x1b65a,14,Shock Torpedo,0x1bad1,14,Torpille Choc,0x1b14e,14,Shock Torpedo,0x30,X,X,"","","",2,Torpedo,6,Neutral,0,160,55,2,3,-1,None,0,0,0,0,2000,0,0,50,22,34,0,0x1630c,90,"A torpedo equippable by the Little Jack.\\nAfter launch, it charges its target from above.",0x1659f,69,Torpedo disenado para el Little Jack.\\nAtaca al objetivo por arriba.,0x168c5,85,"Une torpille conçue pour le Petit Jack. Après\\nlancement, elle frappe par le dessus.",0x1630c,90,"A torpedo equippable by the Little Jack.\\nAfter launch, it charges its target from above."
423,0x8c374040,0x1b15c,15,Hunter Torpedo,0x1b668,15,Hunter Torpedo,0x1badf,15,Torpille tigre,0x1b15c,15,Hunter Torpedo,0x30,X,X,"","","",2,Torpedo,0,Green,0,160,60,3,3,-1,None,0,0,0,0,2240,0,0,50,23,23,0,0x16366,84,A torpedo equippable by the Little Jack. Has\\ngreater range than standard torpedos.,0x165e4,83,Torpedo disenado para el Little Jack.\\nDe mayor alcance que los torpedos estandar.,0x1691a,97,Torpille conçue pour le Petit Jack. Elle a une\\nplus grande portée que les torpilles classiques.,0x16366,84,A torpedo equippable by the Little Jack. Has\\ngreater range than standard torpedos.
424,0x8c374050,0x1b16b,15,Valuan Torpedo,0x1b677,15,Valuan Torpedo,0x1baee,16,Torpille Valuan,0x1b16b,15,Valuan Torpedo,0xe,"","",X,X,X,2,Torpedo,6,Neutral,0,220,60,2,3,-1,None,0,0,0,0,2400,0,0,50,24,36,0,0x163ba,77,A torpedo used by Valua against the Nasrean Navy\\nduring the Valua-Nasr War.,0x16637,86,Torpedo que Valua uso contra la Armada\\nde Nasr durante la guerra entre Valua y Nasr.,0x1697b,88,Une torpille utilisée par Valua contre la\\nMarine Nasrean pendant la guerre Valua-Nasr.,0x163ba,77,A torpedo used by Valua against the Nasrean Navy\\nduring the Valua-Nasr War.
425,0x8c374060,0x1b17a,14,Heavy Torpedo,0x1b686,14,Heavy Torpedo,0x1bafe,16,Torpille Lourde,0x1b17a,14,Heavy Torpedo,0xe,"","",X,X,X,2,Torpedo,6,Neutral,0,250,50,3,4,-1,None,0,0,0,0,4400,0,0,50,25,22,0,0x16407,83,"A large torpedo with the same firepower as a\\nmain cannon, but has lower accuracy.",0x1668d,91,"Torpedo grande con el mismo poder de fogueo\\nque un Canon Principal, pero menos precision.",0x169d3,96,Grande torpille ayant la même puisssance de feu\\nqu'un canon principal avec moins de précision.,0x16407,83,"A large torpedo with the same firepower as a\\nmain cannon, but has lower accuracy."
426,0x8c374070,0x1b188,16,Serpent Torpedo,0x1b694,16,Serpent Torpedo,0x1bb0e,17,Torpille Serpent,0x1b188,16,Serpent Torpedo,0xe,"","",X,X,X,2,Torpedo,6,Neutral,0,300,65,2,4,-1,None,0,0,0,0,5360,0,0,50,26,33,0,0x1645a,95,"A medium-sized torpedo that goes after a target\\nlike a snake. Short range, but very powerful.",0x166e8,97,"Torpedo mediano que persigue a su objetivo como\\nuna culebra. De poco alcance, pero muy potente.",0x16a33,96,Une torpille moyenne qui suit sa cible comme un\\nserpent. De courte portée mais très puissante.,0x1645a,95,"A medium-sized torpedo that goes after a target\\nlike a snake. Short range, but very powerful."
427,0x8c374080,0x1b198,14,Flash Torpedo,0x1b6a4,14,Flash Torpedo,0x1bb1f,15,Torpille Flash,0x1b198,14,Flash Torpedo,0xe,"","",X,X,X,2,Torpedo,6,Neutral,0,350,70,3,5,-1,None,0,0,0,0,6320,0,0,50,27,17,0,0x164b9,76,A small torpedo that packs a big punch. Has long\\nrange and good firepower.,0x16749,90,"Torpedo pequeno, pero devastador. Tiene gran\\nalcance y una estupenda potencia de fogueo.",0x16a93,90,Une petite torpille très puissante. De longue\\nportée et avec une bonne puissance de feu.,0x164b9,76,A small torpedo that packs a big punch. Has long\\nrange and good firepower.
428,0x8c374090,0x1b1a6,17,Arcwhale Torpedo,0x1b6b2,17,Arcwhale Torpedo,0x1bb2e,17,Torpille Rhaknam,0x1b1a6,17,Arcwhale Torpedo,0xe,"","",X,X,X,2,Torpedo,6,Neutral,0,400,70,3,6,-1,None,0,0,0,0,6800,0,0,50,28,12,0,0x16505,89,"A torpedo with both good range and destructive\\npower. But, uses a high level of Spirit.",0x167a3,88,Torpedo de gran alcance y buen poder destructivo.\\nPero utiliza gran cantidad de Valor.,0x16aed,71,De longue portée et destructice\\nmais nécessitant beaucoup de courage.,0x16505,89,"A torpedo with both good range and destructive\\npower. But, uses a high level of Spirit."
429,0x8c3740a4,0x1b1b7,15,Dragon Torpedo,0x1b6c3,15,Dragon Torpedo,0x1bb3f,7,Dragon,0x1b1b7,15,Dragon Torpedo,0xe,"","",X,X,X,2,Torpedo,6,Neutral,0,450,60,2,7,-1,None,0,0,0,0,8800,0,0,50,29,15,0,0x1655e,96,A torpedo that emphasizes firepower more than\\nrange. Does a great deal of damage when it hits.,0x167fb,93,"Torpedo de gran fogueo, pero corto alcance.\\nSi acierta en el objetivo, crea gran deterioro.",0x16b34,83,Torpille dont la puissance de feu est meilleure\\nque la portée. Très destructrice.,0x1655e,96,A torpedo that emphasizes firepower more than\\nrange. Does a great deal of damage when it hits.
430,0x8c3740b4,0x1b1c6,15,Harpoon Cannon,0x1b6d2,15,Harpoon Cannon,0x1bb46,13,Canon Harpon,0x1b1c6,15,Harpoon Cannon,0x20,X,"","","","",3,Special,6,Neutral,0,350,65535,0,15,-1,None,0,0,0,0,0,0,0,0,30,20,0,0x165be,72,The Little Jack's ultimate weapon. It was\\nacquired to destroy Rhaknam.,0x16858,71,La mejor arma del Little Jack.\\nFue adquirida para destruir a Rhaknam.,0x16b87,67,L'ultime arme de Petit Jack. A été acquise pour\\ndétruire Rhaknam.,0x165be,72,The Little Jack's ultimate weapon. It was\\nacquired to destroy Rhaknam.
431,0x8c3740c4,0x1b1d5,17,MoonStone Cannon,0x1b6e1,17,MoonStone Cannon,0x1bb53,12,Canon Gigas,0x1b1d5,17,MoonStone Cannon,0xe,"","",X,X,X,3,Special,6,Neutral,0,800,65535,0,20,-1,None,0,0,0,0,0,0,0,0,31,30,0,0x16606,97,The ultimate weapon of the Delphinus. Builds up\\nMoon energy and releases it in a massive blast.,0x1689f,94,La mejor arma del Delphinus. Acumula energia\\nlunar y la libera creando una explosion enorme.,0x16bca,98,Ultime arme du Delphinus. Accumule de l'énergie\\nLunaire et la relâche dans une grande explosion.,0x16606,97,The ultimate weapon of the Delphinus. Builds up\\nMoon energy and releases it in a massive blast.
432,0x8c3740d8,0x1b1e6,12,Moon Cannon,0x1b6f2,12,Moon Cannon,0x1bb5f,14,Canon de Lune,0x1b1e6,12,Moon Cannon,0x3e,X,X,X,X,X,0,Main Cannon,6,Neutral,0,500,99,0,9,-1,None,0,0,0,0,1000,0,0,100,32,27,0,0x16667,70,A main cannon that uses both Moonstone energy\\nand gunpowder to fire.,0x168fd,74,Canon principal que usa energia de\\nPiedra Lunar y polvora para disparar.,0x16c2c,98,Un canon principal utilisant de l'énergie Pierre\\nde Lune et de la poudre à canon pour faire feu.,0x16667,70,A main cannon that uses both Moonstone energy\\nand gunpowder to fire.
433,0x8c3740e4,0x1b1f2,9,Moon Gun,0x1b6fe,9,Moon Gun,0x1bb6d,11,Canon Lune,0x1b1f2,9,Moon Gun,0x3e,X,X,X,X,X,1,Sec. Cannon,6,Neutral,0,400,99,3,5,-1,None,0,0,0,0,1000,0,0,100,33,28,0,0x166ad,75,A secondary cannon relies on Moonstone energy\\ninstead of draining Spirit.,0x16947,82,Canon secundario que usa energia de\\nPiedra Lunar en lugar de agotar el Espiritu.,0x16c8e,92,Canon secondaire dépensant de l'énergie de\\nPierre de Lune au lieu d'épuiser l'Esprit (ES).,0x166ad,75,A secondary cannon relies on Moonstone energy\\ninstead of draining Spirit.
434,0x8c3740f0,0x1b1fb,13,Moon Torpedo,0x1b707,13,Moon Torpedo,0x1bb78,14,Torpille Lune,0x1b1fb,13,Moon Torpedo,0x3e,X,X,X,X,X,2,Torpedo,6,Neutral,0,600,75,3,3,-1,None,0,0,0,0,1000,0,0,100,34,29,0,0x166f8,70,A torpedo that uses Moonstone energy to keep\\nSpirit consumption low.,0x16999,84,Torpedo que usa energia de Piedra Lunar para\\nmantener un bajo consumo de Espiritu.,0x16cea,99,Une torpille utilisant de l'énergie de Pierre de\\nLune pour limiter sa consommation d'Esprit (ES).,0x166f8,70,A torpedo that uses Moonstone energy to keep\\nSpirit consumption low.
435,0x8c374100,0x1b208,13,Pyril Cannon,0x1b714,13,Pyril Cannon,0x1bb86,12,Canon Pyril,0x1b208,13,Pyril Cannon,0xe,"","",X,X,X,0,Main Cannon,1,Red,0,200,120,0,6,-1,None,0,0,0,0,13200,0,0,50,35,32,0,0x1673e,84,"A rotating cannon designed for battleships.\\nHas Red properties, and high accuracy.",0x169ed,83,Canon rotante disenado para acorazados.\\nTiene propiedades Rojas y gran precision.,0x16d4d,89,Un canon rotatif conçu pour les cuirassiers.\\nUtilise la magie Rouge et est très précis.,0x1673e,84,"A rotating cannon designed for battleships.\\nHas Red properties, and high accuracy."
436,0x8c374110,0x1b215,12,Wevl Cannon,0x1b721,12,Wevl Cannon,0x1bb92,11,Canon Wevl,0x1b215,12,Wevl Cannon,0xe,"","",X,X,X,1,Sec. Cannon,3,Blue,0,180,120,3,4,-1,None,0,0,0,0,10200,0,0,50,36,37,0,0x16792,86,"A secondary cannon designed for battleships.\\nHas Blue properties, and high accuracy.",0x16a40,85,Canon secundario creado para acorazados.\\nTiene propiedades Azules y gran precision.,0x16da6,92,Un canon secondaire conçu pour les cuirassiers.\\nUtilise la magie Bleue et est très précis.,0x16792,86,"A secondary cannon designed for battleships.\\nHas Blue properties, and high accuracy."
437,0x8c37411c,0x1b221,17,Electril Torpedo,0x1b72d,17,Electril Torpedo,0x1bb9d,9,Electril,0x1b221,17,Electril Torpedo,0xe,"","",X,X,X,2,Torpedo,4,Yellow,0,500,50,3,2,-1,None,0,0,0,0,1000,0,0,50,37,16,0,0x167e8,84,"A torpedo designed for large warships. Has\\nYellow properties, and great firepower.",0x16a95,92,Disenado para buques de guerra de gran tamano.\\nCon propiedades Amarillas y fogueo potente.,0x16e02,96,Torpille conçue pour les gros navires de guerre.\\nUtilise la magie Jaune et est très puissante.,0x167e8,84,"A torpedo designed for large warships. Has\\nYellow properties, and great firepower."
438,0x8c374130,0x1b232,15,Crystil Cannon,0x1b73e,15,Crystil Cannon,0x1bba6,14,Canon Crystil,0x1b232,15,Crystil Cannon,0xe,"","",X,X,X,0,Main Cannon,2,Purple,0,550,60,0,4,-1,None,0,0,0,0,1000,0,0,50,38,14,0,0x1683c,91,"Made of a special alloy for added durability.\\nHas Purple properties, and great firepower.",0x16af1,93,Creado con una aleacion especial muy resistente.\\nCon propiedades Purpuras y fogueo potente.,0x16e62,73,Fait en alliage résistant.\\nUtilise la magie Mauve et est très puissant.,0x1683c,91,"Made of a special alloy for added durability.\\nHas Purple properties, and great firepower."
439,0x8c374140,0x1b241,10,Kazai Gun,0x1b74d,10,Kazai Gun,0x1bbb4,12,Canon Kazai,0x1b241,10,Kazai Gun,0x30,X,X,"","","",1,Sec. Cannon,3,Blue,0,50,99,2,5,-1,None,0,0,0,0,1000,0,0,50,39,24,0,0x16897,93,"Contains a tower bar to absorb the shock of\\nfiring. Has Blue properties, and high accuracy.",0x16b4e,92,Sus barras absorben el impacto de los disparos.\\nTiene propiedades Azules y gran precision.,0x16eab,84,Equipé pour absorber les chocs du tir.\\nUtilise la magie Bleue et est très précise.,0x16897,93,"Contains a tower bar to absorb the shock of\\nfiring. Has Blue properties, and high accuracy."
