Entry ID,JP entry name,Element ID,[Element name],Order by importance,Occasion flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Padding #1,Padding #2,Effect amount,Type ID,[Type name],Unknown #1,Hit%,Padding #3,Padding #4,Padding #5,Ship occasion ID,Ship occasion name,Padding #6,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unknown #2,Padding #7,Padding #8,Padding #9,[JP description position],[JP description size],JP description string,[JP ship description position],[JP ship description size],JP ship description string
10,プワザ,0,Green,50,2,"",X,"",4,Add Poison + Damage,3,One enemy,6,Magic,0,3,0,0,60,1,Magical,0,40,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2907920,100,敵単体にダメージを与えた上、一定の確率で「毒」の\n状態にするЖ術。長期戦向けだ。　　　　消費Ｇ＝３,0,0,""
11,プワゾーク,0,Green,51,2,"",X,"",4,Add Poison + Damage,4,All enemies,6,Magic,0,6,0,0,100,1,Magical,0,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2908020,100,敵全体にダメージを与えた上、一定の確率で「毒」の\n状態にするЖ術。長期戦向けだ。　　　　消費Ｇ＝６,0,0,""
12,スリーパ,3,Blue,110,2,"",X,"",9,Add Sleep,4,All enemies,6,Magic,0,6,0,0,0,0,Physical,3,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2908120,96,一定の確率で敵全体を「睡眠」の状態にするЖ術。\n大量のザコ敵は、眠らせておくのも手だ。消費Ｇ＝６,0,0,""
13,クイッカ,3,Blue,70,3,"",X,X,20,Add Quickened,2,All allies,6,Magic,0,6,0,0,-1,-1,None,-1,0,0,0,0,1,Always,0,104,Add Quickened (Ship),6,1,0,-1,0,0,0,2908216,96,仲間全員を「機敏」の状態にするЖ術。スピードが\n２倍になり、逃走成功率も上がる。　　　消費Ｇ＝６,2951296,76,船のスピードを２倍にする。\n効果は１ターン持続する。　　　　　 　消費Ｇ＝６
14,キュア,5,Silver,80,2,"",X,"",30,Remove negative states,1,One ally,6,Magic,0,2,0,0,-1,-1,None,-1,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2908312,100,仲間ひとりの「失神」を除くすべての不利な状態を、\n確実に治療するЖ術。長旅の必需品だ。　消費Ｇ＝２,0,0,""
15,ライザ,5,Silver,90,2,"",X,"",27,Revive with 50% of HP,1,One ally,6,Magic,0,4,0,0,0,0,Physical,7,50,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2908412,96,仲間ひとりを「失神」の状態から、50％の確率で\n復活させるЖ術。ＨＰも最大値の50％だ。消費Ｇ＝４,0,0,""
16,ライゾン,5,Silver,91,2,"",X,"",28,Revive with 100% of HP,1,One ally,6,Magic,0,8,0,0,0,0,Physical,7,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2908508,100,仲間ひとりを「失神」の状態から、確実に復活させる\nЖ術。ＨＰも最大値まで回復する。　　　消費Ｇ＝８,0,0,""
17,ジェダ,5,Silver,100,2,"",X,"",5,Add Unconscious,3,One enemy,6,Magic,0,5,0,0,0,0,Physical,1,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2908608,96,一定の確率で敵単体を即死させるЖ術。亜空間から\n出現した無数の刃が、敵の体を貫く。　　消費Ｇ＝５,0,0,""
18,ジェデス,5,Silver,101,2,"",X,"",5,Add Unconscious,4,All enemies,6,Magic,0,10,0,0,0,0,Physical,1,80,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2908704,96,一定の確率で敵全体を即死させるЖ術。亜空間から\n出現した刃が、豪雨のごとく降り注ぐ。　消費Ｇ＝10,0,0,""
19,ジェドーサ,5,Silver,102,2,"",X,"",6,Add Unconscious + Damage #1,3,One enemy,6,Magic,0,15,0,0,250,1,Magical,1,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,2908800,96,敵単体を確実に即死させるЖ術。完全な即死耐性を\n持つ敵に対しては、大ダメージを与える。消費Ｇ＝15,0,0,""
20,ウェイバ,3,Blue,60,3,"",X,X,0,Damage,32,Enemy area #1,6,Magic,0,2,0,0,60,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,4,0,0,0,2908896,100,敵単体をカマイタチで包み込み、ダメージを与える。\n近くにいる敵を巻き込むこともある。　　消費Ｇ＝２,2951372,80,Ж術発射装置によって使用可能。\n波動弾で、敵にダメージを与える。　　　消費Ｇ＝２
21,ウェイビィ,3,Blue,61,3,"",X,X,0,Damage,33,Enemy area #2,6,Magic,0,4,0,0,105,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,4,0,0,0,2908996,88,敵単体を中心に巨大な竜巻を発生させて、\n広い範囲の敵に大ダメージを与える。　　消費Ｇ＝４,2951452,80,Ж術発射装置によって使用可能。\n大波動弾で、敵にダメージを与える。　　消費Ｇ＝４
22,ウェボーン,3,Blue,63,3,"",X,X,0,Damage,34,Enemy area #3,6,Magic,0,8,0,0,195,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),8,-1,150,4,0,0,0,2909084,100,絡み合う竜巻の群れが、敵単体を中心とした広範囲に\n超特大のダメージ。ほとんど全体攻撃だ。消費Ｇ＝８,2951532,80,Ж術発射装置によって使用可能。\n波動砲弾で、敵にダメージを与える。　　消費Ｇ＝８
23,バーナ,1,Red,0,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,2,0,0,50,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,1,0,0,0,2909184,92,戦いの場の中心に爆発を起こし、火炎と爆風で\n敵全体にダメージを与える。　　　　　　消費Ｇ＝２,2951612,80,Ж術発射装置によって使用可能。\n炎の弾で、敵にダメージを与える。　　　消費Ｇ＝２
24,バーニィ,1,Red,1,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,4,0,0,85,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,1,0,0,0,2909276,96,縦横無尽に裂けた大地から、爆炎の帯が吹き出し、\n敵全体に大きなダメージを与える。　　　消費Ｇ＝４,2951692,80,Ж術発射装置によって使用可能。\n大火炎の弾で、敵にダメージを与える。　消費Ｇ＝４
25,バーネス,1,Red,2,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,6,0,0,120,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,1,0,0,0,2909372,96,Жく閃光とともに天空より降り注ぐ火炎の玉が、\n敵全体に特大のダメージを与える。　　　消費Ｇ＝６,2951772,80,Ж術発射装置によって使用可能。\n灼熱弾で、敵にダメージを与える。　　　消費Ｇ＝６
26,グラシャ,2,Purple,10,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,1,0,0,70,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),1,-1,30,2,0,0,0,2909468,92,敵単体を凍気で包み込み、ダメージを与える。\nガッツの消費量が少ないのも魅力だ。　　消費Ｇ＝１,2951852,80,Ж術発射装置によって使用可能。\n氷の弾で、敵にダメージを与える。　　　消費Ｇ＝１
27,グラシィ,2,Purple,11,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,2,0,0,120,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,50,2,0,0,0,2909560,92,敵単体の足元から、瞬間的に発生したツララが\n敵の体を貫き、大きなダメージを与える。消費Ｇ＝２,2951932,80,Ж術発射装置によって使用可能。\n氷柱の弾で、敵にダメージを与える。　　消費Ｇ＝２
28,グラシェス,2,Purple,12,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,3,0,0,170,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),3,-1,70,2,0,0,0,2909652,92,足元から伸び上がった巨大な氷柱が、敵単体を\n包み込んで、特大のダメージを与える。　消費Ｇ＝３,2952012,80,Ж術発射装置によって使用可能。\n吹雪の弾で、敵にダメージを与える。　　消費Ｇ＝３
29,グラゾーバ,2,Purple,13,3,"",X,X,0,Damage,3,One enemy,6,Magic,0,4,0,0,220,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,2,0,0,0,2909744,96,天空から降り注ぐ巨大な氷柱が、敵単体に次々と\n突き刺さり、超特大のダメージを与える。消費Ｇ＝４,2952092,80,Ж術発射装置によって使用可能。\nブリザード弾で、敵にダメージを与える。消費Ｇ＝４
30,バーノーン,1,Red,3,3,"",X,X,0,Damage,4,All enemies,6,Magic,0,10,0,0,155,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),10,-1,150,1,0,0,0,2909840,92,原子レベルで重なる誘爆が巨大な火球と化し、\n敵全体に超特大のダメージを与える。　　消費Ｇ＝10,2952172,80,Ж術発射装置によって使用可能。\n業火の弾で、敵にダメージを与える。　　消費Ｇ＝10
31,ウェイベス,3,Blue,62,3,"",X,X,0,Damage,33,Enemy area #2,6,Magic,0,6,0,0,150,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,4,0,0,0,2909932,96,敵単体に超高気圧のかたまりをぶつけて、特大の\nダメージを与える。広い範囲を巻き込む。消費Ｇ＝６,2952252,80,Ж術発射装置によって使用可能。\n巨大波動弾で、敵にダメージを与える。消費Ｇ＝６
32,ボルタ,4,Yellow,30,3,"",X,X,0,Damage,36,Enemy line #1,6,Magic,0,2,0,0,60,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,3,0,0,0,2910028,96,自分の目前で発生した放電が、敵単体に向かい、\nその直線上にいるすべての敵にダメージ。消費Ｇ＝２,2952332,80,Ж術発射装置によって使用可能。\n電磁弾で、敵にダメージを与える。　　　消費Ｇ＝２
33,ボルティ,4,Yellow,31,3,"",X,X,0,Damage,37,Enemy line #2,6,Magic,0,4,0,0,105,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,3,0,0,0,2910124,100,地を切り裂く電撃が、敵単体に大ダメージを与える。\n運悪く流れ電撃に当たっても大ダメージ。消費Ｇ＝４,2952412,80,Ж術発射装置によって使用可能。\n強電磁弾で、敵にダメージを与える。　　消費Ｇ＝４
34,ボルテス,4,Yellow,32,3,"",X,X,0,Damage,37,Enemy line #2,6,Magic,0,6,0,0,150,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,3,0,0,0,2910224,96,敵単体に向かって放たれた電撃が広範囲に広がり、\n多くの敵に特大ダメージを与える。　　　消費Ｇ＝６,2952492,80,Ж術発射装置によって使用可能。\n強烈な電磁弾で、敵にダメージを与える。消費Ｇ＝６
35,ボルドーラ,4,Yellow,33,3,"",X,X,0,Damage,38,Enemy line #3,6,Magic,0,8,0,0,195,1,Magical,0,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),8,-1,150,3,0,0,0,2910320,100,最強の攻撃Ж術。蓄積された電圧を一気に解き放ち、\n全体に近い範囲の敵に超特大ダメージ!!　消費Ｇ＝８,2952572,80,Ж術発射装置によって使用可能。\n強電磁砲弾で、敵にダメージを与える。　消費Ｇ＝８
36,カトラスダンス,6,Neutral,200,2,"",X,"",0,Damage,3,One enemy,0,Vyse,1,7,0,0,25,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2910420,100,ダンスのように軽快なリズムでカトラスを振り回し、\n敵単体に大ダメージを与える乱舞技だ。　消費Ｇ＝７,0,0,""
37,エアロスマッシュ,6,Neutral,202,2,"",X,"",0,Damage,4,All enemies,0,Vyse,1,14,0,0,15,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2910520,100,空高く跳んだヴァイスが、無数のカマイタチを放ち、\n敵全体にダメージを与える。　　　　　　消費Ｇ＝14,0,0,""
38,ジョリーロジャー,6,Neutral,204,2,"",X,"",0,Damage,3,One enemy,0,Vyse,1,21,0,0,75,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2910620,96,カトラスからの電撃で、敵単体を空間に縛り付け、\n天空からＸ状に斬り裂き超絶ダメージ!!　消費Ｇ＝21,0,0,""
39,オメガサイクロン,1,Red,214,2,"",X,"",0,Damage,4,All enemies,1,Aika,1,12,0,0,165,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2910716,100,大地を切り取り敵の退路を断ち、灼熱のブーメランで\n敵全体に絶大なダメージを与える。　　　消費Ｇ＝12,0,0,""
40,アルファストーム,1,Red,210,2,"",X,"",0,Damage,39,Enemy line #4,1,Aika,1,4,0,0,60,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2910816,92,高速回転するブーメランから炎がほとばしり、\n敵単体とその周辺にダメージを与える。　消費Ｇ＝４,0,0,""
41,ラムダバースト,1,Red,212,2,"",X,"",0,Damage,4,All enemies,1,Aika,1,8,0,0,100,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2910908,96,炎のブーメランが大地を十字に斬り裂き、吹き出す\n爆炎が敵全体に大ダメージを与える。　　消費Ｇ＝８,0,0,""
42,月の封印,5,Silver,221,2,"",X,"",8,Add Stone + Damage,3,One enemy,2,Fina,1,3,0,0,25,0,Physical,2,25,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2911004,100,銀の月の力を借りて、敵単体にダメージを与えた上、\n極めて高い確率で石化させてしまう。　　消費Ｇ＝３,0,0,""
43,月の波動,5,Silver,223,2,"",X,"",17,Remove positive states,4,All enemies,2,Fina,1,6,0,0,75,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2911104,100,巨大化したキュピルが、銀のブレスで敵全体の有利な\n状態を無効化し、かつダメージを与える。消費Ｇ＝６,0,0,""
44,噴！,6,Neutral,230,2,"",X,"",0,Damage,3,One enemy,3,Drachma,1,10,0,0,30,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2911204,92,鬼のようにパワーをためた義手で、敵単体を\n力任せに殴り付けてダメージを与える。　消費Ｇ＝10,0,0,""
45,滅！,6,Neutral,232,2,"",X,"",6,Add Unconscious + Damage #1,3,One enemy,3,Drachma,1,25,0,0,90,0,Physical,1,50,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2911296,100,大地を隆起させ、落雷を呼び寄せ、巨大化した義手で\n敵単体を叩き潰す。即死の効果もある。　消費Ｇ＝25,0,0,""
46,ミル・エスパーダ,6,Neutral,240,2,"",X,"",0,Damage,37,Enemy line #2,4,Enrique,1,8,0,0,40,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2911396,100,敵単体を一瞬で４回斬り付ける技。あまりの速さに、\n残像で動きがスローモーションに見える。消費Ｇ＝８,0,0,""
47,ラ・コロナシオン,6,Neutral,242,2,"",X,"",0,Damage,3,One enemy,4,Enrique,1,16,0,0,80,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2911496,96,バルア帝国の紋章である龍の化身が上空に現われ、\n敵単体に突っ込んで叩き潰す。　　　　　消費Ｇ＝16,0,0,""
48,ハデにやろうぜ,6,Neutral,250,2,"",X,"",0,Damage,43,Enemy line #5,5,Gilder,1,9,0,0,30,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2911592,96,敵単体に向かって、ハデに二丁拳銃を撃ち続ける。\nあまりの連射に周辺の敵も巻き込まれる。消費Ｇ＝９,0,0,""
49,俺がギルダーだ！,6,Neutral,252,2,"",X,"",0,Damage,4,All enemies,5,Gilder,1,18,0,0,25,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2911688,96,クラウディアの全砲門を開き、敵全体に向かって\n弾数を気にせずに一斉射撃をする。　　　消費Ｇ＝18,0,0,""
50,リヴェンジ,6,Neutral,301,2,"",X,"",38,Counter attack + Guard,5,User,0,Vyse,2,1,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2911784,96,１ターンの間、敵からの攻撃に全神経を集中し、\n防御をしつつも確実に反撃を返す。　　　消費Ｇ＝１,0,0,""
51,スカルシールド,6,Neutral,303,2,"",X,"",46,Block attack + Counter attack,2,All allies,0,Vyse,2,5,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2911880,100,１ターンの間、スカル船長が敵の通常攻撃を無効化。\nかつ確実に反撃を返す。仲間全員に効果。消費Ｇ＝５,0,0,""
52,デルタシールド,6,Neutral,311,2,"",X,"",39,Block magic,2,All allies,1,Aika,2,2,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2911980,100,１ターンの間、仲間全員にЖ術無効化バリアを展開。\nただし味方のЖ術も受けつけなくなる。　消費Ｇ＝２,0,0,""
53,ユプシロンミラー,6,Neutral,313,2,"",X,"",77,Invulnerable + Recover MP,5,User,1,Aika,2,10,0,0,10,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2912080,100,１ターンの間、鏡のようなオーラで自分を包み込み、\n精神統一でＫＰを10ポイント回復する。　消費Ｇ＝10,0,0,""
54,月の恵み,6,Neutral,320,2,"",X,"",33,Add Regenerate,2,All allies,2,Fina,2,12,0,0,200,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2912180,96,銀の月の恵みで仲間全員が「滋養」の状態になり、\nＨＰが毎ターン一定量だけ回復する。　　消費Ｇ＝12,0,0,""
55,月の浄化,6,Neutral,322,2,"",X,"",30,Remove negative states,2,All allies,2,Fina,2,6,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2912276,96,仲間全員の体に月の光を浸透させ、「失神」を除く\nすべての不利な状態を確実に治癒する。　消費Ｇ＝６,0,0,""
56,月の大いなるЖき,6,Neutral,324,2,"",X,"",47,Recover HP and MP + Remove negative states,2,All allies,2,Fina,2,18,0,0,10000,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2912372,96,仲間全員の「失神」を含むすべての不利な状態を\n確実に治癒し、ＨＰも完全回復する。　　消費Ｇ＝18,0,0,""
57,怒！,6,Neutral,331,2,"",X,"",41,Guard + Increase Spirit restoration to 200%,5,User,3,Drachma,2,0,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2912468,96,ケタ外れの気合でガッツを通常の２倍ため、さらに\nすべての攻撃のダメージが半減する。　　消費Ｇ＝０,0,0,""
58,エスクード,6,Neutral,341,2,"",X,"",1,Guard,2,All allies,4,Enrique,2,4,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2912564,100,１ターンの間、仲間全員に防御効果のバリアを展開。\nすべての攻撃のダメージが半減する。　　消費Ｇ＝４,0,0,""
59,効かねえなあ,6,Neutral,351,2,"",X,"",42,Block negative states,2,All allies,5,Gilder,2,3,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2912664,100,１ターンの間、仲間全員に不利な状態を受けつけない\nバリアを展開。有利な状態は受けつける。消費Ｇ＝３,0,0,""
60,クルークルー,6,Neutral,-1,2,"",X,"",66,Blue Rogues,6,All allies and enemies,0,Vyse,-1,-1,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2912764,96,デルフィナスのクルー全員を呼び出すという大技。\nクルーの人数、個性で技の効果も変わる。消費Ｇ＝全,0,0,""
61,バッカニアーズ,6,Neutral,-1,2,"",X,"",65,Prophecy,4,All enemies,0,Vyse,1,-1,0,0,0,0,Physical,0,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2912860,100,仲間４人がすべてのガッツを合わせた時に発動する。\n月をも落とす、究極の全体攻撃技だ。　　消費Ｇ＝全,0,0,""
