Entry ID,JP entry name,Padding #1,Padding #2,Padding #3,Padding #4,Category ID,[Category name],Effect ID,[Effect name],Scope ID,[Scope name],Effect amount #1 ,Effect amount #2 ,Element ID,[Element name],Type ID,[Type name],Unknown #1,Unknown #2,Unknown #3,Hit%,Padding #5,Padding #6
79,銀色の光と闇,0,0,0,0,0,Super Move,0,Damage,2,All allies,16,25,5,Silver,0,Physical,0,0,0,0,0,0
80,フリムーン,0,0,0,0,0,Super Move,26,Add Weak,1,One ally,0,0,0,Green,0,Physical,16,17,8,0,0,0
81,ターン回復技,0,0,0,0,0,Super Move,33,Add Regenerate,5,User,0,0,0,Green,0,Physical,0,0,0,0,0,0
82,銀世界の破滅,0,0,0,0,0,Super Move,17,Remove positive states,2,All allies,16,10,5,Silver,0,Physical,0,0,0,0,0,0
83,カタカタ震える,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
84,銀の無限凍土,0,0,0,0,0,Super Move,0,Damage,1,One ally,16,50,5,Silver,0,Physical,0,0,0,0,0,0
85,仲間を呼ぶ,0,0,0,0,0,Super Move,43,Call enemy,0,None,54,0,0,Green,0,Physical,0,0,0,0,0,0
86,仲間を呼ぶ,0,0,0,0,0,Super Move,43,Call enemy,0,None,85,0,0,Green,0,Physical,0,0,0,0,0,0
87,エクスプロア,0,0,0,0,0,Super Move,0,Damage,2,All allies,16,20,1,Red,0,Physical,0,0,0,0,0,0
88,石化液,0,0,0,0,0,Super Move,7,Add Stone,1,One ally,0,0,0,Green,0,Physical,16,17,2,40,0,0
89,ブリザーダ,0,0,0,0,0,Super Move,0,Damage,2,All allies,16,20,2,Purple,0,Physical,0,0,0,0,0,0
90,デスマリッジ,0,0,0,0,0,Super Move,0,Damage,2,All allies,16,40,6,Neutral,0,Physical,0,0,0,0,0,0
91,エンゲイジ,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
92,ブライサンダー,0,0,0,0,0,Super Move,0,Damage,2,All allies,16,20,4,Yellow,0,Physical,0,0,0,0,0,0
93,あやしい音波,0,0,0,0,0,Super Move,0,Damage,107,Ally line #5,16,15,2,Purple,0,Physical,0,0,0,0,0,0
94,様子を見る,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
95,デスマリッジ,0,0,0,0,0,Super Move,0,Damage,2,All allies,16,40,6,Neutral,0,Physical,0,0,0,0,0,0
96,投げキッス,0,0,0,0,0,Super Move,70,Add Confusion + Damage,1,One ally,16,5,1,Red,0,Physical,16,17,4,0,0,0
97,ソリッドレーザー,0,0,0,0,0,Super Move,8,Add Stone + Damage,1,One ally,16,20,5,Silver,0,Physical,16,17,2,50,0,0
98,仲間を呼ぶ,0,0,0,0,0,Super Move,43,Call enemy,0,None,12,0,0,Green,0,Physical,0,0,0,0,0,0
99,腹ごなし,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
100,疲労かぶり,0,0,0,0,0,Super Move,72,Add Fatigue + Damage,1,One ally,16,15,2,Purple,0,Physical,16,17,6,20,0,0
101,ネグローラ,0,0,0,0,0,Super Move,17,Remove positive states,2,All allies,16,5,-1,None,-1,None,-1,-1,-1,-1,0,0
102,フィサーン,0,0,0,0,0,Super Move,0,Damage,2,All allies,16,20,2,Purple,0,Physical,0,0,0,0,0,0
103,仲間を呼ぶ,0,0,0,0,0,Super Move,43,Call enemy,0,None,60,0,0,Green,0,Physical,0,0,0,0,0,0
104,仲間を呼ぶ,0,0,0,0,0,Super Move,43,Call enemy,0,None,84,0,0,Green,0,Physical,0,0,0,0,0,0
105,仲間を呼ぶ,0,0,0,0,0,Super Move,43,Call enemy,0,None,107,0,0,Green,0,Physical,0,0,0,0,0,0
106,手りゅう弾,0,0,0,0,0,Super Move,0,Damage,96,Ally area #1,16,20,4,Yellow,0,Physical,0,0,0,0,0,0
107,毒ガス爆弾,0,0,0,0,0,Super Move,4,Add Poison + Damage,96,Ally area #1,16,20,0,Green,0,Physical,16,17,0,50,0,0
108,サプハネの葉,0,0,0,0,0,Super Move,31,Recover HP,4,All enemies,1000,0,0,Green,0,Physical,0,0,0,0,0,0
109,仲間を呼ぶ,0,0,0,0,0,Super Move,43,Call enemy,0,None,97,0,0,Green,0,Physical,0,0,0,0,0,0
110,仲間を呼ぶ,0,0,0,0,0,Super Move,43,Call enemy,0,None,75,0,0,Green,0,Physical,0,0,0,0,0,0
111,ディスチャージ,0,0,0,0,0,Super Move,0,Damage,2,All allies,16,20,4,Yellow,0,Physical,0,0,0,0,0,0
112,タタティモルット,0,0,0,0,0,Super Move,0,Damage,1,One ally,16,40,3,Blue,0,Physical,0,0,0,0,0,0
113,ラウンドクロウ,0,0,0,0,0,Super Move,0,Damage,1,One ally,16,40,5,Silver,0,Physical,0,0,0,0,0,0
114,仲間を呼ぶ,0,0,0,0,0,Super Move,43,Call enemy,0,None,93,0,0,Green,0,Physical,0,0,0,0,0,0
115,サプの葉,0,0,0,0,0,Super Move,31,Recover HP,3,One enemy,500,0,0,Green,0,Physical,0,0,0,0,0,0
116,サプガンの葉,0,0,0,0,0,Super Move,31,Recover HP,3,One enemy,1000,0,0,Green,0,Physical,0,0,0,0,0,0
117,サプヤクの葉,0,0,0,0,0,Super Move,31,Recover HP,4,All enemies,1000,0,0,Green,0,Physical,0,0,0,0,0,0
118,仲間を呼ぶ,0,0,0,0,0,Super Move,43,Call enemy,0,None,92,0,0,Green,0,Physical,0,0,0,0,0,0
119,銀色の悪夢,0,0,0,0,0,Super Move,74,Control ally,1,One ally,0,0,0,Green,0,Physical,0,0,0,0,0,0
120,果てなき銀の呪縛,0,0,0,0,0,Super Move,0,Damage,1,One ally,16,50,5,Silver,0,Physical,0,0,0,0,0,0
121,ターン回復,0,0,0,0,0,Super Move,33,Add Regenerate,5,User,0,0,0,Green,0,Physical,0,0,0,0,0,0
122,銀世界の終〒,0,0,0,0,0,Super Move,17,Remove positive states,2,All allies,16,25,-1,None,-1,None,-1,-1,-1,-1,0,0
123,仲間を呼ぶ,0,0,0,0,0,Super Move,43,Call enemy,0,None,44,0,0,Green,0,Physical,0,0,0,0,0,0
124,仲間を呼ぶ,0,0,0,0,0,Super Move,43,Call enemy,0,None,21,0,0,Green,0,Physical,0,0,0,0,0,0
125,仲間を呼ぶ,0,0,0,0,0,Super Move,43,Call enemy,0,None,22,0,0,Green,0,Physical,0,0,0,0,0,0
126,銀色の光と闇,0,0,0,0,0,Super Move,0,Damage,2,All allies,16,25,6,Neutral,0,Physical,0,0,0,0,0,0
127,使ってないよねえ,0,0,0,0,0,Super Move,8,Add Stone + Damage,1,One ally,16,15,0,Green,0,Physical,16,17,2,70,0,0
128,疲労ブレス,0,0,0,0,0,Super Move,72,Add Fatigue + Damage,1,One ally,16,15,0,Green,0,Physical,16,17,6,20,0,0
129,疲労ブレス,0,0,0,0,0,Super Move,72,Add Fatigue + Damage,1,One ally,16,15,1,Red,0,Physical,16,17,6,20,0,0
130,銀の恵み,0,0,0,0,0,Super Move,33,Add Regenerate,5,User,600,0,0,Green,0,Physical,0,0,0,0,0,0
131,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
132,欠番,0,0,0,0,0,Super Move,0,Damage,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
133,エマージェンシー,0,0,0,0,0,Super Move,64,Call enemy + Defeat all enemies,0,None,99,0,0,Green,0,Physical,0,0,0,0,0,0
134,仲間を呼ぶ,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
135,ブラスター,0,0,0,0,0,Super Move,0,Damage,101,Ally line #2,16,25,5,Silver,0,Physical,0,0,0,0,0,0
136,Ж術？,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
137,予備ブランク,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
138,予備ブランク,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
139,予備ブランク,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
140,予備ブランク,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
141,予備ブランク,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
142,仲間を呼ぶ,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
143,仲間を呼ぶ,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
144,仲間を呼ぶ,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
145,仲間を呼ぶ,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
146,仲間を呼ぶ,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
147,仲間を呼ぶ,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
148,仲間を呼ぶ,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
149,仲間を呼ぶ,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
150,仲間を呼ぶ,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
151,仲間を呼ぶ,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
152,バイリキの秘薬,0,0,0,0,0,Super Move,21,Add Strengthen,3,One enemy,0,0,0,Green,0,Physical,0,0,0,0,0,0
153,バイソクの秘薬,0,0,0,0,0,Super Move,20,Add Quickened,4,All enemies,0,0,0,Green,0,Physical,0,0,0,0,0,0
154,サプガンの葉,0,0,0,0,0,Super Move,31,Recover HP,3,One enemy,1000,0,0,Green,0,Physical,0,0,0,0,0,0
155,キャノンボールΔ,0,0,0,0,0,Super Move,0,Damage,102,Ally line #3,16,40,4,Yellow,0,Physical,0,0,0,0,0,0
156,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
157,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
158,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
159,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
160,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
161,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
162,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
163,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
164,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
165,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
166,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
167,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
168,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
169,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
170,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
171,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
172,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
173,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
174,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
175,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
176,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
177,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
178,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
179,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
180,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
181,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
182,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
183,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
184,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
185,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
186,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
187,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
188,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
189,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
190,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
191,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
192,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
193,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
194,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
195,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
196,レーダーサーチ,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
197,毒ガス爆弾,0,0,0,0,0,Super Move,4,Add Poison + Damage,96,Ally area #1,16,15,0,Green,0,Physical,16,17,0,50,0,0
198,疲労ガス爆弾,0,0,0,0,0,Super Move,72,Add Fatigue + Damage,96,Ally area #1,16,15,4,Yellow,0,Physical,16,17,6,20,0,0
199,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
200,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
201,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
202,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
203,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
204,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
205,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
206,針千本,0,0,0,0,0,Super Move,0,Damage,1,One ally,16,40,3,Blue,0,Physical,0,0,0,0,0,0
207,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
208,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
209,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
210,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
211,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
212,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
213,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
214,ダミー,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,0,0,0
