Entry ID,US Entry Name,Pad 1,Pad 2,Pad 3,Pad 4,Category ID,[Category Name],Effect ID,[Effect Name],Scope ID,[Scope Name],Effect Param ID,Effect Param Name,Effect Base,Element ID,[Element Name],Type ID,[Type Name],State Inflict ID,State Inflict Name,State Resist ID,State Resist Name,State ID,[State Name],State Miss%,Pad 5,Pad 6
14,Poison Gas,0,0,0,0,0,S-Move,4,Poison + Damage,96,PC Square S3,16,Attack,20,0,Green,0,Physical,16,Attack,17,Defense,0,Poison,50,0,0
15,Stone Breath,0,0,0,0,0,S-Move,8,Stone + Damage,1,Single PC,16,Attack,15,0,Green,0,Physical,16,Attack,17,Defense,2,Stone,60,0,0
16,欠番,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
17,Random Fire,0,0,0,0,0,S-Move,0,Damage,98,PC Square S7,16,Attack,25,1,Red,0,Physical,0,Power,0,Power,0,Poison,0,0,0
18,欠番,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
19,Counter Stance,0,0,0,0,0,S-Move,38,Counter% to 100% + Guard,5,Self,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
20,Gather Strength,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
21,Counter Stance,0,0,0,0,0,S-Move,38,Counter% to 100% + Guard,5,Self,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
22,Burst,0,0,0,0,0,S-Move,0,Damage,97,PC Square S5,16,Attack,40,1,Red,0,Physical,0,Power,0,Power,0,Poison,0,0,0
23,Terminal,0,0,0,0,0,S-Move,0,Damage,1,Single PC,16,Attack,55,4,Yellow,0,Physical,0,Power,0,Power,0,Poison,0,0,0
24,Devolver,0,0,0,0,0,S-Move,38,Counter% to 100% + Guard,5,Self,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
25,Poisonous Bile,0,0,0,0,0,S-Move,4,Poison + Damage,2,All PCs,16,Attack,20,0,Green,0,Physical,16,Attack,17,Defense,0,Poison,50,0,0
26,Death Blossom,0,0,0,0,0,S-Move,0,Damage,201,PCs Nearby S1,16,Attack,20,3,Blue,0,Physical,0,Power,0,Power,0,Poison,0,0,0
27,Cannon Fire,0,0,0,0,0,S-Move,0,Damage,1,Single PC,16,Attack,50,1,Red,0,Physical,0,Power,0,Power,0,Poison,0,0,0
28,Call Allies,0,0,0,0,0,S-Move,43,Call EC,0,None,27,Dung Fly,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
29,Call Allies,0,0,0,0,0,S-Move,43,Call EC,0,None,31,Tsurak,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
30,Wheel Blast,0,0,0,0,0,S-Move,0,Damage,97,PC Square S5,16,Attack,35,4,Yellow,0,Physical,0,Power,0,Power,0,Poison,0,0,0
31,Laser Blast,0,0,0,0,0,S-Move,8,Stone + Damage,1,Single PC,16,Attack,5,6,Neutral,0,Physical,16,Attack,17,Defense,2,Stone,20,0,0
32,Crypt Laser,0,0,0,0,0,S-Move,68,Unconscious + Damage B,1,Single PC,16,Attack,5,5,Silver,0,Physical,16,Attack,17,Defense,1,Unconscious,60,0,0
33,Death Laser,0,0,0,0,0,S-Move,68,Unconscious + Damage B,1,Single PC,16,Attack,5,5,Silver,0,Physical,16,Attack,17,Defense,1,Unconscious,60,0,0
34,Assess Damage,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
35,欠番,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
36,Steelskin,0,0,0,0,0,S-Move,67,Invulnerable,5,Self,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
37,Focus,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
38,Eternal Freeze,0,0,0,0,0,S-Move,0,Damage,2,All PCs,16,Attack,12,2,Purple,0,Physical,0,Power,0,Power,0,Poison,0,0,0
39,Lightning Strike,0,0,0,0,0,S-Move,0,Damage,1,Single PC,16,Attack,20,4,Yellow,0,Physical,0,Power,0,Power,0,Poison,0,0,0
40,Terrible Bite,0,0,0,0,0,S-Move,72,Fatigue + Damage,1,Single PC,16,Attack,15,0,Green,0,Physical,16,Attack,17,Defense,6,Fatigue,20,0,0
41,Deep Sleep,0,0,0,0,0,S-Move,63,Regenerate + Sleep,5,Self,400,HP,-256,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
42,Avalauncher,0,0,0,0,0,S-Move,0,Damage,102,PC Ray S5,16,Attack,35,2,Purple,0,Physical,0,Power,0,Power,0,Poison,0,0,0
43,Silver Eclipse,0,0,0,0,0,S-Move,0,Damage,2,All PCs,16,Attack,25,5,Silver,0,Physical,0,Power,0,Power,0,Poison,0,0,0
44,Drain,0,0,0,0,0,S-Move,26,Decr All Attr,1,Single PC,0,Power,0,0,Green,0,Physical,16,Attack,17,Defense,8,Weak,0,0,0
45,Turn Recovery,0,0,0,0,0,S-Move,33,Regenerate,5,Self,0,HP,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
46,Destruction,0,0,0,0,0,S-Move,17,Rem Pos States + Damage,2,All PCs,16,Attack,10,5,Silver,0,Physical,0,Power,0,Power,0,Poison,0,0,0
47,Tremble,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
48,Silver Tundra,0,0,0,0,0,S-Move,0,Damage,1,Single PC,16,Attack,50,5,Silver,0,Physical,0,Power,0,Power,0,Poison,0,0,0
49,Call Allies,0,0,0,0,0,S-Move,43,Call EC,0,None,54,Kanezl,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
50,Call Allies,0,0,0,0,0,S-Move,43,Call EC,0,None,85,Imezl,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
51,Explode,0,0,0,0,0,S-Move,0,Damage,2,All PCs,16,Attack,20,1,Red,0,Physical,0,Power,0,Power,0,Poison,0,0,0
52,Stone Ooze,0,0,0,0,0,S-Move,7,Stone,1,Single PC,0,Power,0,0,Green,0,Physical,16,Attack,17,Defense,2,Stone,40,0,0
53,Tundra Blast,0,0,0,0,0,S-Move,0,Damage,2,All PCs,16,Attack,20,2,Purple,0,Physical,0,Power,0,Power,0,Poison,0,0,0
54,Death Waltz,0,0,0,0,0,S-Move,0,Damage,2,All PCs,16,Attack,40,6,Neutral,0,Physical,0,Power,0,Power,0,Poison,0,0,0
55,Engage,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
56,Thunder Storm,0,0,0,0,0,S-Move,0,Damage,2,All PCs,16,Attack,20,4,Yellow,0,Physical,0,Power,0,Power,0,Poison,0,0,0
57,Eerie Wail,0,0,0,0,0,S-Move,0,Damage,107,PC Triangle 60°,16,Attack,15,2,Purple,0,Physical,0,Power,0,Power,0,Poison,0,0,0
58,Assess Damage,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
59,Death Waltz,0,0,0,0,0,S-Move,0,Damage,2,All PCs,16,Attack,40,6,Neutral,0,Physical,0,Power,0,Power,0,Poison,0,0,0
60,Vigoro's Charm,0,0,0,0,0,S-Move,70,Confusion + Damage,1,Single PC,16,Attack,5,1,Red,0,Physical,16,Attack,17,Defense,4,Confusion,0,0,0
61,Laser Blast,0,0,0,0,0,S-Move,8,Stone + Damage,1,Single PC,16,Attack,20,5,Silver,0,Physical,16,Attack,17,Defense,2,Stone,50,0,0
62,Call Allies,0,0,0,0,0,S-Move,43,Call EC,0,None,12,Varkris,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
63,Digest,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
64,Terrible Bite,0,0,0,0,0,S-Move,72,Fatigue + Damage,1,Single PC,16,Attack,15,2,Purple,0,Physical,16,Attack,17,Defense,6,Fatigue,20,0,0
65,Neglora,0,0,0,0,0,S-Move,17,Rem Pos States + Damage,2,All PCs,16,Attack,5,-1,None,-1,None,-1,None,-1,None,-1,None,-1,0,0
66,Ice Storm,0,0,0,0,0,S-Move,0,Damage,2,All PCs,16,Attack,20,2,Purple,0,Physical,0,Power,0,Power,0,Poison,0,0,0
67,Call Allies,0,0,0,0,0,S-Move,43,Call EC,0,None,60,Soldier,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
68,Call Allies,0,0,0,0,0,S-Move,43,Call EC,0,None,84,Kilite,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
69,Call Allies,0,0,0,0,0,S-Move,43,Call EC,0,None,107,Jynnus,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
70,Grenade,0,0,0,0,0,S-Move,0,Damage,96,PC Square S3,16,Attack,20,4,Yellow,0,Physical,0,Power,0,Power,0,Poison,0,0,0
71,Poison Gas,0,0,0,0,0,S-Move,4,Poison + Damage,96,PC Square S3,16,Attack,20,0,Green,0,Physical,16,Attack,17,Defense,0,Poison,50,0,0
72,Sacrum Crystal,0,0,0,0,0,S-Move,31,Recover HP,4,All ECs,1000,HP,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
73,Call Allies,0,0,0,0,0,S-Move,43,Call EC,0,None,97,Razorbeak,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
74,Call Allies,0,0,0,0,0,S-Move,43,Call EC,0,None,75,Destroyer,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
75,Discharge,0,0,0,0,0,S-Move,0,Damage,2,All PCs,16,Attack,20,4,Yellow,0,Physical,0,Power,0,Power,0,Poison,0,0,0
76,Tatatimorutto,0,0,0,0,0,S-Move,0,Damage,1,Single PC,16,Attack,40,3,Blue,0,Physical,0,Power,0,Power,0,Poison,0,0,0
77,Round Claw,0,0,0,0,0,S-Move,0,Damage,1,Single PC,16,Attack,40,5,Silver,0,Physical,0,Power,0,Power,0,Poison,0,0,0
78,Call Allies,0,0,0,0,0,S-Move,43,Call EC,0,None,93,Durel Beetle,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
79,Sacri Crystal,0,0,0,0,0,S-Move,31,Recover HP,3,Single EC,500,HP,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
80,Sacres Crystal,0,0,0,0,0,S-Move,31,Recover HP,3,Single EC,1000,HP,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
81,Sacrulen Crystal,0,0,0,0,0,S-Move,31,Recover HP,4,All ECs,1000,HP,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
82,Call Allies,0,0,0,0,0,S-Move,43,Call EC,0,None,92,Langry,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
83,Silver Nightmare,0,0,0,0,0,S-Move,74,Control PC,1,Single PC,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
84,Silver Binds,0,0,0,0,0,S-Move,0,Damage,1,Single PC,16,Attack,50,5,Silver,0,Physical,0,Power,0,Power,0,Poison,0,0,0
85,Turn Recovery,0,0,0,0,0,S-Move,33,Regenerate,5,Self,0,HP,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
86,Destruction,0,0,0,0,0,S-Move,17,Rem Pos States + Damage,2,All PCs,16,Attack,25,-1,None,-1,None,-1,None,-1,None,-1,None,-1,0,0
87,Call Allies,0,0,0,0,0,S-Move,43,Call EC,0,None,44,Iridzu,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
88,Call Allies,0,0,0,0,0,S-Move,43,Call EC,0,None,21,Feralisk,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
89,Call Allies,0,0,0,0,0,S-Move,43,Call EC,0,None,22,Ferlith,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
90,Silver Eclipse,0,0,0,0,0,S-Move,0,Damage,2,All PCs,16,Attack,25,6,Neutral,0,Physical,0,Power,0,Power,0,Poison,0,0,0
91,使ってないよねえ,0,0,0,0,0,S-Move,8,Stone + Damage,1,Single PC,16,Attack,15,0,Green,0,Physical,16,Attack,17,Defense,2,Stone,70,0,0
92,Fatigue Breath,0,0,0,0,0,S-Move,72,Fatigue + Damage,1,Single PC,16,Attack,15,0,Green,0,Physical,16,Attack,17,Defense,6,Fatigue,20,0,0
93,Fatigue Breath,0,0,0,0,0,S-Move,72,Fatigue + Damage,1,Single PC,16,Attack,15,1,Red,0,Physical,16,Attack,17,Defense,6,Fatigue,20,0,0
94,Lunar Blessing,0,0,0,0,0,S-Move,33,Regenerate,5,Self,600,HP,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
95,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
96,欠番,0,0,0,0,0,S-Move,0,Damage,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
97,Emergency,0,0,0,0,0,S-Move,64,Call EC + Defeat All ECs,0,None,99,Kantor,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
98,Call Allies,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
99,Blaster,0,0,0,0,0,S-Move,0,Damage,101,PC Ray S3,16,Attack,25,5,Silver,0,Physical,0,Power,0,Power,0,Poison,0,0,0
100,Magic?,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
101,予備ブランク,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
102,予備ブランク,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
103,予備ブランク,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
104,予備ブランク,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
105,予備ブランク,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
106,Call Allies,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
107,Call Allies,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
108,Call Allies,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
109,Call Allies,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
110,Call Allies,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
111,Call Allies,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
112,Call Allies,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
113,Call Allies,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
114,Call Allies,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
115,Call Allies,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
116,Power Potion,0,0,0,0,0,S-Move,21,Incr Attack & Defense,3,Single EC,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
117,Speed Potion,0,0,0,0,0,S-Move,20,Incr Quick,4,All ECs,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
118,Sacres Crystal,0,0,0,0,0,S-Move,31,Recover HP,3,Single EC,1000,HP,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
119,Death Tackle,0,0,0,0,0,S-Move,0,Damage,102,PC Ray S5,16,Attack,40,4,Yellow,0,Physical,0,Power,0,Power,0,Poison,0,0,0
120,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
121,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
122,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
123,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
124,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
125,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
126,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
127,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
128,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
129,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
130,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
131,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
132,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
133,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
134,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
135,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
136,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
137,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
138,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
139,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
140,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
141,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
142,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
143,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
144,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
145,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
146,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
147,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
148,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
149,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
150,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
151,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
152,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
153,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
154,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
155,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
156,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
157,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
158,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
159,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
160,Search,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
161,Poison Gas,0,0,0,0,0,S-Move,4,Poison + Damage,96,PC Square S3,16,Attack,15,0,Green,0,Physical,16,Attack,17,Defense,0,Poison,50,0,0
162,Fatigue Gas,0,0,0,0,0,S-Move,72,Fatigue + Damage,96,PC Square S3,16,Attack,15,4,Yellow,0,Physical,16,Attack,17,Defense,6,Fatigue,20,0,0
163,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
164,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
165,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
166,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
167,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
168,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
169,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
170,Needle Storm,0,0,0,0,0,S-Move,0,Damage,1,Single PC,16,Attack,40,3,Blue,0,Physical,0,Power,0,Power,0,Poison,0,0,0
171,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
172,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
173,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
174,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
175,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
176,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
177,ダミー,0,0,0,0,0,S-Move,-1,None,0,None,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
