Entry ID,Pad. 1,EU Message ID,[ DE Descr. Pos.],[ DE Descr. Size],DE Descr. Str.,[ ES Descr. Pos.],[ ES Descr. Size],ES Descr. Str.,[ FR Descr. Pos.],[ FR Descr. Size],FR Descr. Str.,[ GB Descr. Pos.],[ GB Descr. Size],GB Descr. Str.,Item 1 ID,[Item 1 Name],Item 2 ID,[Item 2 Name],Item 3 ID,[Item 3 Name],Item 4 ID,[Item 4 Name],Item 5 ID,[Item 5 Name],Item 6 ID,[Item 6 Name],Item 7 ID,[Item 7 Name],Item 8 ID,[Item 8 Name],Item 9 ID,[Item 9 Name],Item 10 ID,[Item 10 Name],Item 11 ID,[Item 11 Name],Item 12 ID,[Item 12 Name],Item 13 ID,[Item 13 Name],Item 14 ID,[Item 14 Name],Item 15 ID,[Item 15 Name],Item 16 ID,[Item 16 Name],Item 17 ID,[Item 17 Name],Item 18 ID,[Item 18 Name],Item 19 ID,[Item 19 Name],Item 20 ID,[Item 20 Name],Item 21 ID,[Item 21 Name],Item 22 ID,[Item 22 Name],Item 23 ID,[Item 23 Name],Item 24 ID,[Item 24 Name],Item 25 ID,[Item 25 Name],Item 26 ID,[Item 26 Name],Item 27 ID,[Item 27 Name],Item 28 ID,[Item 28 Name],Item 29 ID,[Item 29 Name],Item 30 ID,[Item 30 Name],Item 31 ID,[Item 31 Name],Item 32 ID,[Item 32 Name],Item 33 ID,[Item 33 Name],Item 34 ID,[Item 34 Name],Item 35 ID,[Item 35 Name],Item 36 ID,[Item 36 Name],Item 37 ID,[Item 37 Name],Item 38 ID,[Item 38 Name],Item 39 ID,[Item 39 Name],Item 40 ID,[Item 40 Name],Item 41 ID,[Item 41 Name],Item 42 ID,[Item 42 Name],Item 43 ID,[Item 43 Name],Item 44 ID,[Item 44 Name],Item 45 ID,[Item 45 Name],Item 46 ID,[Item 46 Name],Item 47 ID,[Item 47 Name],Item 48 ID,[Item 48 Name]
10,0,0x802ba4a4,0x10d16,15,Roscoes Waffen,0x109f7,16,Armas de Roscoe,0x10a31,16,Armes de Roscoe,0x1061d,17,Roscoe's Weapons,99,Ixa'takan Armor,100,Naval Uniform,161,Prophet's Sand,163,Moondust Ring,169,Thryllak's Scale,171,Burocca's Shell,18,Scout Wing,53,Beak Hand,91,Elastamor,92,Raincoat,172,Crylhound's Claw,174,Thief's Aura,2,Sky Cutlass,49,Hook Hand,88,Sailor Uniform,89,Mystic Dress,160,Gemstone Ring,168,Throkryn's Scale,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
11,0,0x802ba4a4,0x10d25,15,Roscoes Waffen,0x10a07,16,Armas de Roscoe,0x10a41,16,Armes de Roscoe,0x1062e,17,Roscoe's Weapons,31,Flutter Blade,51,Mining Arm,67,Valuan Pistol,113,Vengeance Armor,114,Swift Dress,196,Blue Rogue Patch,99,Ixa'takan Armor,100,Naval Uniform,161,Prophet's Sand,163,Moondust Ring,169,Thryllak's Scale,171,Burocca's Shell,18,Scout Wing,53,Beak Hand,91,Elastamor,92,Raincoat,172,Crylhound's Claw,174,Thief's Aura,2,Sky Cutlass,49,Hook Hand,88,Sailor Uniform,89,Mystic Dress,160,Gemstone Ring,168,Throkryn's Scale,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
12,0,0x802ba4b8,0x10d34,14,Zauberhändler,0x10a17,16,Mercader Enigma,0x10a51,17,Marchand Étrange,0x1063f,17,Mystery Merchant,220,Thermo Ring,221,Slayer Ring,269,Crystales Box,278,Sylenis Box,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
13,0,0x802ba4cc,0x10d42,16,Waffenverteiler,0x10a27,16,Agente de Armas,0x10a62,9,Armurier,0x10650,17,Arms Distributor,23,Valuarang,49,Hook Hand,90,Valuan Armor,164,Lover's Ring,195,Mage's Bane,207,Gem of Purity,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
14,0,0x802ba4e0,0x10d52,17,Objekteverteiler,0x10a37,15,Agente Objetos,0x10a6b,16,Vendeuse objets,0x10661,17,Item Distributor,240,Sacri Crystal,241,Sacres Crystal,244,Magic Droplet,249,Curia Crystal,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
15,0,0x802ba4f4,0x10d63,15,Quemals Waffen,0x10a46,16,Armas de Quemal,0x10a7b,16,Armes de Quemal,0x10672,17,Quemal's Weapons,7,Nasr Cutlass,93,Nasrean Mail,94,Ceramic Armor,95,Agile Robe,191,Nomadic Veil,193,Sand Storm Ring,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
16,0,0x802ba508,0x10d72,12,Valas Laden,0x10a56,15,Tienda de Vala,0x10a8b,16,Magasin de Vala,0x10683,17,Vala's Item Shop,240,Sacri Crystal,241,Sacres Crystal,244,Magic Droplet,252,Glyph of Might,253,Glyph of Speed,254,Healing Salve,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
17,0,0x802ba51c,0x10d7e,17,Daks Schiffteile,0x10a65,14,Repuestos Dak,0x10a9b,16,"Dak, l'armateur",0x10694,17,Dak's Ship Parts,402,Heavy Cannon,410,"3"" Cannon",420,Light Torpedo,440,Rogue Figure,451,Turbo Kit,461,Steel Deck,481,Big Bomb,484,Pyro Bomb,490,Repair Kit,491,Deluxe Kit,497,Apa Wax,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
18,0,0x802ba4b8,0x10d8f,14,Zauberhändler,0x10a73,16,Mercader Enigma,0x10aab,17,Marchand Étrange,0x106a5,17,Mystery Merchant,220,Thermo Ring,221,Slayer Ring,269,Crystales Box,278,Sylenis Box,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
19,0,0x802ba530,0x10d9d,17,Pucks Kriegladen,0x10a83,15,Tienda de Puck,0x10abc,15,Puck Artilleur,0x106b6,16,Puck's War Shop,9,Hunter's Sword,22,Hunting Arc,96,Miner's Overalls,97,Fiber Robe,98,Golden Armor,175,Quetya Feather,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
20,0,0x802ba540,0x10dae,15,Kiskis Objekte,0x10a92,17,Objetos de Kiski,0x10acb,15,Bazar de Kiski,0x106c6,14,Kiski's Items,241,Sacres Crystal,242,Sacrum Crystal,244,Magic Droplet,249,Curia Crystal,250,Risan Crystal,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
21,0,0x802ba550,0x10dbd,14,Khazims Laden,0x10aa3,17,Tienda de Khazim,0x10ada,16,Boutique Khazim,0x106d4,15,Khazim's Store,408,Ancient Cannon,436,Wevl Cannon,428,Arcwhale Torpedo,447,Goddess Figure,454,Air Intake,477,Chandelier,483,Shredder Bomb,493,Complete Kit,502,Rudder Grease,503,Machine Oil,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
22,0,0x802ba560,0x10dcb,17,Ryu-kan Schmiede,0x10ab4,17,Forja de Ryu-kan,0x10aea,17,Forge de Ryu-kan,0x106e3,16,Ryu-kan's Forge,12,Windslicer,110,Captain's Cloak,111,Blessed Robe,112,Insulated Mail,192,Radiant Fur,194,Skull Cap,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
23,0,0x802ba560,0x10ddc,17,Ryu-kan Schmiede,0x10ac5,17,Forja de Ryu-kan,0x10afb,17,Forge de Ryu-kan,0x106f3,16,Ryu-kan's Forge,15,Soul Sword,28,Moon Wing,52,Dragon Arm,59,Stoneblade,70,Gilder Special,115,Gaia Cape,116,Robe of Faith,117,Plated Armor,118,Robe of Truth,203,Crescent Amulet,206,Critical Vision,208,Shard of Purity,12,Windslicer,110,Captain's Cloak,111,Blessed Robe,112,Insulated Mail,192,Radiant Fur,194,Skull Cap,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
24,0,0x802ba570,0x10ded,13,Osmans Laden,0x10ad6,16,Tienda de Osman,0x10b0c,17,Boutique d'Osman,0x10703,14,Osman's Store,267,Pyri Box,269,Crystales Box,271,Wevles Box,273,Electri Box,275,Sacri Box,278,Sylenis Box,279,Panika Box,281,Slipara Box,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
25,0,0x802ba570,0x10dfa,13,Osmans Laden,0x10ae6,16,Tienda de Osman,0x10b1d,17,Boutique d'Osman,0x10711,14,Osman's Store,267,Pyri Box,268,Pyrum Box,269,Crystales Box,270,Crystalen Box,271,Wevles Box,272,Wevlen Box,273,Electri Box,274,Electrum Box,275,Sacri Box,276,Sacrum Box,278,Sylenis Box,279,Panika Box,280,Driln Box,281,Slipara Box,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
26,0,0x802ba580,0x10e07,16,Ilchymis' Labor,0x10af6,17,Lab. de Ilchymis,0x10b2e,16,Labo d'Ilchymis,0x1071f,14,Ilchymis' Lab,240,Sacri Crystal,241,Sacres Crystal,242,Sacrum Crystal,243,Sacrulen Crystal,244,Magic Droplet,245,Magic Dew,249,Curia Crystal,250,Risan Crystal,251,Riselem Crystal,252,Glyph of Might,253,Glyph of Speed,254,Healing Salve,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
27,0,0x802ba580,0x10e17,16,Ilchymis' Labor,0x10b07,17,Lab. de Ilchymis,0x10b3e,16,Labo d'Ilchymis,0x1072d,14,Ilchymis' Lab,240,Sacri Crystal,241,Sacres Crystal,242,Sacrum Crystal,243,Sacrulen Crystal,244,Magic Droplet,245,Magic Dew,249,Curia Crystal,250,Risan Crystal,251,Riselem Crystal,252,Glyph of Might,253,Glyph of Speed,254,Healing Salve,260,Paranta Seed,261,Icyl Seed,262,Zaal Seed,264,Sylph Seed,265,Vidal Seed,266,Magus Seed,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
28,0,0x802ba590,0x10e27,14,Alazs' Waffen,0x10b18,14,Armas de Alaz,0x10b4e,13,Armes d'Alaz,0x1073b,15,Alaz's Weapons,6,Iron-cutter,65,Nasr Pistol,101,Nasr Uniform,102,Caravan Armor,103,Holy Robe,219,Immunity Ring,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
29,0,0x802ba5a0,0x10e35,15,Karahs Objekte,0x10b26,17,Objetos de Karah,0x10b5b,15,Bazar de Karah,0x1074a,14,Karah's Items,241,Sacres Crystal,242,Sacrum Crystal,244,Magic Droplet,252,Glyph of Might,253,Glyph of Speed,254,Healing Salve,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
30,0,0x802ba5b0,0x10e44,17,Rals Schiffteile,0x10b37,14,Repuestos Ral,0x10b6a,16,"Ral, l'armateur",0x10758,17,Ral's Ship Parts,406,Advanced Cannon,416,"10"" Cannon Coil",424,Valuan Torpedo,442,Pyrynn Figure,463,Compound Deck,471,Enhanced Kitchen,491,Deluxe Kit,494,Gear Grease,497,Apa Wax,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
31,0,0x802ba5c4,0x10e55,14,Bazras Waffen,0x10b45,15,Armas de Bazra,0x10b7a,15,Armes de Bazra,0x10769,16,Bazra's Weapons,197,Assassin Ring,198,Stealth Ring,199,Dhabu Hide,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
