Entry ID,EU Message ID,[DE Entry Name Pos.],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos.],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos.],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos.],[GB Entry Name Size],GB Entry Name,PCID,[PCName],Retail Price in %,Order by Prio.,EU Order by ABC,Effect ID,[Effect Name],Pad. 1,Purchase Price,Attack,Hit%,Feat.ID,[Feat.Name],Pad. 2,Feat.Value,[DE Descr. Pos.],[DE Descr. Size],DE Descr. Str.,[ES Descr. Pos.],[ES Descr. Size],ES Descr. Str.,[FR Descr. Pos.],[FR Descr. Size],FR Descr. Str.,[GB Descr. Pos.],[GB Descr. Size],GB Descr. Str.
10,0x802c65e0,0x1cf19,14,Steinschneide,0x1cb91,12,Cortapiedra,0x1ce0d,13,Coupe Pierre,0x1c5df,12,Stonecutter,0,Vyse,50,6,58,-1,None,0,3120,99,90,-1,None,0,0,0x12a64,86,"Messer, ursprünglich zu Steinmetzarbeiten\\nbenutzt, jetzt für den Kampf umgearbeitet.",0x12775,93,"Una espada que se utilizaba en albañilería,\\npero se ha transformado para su uso en combate.",0x127bc,95,"Une lame utilisée à l'origine en maçonnerie, qui\\na été modifiée pour servir dans les combats.",0x123f2,91,"A blade originally used in masonry work, it has\\nsince been modified to be used in combat."
11,0x802c65ec,0x1cf27,13,Traummachete,0x1cb9d,16,Sable de Sueños,0x1ce1a,11,Sabre Rêve,0x1c5eb,14,Dream Cutlass,0,Vyse,50,10,26,-1,None,0,6690,137,90,35,Blue,0,-2,0x12aba,96,"Legendäres Schwert, das den Stoff der Wirklich-\\nkeit zerschneiden und Träume wahr machen kann.",0x127d2,88,Mítica espada que deshace la materia de lo real\\npara que los sueños se hagan realidad.,0x1281b,96,Une épée légendaire qui peut soi-disant déchirer\\nle tissu de la réalité et réaliser les rêves.,0x1244d,92,A legendary sword that can supposedly rip the\\nfabric of reality and make dreams come true.
12,0x802c65fc,0x1cf34,12,Windspalter,0x1cbad,13,Corta-viento,0x1ce25,16,Coupeur de Vent,0x1c5f9,11,Windslicer,0,Vyse,50,12,70,-1,None,0,8760,153,90,-1,None,0,0,0x12b1a,91,"Ein so dünnes Messer, dass man von ihm sagt, es\\nkönne die Luft in zwei Hälften schneiden.",0x1282a,86,"Espada de hoja tan fina que, según la leyenda,\\ncorta el mismisimo aire por la mitad.",0x1287b,64,Une épée si fine qu'elle peut couper l'air\\nd'après la légende.,0x124a9,78,A blade so slender that it is fabled to be able\\nto cut the very air in half.
13,0x802c6608,0x1cf40,14,Vorlik-Klinge,0x1cbba,14,Espada Vorlik,0x1ce35,12,Épée Vorlik,0x1c604,13,Vorlik Blade,0,Vyse,50,15,68,-1,None,0,16500,200,200,-1,None,0,0,0x12b75,72,"Meisterwerk des legendären Schmieds Ryu-kan,\\naus Velorium hergestellt.",0x12880,79,"Una obra maestra del mítico creador de espadas\\nRyu-kan, forjada con Velorium.",0x128bb,79,"Un chef d'oeuvre du légendaire façonneur d'épée,\\nRyu-kan, forgée en Velorium.",0x124f7,75,"A masterpiece of the legendary swordsmith,\\nRyu-kan, forged from Velorium."
14,0x802c6618,0x1cf4e,14,Suiran-Klinge,0x1cbc8,14,Espada Suiran,0x1ce41,12,Épée Suiran,0x1c611,13,Suiran Blade,0,Vyse,50,11,60,-1,None,0,7500,141,90,-1,None,0,0,0x12bbd,93,"Von Yafutoman-Soldaten benutztes Schwert, trotz\\nseiner schweren Klinge leicht zu handhaben.",0x128cf,97,"Espada corta usada por los soldados Yafutoman.\\nAunque sea gruesa y pesada, es fácil de manejar.",0x1290a,95,"Une courte épée dont se servaient les soldats\\nYafutomans, lame large et lourde mais maniable.",0x12542,91,"A short sword used by Yafutoman soldiers, its\\nthick, heavy blade is still easy to handle."
15,0x802c6628,0x1cf5c,14,Seelenschwert,0x1cbd6,16,Espada del Alma,0x1ce4d,14,Epée de l'âme,0x1c61e,11,Soul Sword,0,Vyse,50,14,56,16,Unconscious 5%,0,12340,174,90,-1,None,0,0,0x12c1a,94,"Das Schwert der Schwerter, das Meisterstück des\\nSchmieds Ryu-kan. Kann auf der Stelle töten.",0x12930,87,"Espada suprema. La mejor obra de Ryu-kan, el\\nmaestro armero. Puede matar al instante.",0x12969,93,"La meilleure création du maître faiseur d'épées,\\nRyu-kan. Peut entraîner une mort soudaine.",0x1259d,95,"The ultimate sword, the best work of the master\\nswordsmith, Ryu-kan. Can cause instant death."
16,0x802c6634,0x1cf6a,9,Bumerang,0x1cbe6,8,Bumerán,0x1ce5b,10,Boomerang,0x1c629,10,Boomerang,1,Aika,50,17,5,-1,None,0,70,19,110,-1,None,0,0,0x12c78,79,"Aikas Lieblings-Bumerang. Sehr groß, aber nicht\\nschwer und leicht zu steuern.",0x12987,70,El Bumerán preferido de Aika. Grande pero\\nligero y fácil de dirigir.,0x129c6,71,Boomerang préféré d'Aika. Il est grand mais\\nléger et facile à lancer.,0x125fc,78,"Aika's favorite boomerang. It's large but light,\\nand relatively easy to aim."
17,0x8034fb90,0x1cf73,16,Himmelsschwinge,0x1cbee,12,Ala Celeste,0x1ce65,13,Aile du ciel,0x1c633,8,Skywing,1,Aika,50,26,55,-1,None,0,3670,107,110,-1,None,0,0,0x12cc7,90,"Bumerang, der wie ein fliegender Vogel geformt\\nist. Er kommt immer zum Werfenden zurück.",0x129cd,91,"Bumerán con forma de pájaro volador. Siempre\\nregresa, da igual lo lejos que sea lanzado. ",0x12a0d,83,"Un boomerang en forme d'oiseau. Il revient\\ntoujours, quelle que soit la distance.",0x1264a,91,"A boomerang shaped like a flying bird. It\\nalways returns, no matter how far it is thrown."
18,0x802c6640,0x1cf83,15,Späherschwinge,0x1cbfa,16,Ala Exploradora,0x1ce72,14,Aile du scout,0x1c63b,11,Scout Wing,1,Aika,50,21,51,-1,None,0,680,53,110,-1,None,0,0,0x12d21,80,"Waffe, die von den Spähtrupps benutzt\\nwird, sie soll schnell und tödlich sein.",0x12a28,93,El arma que usan las tripulaciones de partidas\\nde reconocimiento. Debe ser rápida y mortal.,0x12a60,94,"Arme transportée par les équipes d'éclaireurs,\\nelle est conçue pour être rapide et mortelle.",0x126a5,83,"A weapon carried by crews of scouting parties,\\nit is meant to be fast and deadly."
19,0x802c664c,0x1cf92,11,Eisspalter,0x1cc0a,11,Cortahielo,0x1ce80,17,Fendeur de Glace,0x1c646,13,Ice Splitter,1,Aika,50,29,38,-1,None,0,7390,142,110,34,Purple,0,-2,0x12d71,79,"Bumerang mit scharfer Klinge, der im\\nFlug scheinbar die Luft gefrieren lässt.",0x12a85,94,"Un Bumerán de hoja afilada y transparente como\\nel hielo, que congela el aire que atraviesa. ",0x12abe,78,Un boomerang à la lame glacée et aiguisée qui\\nsemble geler l'air qu'il fend.,0x126f8,93,"A boomerang with an icy clear, sharp blade that\\nseemingly freezes the air it flies through."
20,0x802c665c,0x1cf9d,12,Ledersichel,0x1cc15,13,Bumerán piel,0x1ce91,13,Aile de Cuir,0x1c653,17,Leather Crescent,1,Aika,50,18,41,-1,None,0,180,30,110,-1,None,0,0,0x12dc0,74,"Lederverstärkter Bumerang, sehr robust gebaut\\nund äußerst schlagkräftig.",0x12ae3,72,Un Bumerán reforzado con cuero de hechura\\nrecia y con un gran impacto.,0x12b0c,81,Un boomerang en cuir renforcé qui est très\\nsolide et particulièrement puissant.,0x12755,88,"A leather-reinforced boomerang that is very\\nsturdy in build, and packs an extra punch."
21,0x802c6670,0x1cfa9,11,Wurfklinge,0x1cc22,17,Espada de lanzar,0x1ce9e,15,Lame de Lancer,0x1c664,15,Throwing Blade,1,Aika,50,19,63,-1,None,0,310,38,110,-1,None,0,0,0x12e0a,94,"Alte Waffe, die nahe Sailors' Island gefunden\\nwurde. Vermutlich für Holz- und Steinarbeiten.",0x12b2b,84,Arma antigua de la Isla del Pirata. Se usaba\\npara trabajar la madera y la piedra. ,0x12b5d,98,Ancienne arme trouvée près de l'Île des Marins.\\nAurait servie au travail du bois & de la pierre.,0x127ad,96,An ancient weapon found near Sailors' Island.\\nThought to have been used for wood & stone work.
22,0x802c6680,0x1cfb4,10,Jagdbogen,0x1cc33,13,Arco de caza,0x1cead,14,Arc de Chasse,0x1c673,12,Hunting Arc,1,Aika,50,24,36,-1,None,0,1820,80,110,-1,None,0,0,0x12e68,77,"Traditionelle Ixa'taka-Jagdwaffe; Kinder lernen\\nsehr früh, damit umzugehen.",0x12b7f,96,"Un arma de caza tradicional de los Ixa'takan,\\nque los niños aprenden a manejar desde pequeños.",0x12bbf,89,"Arme traditionnelle de chasse d'Ixa'taka, on\\napprend très tôt aux enfants à s'en sevir.",0x1280d,96,"A traditional Ixa'takan hunting weapon, children\\nare taught to use them from a very young age."
23,0x802c668c,0x1cfbe,10,Valuarang,0x1cc40,10,Valuarang,0x1cebb,10,Valuarang,0x1c67f,10,Valuarang,1,Aika,50,20,67,-1,None,0,480,46,110,-1,None,0,0,0x12eb5,96,"Leichter Bumerang, zur Übung für den jährlichen\\nBumerang-Wettbewerb im Valua-Coliseum benutzt.",0x12bdf,82,Bumerán ligero con el que practicar para el\\nconcurso anual del Coliseo de Valua.,0x12c18,91,Un boomerang léger qui sert pour l'entraînement\\nau championnat annuel du Coliseum Valuan.,0x1286d,93,A light boomerang used to practice for the\\nannual boomerang contest in the Valuan Coliseum.
24,0x802c6698,0x1cfc8,13,Yin-Schwinge,0x1cc4a,9,Yin Wing,0x1cec5,9,Aile Yin,0x1c689,9,Yin Wing,1,Aika,50,28,72,17,Sleep 5%,0,5930,130,110,-1,None,0,0,0x12f15,84,"Tränenförmige Klinge, von einem Meisterschmied\\naus einem Stück Moon Stone geformt.",0x12c31,94,Una espada en forma de lágrima creada por un\\nmaestro artesano con una pieza de Piedra Lunar.,0x12c73,93,Épée en forme de larme réalisée par un grand\\nmaître avec un seul morceau de Pierre de Lune.,0x128ca,88,A tear-shaped blade crafted by a master\\nweaponsmith from a single piece of Moon Stone.
25,0x802c66a4,0x1cfd5,12,Tänzerspeer,0x1cc53,14,Arco Danzarín,0x1cece,12,Arc Dansant,0x1c692,12,Dancing Arc,1,Aika,50,22,23,-1,None,0,1100,65,110,-1,None,0,0,0x12f69,86,"Ornamentaler Wurfspeer, von Nasr-Tänzern\\nbenutzt. Wird auch als Jagdwaffe gebraucht.",0x12c8f,84,Las bailarinas de Nasr usan este cuchillo\\nornamental que sirve también para cazar.,0x12cd0,95,Une épée de lancer décorative utilisée par les\\ndanceurs Nasrean. Sert aussi d'arme de chasse.,0x12922,94,A decorative throwing blade used by Nasrean\\ndancers. It is used as a hunting weapon as well.
26,0x802c66b0,0x1cfe1,16,Hoffngsschwinge,0x1cc61,17,Ala de Esperanza,0x1ceda,14,Aile d'Espoir,0x1c69e,13,Wing of Hope,1,Aika,50,27,71,-1,None,0,4760,119,110,-1,None,0,0,0x12fbf,96,"Zur Erinnerung an diejenigen, die in Dark Rift\\nihr Leben ließen, damit es anderen besser geht.",0x12ce3,92,"Hecha en memoria de los desaparecidos en la\\nGruta Oscura, para dar esperanza a los nuevos.",0x12d2f,91,Réalisée en mémoire des disparus du Récif Noir\\ndans l'espoir que d'autres s'en sortiront.,0x12980,93,Crafted in memory of those lost in the Dark Rift\\nand in hopes that others will fare better.
27,0x802c66c0,0x1cff1,14,Sturmschwinge,0x1cc72,16,Ala de Tormenta,0x1cee8,13,Aile d'Orage,0x1c6ab,11,Storm Wing,1,Aika,50,23,59,2,Weak 10%,0,1280,69,150,-1,None,0,0,0x1301f,85,"Von Wächtern eines alten Kaiserpalasts benutzt,\\nkann diese Klinge Feinde schwächen.",0x12d3f,92,Usada por los guardias de un antiguo palacio\\nimperial. Su función es debilitar al enemigo.,0x12d8a,97,"Épée utilisée par les gardes d'un ancien palais\\nimpérial, a le pouvoir d'affaiblir les ennemis.",0x129dd,91,"Used by guards in an ancient imperial palace,\\nthis blade has the power to weaken enemies."
28,0x802c66cc,0x1cfff,13,Mondschwinge,0x1cc82,10,Ala Lunar,0x1cef5,13,Aile de Lune,0x1c6b6,10,Moon Wing,1,Aika,50,31,45,-1,None,0,10170,161,110,-1,None,0,0,0x13074,86,Ausgezeichnete Waffe vom Meister Ryu-kan.\\nPerfekte Harmonie von Design und Funktion.,0x12d9b,96,Insuperable arma creada por el maestro Ryu-kan.\\nPerfecto equilibrio de diseño y funcionalidad.,0x12deb,91,Arme superbe créée par maître Ryu-kan. Parfait\\néquilibre entre fonctionnel et esthétique.,0x12a38,96,"A superb weapon created by the master, Ryu-kan.\\nA perfect balance of design and functionality."
29,0x802c66d8,0x1d00c,15,Hydra-Schwinge,0x1cc8c,10,Ala Hydra,0x1cf02,13,Aile d'Hydra,0x1c6c0,11,Hydra Wing,1,Aika,50,32,37,-1,None,0,11390,168,110,-1,None,0,0,0x130ca,76,"Ein Bumerang, der von der Valua-Armee für\\nden Nahkampf umgearbeitet wurde.",0x12dfb,86,Un Bumerán reforzado por el ejército de Valua\\npara usar en combates cuerpo a cuerpo.,0x12e46,88,Un boomerang modifié par l'armée Valuan avec\\nrenforcement pour les combats rapprochés.,0x12a98,87,A boomerang modified by the Valuan army with\\nreinforcement for close-quarters combat.
30,0x802c66e4,0x1d01b,17,Grendel-Schwinge,0x1cc96,12,Ala Grendel,0x1cf0f,16,Aile de Grendel,0x1c6cb,13,Grendel Wing,1,Aika,50,25,33,-1,None,0,2820,96,150,32,Green,0,-2,0x13116,90,Bumerang aus dem Knochen des Green Gigas.\\nSeine Macht reicht an die des Fist of Grendel.,0x12e51,88,Bumerán hecho con un hueso del Gigas Verde.\\nSu poder es comparable al Puño de Grendel.,0x12e9e,95,Un boomerang fabriqué avec un os de Giga Vert.\\nSon pouvoir rivalise avec le Poing de Grendel.,0x12aef,88,A boomerang made from a bone of the Green Gigas.\\nIts power rivals the Fist of Grendel.
31,0x802c66f4,0x1d02c,14,Flatterklinge,0x1cca2,15,Hoja Oscilante,0x1cf1f,13,Lame Volante,0x1c6d8,14,Flutter Blade,1,Aika,50,30,29,3,Confusion 20%,0,8910,153,110,-1,None,0,0,0x13170,94,Doppelklingiger Bumerang mit unvorhersehbarer\\nFlugbahn. Kann beim Feind Verwirrung auslösen.,0x12ea9,87,Bumerán de doble hoja cuya trayectoria de\\nvuelo es impredecible. Confunde al enemigo.,0x12efd,93,Boomerang à double tranchant. Sa trajectoire\\nest imprévisible ce qui peut tromper l'ennemi.,0x12b47,96,A double-bladed boomerang with an unpredictable\\nflight path. It can induce Confuse in enemies.
32,0x8034fb98,0x1d03a,6,Cupil,0x1ccb1,6,Cupil,0x1cf2c,6,Cupil,0x1c6e6,6,Cupil,2,Fina,0,34,7,-1,None,0,0,58,120,-1,None,0,0,0x131ce,94,Von Silvitern kreierte künstliche Lebensform.\\nCupil begleitet Fina seit ihrem 4. Lebensjahr.,0x12f00,94,Forma de vida artificial creada por Silvites.\\nFina recogió a Cupil cuando ella tenía 4 años.,0x12f5a,91,Espèce artificielle créée par les Silvites.\\nCupil accompagne Fina depuis qu'elle a 4 ans.,0x12ba7,88,An artificial life form created by Silvites.\\nCupil has been with Fina since she was 4.
33,0x802c6704,0x1d040,12,Cupil-Lanze,0x1ccb7,12,Lanza Cupil,0x1cf32,12,Lance Cupil,0x1c6ec,12,Cupil Lance,2,Fina,0,41,14,-1,None,0,0,110,120,-1,None,0,0,0x1322c,88,"Cupil verwandelt sich in eine Lanze und wirft\\nsich auf jeden Feind, den Fina bestimmt.",0x12f5e,87,Cupil se transforma en lanza y se arroja contra\\ncualquier enemigo que Fina le ordene.,0x12fb5,76,Cupil se change en lance et se jette sur\\nl'ennemi au commandement de Fina.,0x12bff,78,Cupil morphs into a lance and lunges itself at\\nwhatever enemy Fina commands.
34,0x802c6710,0x1d04c,12,Cupil-Stern,0x1ccc3,15,Estrella Cupil,0x1cf3e,13,Étoile Cupil,0x1c6f8,11,Cupil Star,2,Fina,0,40,18,-1,None,0,0,103,120,-1,None,0,0,0x13284,85,Cupil verwandelt sich in einen Stern und bewegt\\nsich spiralförmig auf den Feind zu.,0x12fb5,74,Cupil se transforma en estrella y se lanza en\\nespiral contra el enemigo.,0x13001,63,Cupil se change en étoile et fonce en spirale\\nsur son ennemi.,0x12c4d,57,Cupil morphs into a star and spirals towards its\\nenemy.
35,0x802c671c,0x1d058,9,Cupicone,0x1ccd2,9,Cupicono,0x1cf4b,9,Cupicône,0x1c703,9,Cupicone,2,Fina,0,36,6,-1,None,0,0,73,120,-1,None,0,0,0x132d9,77,Verwandelt sich in einen spitzen Kegel und wirft\\nsich den Feinden entgegen.,0x12fff,70,Cupil se transforma en un cono afilado y\\narremete contra el enemigo.,0x13040,56,"Se change en cône pointu, et se jette sur ses\\nennemis.",0x12c86,61,"Morphs into a sharp cone, and lunges itself\\nat its enemies."
36,0x802c6728,0x1d061,12,Cupil-Speer,0x1ccdb,12,Arpón Cupil,0x1cf54,12,Pique Cupil,0x1c70c,12,Cupil Spear,2,Fina,0,46,16,-1,None,0,0,147,120,-1,None,0,0,0x13326,81,Verwandelt sich in eine gezackte Speerspitze.\\nSo richtet Cupil mehr Schaden an.,0x13045,91,Se transforma en una punta de lanza con púas y\\ncada púa ayuda a Cupil a causar más daños.,0x13078,76,Cupil se change en lance barbelée qui lui\\npermet de causer plus de dégâts.,0x12cc3,76,Morphs into a barbed spearhead. Each barb\\nhelps Cupil inflict more damage.
37,0x802c6734,0x1d06d,13,Cupil-Messer,0x1cce7,15,Cuchillo Cupil,0x1cf60,11,Lame Cupil,0x1c718,12,Cupil Blade,2,Fina,0,35,8,4,Silence 20%,0,0,67,115,-1,None,0,0,0x13377,80,"Cupil erlernt die Fähigkeit, sich in ein extrem\\nscharfes Messer zu verwandeln.",0x130a0,74,Cupil adquiere la habilidad de transformarse\\nen un cuchillo afiladísimo.,0x130c4,62,Cupil apprend à se changer en couteau\\nextrêmement tranchant.,0x12d0f,66,Cupil learns the ability to morph into an\\nextremely sharp knife.
38,0x802c6740,0x1d07a,14,Cupil-Schwert,0x1ccf6,13,Espada Cupil,0x1cf6b,11,Épée Cupil,0x1c724,12,Cupil Sword,2,Fina,0,38,19,4,Silence 20%,0,0,90,115,-1,None,0,0,0x133c7,97,"Indem er sich in ein Schwert verwandelt, kann\\nCupil fast jeden Feind in zwei Hälften schneiden.",0x130ea,87,"Transformándose en espada, Cupil puede partir\\na casi todos sus enemigos por la mitad.",0x13102,78,"En se changeant en épée, Cupil peut fendre en\\ndeux presque tous les ennemis.",0x12d51,69,"By morphing into a sword, Cupil can cleave\\nalmost any enemy in two."
39,0x802c674c,0x1d088,14,Cupil-Machete,0x1cd03,12,Sable Cupil,0x1cf76,12,Sabre Cupil,0x1c730,14,Cupil Cutlass,2,Fina,0,43,12,4,Silence 20%,0,0,127,115,-1,None,0,0,0x13428,90,"Cupil hat gelernt, sich in eine Machete zu\\nverwandeln, als er Vyse beim Kampf zuschaute.",0x13141,91,Cupil aprende a transformarse en sable viendo\\npelear a Vyse. Confunde al enemigo. ¡Furia!,0x13150,86,Cupil a appris à se changer en sabre en\\nregardant Vyse se battre. Furie de Cupil !!!,0x12d96,77,Cupil learned to morph into a cutlass by\\nwatching Vyse fight. Cupil Fury!!!
40,0x802c675c,0x1d096,17,Cupil-Zweihänder,0x1cd0f,15,Cupil Claymore,0x1cf82,15,Claymore Cupil,0x1c73e,15,Cupil Claymore,2,Fina,0,47,10,4,Silence 20%,0,0,157,115,-1,None,0,0,0x13482,87,Cupil verwandelt sich in ein riesiges\\nzweihändiges Schwert und schädigt Feind massiv.,0x1319c,89,Cupil se convierte en una espada gigante de\\ndoble hoja y causa muchos danos al enemigo.,0x131a6,82,"En se changeant en épée géante à 2 lames,\\nCupil peut gravement blesser l'ennemi.",0x12de3,95,"Morphing into a giant 2-handed sword, Cupil can\\ncause massive amounts of damage on any enemy."
41,0x802c676c,0x1d0a7,13,Cupil-Kanone,0x1cd1e,12,Cañón Cupil,0x1cf91,12,Canon Cupil,0x1c74d,13,Cupil Cannon,2,Fina,0,37,9,-1,None,0,0,86,105,20,Dodge%,0,5,0x134d9,97,"Verwandelt sich in eine kleine, schwere Kanonen-\\nkugel und fällt von hoch oben auf einen Feind.",0x131f5,96,"Se transforma en una pequeña, pero pesada, bala\\nde cañón y cae sobre el enemigo desde lo alto.",0x131f8,82,"Se change en boule de canon, petite mais lourde\\net tombe de haut sur un ennemi. ",0x12e42,84,"Morphs into a small, but heavy, cannonball,\\nand drops on an enemy from high above."
