Entry ID,EU Message ID,[DE Entry Name Pos.],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos.],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos.],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos.],[GB Entry Name Size],GB Entry Name,Element ID,[Element Name],Pad. 1,Order by Prio.,Occ. Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Prio.,Effect SP,Pad. 2,Pad. 3,Effect Value,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad. 4,Pad. 5,Pad. 6,Ship Occ. ID,[Ship Occ. Name],Pad. 7,Ship Effect ID,[Ship Effect Name],Ship Effect SP,Ship Effect Turns,Ship Effect Amount,Unk.,Pad. 8,Pad. 9,Pad. 10,[DE Descr. Pos.],[DE Descr. Size],DE Descr. Str.,[ES Descr. Pos.],[ES Descr. Size],ES Descr. Str.,[FR Descr. Pos.],[FR Descr. Size],FR Descr. Str.,[GB Descr. Pos.],[GB Descr. Size],GB Descr. Str.
46,0x802c6470,0x1cdc5,13,Kaiserklinge,0x1ca2b,12,Espada Real,0x1cc9d,12,Épée Royale,0x1c481,12,Royal Blade,6,Neutral,0,240,0x2,"",X,"",0,Damage,37,EC Ray S3,4,Enrique,1,8,0,0,40,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x1210f,96,Enrique attackiert einen Feind mit einer Serie\\npräziser Schwerthiebe.                     SP 8,0x11e18,92,Enrique rebana a un enemigo en una ráfaga\\nde precisos movimientos de espada.          8 PE,0x11e62,97,Enrique taillade un seul ennemi sous une pluie\\nd'attaques précises à l'épée.               ES 8,0x11a65,95,Enrique slashes at a single enemy in a flurry\\nof precise sword attacks.                  SP 8
47,0x802c647c,0x1cdd2,11,Das Urteil,0x1ca37,10,El Juicio,0x1cca9,12,Le Jugement,0x1c48d,14,The Judgement,6,Neutral,0,242,0x2,"",X,"",0,Damage,3,Single EC,4,Enrique,1,16,0,0,80,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x1216f,88,Enrique lässt einen Feind im Coliseum\\nfür seine Verbrechen verurteilen.          SP 16,0x11e74,90,Enrique convoca a un enemigo al Coliseo\\npara que sea juzgado por sus crimenes.     16 PE,0x11ec3,94,Enrique convoque un ennemi au Coliseum pour\\nqu'il soit jugé de ses crimes.             ES 16,0x11ac4,95,Enrique summons one enemy to the Coliseum to\\nbe judged for its crimes.                  SP 16
48,0x802c648c,0x1cddd,15,Waffenschlinge,0x1ca41,10,Pistolero,0x1ccb5,15,Feux du Bandit,0x1c49b,11,Gunslinger,6,Neutral,0,250,0x2,"",X,"",0,Damage,43,EC Triangle 60°,5,Gilder,1,9,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x121c7,94,Gilder feuert gleichzeitig aus zwei Pistolen\\nund schädigt alle Feinde auf einer Linie.  SP 9,0x11ece,91,"Gilder descarga dos revólveres a la vez,\\nhiriendo a todos los enemigos en línea.     9 PE",0x11f21,92,"Gilder décharge deux pistolets à la fois,\\nblessant tous les ennemis alignés.          ES 9",0x11b23,97,Gilder lets loose two handguns at the same time\\ndamaging all enemies in a straight line.   SP 9
49,0x802c6498,0x1cdec,12,Die Claudia,0x1ca4b,11,La Claudia,0x1ccc4,11,Le Claudia,0x1c4a6,12,The Claudia,6,Neutral,0,252,0x2,"",X,"",0,Damage,4,All ECs,5,Gilder,1,18,0,0,25,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x12225,96,Gilder feuert alle Kanonen der Claudia ab und\\ngreift damit alle Feinde an.               SP 18,0x11f29,99,Gilder llama al navío la Claudia y dispara todos\\nsus cañones. Ataca a todos los enemigos.   18 PE,0x11f7d,97,Gilders appelle le Claudia et fait feu de tous\\nses canons. Attaque tous les ennemis.      ES 18,0x11b84,95,Gilder calls in the Claudia and fires all of\\nher cannons. Attacks all enemies.          SP 18
50,0x802c64a4,0x1cdf8,13,Gegenangriff,0x1ca56,13,Contraataque,0x1cccf,15,Contre-Attaque,0x1c4b2,14,Counterstrike,6,Neutral,0,301,0x2,"",X,"",38,"Guard, Counter Attack",5,Self,0,Vyse,2,1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x12285,95,Vyse geht in Abwehrstellung und erwidert eine\\nRunde lang alle Feindattacken.             SP 1,0x11f8c,93,Vyse se defiende y responde ante todos los\\nataques del enemigo durante todo un turno.  1 PE,0x11fde,95,"Vyse se met en position de défense, contrant\\nles attaques ennemies pendant un tour.      ES 1",0x11be3,95,"Vyse takes a defensive stance, countering all\\nenemy physical attacks for a full turn.    SP 1"
51,0x802c64b4,0x1ce05,14,Schädelschild,0x1ca63,16,Escudo Calavera,0x1ccde,15,Bouclier Crâne,0x1c4c0,13,Skull Shield,6,Neutral,0,303,0x2,"",X,"",46,"Counter Attack, Block Attack",2,All PCs,0,Vyse,2,5,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x122e4,97,"Vyse ruft den Geist eines alten Luftpiraten an,\\nseine Mannschaft zu verteidigen.           SP 5",0x11fe9,97,Vyse convoca al espíritu de un antepasado para\\ncontraatacar y defender a su tripulación.   5 PE,0x1203d,96,Vyse invoque l'esprit d'un ancien Pirate pour\\ndéfendre ses compagnons et contre-attaquer. ES 5,0x11c42,97,Vyse summons the spirit of an ancient Air Pirate\\nto defend and counterattack for his crew. SP 5
52,0x802c64c4,0x1ce13,12,Deltaschild,0x1ca73,13,Escudo Delta,0x1cced,15,Bouclier Delta,0x1c4cd,13,Delta Shield,6,Neutral,0,311,0x2,"",X,"",39,Block Magic,2,All PCs,1,Aika,2,2,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x12345,87,Magieschutz für alle Verbündeten eine\\nRunde lang. (Blockiert auch eigene Magie.) SP 2,0x1204a,98,Escudo anti-magia que protege a los aliados por\\nun turno pero bloquea su poder de magia.    2 PE,0x1209d,96,Crée une bulle d'anti-magie autour des alliés\\npour un tour. (Bloque la magie des alliés)  ES 2,0x11ca3,95,Creates an anti-magic shell around all allies\\nfor 1 turn. (Blocks allies' magic too.)    SP 2
53,0x802c64d4,0x1ce1f,15,Epsilonspiegel,0x1ca80,15,Espejo Épsilon,0x1ccfc,15,Miroir Epsilon,0x1c4da,15,Epsilon Mirror,6,Neutral,0,313,0x2,"",X,"",77,"Recover MP, Invulnerable",5,Self,1,Aika,2,10,0,0,10,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x1239c,96,"Schafft eine spiegelartige Aura, die Aika für\\n1 Runde umhüllt und 10 MP wiederherstellt. SP 10",0x120ac,99,Crea un aura como un espejo que rodea a Aika por\\nun turno y restaura 10 puntos de Magia.    10 PE,0x120fd,89,Crée une aura miroitante qui enveloppe\\nAika pendant un tour et redonne 10 PM.     ES 10,0x11d02,96,Creates a mirror-like aura that envelops Aika\\nfor 1 turn and restores 10 MP.             SP 10
54,0x802c64e4,0x1ce2e,12,Mondsegnung,0x1ca8f,16,Bendición Lunar,0x1cd0b,17,Bienfait Lunaire,0x1c4e9,15,Lunar Blessing,6,Neutral,0,320,0x2,"",X,"",33,Regenerate,2,All PCs,2,Fina,2,12,0,0,200,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x123fc,91,"Fina erbittet den Segen des Silver Moon,\\nder alle Gruppenmitglieder regeneriert.    SP 12",0x1210f,99,Fina convoca a la Luna de Plata y bendice a cada\\nmiembro del grupo con la Regeneración.     12 PE,0x12156,94,Fina appelle la Lune Argent et bénit chaque\\nmembre du groupe avec Régénération.        ES 12,0x11d62,99,Fina calls upon the Silver Moon and blesses each\\nparty member with Regeneration.            SP 12
55,0x802c64f4,0x1ce3a,14,Mondreinigung,0x1ca9f,17,Liberación Lunar,0x1cd1c,16,Lune Purifiante,0x1c4f8,16,Lunar Cleansing,6,Neutral,0,322,0x2,"",X,"",30,Rem. Neg. States,2,All PCs,2,Fina,2,6,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x12457,95,Silver Moonlight befreit alle Verbündeten von\\nallem Negativen außer Bewusstlosigkeit.    SP 6,0x12172,99,La Luz de Luna libera a los aliados de todos los\\nefectos adversos menos de la Inconsciencia. 6 PE,0x121b4,91,La Lune d'argent purifie tous les alliés\\ndes effets néfastes sauf l'Inconscience.    ES 6,0x11dc5,94,Silver Moonlight cleanses all allies of any\\nadverse effects except Unconscious.         SP 6
56,0x802c6504,0x1ce48,10,Mondlicht,0x1cab0,10,Luz Lunar,0x1cd2c,16,Lumière Lunaire,0x1c508,12,Lunar Light,6,Neutral,0,324,0x2,"",X,"",47,"Recover HP & MP, Rem. Neg. States",2,All PCs,2,Fina,2,18,0,0,10000,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x124b6,97,Hebt alle negativen Effekte auf und stellt die\\nvollen HP aller Verbündeten wieder her.    SP 18,0x121d5,92,"Revive, cura todos los efectos adversos y\\nrepone toda la Salud de todos los aliados. 18 PE",0x1220f,98,"Réanime, guérit de tous les effets néfastes, et\\nredonne tous les PV aux alliés.            ES 18",0x11e23,90,"Revives, cures all adverse effects, and\\ncompletely restores all HP of all allies.  SP 18"
57,0x802c6510,0x1ce52,16,Spirit aufladen,0x1caba,15,Doble Espíritu,0x1cd3c,14,Concentration,0x1c514,14,Spirit Charge,6,Neutral,0,331,0x2,"",X,"",41,"Guard, Incr. SP Restor. 200%",5,Self,3,Drachma,2,0,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x12517,96,"Drachma geht in sich, verdoppelt seinen Spirit\\nund wehrt Angriffe ab.                     SP 0",0x12231,98,Drachma se concentra hasta doblar sus puntos de\\nEspíritu para defenderse de los ataques.    0 PE,0x12271,92,"Drachma se concentre, doublant ses points\\nd'Esprit et se défend contre les attaques.  ES 0",0x11e7d,93,"Drachma focuses inward, doubling his Spirit\\npoints and defending against attacks.      SP 0"
58,0x802c6520,0x1ce62,13,Rechtsschild,0x1cac9,17,Escudo Defensivo,0x1cd4a,17,Bouclier Justice,0x1c522,15,Justice Shield,6,Neutral,0,341,0x2,"",X,"",1,Guard,2,All PCs,4,Enrique,2,4,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x12577,96,Erzeugt Schutzschild für eine Runde. Reduziert\\nphysische Schäden auf die Hälfte.          SP 4,0x12293,95,Crea una barrera defensiva durante un turno.\\nTodo daño recibido se reduce a la mitad.    4 PE,0x122cd,99,Crée une barrière défensive pendant 1 tour. Tous\\nles dégâts physiques diminuent de moitié.   ES 4,0x11eda,95,Creates a defensive barrier for one turn. All\\nphysical damage received is cut in half.   SP 4
59,0x802c6530,0x1ce6f,11,Schutzaura,0x1cada,17,Aura de Renuncia,0x1cd5b,17,Aura Protectrice,0x1c531,15,Aura of Denial,6,Neutral,0,351,0x2,"",X,"",42,Block Neg. States,2,All PCs,5,Gilder,2,3,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x125d7,83,Schützt eine Runde lang vor allen\\nnegativen Effekten.                        SP 3,0x122f2,96,Crea una barrera durante un turno que bloquea\\ntodos los efectos negativos.                3 PE,0x12330,97,Crée une barrière pendant un tour pour bloquer\\nuniquement tous les effets néfastes.        ES 3,0x11f39,96,Creates a barrier for one turn that blocks all\\nadverse (and only adverse) effects.        SP 3
60,0x802c6540,0x1ce7a,12,Blue Rogues,0x1caeb,16,Bandidos Azules,0x1cd6c,14,Voleurs Bleus,0x1c540,12,Blue Rogues,6,Neutral,0,-1,0x2,"",X,"",66,Blue Rogues,6,All PCs and ECs,0,Vyse,-1,-1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x1262a,88,Vereinigt alle aktiven Mitglieder der\\nDelphinus-Crew. Ändert sich mit der Crew.SP ALLE,0x12352,95,Convoca a los miembros de la tripulación del\\nDelphinus. El ataque depende de ellos.  TODOS PE,0x12391,94,Appelle les membres actifs de l'équipage du\\nDelphinus. Attaque varie selon équipage. ES TOUS,0x11f99,94,Summons all active members of the Delphinus\\ncrew. Attack varies depending on crew.    SP ALL
61,0x802c654c,0x1ce86,13,Prophezeiung,0x1cafb,9,Profecía,0x1cd7a,9,Prophecy,0x1c54c,9,Prophecy,6,Neutral,0,-1,0x2,"",X,"",65,Prophecy,4,All ECs,0,Vyse,1,-1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x12682,98,Alle vier Gruppenmitglieder rufen mit vereinten\\nKräften eine altertümliche Macht an.     SP ALLE,0x123b1,95,Combina el poder de los 4 miembros del grupo\\npara convocar un poder ancestral.       TODOS PE,0x123ef,95,Concentre le pouvoir des 4 membres du groupe\\npour invoquer un pouvoir ancien.         ES TOUS,0x11ff7,95,Combines the power of all 4 party members to\\ncall upon an ancient power.               SP ALL
