Entry ID,EU Message ID,[DE Entry Name Pos],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos],[GB Entry Name Size],GB Entry Name,Occasion Flags,[M],[B],[S],Ship Eff ID,[Ship Eff Name],Ship Eff Turns,Consume%,Buy,Sell%,Ord by 123,EU Ord by ABC,Pad 1,Pad 2,Pad 3,Ship Eff Base,Element ID,[Element Name],Unk 1,Unk 2,Hit%,[DE Descr Pos],[DE Descr Size],DE Descr Str,[ES Descr Pos],[ES Descr Size],ES Descr Str,[FR Descr Pos],[FR Descr Size],FR Descr Str,[GB Descr Pos],[GB Descr Size],GB Descr Str
490,0x802d5aa0,0x1ec88,11,Repair Kit,0x1ea54,15,Eq. Reparación,0x1ec82,15,Kit réparation,0x1e2f0,11,Repair Kit,0x5,X,"",X,100,Recover HP,-1,100,30,50,10,22,0,0,0,400,0,Green,0,0,0,0x1af1a,84,Material zum Reparieren von geringen Schäden am\\nSchiff. Stellt 4000 HP wieder her.,0x1ab5d,84,Materiales que reparan pequeños daños en\\nel navío. Restaura 4000 puntos de Salud. ,0x1acea,80,Matériel de réparation pour des dégâts mineurs\\nsur le navire. Redonne 4000 PV.,0x1a6d2,67,"Repair materials for minor damage to the ship.\\nRestores 4,000 HP."
491,0x802d5aac,0x1ec93,11,Deluxe Kit,0x1ea63,14,Equipo Deluxe,0x1ec91,12,Kit de luxe,0x1e2fb,11,Deluxe Kit,0x5,X,"",X,100,Recover HP,-1,100,75,50,11,8,0,0,0,800,0,Green,0,0,0,0x1af6e,84,Material zum Reparieren von geringen Schäden am\\nSchiff. Stellt 8000 HP wieder her.,0x1abb1,79,Materiales que reparan el deterioro del\\nnavío. Restaura 8000 puntos de Salud.,0x1ad3a,80,Matériel de réparation pour des dégâts mineurs\\nsur le navire. Redonne 8000 PV.,0x1a715,70,"Repair materials for moderate damage to the\\nship. Restores 8,000 HP."
492,0x802d5ab8,0x1ec9e,10,Magic Kit,0x1ea71,14,Equipo Mágico,0x1ec9d,12,Kit Magique,0x1e306,10,Magic Kit,0x5,X,"",X,100,Recover HP,-1,100,0,50,12,19,0,0,0,0,0,Green,0,0,0,0x1afc2,89,"Reparaturmaterial, das mit Green Moon-Staub\\nvermischt wurde. Stellt alle HP wieder her.",0x1ac00,92,"Materiales de reparación con Polvo de Luna\\nVerde, muy efectivos y restauran toda la Salud.",0x1ad8a,96,Kit de réparation avec de la poussière de Lune\\nVerte pour plus de puissance. Rend tous les PV.,0x1a75b,93,Repair materials mixed with Green Moon Dust\\nfor greater restorative power. Restores all HP.
493,0x802d5ac4,0x1eca8,13,Complete Kit,0x1ea7f,16,Equipo Completo,0x1eca9,12,Kit Complet,0x1e310,13,Complete Kit,0x5,X,"",X,101,Recover HP by 100%,-1,100,300,50,13,5,0,0,0,0,0,Green,0,0,0,0x1b01b,95,Materialien hoher Qualität zum Reparieren mit\\nreinen Moon Stones. Stellen alle HP wieder her.,0x1ac5c,95,"Materiales de reparación de gran calidad, con\\nPiedras Lunares puras. Restauran toda la Salud.",0x1adea,95,Matériel de réparation de qualité qui utilise\\ndes Pierres de Lune pures. Redonne tous les PV.,0x1a7b8,72,High-quality repair materials using pure\\nMoon Stones. Restores all HP.
494,0x802d5ad4,0x1ecb5,12,Gear Grease,0x1ea8f,17,Grasa de Marchas,0x1ecb5,17,Huile de Vitesse,0x1e31d,12,Gear Grease,0x1,"","",X,102,Recover SP,-1,100,500,50,14,11,0,0,0,10,0,Green,0,0,0,0x1b07a,97,"Reduziert Reibung in der Gangschaltung, was die\\nKraftübertragung verbessert. Stellt Spirit her.",0x1acbb,78,"Reduce la fricción de las marchas, y\\nmejora la movilidad. Restaura Espíritu.",0x1ae49,95,"Réduit la friction des vitesses, améliorant le\\ntransfert de puissance. Rend de l'Esprit (ES).",0x1a800,75,"Reduces friction in the gears, improving power\\ntransfer. Restores Spirit."
495,0x802d5ae0,0x1ecc1,15,Thermal Grease,0x1eaa0,14,Grasa Térmica,0x1ecc6,15,Thermo-graisse,0x1e329,15,Thermal Grease,0x1,"","",X,103,Recover SP by 100%,-1,100,1000,50,15,27,0,0,0,0,0,Green,0,0,0,0x1b0db,95,Verhindert Hochgeschwindigkeits-Pannen aufgrund\\nvon Hitze. Stellt Spirit komplett wieder her.,0x1ad09,94,Previene las averías producidas por la fricción\\na gran velocidad. Restaura todo el Espíritu.,0x1aea8,76,Evite les pannes de chaleur dûes à la\\nvitesse. Redonne tout l'Esprit (ES).,0x1a84b,78,Prevents heat-related breakdowns at high speeds.\\nRestores Spirit completely.
496,0x802d5af0,0x1ecd0,17,Captain's Stripe,0x1eaae,17,Galón de Capitán,0x1ecd5,7,Galon ,0x1e338,17,Captain's Stripe,0x4,X,"","",115,Grow All Attr,-1,100,0,50,16,4,0,0,0,0,0,Green,0,0,0,0x1b13a,90,Auszeichnung für das Abschießen eines Feindes.\\nVerbessert Schiffsparameter und Ausdauer.,0x1ad67,91,"Ganado al abatir a un enemigo. Si se usa,\\naumenta los parámetros y resistencia del navío.",0x1aef4,89,Galon obtenu en abattant un ennemi. Il accroît\\nles paramètres et l'endurance du navire.,0x1a899,96,A mark earned by shooting down an enemy. Using\\nit will increase ship parameters and endurance.
497,0x8034ff1c,0x1ece1,8,Apa Wax,0x1eabf,9,Cera Apa,0x1ecdc,9,Cire Apa,0x1e349,8,Apa Wax,0x1,"","",X,105,Incr Attack + Defense,2,100,100,50,17,0,0,0,0,0,0,Green,0,0,0,0x1b194,88,Auftragen auf Schiff und Kanonen verbessert\\nAttack und Defense Power für 2 Durchgänge.,0x1adc2,94,Al aplicar esta cera al navío y cañones mejora\\nel poder de Ataque y de Defensa por 2 turnos.,0x1af4d,93,Appliquer cette cire au navire et aux canons\\naugmente l'Attaque et la Défense pour 2 tours.,0x1a8f9,90,Applying this wax to the ship and cannons\\nimproves Attack and Defense Power for 2 turns.
498,0x8034ff24,0x1ece9,8,Apo Wax,0x1eac8,9,Cera Apo,0x1ece5,10,Cire Apo ,0x1e351,8,Apo Wax,0x1,"","",X,105,Incr Attack + Defense,4,100,1000,50,18,1,0,0,0,0,0,Green,0,0,0,0x1b1ec,88,Auftragen auf Schiff und Kanonen verbessert\\nAttack und Defense Power für 4 Durchgänge.,0x1ae20,94,Al aplicar esta cera al navío y cañones mejora\\nel poder de Ataque y de Defensa por 4 turnos.,0x1afaa,93,Appliquer cette cire au navire et aux canons\\naugmente l'Attaque et la Défense pour 4 tours.,0x1a953,90,Applying this wax to the ship and cannons\\nimproves Attack and Defense Power for 4 turns.
499,0x802d5b04,0x1ecf1,10,Speed Wax,0x1ead1,15,Cera Velocidad,0x1ecef,13,Cire Vitesse,0x1e359,10,Speed Wax,0x1,"","",X,104,Incr Quick,1,100,150,50,19,26,0,0,0,0,0,Green,0,0,0,0x1b244,88,Auftragen dieses Wachses auf den Motor ver-\\nbessert die Motorleistung für 1 Durchgang.,0x1ae7e,82,Al aplicar esta cera al motor mejora el\\nfuncionamiento de éste durante 1 turno. ,0x1b007,72,Appliquer cette cire au moteur améliore son\\nrendement pendant un tour.,0x1a9ad,68,Applying this wax to the engine improves engine\\noutput for 1 turn.
500,0x802d5b10,0x1ecfb,11,Hybrid Wax,0x1eae0,13,Cera Híbrida,0x1ecfc,13,Cire Hybride,0x1e363,11,Hybrid Wax,0x1,"","",X,108,Incr All Attr,4,100,1500,50,20,15,0,0,0,0,0,Green,0,0,0,0x1b29c,91,Von De Loco entwickeltes Wachs. Verbessert\\nverschiedene Schiffsparameter für 1 Durchgang.,0x1aed0,84,Cera desarrollada por De Loco. Mejora\\nvarios parámetros del navío durante 1 turno.,0x1b04f,84,Cire développée par De Loco. Améliore divers\\nparamètres du navire pendant un tour.,0x1a9f1,72,Wax developed by De Loco. Improves\\nvarious ship parameters for 1 turn.
501,0x802d5b1c,0x1ed06,12,Heat Sensor,0x1eaed,16,Sensor de Calor,0x1ed09,16,Capteur Chaleur,0x1e36e,12,Heat Sensor,0x1,"","",X,112,Incr Critical%,0,100,2000,50,21,13,0,0,0,0,0,Green,0,0,0,0x1b2f7,92,Ermittelt Maschinenraum von Feindschiffen zum\\nbesseren Anpeilen. Erhöht Critical Hit Rate.,0x1af24,93,Detecta la sala de máquinas del navío enemigo\\npara disparar. Aumenta los Aciertos Críticos.,0x1b0a3,98,Détecte le moteur des navires ennemis pour aider\\nles canonniers à cibler. Plus de Coups mortels.,0x1aa39,92,Detects the engine room of enemy ships to help\\nyour gunners aim. Raises Critical Hit Rate.
502,0x802d5b28,0x1ed12,14,Rudder Grease,0x1eafd,15,Grasa de Timón,0x1ed19,17,Graisse Gouverne,0x1e37a,14,Rudder Grease,0x1,"","",X,113,Consume SP by 50%,0,100,2000,50,22,23,0,0,0,0,0,Green,0,0,0,0x1b353,66,Verbessert die Steuerung und setzt Spirit-\\nVerbrauchsrate herab.,0x1af81,72,Mejora el funcionamiento del timón\\ny disminuye el consumo de Espíritu.,0x1b105,89,Améliore la manipulation du gouvernail et\\nralentit le taux de consommation de l'Esprit.,0x1aa95,70,"Improves rudder operation, and slows the rate\\nof Spirit consumption."
503,0x802d5b38,0x1ed20,12,Machine Oil,0x1eb0c,16,Aceite de Motor,0x1ed2a,17,Huile de Machine,0x1e388,12,Machine Oil,0x1,"","",X,114,Recover SP by 200%,0,100,2000,50,23,17,0,0,0,0,0,Green,0,0,0,0x1b395,94,Maschinenteile ölen stabilisiert die Leistung\\nund verdoppelt die Rate der Spirit-Erneuerung.,0x1afc9,97,Al aplicarlo a las piezas del motor estabiliza\\nla potencia y dobla la restauración de Espíritu.,0x1b15e,93,Appliquer l'huile sur le moteur le stabilise et\\ndouble son taux de restoration de l'Esprit.,0x1aadb,94,"Applying oil to the engine parts stabilizes\\noutput, doubling the rate of Spirit restoration."
504,0x802d5b44,0x1ed2c,12,Light Alloy,0x1eb1c,16,Aleación Ligera,0x1ed3b,14,Alliage Léger,0x1e394,12,Light Alloy,0x1,"","",X,111,Incr First Strike%,0,100,2000,50,24,16,0,0,0,0,0,Green,0,0,0,0x1b3f3,92,"Legierungen machen den Schiffsrumpf leichter.\\ngang, entwickelt von einem Meisteringenieur.",0x1b02a,94,Aleación del casco del navío que lo hace más\\nligero. Aumenta la posibilidad de Primer Golpe.,0x1b1bb,99,Alliage qui s'intègre à la coque pour alléger le\\nnavire. Accroît les chances de tirer en premier.,0x1ab39,90,Alloy blends with the ship's hull to make it\\nlighter. Improves chances for first strike.
505,0x802d5b50,0x1ed38,10,Hex Shell,0x1eb2c,16,Escudo Benéfico,0x1ed49,14,Bouclier Sort,0x1e3a0,10,Hex Shell,0x1,"","",X,109,Block Attack,0,100,5000,50,25,14,0,0,0,0,0,Green,0,0,0,0x1b44f,83,"Barriere gegen Artillerie für 1 Durchgang,\\nentwickelt von einem Meisteringenieur.",0x1b088,90,Escudo que protege de ataques de artillería\\npor 1 turno. Hecha por un maestro ingeniero.,0x1b21e,92,"Barrière contre les attaques d'artillerie pour\\n1 tour, développée par un maître ingénieur.",0x1ab93,82,"A barrier against artillery attacks for 1 turn,\\ndeveloped by a master engineer. "
506,0x802d5b5c,0x1ed42,12,Magic Shell,0x1eb3c,16,Escudo de Magia,0x1ed57,15,Bouclier Magie,0x1e3aa,12,Magic Shell,0x1,"","",X,110,Block Magic,0,100,2500,50,26,20,0,0,0,0,0,Green,0,0,0,0x1b4a2,82,"Abwehr magischer Angriffe für 1 Durchgang,\\nentwickelt von einem Meisterzauberer.",0x1b0e2,90,Barrera que protege de los ataques de magia\\ndurante 1 turno. Creado por un maestro mago.,0x1b27a,90,"Barrière contre les attaques de magie pendant\\n1 tour, développée par un maître magicien.",0x1abe5,77,"A barrier against magic attacks for 1 turn,\\ndeveloped by a master magician."
507,0x802d5b68,0x1ed4e,13,Gold Bullion,0x1eb4c,15,Lingote de Oro,0x1ed66,12,Lingot d'Or,0x1e3b6,13,Gold Bullion,0x0,"","","",-1,None,-1,-1,10000,100,27,12,0,0,0,0,0,Green,0,0,0,0x1b4f4,82,"Reines Gold, zu schwer zum Tragen. Man kann\\nes verkaufen, wenn man Geld braucht.",0x1b13c,86,"Pieza de oro macizo, demasiado grande para \\nacarrear. Guárdala o véndela por dinero.",0x1b2d4,91,Lingot d'or pur trop lourd à porter. Gardez-le\\nou vendez-le si vous avez besoin d'argent.,0x1ac32,93,"A piece of solid gold, too big to carry. You can\\nkeep it, or sell it if you need the money."
508,0x802d5b78,0x1ed5b,13,Crystal Ball,0x1eb5b,16,Bola de Cristal,0x1ed72,17,Boule de Cristal,0x1e3c3,13,Crystal Ball,0x0,"","","",-1,None,-1,-1,1000,100,28,7,0,0,0,0,0,Green,0,0,0,0x1b546,95,"Kunstwerk von einem bekannten Handwerker. Zum\\nBehalten oder Verkaufen, wenn man Geld braucht.",0x1b192,79,Obra de un célebre artesano. Puedes\\nguardarla o venderla si necesitas dinero.,0x1b32f,92,Oeuvre d'art d'un artisan très connu. Gardez-la\\nou vendez-la si vous avez besoin d'argent.,0x1ac8f,93,"A work of art by a well-known craftsman. You can\\nkeep it, or sell it if you need the money."
509,0x802d5b88,0x1ed68,13,Magic Cannon,0x1eb6b,13,Cañón Mágico,0x1ed83,14,Canon Magique,0x1e3d0,13,Magic Cannon,0x0,"","","",-1,None,-1,-1,0,0,29,18,0,0,0,0,0,Green,0,0,0,0x1b5a5,94,"Kanone, die magische Geschosse abfeuert. Von\\nBelleza im Kampf über der Nasr Wüste entwendet.",0x1b1e1,89,Dispara proyectiles mágicos. Robado a Belleza\\nen una batalla sobre el desierto de Nasr.,0x1b38b,94,Dispositif lançant des projectiles magiques.\\nPris à Belleza dans la bataille du désert Nasr.,0x1acec,95,A device that fires magic projectiles. Stolen\\nfrom Belleza in a battle above the Nasr desert.
