Entry ID,EU SOT Pos,[Entry GB Name],PC Flags,[V],[A],[F],[D],[E],[G],Sell%,EU Order 1,EU Order 2,Buy,Trait 1 ID,[Trait 1 Name],Pad 1,Trait 1 Value,Trait 2 ID,[Trait 2 Name],Pad 2,Trait 2 Value,Trait 3 ID,[Trait 3 Name],Pad 3,Trait 3 Value,Trait 4 ID,[Trait 4 Name],Pad 4,Trait 4 Value,Pad 5,Pad 6,[GB Descr Str]
170,0x8c34700c,Marocca's Shell,0b00110101,X,X,"",X,"",X,50,10,32,130,17,Defense,0,6,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"The shell of a large primitive crustacean.
Improves Defense."
171,0x8c34701c,Burocca's Shell,0b00110101,X,X,"",X,"",X,50,11,6,1920,17,Defense,0,36,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"The shell of a Burocca, even harder than that
of the Marocca. Improves Defense."
172,0x8c34702c,Crylhound's Claw,0b00110101,X,X,"",X,"",X,50,12,13,420,19,Hit%,0,20,16,Attack,0,2,-1,None,0,0,-1,None,0,0,0,0,"A weapon modification used by Valuan Soldiers.
Improves Hit%, and Attack Power."
173,0x8c347040,Hunter's Hand,0b00110101,X,X,"",X,"",X,50,13,25,1010,19,Hit%,0,40,16,Attack,0,4,-1,None,0,0,-1,None,0,0,0,0,"A gauntlet worn by Ixa'takan men while hunting. 
Improves Hit% and Attack Power."
174,0x8c347050,Thief's Aura,0b00111101,X,X,X,X,"",X,50,14,54,330,20,Dodge%,0,10,17,Defense,0,2,-1,None,0,0,-1,None,0,0,0,0,"A ring with a black stone that improves the
wearer's Dodge% and Defense."
175,0x8c347060,Quetya Feather,0b00111101,X,X,X,X,"",X,50,15,40,810,20,Dodge%,0,20,17,Defense,0,4,-1,None,0,0,-1,None,0,0,0,0,"A feather ornament imbued with the power of the
Quetya. Improves Dodge% and Defense."
176,0x8c347070,Vigoro's Chain,0b00100101,X,"","",X,"",X,50,17,58,2890,16,Attack,0,20,19,Hit%,0,30,-1,None,0,0,-1,None,0,0,0,0,"Vigoro's idea of a fashion statement. Improves
Hit% and Attack Power."
177,0x8c347080,Sailor's Buckler,0b00110111,X,X,"",X,X,X,50,18,43,1930,17,Defense,0,20,20,Dodge%,0,15,-1,None,0,0,-1,None,0,0,0,0,"A light, but small shield worn by sailors.
Improves Dodge% and Defense."
178,0x8c347094,Warrior's Rune,0b00111001,X,X,X,"","",X,100,19,60,10,16,Attack,0,10,17,Defense,0,10,19,Hit%,0,20,20,Dodge%,0,10,0,0,"A ring with mystic engravings. Increases Attack
Power, Defense, Hit% and Dodge%."
179,0x8c3470a4,Ancient Bracer,0b00110101,X,X,"",X,"",X,100,20,0,10,16,Attack,0,20,17,Defense,0,20,19,Hit%,0,40,20,Dodge%,0,20,0,0,"A bracer used by ancient gladiators. Improves
Attack Power, Defense, Hit% and Dodge%."
180,0x8c3470b4,Counter Bracer,0b00110101,X,X,"",X,"",X,100,21,10,10,73,Counter%,0,20,16,Attack,0,20,19,Hit%,0,20,-1,None,0,0,0,0,"Improves physical attributes slightly, as well
as Counterattacking, Attack Power and Hit%."
181,0x8c3470c4,Defensive Aura,0b00111111,X,X,X,X,X,X,100,22,15,10,65,Block Attack,0,1,17,Defense,0,40,-1,None,0,0,-1,None,0,0,0,0,"Renders the wearer invulnerable to normal
Attacks, and improves Defense as well."
182,0x8c3470d4,Ivy Band,0b00111111,X,X,X,X,X,X,100,23,28,100,48,Poison,0,-10,32,Green,0,-2,17,Defense,0,5,18,MagDef,0,5,0,0,"Boosts Defense & Magic Defense, especially to
Green Magic, & protects against Poison."
183,0x8c3470e0,Silvite Ring,0b00111111,X,X,X,X,X,X,100,30,47,100,49,Unconscious,0,-10,37,Silver,0,-2,17,Defense,0,5,18,MagDef,0,5,0,0,"Boosts Defense & Magic Defense, especially to
Silver Magic, & protects against Death."
184,0x8c3470f0,Gem of Fluidity,0b00111111,X,X,X,X,X,X,100,29,21,100,50,Stone,0,-10,17,Defense,0,10,18,MagDef,0,10,-1,None,0,0,0,0,"Boosts Defense & Magic Defense, & protects
against Stone."
185,0x8c347100,Wind Gem Ring,0b00111111,X,X,X,X,X,X,100,24,62,100,51,Sleep,0,-10,35,Blue,0,-2,17,Defense,0,5,18,MagDef,0,5,0,0,"Boosts Defense & Magic Defense, especially to
Blue Magic, & protects against Sleep."
186,0x8c347110,Eye of Truth,0b00111111,X,X,X,X,X,X,100,25,18,100,52,Confusion,0,-10,34,Purple,0,-2,17,Defense,0,5,18,MagDef,0,5,0,0,"Boosts Defense & Magic Defense, especially to
Purple Magic, & protects against Confusion."
187,0x8c347120,Revered Voice,0b00111111,X,X,X,X,X,X,100,26,42,100,53,Silence,0,-10,34,Purple,0,-2,17,Defense,0,5,18,MagDef,0,5,0,0,"Boosts Defense & Magic Defense, especially to
Purple Magic, & protects against Silence."
188,0x8c347130,Everlasting Gem,0b00111111,X,X,X,X,X,X,100,28,17,100,54,Fatigue,0,-10,17,Defense,0,10,18,MagDef,0,10,-1,None,0,0,0,0,"Boosts Defense & Magic Defense, & protects
against Fatigue. "
189,0x8c347140,Behemoth's Ring,0b00111111,X,X,X,X,X,X,100,27,2,100,56,Weak,0,-10,36,Yellow,0,-2,17,Defense,0,5,18,MagDef,0,5,0,0,"Boosts Defense & Magic Defense, especially to
Yellow Magic, & protects against Weak."
190,0x8c347150,Constitution Gem,0b00111111,X,X,X,X,X,X,100,31,9,1000,79,Block Neg States,0,-10,17,Defense,0,10,18,MagDef,0,10,-1,None,0,0,0,0,"A miraculous stone that prevents all adverse
effects, and boosts Defense & Magic Defense."
191,0x8c347164,Nomadic Veil,0b00111111,X,X,X,X,X,X,50,34,37,640,17,Defense,0,9,18,MagDef,0,9,-1,None,0,0,-1,None,0,0,0,0,"A veil worn by tribes of nomads in Nasr.
Improves Defense and Magic Defense."
192,0x8c347174,Radiant Fur,0b00111111,X,X,X,X,X,X,50,39,41,3580,17,Defense,0,24,18,MagDef,0,24,-1,None,0,0,-1,None,0,0,0,0,"A thick fur, designed to protect sailors from 
the cold. Improves Defense and Magic Defense."
193,0x8c347180,Sand Storm Ring,0b00111111,X,X,X,X,X,X,50,35,44,770,16,Attack,0,9,1,Will,0,9,-1,None,0,0,-1,None,0,0,0,0,"An enchanted ring worn by desert nomads.
Improves Attack Power and Will."
194,0x8c347190,Skull Cap,0b00111111,X,X,X,X,X,X,50,40,48,4300,16,Attack,0,24,1,Will,0,24,-1,None,0,0,-1,None,0,0,0,0,"A unique hat sometimes worn by Eastern Air
Pirates. Improves Attack Power & Will."
195,0x8c34719c,Mage's Bane,0b00111111,X,X,X,X,X,X,50,33,31,480,17,Defense,0,4,18,MagDef,0,4,16,Attack,0,4,1,Will,0,4,0,0,"A helm that increases the wearer's Attack,
Defense,Will,and Magic Defense."
196,0x8c3471a8,Blue Rogue Patch,0b00111111,X,X,X,X,X,X,50,41,5,6820,17,Defense,0,18,18,MagDef,0,18,16,Attack,0,18,1,Will,0,18,0,0,"Can be worn to show determination. Improves
Attacks, Defense, Will and Magic Defense."
197,0x8c3471bc,Assassin Ring,0b00111111,X,X,X,X,X,X,50,36,1,3200,80,PC 1st Strike%,0,40,19,Hit%,0,40,-1,None,0,0,-1,None,0,0,0,0,"A ring crafted in Nasr. Improves chances for
a First Strike, and Hit%."
198,0x8c3471cc,Stealth Ring,0b00111111,X,X,X,X,X,X,50,37,51,3000,81,PC Run%,0,100,4,Quick,0,10,20,Dodge%,0,10,-1,None,0,0,0,0,"A ring that improves Agile and Dodge%. In
most cases, you can run away 100% of the time."
199,0x8c3471dc,Dhabu Hide,0b00111111,X,X,X,X,X,X,50,38,16,2800,4,Quick,0,50,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"A folded piece of cured Dhabu hide, used as a
armor."
200,0x8c3471e8,Ominous Mask,0b00100101,X,"","",X,"",X,50,42,38,4760,68,Reduce SP,0,1,16,Attack,0,75,17,Defense,0,75,-1,None,0,0,0,0,"Gives a large boost to Attack Power and Defense,
but reduces the party's Spirit to zero."
201,0x8c3471f8,Flash Ribbon,0b00011101,"",X,X,X,"",X,50,43,19,60,4,Quick,0,2,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"An enchanted Ribbon that improves Aika's
Quick."
202,0x8c347208,The Unseen Hand,0b00011101,"",X,X,X,"",X,50,44,52,2960,4,Quick,0,30,20,Dodge%,0,5,-1,None,0,0,-1,None,0,0,0,0,"An enchantment that enables a warrior to Attack
faster, and avoid enemies."
203,0x8c347218,Crescent Amulet,0b00011101,"",X,X,X,"",X,50,45,11,5710,4,Quick,0,19,17,Defense,0,28,18,MagDef,0,28,-1,None,0,0,0,0,"A magic amulet, in the form of a Crescent Moon.
Improves Quick, Defense and Magic Defense."
204,0x8c347228,Skyseer Goggles,0b00110000,X,X,"","","","",50,46,49,40,19,Hit%,0,5,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"A pair of goggles that can zoom in on distant
targets. Improves Hit%."
205,0x8c347238,Nocturnal Sight,0b00110000,X,X,"","","","",50,47,36,1930,19,Hit%,0,60,16,Attack,0,6,-1,None,0,0,-1,None,0,0,0,0,"An enchantment that allows a fighter to detect
targets at night."
206,0x8c347248,Critical Vision,0b00110000,X,X,"","","","",50,48,12,6660,19,Hit%,0,50,16,Attack,0,19,1,Will,0,19,-1,None,0,0,0,0,"An enchantment that allows a fighter to detect
an enemy's weak points."
207,0x8c347258,Gem of Purity,0b00000101,"","","",X,"",X,50,49,22,300,79,Block Neg States,0,-3,17,Defense,0,8,-1,None,0,0,-1,None,0,0,0,0,"An enchanted gem that protects the bearer.
Boosts Defense & Resistance to Adverse Effects."
208,0x8c347268,Shard of Purity,0b00000101,"","","",X,"",X,50,51,45,4760,79,Block Neg States,0,-9,17,Defense,0,38,-1,None,0,0,-1,None,0,0,0,0,"An enchanted Moon Shard that protects the wearer
from Adverse Effects, and improves Defense."
209,0x8c347278,Fortune Ring,0b00011000,"",X,X,"","","",50,16,20,2860,20,Dodge%,0,100,17,Defense,0,8,-1,None,0,0,-1,None,0,0,0,0,"A mysterious ring that allows the wearer to
avoid most normal Attacks. Improves Defense."
210,0x8c347288,Black Map,0b00100000,X,"","","","","",100,56,4,777,84,Random Encounter%,0,100,80,PC 1st Strike%,0,25,82,EC 1st Strike%,0,0,83,EC Run%,0,0,0,0,"A map that leads enemy creatures to the holder.
Also improves chances for First Strike."
211,0x8c347294,White Map,0b00100000,X,"","","","","",100,57,61,666,84,Random Encounter%,0,5,80,PC 1st Strike%,0,0,82,EC 1st Strike%,0,0,81,PC Run%,0,100,0,0,"A map that leads the holder away from enemies.
Also improves chances of running away."
212,0x8c3472a0,Captain's Hat,0b00100000,X,"","","","","",100,61,7,10,16,Attack,0,80,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"A hat given to Vyse by the Delphinus' crew. 
It improves Attack Power."
213,0x8c3472b0,Mesh Tights,0b00010000,"",X,"","","","",100,62,34,10,16,Attack,0,40,1,Will,0,40,-1,None,0,0,-1,None,0,0,0,0,"Given to Aika by a secret admirer. Magic Cloth.
Improves Attack Power and Will."
214,0x8c3472bc,Black Eyepatch,0b00100101,X,"","",X,"",X,100,52,3,10,16,Attack,0,7,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"Drachma's old leather eyepatch, made from the
hide of a wild beast. Increases Attack Power."
215,0x8c3472cc,Silver Veil,0b00011000,"",X,X,"","","",100,53,46,100,1,Will,0,16,18,MagDef,0,16,-1,None,0,0,-1,None,0,0,0,0,"A mystic veil that protects the head. The
silver strands increase Will & Magic Defense."
216,0x8c3472d8,Imperial Crest,0b00000010,"","","","",X,"",100,55,27,1000,17,Defense,0,20,18,MagDef,0,20,-1,None,0,0,-1,None,0,0,0,0,"Given to protect members of the Royal Family.
Improves Defense and Magic Defense."
217,0x8c3472e8,Gilder's Amulet,0b00110001,X,X,"","","",X,100,54,24,500,17,Defense,0,11,18,MagDef,0,11,16,Attack,0,11,1,Will,0,11,0,0,"Worn around Gilder's neck. Improves Defense,
Magic Defense, Attack Power, and Will."
218,0x8c3472f8,Valuan Medallion,0b00111111,X,X,X,X,X,X,100,60,57,5000,49,Unconscious,0,-10,17,Defense,0,30,18,MagDef,0,30,-1,None,0,0,0,0,"Enchanted medallion worn by officers in the
Armada. Negates Eterni spells."
219,0x8c34730c,Immunity Ring,0b00000101,"","","",X,"",X,50,50,26,1490,79,Block Neg States,0,-6,17,Defense,0,21,-1,None,0,0,-1,None,0,0,0,0,"Sacred Ring. Boosts Defense and Resistance to
adverse effects."
220,0x8c34731c,Thermo Ring,0b00111111,X,X,X,X,X,X,50,58,53,2080,33,Red,0,-5,34,Purple,0,-5,-1,None,0,0,-1,None,0,0,0,0,"A ring that increases resistance to Red and 
Purple Attacks."
221,0x8c347328,Slayer Ring,0b00111111,X,X,X,X,X,X,50,59,50,1010,1,Will,0,8,17,Defense,0,8,19,Hit%,0,10,4,Quick,0,8,0,0,"Raises Defense, Hit%, Will, and Quick.
Its background is unknown."
222,0x8c347334,Chance Ring,0b00111111,X,X,X,X,X,X,100,32,8,1000,79,Block Neg States,0,90,17,Defense,0,75,18,MagDef,0,75,-1,None,0,0,0,0,"Boosts Defense and Magic Defense, but leaves
the wearer susceptible to adverse effects."
223,0x8c347340,DUMMYACCESARRY,0b00000000,"","","","","","",0,63,63,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"DUMMY
------"
224,0x8c347340,DUMMYACCESARRY,0b00000000,"","","","","","",0,64,64,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"DUMMY
------"
225,0x8c347340,DUMMYACCESARRY,0b00000000,"","","","","","",0,65,65,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"DUMMY
------"
226,0x8c347340,DUMMYACCESARRY,0b00000000,"","","","","","",0,66,66,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"DUMMY
------"
227,0x8c347340,DUMMYACCESARRY,0b00000000,"","","","","","",0,67,67,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"DUMMY
------"
228,0x8c347340,DUMMYACCESARRY,0b00000000,"","","","","","",0,68,68,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"DUMMY
------"
229,0x8c347340,DUMMYACCESARRY,0b00000000,"","","","","","",0,69,69,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"DUMMY
------"
230,0x8c347340,DUMMYACCESARRY,0b00000000,"","","","","","",0,70,70,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"DUMMY
------"
231,0x8c347340,DUMMYACCESARRY,0b00000000,"","","","","","",0,71,71,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"DUMMY
------"
232,0x8c347340,DUMMYACCESARRY,0b00000000,"","","","","","",0,72,72,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"DUMMY
------"
233,0x8c347340,DUMMYACCESARRY,0b00000000,"","","","","","",0,73,73,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"DUMMY
------"
234,0x8c347340,DUMMYACCESARRY,0b00000000,"","","","","","",0,74,74,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"DUMMY
------"
235,0x8c347340,DUMMYACCESARRY,0b00000000,"","","","","","",0,75,75,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"DUMMY
------"
236,0x8c347340,DUMMYACCESARRY,0b00000000,"","","","","","",0,76,76,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"DUMMY
------"
237,0x8c347340,DUMMYACCESARRY,0b00000000,"","","","","","",0,77,77,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"DUMMY
------"
238,0x8c347340,DUMMYACCESARRY,0b00000000,"","","","","","",0,78,78,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"DUMMY
------"
239,0x8c347340,DUMMYACCESARRY,0b00000000,"","","","","","",0,79,79,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,"DUMMY
------"
