Entry ID,EU Message ID,[Entry DE Name Pos],[Entry DE Name Size],Entry DE Name,[Entry ES Name Pos],[Entry ES Name Size],Entry ES Name,[Entry FR Name Pos],[Entry FR Name Size],Entry FR Name,[Entry GB Name Pos],[Entry GB Name Size],Entry GB Name,Sell%,Ord by 123,EU Ord by ABC,Pad 1,Buy,Pad 2,Pad 3,[DE Descr Pos],[DE Descr Size],DE Descr Str,[ES Descr Pos],[ES Descr Size],ES Descr Str,[FR Descr Pos],[FR Descr Size],FR Descr Str,[GB Descr Pos],[GB Descr Size],GB Descr Str
335,0x8c34787c,0x1af81,12,Schiffsplan,0x1ace6,16,Planos de barco,0x1b06b,17,Schéma du navire,0x1a835,16,Ship Schematics,0,28,26,0,0,0,0,0x15876,94,"Entwurf für ein Schiff, das in die Great Cloud\\nSea tauchen und in den Deep Sky abheben kann.",0x154ef,96,Proyecto de un barco que puede sumergirse bajo\\nel mar de Grandes Nubes e ir al Cielo Profundo.,0x156da,97,Plans permettant au navire de s'immerger sous le\\nGrand Océan et de monter dans le Ciel Profond.,0x1526d,85,Design for a ship that can submerge under the\\nGreat Cloud Sea and go into Deep Sky.
336,0x8c34788c,0x1af8d,15,Gonzales Karte,0x1acf6,17,Mapa de González,0x1b07c,15,Carte Gonzales,0x1a845,14,Gonzales' Map,0,21,9,0,0,0,0,0x158d4,99,"Karte, die auf den Überresten von Gonzales gefun\\n-den wurde. Sie wurde in zwei Hälften zerrissen.",0x1554f,94,Mapa encontrado junto a los restos de González.\\nParece que el mapa fue rasgado por la mitad.,0x1573b,89,Carte trouvée sur les restes du corps de\\nGonzales. Elle semble avoir été déchirée en 2.,0x152c2,88,Map found on the remains of Gonzales. It appears\\nthat the map has been ripped in half.
337,0x8c34789c,0x1af9c,13,Pedros Karte,0x1ad07,14,Mapa de Pedro,0x1b08b,15,Carte de Pedro,0x1a853,12,Pedro's Map,0,22,20,0,0,0,0,0x15937,96,"Karte, die von Pedro kam, als er in Nasrad war.\\nSie scheint in zwei Hälften zerrissen zu sein.",0x155ad,82,Mapa entregado por Pedro en Nasrad.\\nParece que el mapa fue rasgado por la mitad.,0x15794,90,Carte envoyée par Pedro quand il était à Nasrad.\\nElle semble avoir été déchirée en deux.,0x1531a,91,Map received from Pedro while in Nasrad. It\\nappears that the map has been ripped in half.
338,0x8c3478a8,0x1afa9,14,ALFONSO'S KEY,0x1ad15,14,ALFONSO'S KEY,0x1b09a,14,ALFONSO'S KEY,0x1a85f,14,ALFONSO'S KEY,0,39,35,0,0,0,0,0x15997,8,CUT.\\n ,0x155ff,8,CUT.\\n ,0x157ee,8,CUT.\\n ,0x15375,13,CUT.\\n------
339,0x8c3478bc,0x1afb7,15,Golden Man Eye,0x1ad23,15,Ojo del Hombre,0x1b0a8,16,Oeil Homme Doré,0x1a86d,17,Golden Man's Eye,0,16,8,0,0,0,0,0x1599f,95,"Ein herrliches orangefarbenes Juwel, das in das\\nAuge der Golden-Man-Statue eingelassen wurde.",0x15607,93,Bella gema de color naranja que estaba engarzada\\nen el ojo de la estatua del Hombre Dorado.,0x157f6,91,Belle pierre précieuse orange trouvée incrustée\\ndans l'oeil de la statue de l'Homme Doré.,0x15382,74,"A beautiful, orange gem found set into the eye\\nof the Golden Man statue."
340,0x8c3478d0,0x1afc6,15,Great Bird Eye,0x1ad32,15,Ojo del Pájaro,0x1b0b8,17,Oeil GrandOiseau,0x1a87e,17,Great Bird's Eye,0,17,11,0,0,0,0,0x159fe,80,"Ein herrliches blaues Juwel, das in das Auge\\ndes Great Bird eingelassen wurde.",0x15664,83,Preciosa gema de color azul que se encontró\\nincrustada en el ojo del Gran Pájaro.,0x15851,77,Belle pierre précieuse bleue trouvée incrustée\\ndans l'oeil du Grand Oiseau.,0x153cc,66,"A beautiful, blue gem found set into the eyes\\nof the Great Bird."
341,0x8c3478e4,0x1afd5,16,Roher Mondstein,0x1ad41,11,Roca Lunar,0x1b0c9,17,Pierre Lune Brut,0x1a88f,15,Raw Moon Stone,0,11,23,0,0,0,0,0x15a4e,89,"Ein Fels mit Mondsteinerz, der auf Shrine Island\\ngefunden wurde. Im Rohzustand nutzlos.",0x156b7,91,Roca con Piedra Lunar encontrada en la Isla de\\nShrine. Debe ser refinada antes de usarse.,0x1589e,93,Rocher contenant du minerai de Pierre de Lune\\ntrouvé sur l'île du Temple. Doit être traité.,0x1540e,83,A rock containing Moon Stone ore found on Shrine\\nIsland. Unusable unless refined.
342,0x8c3478f4,0x1afe5,14,Daccats Münze,0x1ad4c,17,Moneda de Daccat,0x1b0da,16,Pièce de Daccat,0x1a89e,14,Daccat's Coin,100,23,5,0,20000,0,0,0x15aa7,98,"Goldmünze, die vom großen Luftpiraten Daccat ge-\\nprägt wurde, trägt sein Symbol auf einer Seite.",0x15712,86,Moneda de oro acuñada por el gran Pirata Aéreo\\nDaccat. Lleva su símbolo en una cara.,0x158fb,91,"Pièce d'or monnayée par le grand pirate Daccat,\\nelle porte son symbole sur une des faces.",0x15461,85,"A gold coin minted by the great Air Pirate\\nDaccat, it bears his symbol on one side."
343,0x8c347904,0x1aff3,10,SISIKABAB,0x1ad5d,10,SISIKABAB,0x1b0ea,10,SISIKABAB,0x1a8ac,10,SISIKABAB,0,35,-1,0,0,0,0,0x15b09,12,CONVERT.\\n ,0x15768,12,CONVERT.\\n ,0x15956,12,CONVERT.\\n ,0x154b6,17,CONVERT.\\n------
344,0x8c347910,0x1affd,6,Kabal,0x1ad67,6,Kabal,0x1b0f4,6,Kabal,0x1a8b6,6,Kabal,0,32,15,0,0,0,0,0x15b15,74,"Fleisch eines Wüsten-Lasttiers, allseits als\\nsehr schmackhaft angesehen.",0x15774,74,Carne de un animal de carga desértico.\\nMuchos la consideren sabrosísima.,0x15962,89,"La viande d'une bête de somme du désert,\\ncertains trouvent qu'elle est très savoureuse.",0x154c7,82,"The meat of a desert beast of burden, it is\\nconsidered by many to be very tasty."
345,0x8c347918,0x1b003,7,Gentum,0x1ad6d,7,Gentum,0x1b0fa,7,Gentum,0x1a8bc,7,Gentum,0,33,7,0,500,0,0,0x15b5f,98,Aromatische Frucht aus dem nördlichen Nasr. Ge-\\nheimzutat bei der Zubereitung von Kabal-Spießen.,0x157be,88,Fragante fruta del Norte de Nasrad. Es un\\ningrediente secreto de la brocheta de Kabal.,0x159bb,92,Un fruit parfumé du nord de Nasr. Ingrédient\\nsecret pour préparer les brochettes de Kabal.,0x15519,86,A fragrant fruit from northern Nasr.\\nSecret ingredient used in making Kabal Skewers.
346,0x8c347920,0x1b00a,6,Khale,0x1ad74,6,Khale,0x1b101,6,Khale,0x1a8c3,6,Khale,0,34,16,0,0,0,0,0x15bc1,97,"Teures Gewürz, das im Osten angebaut wird. Geheim\\n-zutat bei der Zubereitung von Kabal-Spießen.",0x15816,93,"Preciada especia, que crece en el Este y es\\nun ingrediente secreto de la brocheta de Kabal.",0x15a17,94,Épice onéreuse cultivée dans l'Est. Ingrédient\\nsecret pour préparer les brochettes de Kabal.,0x1556f,88,"An expensive spice, grown in the East.\\nSecret ingredient used in making Kabal Skewers."
347,0x8c347928,0x1b010,14,CHO SISIKABAB,0x1ad7a,14,CHO SISIKABAB,0x1b107,14,CHO SISIKABAB,0x1a8c9,14,CHO SISIKABAB,0,36,-1,0,0,0,0,0x15c22,12,CONVERT.\\n ,0x15873,12,CONVERT.\\n ,0x15a75,12,CONVERT.\\n ,0x155c7,17,CONVERT.\\n------
348,0x8c34793c,0x1b01e,11,Valua-Pass,0x1ad88,17,Pasaporte Valuan,0x1b115,17,Passeport Valuan,0x1a8d7,16,Valuan Passport,0,13,29,0,0,0,0,0x15c2e,89,"Pass, der für den Zugang zum Valua-Reich not-\\nwendig ist. Geschenk eines Nasr-Händlers.",0x1587f,86,Pasaporte necesario para entrar en el Imperio\\nValuan. Un regalo de un mercader Nasr.,0x15a81,88,Passeport nécéssaire pour entrer dans l'empire\\nValuan. Offert par un marchand Nasrean.,0x155d8,91,A passport necessary to enter the Valuan Empire.\\nReceived from a Nasr merchant as a gift.
349,0x8c34794c,0x1b029,15,Mondsteinsprit,0x1ad99,15,Gasolina Lunar,0x1b126,17,Pierre Carburant,0x1a8e7,16,Moon Stone Fuel,0,15,18,0,0,0,0,0x15c87,82,Verfeinerter Mondstein zum Antrieb eines\\nSchiffes. Hans gab ihn Vyse in Horteka.,0x158d5,93,Piedra Lunar refinada para usarse como gasolina\\nde navío que Hans regaló a Vyse en Horteka.,0x15ad9,98,Pierre de Lune raffinée pour servir de carburant\\naux navires. Hans l'a offerte à Vyse à Horteka.,0x15633,98,A Moon Stone refined for use as fuel for a ship.\\nGiven to Vyse by Hans when they met in Horteka.
350,0x8c34795c,0x1b038,13,Claras Börse,0x1ada8,17,Cartera de Clara,0x1b137,16,Bourse de Clara,0x1a8f7,14,Clara's Purse,0,19,4,0,0,0,0,0x15cd9,69,"Hellrosa Börse mit Geld, das Aika und Fina von\\nClara gegeben wurde.",0x15932,78,Cartera rosa brillante que guarda el dinero\\nque Clara entrega a Aika y Fina.,0x15b3b,87,Un porte-monnaie rose fuchsia contenant de\\nl'argent que Clara a donné à Aika et Fina.,0x15695,71,A bright pink purse containing money given to\\nAika and Fina by Clara.
351,0x8c34796c,0x1b045,17,Book of Polarity,0x1adb9,15,Libro del Polo,0x1b147,16,Livre Polarités,0x1a905,17,Book of Polarity,0,27,2,0,0,0,0,0x15d1e,98,"Alter Yafutoma-Text, der den Prozess beschreibt,\\ndurch den Schiffe hoch und tief fliegen können.",0x15980,98,Viejo texto Yafutoman que contiene instrucciones\\npara conducir navíos a altas y bajas latitudes.,0x15b92,93,Vieux texte Yafutoman décrivant les techniques\\nde vol à très haute et très basse altitudes.,0x156dc,98,An old Yafutoman text explaining the process of\\nenabling ships to fly to high and low altitudes.
352,0x8c347980,0x1b056,9,Velorium,0x1adc8,9,Velorium,0x1b157,9,Velorium,0x1a916,9,Velorium,0,29,30,0,0,0,0,0x15d80,99,"Seltene Art von Metall, die in Deep Sky zu finden\\nist. Ein Vielfaches stärker als normaler Stahl.",0x159e2,92,Extraño tipo de metal procedente del Cielo\\nProfundo. Es mucho más resistente que el acero.,0x15bef,92,Type de métal rare trouvé dans le Ciel Profond.\\nBien plus solide que de l'acier ordinaire.,0x1573e,86,A rare type of metal found in Deep Sky.\\nIt is many times stronger than normal steel.
353,0x8c347980,0x1b05f,9,Velorium,0x1add1,9,Velorium,0x1b160,9,Velorium,0x1a91f,9,Velorium,0,30,31,0,0,0,0,0x15de3,99,"Seltene Art von Metall, die in Deep Sky zu finden\\nist. Ein Vielfaches stärker als normaler Stahl.",0x15a3e,93,Extraño tipo de metal procedente del Cielo\\nProfundo. Es mucho más resistente que el acero..,0x15c4b,89,Type de métal rare trouvé dans le Ciel Profond.\\nBien plus solide que l'acier ordinaire.,0x15794,86,A rare type of metal found in Deep Sky.\\nIt is many times stronger than normal steel.
354,0x8c34798c,0x1b068,13,SAISYUHEIKI3,0x1adda,13,SAISYUHEIKI3,0x1b169,13,SAISYUHEIKI3,0x1a928,13,SAISYUHEIKI3,0,37,-1,0,0,0,0,0x15e46,8,CUT.\\n ,0x15a9b,8,CUT.\\n ,0x15ca4,8,CUT.\\n ,0x157ea,13,CUT.\\n------
355,0x8c347998,0x1b075,15,Hafenschlüssel,0x1ade7,13,Puerto Clave,0x1b176,12,Clé du Port,0x1a935,11,Harbor Key,0,25,14,0,0,0,0,0x15e4e,88,Kleiner Messingschlüssel zum Kaiserlichen Hafen\\nvon Valua. Er hat eine Drachenprägung.,0x15aa3,93,Pequeña llave de bronce para acceder al puerto\\ndel Imperio Valuan. Tiene un dragón tallado.,0x15cac,81,Petite clé en cuivre du port Impérial Valuan.\\nElle porte l'estampe d'un dragon.,0x157f7,83,"A small, brass key to the Valuan Imperial\\nharbor. It has a dragon embossed on it."
356,0x8c3479a4,0x1b084,16,Magische Kanone,0x1adf4,13,Cañón Mágico,0x1b182,14,Canon Magique,0x1a940,13,Magic Cannon,0,14,17,0,0,0,0,0x15ea6,78,"Ein Kanonenaufsatz, durch den man Schüsse mit\\nmagischer Kraft abfeuern kann.",0x15b00,85,Artefacto que se añade a los cañones para\\nefectuar disparos fortalecidos con Magia.,0x15cfd,89,Dispositif attaché aux canons qui leur permet\\nde tirer des coups aux pouvoirs magiques.,0x1584a,83,A device attached to cannons that allows them\\nto fire shots empowered with magic.
357,0x8c3479b4,0x1b094,5,Lohn,0x1ae01,9,Salarios,0x1b190,9,Salaires,0x1a94d,6,Wages,0,20,32,0,0,0,0,0x15ef4,90,"Enthält die 5000 Goldstücke, die Aika und Fina\\nin der Taverne von Nasrad verdient haben.",0x15b55,94,Guarda las 5.000 unidades de oro que Fina y Aika\\nganaron trabajando en la taberna de Nasrad.,0x15d56,93,Contient 5 000 pièces d'or qu'Aika et Fina ont\\ngagné en travaillant à la taverne de Nasrad.,0x1589d,90,"Contains the 5,000 gold that Aika and Fina\\nearned while working at the tavern in Nasrad."
358,0x8c3479bc,0x1b099,15,Grapor-Fleisch,0x1ae0a,16,Carne de Grapor,0x1b199,16,Chair de Grapor,0x1a953,12,Grapor Meat,0,18,10,0,0,0,0,0x15f4e,98,"Fleisch eines seltenen Fisches, des Grapor. Man\\nfindet ihn nur in den Wäldern der Crescent Isle.",0x15bb3,89,"Carne de un extrano pez, el Grapor, que vive\\nsolo en los bosques de la Isla de la Luna.",0x15db3,92,"Chair du Grapor, un poisson rare. Ce poisson\\nse trouve dans les forêts de l'île Croissant.",0x158f7,95,"Meat from the rare fish, the Grapor. This fish\\nis only found in the forests of Crescent Isle."
359,0x8c3479c8,0x1b0a8,17,Domingos Papiere,0x1ae1a,12,Certificado,0x1b1a9,17,Titre de Domingo,0x1a95f,16,Domingo's Title,0,31,6,0,0,0,0,0x15fb0,88,"Ein  Zertifikat von Domingo, in dem er Vyse als\\n“Hervorragenden Schatzjäger” ausweist.",0x15c0c,90,Un certificado de Domingo reconociendo a Vyse\\ncomo “Extraordinario buscador de tesoros”.,0x15e0f,93,Certificat de Domingo proclamant Vyse comme\\nétant un “Extraordinaire Chercheur de Trésors.”,0x15956,87,A certificate from Domingo proclaiming Vyse to\\nbe a “Treasure Hunter Extraordinaire.”
360,0x8c3479d8,0x1b0b9,11,DUMMYCLEAR,0x1ae26,11,DUMMYCLEAR,0x1b1ba,11,DUMMYCLEAR,0x1a96f,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x16008,9,DUMMY\\n ,0x15c66,9,DUMMY\\n ,0x15e6c,9,DUMMY\\n ,0x159ad,14,DUMMY\\n------
361,0x8c3479d8,0x1b0c4,11,DUMMYCLEAR,0x1ae31,11,DUMMYCLEAR,0x1b1c5,11,DUMMYCLEAR,0x1a97a,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x16011,9,DUMMY\\n ,0x15c6f,9,DUMMY\\n ,0x15e75,9,DUMMY\\n ,0x159bb,14,DUMMY\\n------
362,0x8c3479d8,0x1b0cf,11,DUMMYCLEAR,0x1ae3c,11,DUMMYCLEAR,0x1b1d0,11,DUMMYCLEAR,0x1a985,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x1601a,9,DUMMY\\n ,0x15c78,9,DUMMY\\n ,0x15e7e,9,DUMMY\\n ,0x159c9,14,DUMMY\\n------
363,0x8c3479d8,0x1b0da,11,DUMMYCLEAR,0x1ae47,11,DUMMYCLEAR,0x1b1db,11,DUMMYCLEAR,0x1a990,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x16023,9,DUMMY\\n ,0x15c81,9,DUMMY\\n ,0x15e87,9,DUMMY\\n ,0x159d7,14,DUMMY\\n------
364,0x8c3479d8,0x1b0e5,11,DUMMYCLEAR,0x1ae52,11,DUMMYCLEAR,0x1b1e6,11,DUMMYCLEAR,0x1a99b,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x1602c,9,DUMMY\\n ,0x15c8a,9,DUMMY\\n ,0x15e90,9,DUMMY\\n ,0x159e5,14,DUMMY\\n------
365,0x8c3479d8,0x1b0f0,11,DUMMYCLEAR,0x1ae5d,11,DUMMYCLEAR,0x1b1f1,11,DUMMYCLEAR,0x1a9a6,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x16035,9,DUMMY\\n ,0x15c93,9,DUMMY\\n ,0x15e99,9,DUMMY\\n ,0x159f3,14,DUMMY\\n------
366,0x8c3479d8,0x1b0fb,11,DUMMYCLEAR,0x1ae68,11,DUMMYCLEAR,0x1b1fc,11,DUMMYCLEAR,0x1a9b1,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x1603e,9,DUMMY\\n ,0x15c9c,9,DUMMY\\n ,0x15ea2,9,DUMMY\\n ,0x15a01,14,DUMMY\\n------
367,0x8c3479d8,0x1b106,11,DUMMYCLEAR,0x1ae73,11,DUMMYCLEAR,0x1b207,11,DUMMYCLEAR,0x1a9bc,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x16047,9,DUMMY\\n ,0x15ca5,9,DUMMY\\n ,0x15eab,9,DUMMY\\n ,0x15a0f,14,DUMMY\\n------
368,0x8c3479d8,0x1b111,11,DUMMYCLEAR,0x1ae7e,11,DUMMYCLEAR,0x1b212,11,DUMMYCLEAR,0x1a9c7,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x16050,9,DUMMY\\n ,0x15cae,9,DUMMY\\n ,0x15eb4,9,DUMMY\\n ,0x15a1d,14,DUMMY\\n------
369,0x8c3479d8,0x1b11c,11,DUMMYCLEAR,0x1ae89,11,DUMMYCLEAR,0x1b21d,11,DUMMYCLEAR,0x1a9d2,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x16059,9,DUMMY\\n ,0x15cb7,9,DUMMY\\n ,0x15ebd,9,DUMMY\\n ,0x15a2b,14,DUMMY\\n------
370,0x8c3479d8,0x1b127,11,DUMMYCLEAR,0x1ae94,11,DUMMYCLEAR,0x1b228,11,DUMMYCLEAR,0x1a9dd,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x16062,9,DUMMY\\n ,0x15cc0,9,DUMMY\\n ,0x15ec6,9,DUMMY\\n ,0x15a39,14,DUMMY\\n------
371,0x8c3479d8,0x1b132,11,DUMMYCLEAR,0x1ae9f,11,DUMMYCLEAR,0x1b233,11,DUMMYCLEAR,0x1a9e8,11,DUMMYCLEAR,0,-1,-1,0,0,0,0,0x1606b,9,DUMMY\\n ,0x15cc9,9,DUMMY\\n ,0x15ecf,9,DUMMY\\n ,0x15a47,14,DUMMY\\n------
