Entry ID,EU SOT Pos,[Entry GB Name],Element ID,[Element Name],Pad 1,Order,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Speed,Effect SP,Pad 2,Pad 3,Effect Base,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad 4,Pad 5,Pad 6,Ship Occ ID,[Ship Occ Name],Pad 7,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Ship Eff Base,Unk,Pad 8,Pad 9,Pad 10,[GB Descr Str]
46,0x8c346708,Royal Blade,6,Neutral,0,240,0b0010,"",X,"",0,Damage,37,EC Ray S3,4,Enrique,1,8,0,0,40,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Enrique slashes at a single enemy in a flurry
of precise sword attacks.                  SP 8"
47,0x8c346714,The Judgement,6,Neutral,0,242,0b0010,"",X,"",0,Damage,3,Single EC,4,Enrique,1,16,0,0,80,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Enrique summons one enemy to the Coliseum to
be judged for its crimes.                  SP 16"
48,0x8c346724,Gunslinger,6,Neutral,0,250,0b0010,"",X,"",0,Damage,43,EC Triangle 60°,5,Gilder,1,9,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Gilder lets loose two handguns at the same time
damaging all enemies in a straight line.   SP 9"
49,0x8c346730,The Claudia,6,Neutral,0,252,0b0010,"",X,"",0,Damage,4,All ECs,5,Gilder,1,18,0,0,25,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Gilder calls in the Claudia and fires all of
her cannons. Attacks all enemies.          SP 18"
50,0x8c34673c,Counterstrike,6,Neutral,0,301,0b0010,"",X,"",38,Counter% to 100% + Guard,5,Self,0,Vyse,2,1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Vyse takes a defensive stance, countering all
enemy physical attacks for a full turn.    SP 1"
51,0x8c34674c,Skull Shield,6,Neutral,0,303,0b0010,"",X,"",46,Counter% to 100% + Block Attack,2,All PCs,0,Vyse,2,5,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Vyse summons the spirit of an ancient Air Pirate
to defend and counterattack for his crew. SP 5"
52,0x8c34675c,Delta Shield,6,Neutral,0,311,0b0010,"",X,"",39,Block Magic,2,All PCs,1,Aika,2,2,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Creates an anti-magic shell around all allies
for 1 turn. (Blocks allies' magic too.)    SP 2"
53,0x8c34676c,Epsilon Mirror,6,Neutral,0,313,0b0010,"",X,"",77,Recover MP + Invulnerable,5,Self,1,Aika,2,10,0,0,10,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Creates a mirror-like aura that envelops Aika
for 1 turn and restores 10 MP.             SP 10"
54,0x8c34677c,Lunar Blessing,6,Neutral,0,320,0b0010,"",X,"",33,Regenerate,2,All PCs,2,Fina,2,12,0,0,200,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Fina calls upon the Silver Moon and blesses each
party member with Regeneration.            SP 12"
55,0x8c34678c,Lunar Cleansing,6,Neutral,0,322,0b0010,"",X,"",30,Rem Neg States B,2,All PCs,2,Fina,2,6,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Silver Moonlight cleanses all allies of any
adverse effects except Unconscious.         SP 6"
56,0x8c34679c,Lunar Light,6,Neutral,0,324,0b0010,"",X,"",47,Recover HP & MP + Rem Neg States,2,All PCs,2,Fina,2,18,0,0,10000,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Revives, cures all adverse effects, and
completely restores all HP of all allies.  SP 18"
57,0x8c3467a8,Spirit Charge,6,Neutral,0,331,0b0010,"",X,"",41,Recover SP by 200% + Guard,5,Self,3,Drachma,2,0,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Drachma focuses inward, doubling his Spirit
points and defending against attacks.      SP 0"
58,0x8c3467b8,Justice Shield,6,Neutral,0,341,0b0010,"",X,"",1,Guard,2,All PCs,4,Enrique,2,4,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Creates a defensive barrier for one turn. All
physical damage received is cut in half.   SP 4"
59,0x8c3467c8,Aura of Denial,6,Neutral,0,351,0b0010,"",X,"",42,Block Neg States,2,All PCs,5,Gilder,2,3,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Creates a barrier for one turn that blocks all
adverse (and only adverse) effects.        SP 3"
60,0x8c3467d8,Blue Rogues,6,Neutral,0,-1,0b0010,"",X,"",66,Crew Special B,6,All PCs & ECs,0,Vyse,-1,-1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Summons all active members of the Delphinus
crew. Attack varies depending on crew.    SP ALL"
61,0x8c3467e4,Prophecy,6,Neutral,0,-1,0b0010,"",X,"",65,Crew Special A,4,All ECs,0,Vyse,1,-1,0,0,0,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,"Combines the power of all 4 party members to
call upon an ancient power.               SP ALL"
