Entry ID,EU SOT Pos,[Entry GB Name],Element ID,[Element Name],Pad 1,Order,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Speed,Effect SP,Pad 2,Pad 3,Effect Base,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad 4,Pad 5,Pad 6,Ship Occ ID,[Ship Occ Name],Pad 7,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Ship Eff Base,Unk,Pad 8,Pad 9,Pad 10,[GB Descr Str],[Ship GB Descr Str]
14,0x8c3465b0,Curia,5,Silver,0,80,0b0010,"",X,"",30,Rem Neg States B,1,Single PC,6,Magic,0,2,0,0,0,0,Physical,-1,None,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,"Cures one ally of all adverse effects (except
for Unconscious).                           SP 2","Cannot be used.
------"
15,0x8c3465b8,Risan,5,Silver,0,90,0b0010,"",X,"",27,Revive With HP of 50%,1,Single PC,6,Magic,0,4,0,0,0,0,Physical,7,Revival,50,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,"Has a 50% chance of reviving an Unconscious ally,
along with 50% of their HP.                SP 4","Cannot be used.
------"
16,0x8c3465c0,Riselem,5,Silver,0,91,0b0010,"",X,"",28,Revive With HP of 100%,1,Single PC,6,Magic,0,8,0,0,0,0,Physical,7,Revival,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,"Revives an Unconscious ally and restores their
HP to full.                                SP 8","Cannot be used.
------"
17,0x8c3465c8,Eterni,5,Silver,0,100,0b0010,"",X,"",5,Unconscious,3,Single EC,6,Magic,0,5,0,0,0,0,Physical,1,Unconscious,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,"Can instantly kill any one enemy. May not work
on some powerful monsters or bosses.       SP 5","Cannot be used.
------"
18,0x8c3465d0,Eternes,5,Silver,0,101,0b0010,"",X,"",5,Unconscious,4,All ECs,6,Magic,0,10,0,0,0,0,Physical,1,Unconscious,80,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,"Can cause instant death to all enemies on the
screen.                                    SP 10","Cannot be used.
------"
19,0x8c3465d8,Eternum,5,Silver,0,102,0b0010,"",X,"",6,Unconscious + Damage A,3,Single EC,6,Magic,0,15,0,0,250,1,Magical,1,Unconscious,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,"Causes instant death to one enemy. If target is
immune, then it will cause damage.         SP 15","Cannot be used.
------"
20,0x8c3465e0,Wevli,3,Blue,0,60,0b0011,"",X,X,0,Damage,32,EC Square S3,6,Magic,0,2,0,0,60,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,60,4,0,0,0,"Damages one enemy with a whirlwind of air and
water. Also harms nearby enemies.          SP 2","Fires a cannonball charged with Blue Magic.
Special equipment is needed to cast.        2 SP"
21,0x8c3465e8,Wevles,3,Blue,0,61,0b0011,"",X,X,0,Damage,33,EC Square S5,6,Magic,0,4,0,0,105,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,90,4,0,0,0,"Creates a large tornado around one enemy and
damages all enemies nearby.                SP 4","Fires a cannonball charged with Blue Magic.
Special equipment is needed to cast.        4 SP"
22,0x8c3465f0,Wevlen,3,Blue,0,63,0b0011,"",X,X,0,Damage,34,EC Square S7,6,Magic,0,8,0,0,195,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,8,-1,150,4,0,0,0,"Creates a cluster of tornados around one enemy
and damages nearly all enemies on screen.  SP 8","Fires a cannonball charged with Blue Magic.
Special equipment is needed to cast.        8 SP"
23,0x8c3465f8,Pyri,1,Red,0,0,0b0011,"",X,X,0,Damage,4,All ECs,6,Magic,0,2,0,0,50,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,60,1,0,0,0,"Summons a burst of flames, damaging all enemies
on screen.                                 SP 2","Fires a cannonball charged with Red Magic.
Special equipment is needed to cast.        2 SP"
24,0x8c346600,Pyres,1,Red,0,1,0b0011,"",X,X,0,Damage,4,All ECs,6,Magic,0,4,0,0,85,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,90,1,0,0,0,"Summons a great explosion and damages all
enemies on screen.                         SP 4","Fires a cannonball charged with Red Magic.
Special equipment is needed to cast.        4 SP"
25,0x8c346608,Pyrum,1,Red,0,2,0b0011,"",X,X,0,Damage,4,All ECs,6,Magic,0,6,0,0,120,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,6,-1,120,1,0,0,0,"Summons fireballs from the sky and damages
all enemies on the screen.                 SP 6","Fires a cannonball charged with Red Magic.
Special equipment is needed to cast.        6 SP"
26,0x8c346610,Crystali,2,Purple,0,10,0b0011,"",X,X,0,Damage,3,Single EC,6,Magic,0,1,0,0,70,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,1,-1,30,2,0,0,0,"Encases a single enemy in ice. It is quite
powerful and uses very little Spirit.      SP 1","Fires a cannonball charged with Purple Magic.
Special equipment is needed to cast.        1 SP"
27,0x8c34661c,Crystales,2,Purple,0,11,0b0011,"",X,X,0,Damage,3,Single EC,6,Magic,0,2,0,0,120,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,50,2,0,0,0,"Summons an icicle at the foot of a single enemy
and impales it, causing great damage.      SP 2","Fires a cannonball charged with Purple Magic.
Special equipment is needed to cast.        2 SP"
28,0x8c346628,Crystalum,2,Purple,0,12,0b0011,"",X,X,0,Damage,3,Single EC,6,Magic,0,3,0,0,170,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,3,-1,70,2,0,0,0,"Traps a single enemy in a column of ice
an extensive amount of damage.             SP 3","Fires a cannonball charged with Purple Magic.
Special equipment is needed to cast.        3 SP"
29,0x8c346634,Crystalen,2,Purple,0,13,0b0011,"",X,X,0,Damage,3,Single EC,6,Magic,0,4,0,0,220,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,90,2,0,0,0,"Huge pillars of ice rain from the sky to impale
one enemy for enormous damage.             SP 4","Fires a cannonball charged with Purple Magic.
Special equipment is needed to cast.        4 SP"
30,0x8c346640,Pyrulen,1,Red,0,3,0b0011,"",X,X,0,Damage,4,All ECs,6,Magic,0,10,0,0,155,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,10,-1,150,1,0,0,0,"Sets the air aflame and engulfs all enemies on
screen in a firestorm.                     SP 10","Fires a cannonball charged with Red Magic.
Special equipment is needed to cast.       10 SP"
31,0x8c346648,Wevlum,3,Blue,0,62,0b0011,"",X,X,0,Damage,33,EC Square S5,6,Magic,0,6,0,0,150,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,6,-1,120,4,0,0,0,"Summons a field of fierce winds and stinging
rain to damage enemies in a large area.    SP 6","Fires a cannonball charged with Blue Magic.
Special equipment is needed to cast.        6 SP"
32,0x8c346650,Electri,4,Yellow,0,30,0b0011,"",X,X,0,Damage,36,EC Ray S1,6,Magic,0,2,0,0,60,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,60,3,0,0,0,"Shoots a bolt of electricity at a target, also
damaging any enemies in the way.           SP 2","Fires a cannonball charged with Yellow Magic.
Special equipment is needed to cast.        2 SP"
33,0x8c346658,Electres,4,Yellow,0,31,0b0011,"",X,X,0,Damage,37,EC Ray S3,6,Magic,0,4,0,0,105,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,90,3,0,0,0,"Sends a lightning bolt through a line of enemies
causing major damage.                      SP 4","Fires a cannonball charged with Yellow Magic.
Special equipment is needed to cast.        4 SP"
34,0x8c346664,Electrum,4,Yellow,0,32,0b0011,"",X,X,0,Damage,37,EC Ray S3,6,Magic,0,6,0,0,150,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,6,-1,120,3,0,0,0,"A massive bolt of electricity is shot out and
hits all enemies in a straight line.       SP 6","Fires a cannonball charged with Yellow Magic.
Special equipment is needed to cast.        6 SP"
35,0x8c346670,Electrulen,4,Yellow,0,33,0b0011,"",X,X,0,Damage,38,EC Ray S5,6,Magic,0,8,0,0,195,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,8,-1,150,3,0,0,0,"The ultimate attack spell. It will cause major
damage on all enemies in a straight line.  SP 8","Fires a cannonball charged with Yellow Magic.
Special equipment is needed to cast.        8 SP"
