Entry ID,Entry Name,ENGLISH.SOT,FRENCH.SOT,GERMAN.SOT,SPANISH.SOT
28,EnspatkDataTable,Crystalum,Crystalum,Crystalum,Crystalum
29,EnspatkDataTable,Crystalen,Crystalen,Crystalen,Crystalen
30,EnspatkDataTable,Pyrulen,Pyrulen,Pyrulen,Pyrulen
31,EnspatkDataTable,Wevlum,Wevlum,Wevlum,Wevlum
32,EnspatkDataTable,Electri,Electri,Electri,Electri
33,EnspatkDataTable,Electres,Electres,Electres,Electres
34,EnspatkDataTable,Electrum,Electrum,Electrum,Electrum
35,EnspatkDataTable,Electrulen,Electrulen,Electrulen,Electrulen
36,EnspatkDataTable,Volcanic Blast,Volcan Blast,Vulkanstoß,Ráfaga Volcánica
37,EnspatkDataTable,Cinder Storm,Orage de Cendre,Aschensturm,Ráfaga de ceniza
38,EnspatkDataTable,Feather Slash,Plume Tranchante,Federschnitt,Rasgaplumas
39,EnspatkDataTable,KETSUBAN,KETSUBAN,KETSUBAN,KETSUBAN
40,EnspatkDataTable,Laser,Laser,Laser,Láser
41,EnspatkDataTable,Thunder of Fury,Tonnerre Furie,Donnerwetter,Trueno de Furia
42,EnspatkDataTable,KETSUBAN,KETSUBAN,KETSUBAN,KETSUBAN
43,EnspatkDataTable,Circle of Panic,Cercle de Peur,Panikkreis,Círculo de Miedo
44,EnspatkDataTable,Ring of Sleep,Bague de Sommeil,Schlafring,Anillo del Sueño
45,EnspatkDataTable,Target Search,Recherche Cible,Zielsuche,Buscar Objetivo
46,EnspatkDataTable,KETSUBAN,KETSUBAN,KETSUBAN,KETSUBAN
47,EnspatkDataTable,Tackle,Ruée Mortelle,Attacke,Ataque
48,EnspatkDataTable,Death Strike,Coup Mortel,Todesschlag,Golpe Mortal
49,EnspatkDataTable,Charge,Charge,Laden,Ataque
50,EnspatkDataTable,Poison Gas,Gaz Empoisonné,Giftgas,Gas Venenoso
51,EnspatkDataTable,Stone Breath,Souffle Pierre,Steinatem,Brisa de Piedra
52,EnspatkDataTable,KETSUBAN,KETSUBAN,KETSUBAN,KETSUBAN
53,EnspatkDataTable,Random Fire,Tir aléatoire,Zufallsbeschuss,Fuego al Azar
54,EnspatkDataTable,KETSUBAN,KETSUBAN,KETSUBAN,KETSUBAN
55,EnspatkDataTable,Counter Stance,Défense,Abwehrstellung,Contraposición
56,EnspatkDataTable,Gather Strength,Rassembler Force,Kraft sammeln,Recuperar Fuerza
57,EnspatkDataTable,Counter Stance,Défense,Abwehrstellung,Contraposición
58,EnspatkDataTable,Burst,Explosion,Explosion,Explosión
59,EnspatkDataTable,Terminal,Terminal,Terminal,Terminal
60,EnspatkDataTable,Devolver,Devolver,Devolver,Delegar
61,EnspatkDataTable,Poisonous Bile,Bile Venimeuse,Giftige Galle,Furia Venenosa
62,EnspatkDataTable,Death Blossom,Éclosion Tueuse,Todesblüte,Flor de Muerte
63,EnspatkDataTable,Cannon Fire,Tir de Canon,Kanonenfeuer,Fuego de Cañón
64,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
65,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
66,EnspatkDataTable,Wheel Blast,Obus explosif,Radstoß,Onda expansiva
67,EnspatkDataTable,Laser Blast,Explosion Laser,Laserstoß,Ráfaga láser
68,EnspatkDataTable,Crypt Laser,Laser Crypte,Crypt-Laser,Láser de Cripta
69,EnspatkDataTable,Death Laser,Laser Mortel,Todeslaser,Láser Mortífero
70,EnspatkDataTable,Assess Damage,Estimer Dégâts,Schadenaufnahme,Evaluar Daño
71,EnspatkDataTable,KETSUBAN,KETSUBAN,KETSUBAN,KETSUBAN
72,EnspatkDataTable,Steelskin,Peau d'acier,Stahlhaut,Pieldeacero
73,EnspatkDataTable,Focus,Focus,Fokus,Enfoque
74,EnspatkDataTable,Eternal Freeze,Gel Éternel,Ewiger Frost,Hielo Eterno
75,EnspatkDataTable,Lightning Strike,Coup de Foudre,Blitzschlag,Golpe del Rayo
76,EnspatkDataTable,Terrible Bite,Terrible Morsure,Furchtbarer Biss,Mordisco Temible
77,EnspatkDataTable,Deep Sleep,Profond Sommeil,Tiefschlaf,Sueño Profundo
78,EnspatkDataTable,Avalauncher,Avalanceur,Avalauncher,Avalauncher
79,EnspatkDataTable,Silver Eclipse,Éclipse d'argent,Silber-Eklipse,Eclipse de Plata
80,EnspatkDataTable,Drain,Épuisement,Entwässern,Desecar
81,EnspatkDataTable,Turn Recovery,Récupération,Erholungspause,Turno de Reposar
82,EnspatkDataTable,Destruction,Destruction,Zerstörung,Destrucción
83,EnspatkDataTable,Tremble,Tremblement,Zittern,Seísmo
84,EnspatkDataTable,Silver Tundra,Toundra d'argent,Silber-Tundra,Tundra de Plata
85,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
86,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
87,EnspatkDataTable,Explore,Exploration,Erforschen,Explorar
88,EnspatkDataTable,Stone Ooze,Pierre Suintante,Steinschlamm,Fango de Piedra
89,EnspatkDataTable,Tundra Blast,Tundra Explosive,Tundrastoß,Ráfaga de Tundra
90,EnspatkDataTable,Death Waltz,Valse de la Mort,Todeswalzer,Vals Mortal
91,EnspatkDataTable,Engage,Engagement,Einspannen,Involucrar
92,EnspatkDataTable,Thunder Storm,Orage,Gewitter,Ráfaga de Trueno
93,EnspatkDataTable,Eerie Wail,Cri Lugubre,Wehklagen,Sollozo Pavoroso
94,EnspatkDataTable,Assess Damage,Estimer Dégâts,Schadenaufnahme,Evaluar Daño
95,EnspatkDataTable,Death Waltz,Valse de la Mort,Todeswalzer,Vals Mortal
96,EnspatkDataTable,Vigoro's Charm,Charme de Vigoro,Vigoros Zauber,Magia de Vigoro 
97,EnspatkDataTable,Laser Blast,Explosion Laser,Laserstoß,Ráfaga láser
98,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
99,EnspatkDataTable,Digest,Digérer,Verdauen,Digerir
100,EnspatkDataTable,Terrible Bite,Terrible Morsure,Furchtbarer Biss,Mordisco Temible
101,EnspatkDataTable,Neglora,Neglora,Neglora,Neglora
102,EnspatkDataTable,Ice Storm,Orage de Glace,Eissturm,Ráfaga de Hielo
103,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
104,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
105,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
106,EnspatkDataTable,Grenade,Torpille Houroku,Houroku Torpedo,Granade
107,EnspatkDataTable,Poison Gas,Gas Empoisonné,Giftgas,Gas Venenoso
108,EnspatkDataTable,Sacrum Crystal,Cristal Sacrum,Sacrum-Kristall,Cristal Sacrum
109,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
110,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
111,EnspatkDataTable,Discharge,Renvoi,Entladen,Evacuar
112,EnspatkDataTable,Tatatimorutto,Tatatimorutto,Tatatimorutto,Tatatimorutto
113,EnspatkDataTable,Round Claw,Griffe Arrondie,Runde Klaue,Tenaza Redonda
114,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
115,EnspatkDataTable,Sacri Crystal,Cristal Sacri,Sacri-Kristall,Cristal Sacri
116,EnspatkDataTable,Sacres Crystal,Cristal Sacres,Sacres-Kristall,Cristal Sacres
117,EnspatkDataTable,Sacrulen Crystal,Cristal Sacrulen,Sacrulen-Kristall,Cristal Sacrulen
118,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
119,EnspatkDataTable,Silver Nightmare,Cauchemar Argent,Silber-Alptraum,Pesadilla
120,EnspatkDataTable,Silver Binds,Liens d'argent,Silberbänder,Lazos de Plata
121,EnspatkDataTable,Turn Recovery,Récupération,Erholungspause,Turno de Reposar
122,EnspatkDataTable,Destruction,Destruction,Zerstörung,Destrucción
123,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
124,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
125,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
126,EnspatkDataTable,Silver Eclipse,Éclipse d'argent,Silber-Eklipse,Eclipse de Plata
127,EnspatkDataTable,Not Used,Non Utilisé(e),Nicht benutzt,No se usa
128,EnspatkDataTable,Fatigue Breath,Souffle Fatigue,Ermüdungsatem,Brisa de Fatiga
129,EnspatkDataTable,Fatigue Breath,Souffle Fatigue,Ermüdungsatem,Brisa de Fatiga
130,EnspatkDataTable,Lunar Blessing,Bienfait lunaire,Mondsegnung,Bendición Lunar
131,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
132,EnspatkDataTable,KETSUBAN,KETSUBAN,KETSUBAN,KETSUBAN
133,EnspatkDataTable,Emergency,Urgence,Notfall,Emergencia
134,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
135,EnspatkDataTable,Blaster,Explosif,Blaster,Blaster
136,EnspatkDataTable,Magic?,Magie ?,Magie?,¿Magia?
137,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
138,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
139,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
140,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
141,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
142,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
143,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
144,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
145,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
146,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
147,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
148,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
149,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
150,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
151,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
152,EnspatkDataTable,Power Potion,Potion Pouvoir,Krafttrunk,Poción Poderosa
153,EnspatkDataTable,Speed Potion,Potion Vitesse,Schnelltrunk,Poción de Prisas
154,EnspatkDataTable,Sacres Crystal,Cristal Sacres,Sacres-Kristall,Cristal Sacres
155,EnspatkDataTable,Death Tackle,Tacle Mortel,Todesattacke,Embestida Mortal
156,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
157,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
158,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
159,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
160,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
161,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
162,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
163,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
164,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
165,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
166,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
167,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
168,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
169,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
170,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
171,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
172,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
173,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
174,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
175,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
176,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
177,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
178,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
179,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
180,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
181,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
182,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
183,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
184,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
185,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
186,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
187,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
188,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
189,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
190,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
191,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
192,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
193,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
194,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
195,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
196,EnspatkDataTable,Search,Recherche,Suche,Búsqueda
197,EnspatkDataTable,Poison Gas,Gaz Empoisonné,Giftgas,Gas Venenoso
198,EnspatkDataTable,Fatigue Gas,Gaz de Fatigue,Ermüdungsgas,Gas de Fatiga
199,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
200,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
201,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
202,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
203,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
204,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
205,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
206,EnspatkDataTable,Needle Storm,Orage Aiguilles,Nadelsturm,Ráfaga de Agujas
207,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
208,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
209,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
210,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
211,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
212,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
213,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
214,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
215,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
216,EnspatkDataTable,Lava Storm,Orage de Lave,Lavasturm,Tormenta de lava
217,EnspatkDataTable,Blast Breath,Soufflexplosion,Blast-Breath,Ráfaga de Brisa
218,EnspatkDataTable,Loqua Spray,Spray Loqua,Loqua-Spray,Spray Loqua
219,EnspatkDataTable,Frost Breath,Souffle de Gel,Frostatem,Brisa de Hielo
220,EnspatkDataTable,Frost Breath,Souffle de Gel,Frostatem,Brisa de Hielo
221,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
222,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
223,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
224,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
225,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
226,EnspatkDataTable,Damyun,Damyun,Damyun,Damyun
227,EnspatkDataTable,Slumber Dust,Poudre Sommeil,Schlummerstaub,Polvo de Dormir
228,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
229,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
230,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
231,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
232,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
233,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
234,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
235,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
236,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
237,EnspatkDataTable,Call Allies,Appel d'alliés,Verbündete rufen,Convocar aliados
238,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
239,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
240,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
241,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
242,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
243,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
244,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
245,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
246,EnspatkDataTable,HP Absorb,Absorber PV,HP übernehmen,Absorber Salud
247,EnspatkDataTable,HP Absorb,Absorber PV,HP übernehmen,Absorber Salud
248,EnspatkDataTable,HP Absorb,Absorber PV,HP übernehmen,Absorber Salud
249,EnspatkDataTable,HP Absorb,Absorber PV,HP übernehmen,Absorber Salud
250,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
251,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
252,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
253,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
254,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
255,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
256,EnspatkDataTable,Rapid Fire,Tir Rapide,Schnellfeuer,Fuego Rápido
257,EnspatkDataTable,KETSUBAN,KETSUBAN,KETSUBAN,KETSUBAN
258,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
259,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
260,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
261,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
262,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
263,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
264,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
265,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
266,EnspatkDataTable,Irnagun,Irnagun,Irnagun,Irnagun
267,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
268,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
269,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
270,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
271,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
272,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
273,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
274,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
275,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
276,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
277,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
278,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
279,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
280,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
281,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
282,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
283,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
284,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
285,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
286,EnspatkDataTable,Wind Slash,Vent Tranchant,Windschnitt,Corta Vientos
287,EnspatkDataTable,Sonic Wave,Vague Sonique,Schallwelle,Ola Sónica
288,EnspatkDataTable,KETSUBAN,KETSUBAN,KETSUBAN,KETSUBAN
289,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
290,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
291,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
292,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
293,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
294,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
295,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
296,EnspatkDataTable,Quake,Séisme,Beben,Terremoto
297,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
298,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
299,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
300,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
301,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
302,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
303,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
304,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
305,EnspatkDataTable,DUMMY,DUMMY,DUMMY,DUMMY
306,EnspatkDataTable,Self-destruct,Auto-destruction,Selbstzerstörung,Autodestrucción
307,EnspatkDataTable,Poison Explode,Explosion Poison,Giftexplosion,Ráfaga de Veneno
0,sotBtlPCAction,Do nothing,Do nothing,Do nothing,Do nothing
1,sotBtlPCAction,    Attack    ,    Attaque   ,    Angriff   ,    Ataque    
2,sotBtlPCAction,Critical Hit,Coup Critique,Krit. Treffer,Acierto Crítico
3,sotBtlPCAction,    Attack    ,    Attaque   ,    Angriff   ,    Ataque    
4,sotBtlPCAction,Focus,Focus,Fokus,Enfoque
5,sotBtlPCAction,      Run      ,     Fuite    ,    Rennen    ,     Huida    
6,sotBtlPCAction,Counter Attack,Contre-attaque,Gegenangriff,Contraataque
7,sotBtlPCAction,Counter Attack,Contre-attaque,Gegenangriff,Contraataque
8,sotBtlPCAction,Magic failure,Magic failure,Magic failure,Magic failure
9,sotBtlPCAction,S.Move failure,S.Move failure,S.Move failure,S.Move failure
0,sotBtlResult,No items.,Pas d'articles.,Keine Obj.,No hay objetos.
0,sotPauseMenu,Map,Carte,Karte,Mapa
1,sotPauseMenu,To Bridge,Vers Pont,Zur Brücke,Pasar Puente
2,sotPauseMenu,Save,Sauvegarde,Speichern,Guardar
0,guildShopMsgTbl,Main Office,Bureau Principal,Main Office,Oficina Central
1,guildShopMsgTbl,"Sorry, but we've already received information on
this. We'll still pay you for reconfirming it.","Désolé, mais nous avons déjà reçu des
informations. Nous paierons la reconfirmation.","Darüber haben wir leider bereits Informationen.
Wir bezahlen Sie trotzdem für die Bestätigung.","Lo sentimos, pero ya tenemos esa información. Te
pagaremos por confirmarla."
2,guildShopMsgTbl,"Yes, I've heard rumors of its existence. I
will pay you if you know its location.","Oui, j'ai entendu des rumeurs au sujet de son
existence. Je vous paierai si vous connnaissez
son emplacement.","Ja, ich habe Gerüchte darüber gehört. Ich
bezahle Sie, wenn Sie den Standort verraten.","Sí, he oído rumores sobre su existencia. Te
pagaré si sabes dónde está."
3,guildShopMsgTbl,"You found what?! You must tell me where you
found it! I must let the whole world know!","Vous avez trouvé quoi ?! Indiquez-moi l'endroit
que je l'annonce au  monde entier !","Was haben Sie gefunden?! Sie müssen mir
verraten, wo. Die ganze Welt muss es wissen!","¡¿Que has encontrado qué?! ¡Tienes que decirme
dónde ésta! ¡Debo contarlo a todo el mundo!"
4,guildShopMsgTbl,Maramba Office,Bureau Maramba,Maramba Office,Oficina Maramba
5,guildShopMsgTbl,"Sorry, but we've already received information on
this. We'll still pay you for reconfirming it.","Désolé, mais nous avons déjà reçu des
informations. Nous paierons la reconfirmation.","Darüber haben wir leider bereits Informationen.
Wir bezahlen Sie trotzdem für die Bestätigung.","Lo sentimos, pero ya tenemos esa información. Te
pagaremos por confirmarla."
6,guildShopMsgTbl,"Yes, I've heard rumors of its existence. I
will pay you if you know its location.","Oui, j'ai entendu des rumeurs au sujet de son
existence. Je vous paierai si vous connnaissez
son emplacement.","Ja, ich habe Gerüchte darüber gehört. Ich
bezahle Sie, wenn Sie den Standort verraten.","Sí, he oído rumores sobre su existencia. Te
pagaré si sabes dónde está."
7,guildShopMsgTbl,"You found what?! You must tell me where you
found it! I must let the whole world know!","Vous avez trouvé quoi ?! Indiquez-moi l'endroit
que je l'annonce au  monde entier !","Was haben Sie gefunden?! Sie müssen mir
verraten, wo. Die ganze Welt muss es wissen!","¡¿Que has encontrado qué?! ¡Tienes que decirme
dónde ésta! ¡Debo contarlo a todo el mundo!"
8,guildShopMsgTbl,Nasrad Office,Bureau de Nasrad,Nasrad Office,Oficina Nasrad
