Entry ID,[Filter],[EC ID],[JP EC Name],Type ID,[Type Name],Instr. ID,[Instr. Name],Param. ID,[Param. Name]
9,*,7,煌術処刑士,0,Branch,25,???,21,Go to 21
10,*,7,煌術処刑士,0,Branch,26,???,17,Go to 17
11,*,7,煌術処刑士,0,Branch,30,???,23,Go to 23
12,*,7,煌術処刑士,0,Branch,24,???,21,Go to 21
13,*,7,煌術処刑士,0,Branch,24,???,17,Go to 17
14,*,7,煌術処刑士,0,Branch,24,???,22,Go to 22
15,*,7,煌術処刑士,0,Branch,25,???,20,Go to 20
16,*,7,煌術処刑士,0,Branch,30,???,23,Go to 23
17,*,7,煌術処刑士,1,Action,550,Attack,1,Same PC
18,*,7,煌術処刑士,1,Action,500,アパ,8,EC w/ Highest ID
19,*,7,煌術処刑士,1,Action,506,サプラ,7,Injured EC
20,*,7,煌術処刑士,1,Action,506,サプラ,8,EC w/ Highest ID
21,*,7,煌術処刑士,1,Action,526,グラシャ,2,Random PC
22,*,7,煌術処刑士,1,Action,37,ガッツ,-1,None
23,*,7,煌術処刑士,1,Action,551,Guard,-1,None
1,*,8,レトモニケ,0,Branch,44,???,3,Go to 3
2,*,8,レトモニケ,0,Branch,30,???,4,Go to 4
3,*,8,レトモニケ,0,Branch,28,???,16,Go to 16
4,*,8,レトモニケ,0,Branch,2,???,12,Go to 12
5,*,8,レトモニケ,0,Branch,4,???,7,Go to 7
6,*,8,レトモニケ,0,Branch,30,???,9,Go to 9
7,*,8,レトモニケ,0,Branch,28,???,14,Go to 14
8,*,8,レトモニケ,0,Branch,30,???,15,Go to 15
9,*,8,レトモニケ,0,Branch,26,???,14,Go to 14
10,*,8,レトモニケ,0,Branch,26,???,15,Go to 15
11,*,8,レトモニケ,0,Branch,30,???,16,Go to 16
12,*,8,レトモニケ,0,Branch,24,???,16,Go to 16
13,*,8,レトモニケ,0,Branch,30,???,9,Go to 9
14,*,8,レトモニケ,1,Action,550,Attack,1,Same PC
15,*,8,レトモニケ,1,Action,551,Guard,-1,None
16,*,8,レトモニケ,1,Action,552,Run,-1,None
1,*,9,レイチア,0,Branch,44,???,3,Go to 3
2,*,9,レイチア,0,Branch,30,???,4,Go to 4
3,*,9,レイチア,0,Branch,29,???,16,Go to 16
4,*,9,レイチア,0,Branch,2,???,12,Go to 12
5,*,9,レイチア,0,Branch,4,???,7,Go to 7
6,*,9,レイチア,0,Branch,30,???,9,Go to 9
7,*,9,レイチア,0,Branch,29,???,14,Go to 14
8,*,9,レイチア,0,Branch,30,???,16,Go to 16
9,*,9,レイチア,0,Branch,27,???,14,Go to 14
10,*,9,レイチア,0,Branch,24,???,15,Go to 15
11,*,9,レイチア,0,Branch,30,???,16,Go to 16
12,*,9,レイチア,0,Branch,25,???,16,Go to 16
13,*,9,レイチア,0,Branch,30,???,9,Go to 9
14,*,9,レイチア,1,Action,550,Attack,1,Same PC
15,*,9,レイチア,1,Action,551,Guard,-1,None
16,*,9,レイチア,1,Action,552,Run,-1,None
1,*,10,カイライ,0,Branch,21,???,3,Go to 3
2,*,10,カイライ,1,Action,550,Attack,1,Same PC
3,*,10,カイライ,1,Action,551,Guard,-1,None
1,*,11,フォカラルガ,0,Branch,33,???,3,Go to 3
2,*,11,フォカラルガ,0,Branch,22,???,9,Go to 9
3,*,11,フォカラルガ,0,Branch,35,???,5,Go to 5
4,*,11,フォカラルガ,0,Branch,22,???,8,Go to 8
5,*,11,フォカラルガ,0,Branch,21,???,7,Go to 7
6,*,11,フォカラルガ,1,Action,550,Attack,2,Random PC
7,*,11,フォカラルガ,1,Action,551,Guard,-1,None
8,*,11,フォカラルガ,1,Action,503,パニカ,14,PC w/o Confusion
9,*,11,フォカラルガ,1,Action,527,グラシィ,2,Random PC
1,*,12,ギジェリガー,0,Branch,44,???,3,Go to 3
2,*,12,ギジェリガー,0,Branch,30,???,4,Go to 4
3,*,12,ギジェリガー,0,Branch,27,???,28,Go to 28
4,*,12,ギジェリガー,0,Branch,17,???,20,Go to 20
5,*,12,ギジェリガー,0,Branch,36,???,16,Go to 16
6,*,12,ギジェリガー,0,Branch,11,???,8,Go to 8
7,*,12,ギジェリガー,0,Branch,30,???,9,Go to 9
8,*,12,ギジェリガー,0,Branch,23,???,24,Go to 24
9,*,12,ギジェリガー,0,Branch,12,???,11,Go to 11
10,*,12,ギジェリガー,0,Branch,30,???,12,Go to 12
11,*,12,ギジェリガー,0,Branch,21,???,24,Go to 24
12,*,12,ギジェリガー,0,Branch,22,???,25,Go to 25
13,*,12,ギジェリガー,0,Branch,27,???,23,Go to 23
14,*,12,ギジェリガー,0,Branch,25,???,26,Go to 26
15,*,12,ギジェリガー,0,Branch,30,???,27,Go to 27
16,*,12,ギジェリガー,0,Branch,25,???,23,Go to 23
17,*,12,ギジェリガー,0,Branch,24,???,26,Go to 26
18,*,12,ギジェリガー,0,Branch,26,???,27,Go to 27
19,*,12,ギジェリガー,0,Branch,30,???,28,Go to 28
20,*,12,ギジェリガー,0,Branch,24,???,26,Go to 26
21,*,12,ギジェリガー,0,Branch,25,???,27,Go to 27
22,*,12,ギジェリガー,0,Branch,30,???,28,Go to 28
23,*,12,ギジェリガー,1,Action,550,Attack,2,Random PC
24,*,12,ギジェリガー,1,Action,513,クイッカ,-1,None
25,*,12,ギジェリガー,1,Action,512,スリーパ,16,PC w/o Sleep
26,*,12,ギジェリガー,1,Action,62,仲間を呼ぶ,-1,None
27,*,12,ギジェリガー,1,Action,107,仲間を呼ぶ,-1,None
28,*,12,ギジェリガー,1,Action,552,Run,-1,None
1,*,13,アスフール,0,Branch,44,???,3,Go to 3
2,*,13,アスフール,0,Branch,30,???,4,Go to 4
3,*,13,アスフール,0,Branch,27,???,15,Go to 15
4,*,13,アスフール,0,Branch,25,???,13,Go to 13
5,*,13,アスフール,0,Branch,24,???,8,Go to 8
6,*,13,アスフール,0,Branch,27,???,11,Go to 11
7,*,13,アスフール,0,Branch,30,???,14,Go to 14
8,*,13,アスフール,0,Branch,25,???,16,Go to 16
9,*,13,アスフール,0,Branch,24,???,17,Go to 17
10,*,13,アスフール,0,Branch,30,???,18,Go to 18
11,*,13,アスフール,0,Branch,35,???,20,Go to 20
12,*,13,アスフール,0,Branch,30,???,19,Go to 19
13,*,13,アスフール,1,Action,550,Attack,2,Random PC
14,*,13,アスフール,1,Action,551,Guard,-1,None
15,*,13,アスフール,1,Action,552,Run,-1,None
16,*,13,アスフール,1,Action,200,仲間を呼ぶ,-1,None
17,*,13,アスフール,1,Action,201,仲間を呼ぶ,-1,None
18,*,13,アスフール,1,Action,108,仲間を呼ぶ,-1,None
19,*,13,アスフール,1,Action,517,ジェダ,2,Random PC
20,*,13,アスフール,1,Action,100,Ж術？,-1,None
1,*,14,盗掘者シモン,0,Branch,11,???,4,Go to 4
2,*,14,盗掘者シモン,0,Branch,12,???,6,Go to 6
3,*,14,盗掘者シモン,0,Branch,30,???,8,Go to 8
4,*,14,盗掘者シモン,0,Branch,27,???,14,Go to 14
5,*,14,盗掘者シモン,0,Branch,30,???,15,Go to 15
6,*,14,盗掘者シモン,0,Branch,50,???,14,Go to 14
7,*,14,盗掘者シモン,0,Branch,30,???,15,Go to 15
8,*,14,盗掘者シモン,0,Branch,50,???,11,Go to 11
9,*,14,盗掘者シモン,0,Branch,23,???,14,Go to 14
10,*,14,盗掘者シモン,0,Branch,30,???,15,Go to 15
11,*,14,盗掘者シモン,0,Branch,27,???,14,Go to 14
12,*,14,盗掘者シモン,0,Branch,26,???,15,Go to 15
13,*,14,盗掘者シモン,0,Branch,30,???,16,Go to 16
14,*,14,盗掘者シモン,1,Action,550,Attack,4,PC w/ Least HP
15,*,14,盗掘者シモン,1,Action,22,発破,2,Random PC
16,*,14,盗掘者シモン,1,Action,551,Guard,-1,None
1,*,15,ヌール,0,Branch,44,???,3,Go to 3
2,*,15,ヌール,0,Branch,30,???,4,Go to 4
3,*,15,ヌール,0,Branch,28,???,16,Go to 16
4,*,15,ヌール,0,Branch,0,???,7,Go to 7
5,*,15,ヌール,0,Branch,46,???,7,Go to 7
6,*,15,ヌール,0,Branch,29,???,15,Go to 15
7,*,15,ヌール,0,Branch,9,???,11,Go to 11
8,*,15,ヌール,0,Branch,27,???,14,Go to 14
9,*,15,ヌール,0,Branch,28,???,16,Go to 16
10,*,15,ヌール,0,Branch,30,???,17,Go to 17
11,*,15,ヌール,0,Branch,27,???,14,Go to 14
12,*,15,ヌール,0,Branch,28,???,15,Go to 15
13,*,15,ヌール,0,Branch,30,???,17,Go to 17
14,*,15,ヌール,1,Action,550,Attack,1,Same PC
15,*,15,ヌール,1,Action,210,ＨＰ吸収,3,PC w/ Most HP
16,*,15,ヌール,1,Action,552,Run,-1,None
17,*,15,ヌール,1,Action,551,Guard,-1,None
1,*,16,モクズ,0,Branch,45,???,3,Go to 3
2,*,16,モクズ,0,Branch,30,???,4,Go to 4
3,*,16,モクズ,0,Branch,26,???,16,Go to 16
4,*,16,モクズ,0,Branch,44,???,6,Go to 6
5,*,16,モクズ,0,Branch,30,???,7,Go to 7
6,*,16,モクズ,0,Branch,23,???,16,Go to 16
7,*,16,モクズ,0,Branch,11,???,10,Go to 10
8,*,16,モクズ,0,Branch,12,???,10,Go to 10
9,*,16,モクズ,0,Branch,30,???,12,Go to 12
10,*,16,モクズ,0,Branch,22,???,17,Go to 17
11,*,16,モクズ,0,Branch,22,???,18,Go to 18
12,*,16,モクズ,0,Branch,27,???,15,Go to 15
13,*,16,モクズ,0,Branch,25,???,19,Go to 19
14,*,16,モクズ,0,Branch,30,???,20,Go to 20
15,*,16,モクズ,1,Action,550,Attack,2,Random PC
16,*,16,モクズ,1,Action,552,Run,-1,None
17,*,16,モクズ,1,Action,504,ダウナ,17,PC w/o Weak
18,*,16,モクズ,1,Action,511,プワゾーク,-1,None
19,*,16,モクズ,1,Action,100,Ж術？,-1,None
20,*,16,モクズ,1,Action,551,Guard,-1,None
1,*,17,ツィツィ,0,Branch,44,???,3,Go to 3
2,*,17,ツィツィ,0,Branch,30,???,4,Go to 4
3,*,17,ツィツィ,0,Branch,24,???,12,Go to 12
4,*,17,ツィツィ,0,Branch,0,???,7,Go to 7
5,*,17,ツィツィ,0,Branch,46,???,7,Go to 7
6,*,17,ツィツィ,0,Branch,25,???,13,Go to 13
7,*,17,ツィツィ,0,Branch,33,???,9,Go to 9
8,*,17,ツィツィ,0,Branch,24,???,14,Go to 14
9,*,17,ツィツィ,0,Branch,21,???,12,Go to 12
10,*,17,ツィツィ,0,Branch,21,???,15,Go to 15
11,*,17,ツィツィ,1,Action,550,Attack,2,Random PC
12,*,17,ツィツィ,1,Action,552,Run,-1,None
13,*,17,ツィツィ,1,Action,211,ＨＰ吸収,3,PC w/ Most HP
14,*,17,ツィツィ,1,Action,532,ボルタ,2,Random PC
15,*,17,ツィツィ,1,Action,551,Guard,-1,None
1,*,18,セベスク,0,Branch,44,???,3,Go to 3
2,*,18,セベスク,0,Branch,30,???,4,Go to 4
3,*,18,セベスク,0,Branch,24,???,13,Go to 13
4,*,18,セベスク,0,Branch,40,???,15,Go to 15
5,*,18,セベスク,0,Branch,11,???,7,Go to 7
6,*,18,セベスク,0,Branch,30,???,8,Go to 8
7,*,18,セベスク,0,Branch,25,???,14,Go to 14
8,*,18,セベスク,0,Branch,27,???,11,Go to 11
9,*,18,セベスク,0,Branch,27,???,12,Go to 12
10,*,18,セベスク,0,Branch,30,???,13,Go to 13
11,*,18,セベスク,1,Action,550,Attack,2,Random PC
12,*,18,セベスク,1,Action,551,Guard,-1,None
13,*,18,セベスク,1,Action,552,Run,-1,None
14,*,18,セベスク,1,Action,20,ためる,-1,None
15,*,18,セベスク,1,Action,170,針千本,2,Random PC
1,*,19,ユールマラー,0,Branch,45,???,3,Go to 3
2,*,19,ユールマラー,0,Branch,30,???,4,Go to 4
3,*,19,ユールマラー,0,Branch,24,???,7,Go to 7
4,*,19,ユールマラー,0,Branch,21,???,7,Go to 7
5,*,19,ユールマラー,0,Branch,21,???,8,Go to 8
6,*,19,ユールマラー,1,Action,550,Attack,1,Same PC
7,*,19,ユールマラー,1,Action,552,Run,-1,None
8,*,19,ユールマラー,1,Action,551,Guard,-1,None
1,*,20,イルドゥス,0,Branch,44,???,3,Go to 3
2,*,20,イルドゥス,0,Branch,30,???,4,Go to 4
3,*,20,イルドゥス,0,Branch,28,???,16,Go to 16
4,*,20,イルドゥス,0,Branch,2,???,12,Go to 12
5,*,20,イルドゥス,0,Branch,4,???,7,Go to 7
6,*,20,イルドゥス,0,Branch,30,???,9,Go to 9
7,*,20,イルドゥス,0,Branch,28,???,14,Go to 14
8,*,20,イルドゥス,0,Branch,30,???,15,Go to 15
9,*,20,イルドゥス,0,Branch,26,???,14,Go to 14
10,*,20,イルドゥス,0,Branch,26,???,15,Go to 15
11,*,20,イルドゥス,0,Branch,30,???,16,Go to 16
12,*,20,イルドゥス,0,Branch,24,???,16,Go to 16
13,*,20,イルドゥス,0,Branch,30,???,9,Go to 9
14,*,20,イルドゥス,1,Action,550,Attack,1,Same PC
15,*,20,イルドゥス,1,Action,551,Guard,-1,None
16,*,20,イルドゥス,1,Action,552,Run,-1,None
1,*,21,ベルクロード,0,Branch,36,???,9,Go to 9
2,*,21,ベルクロード,0,Branch,11,???,4,Go to 4
3,*,21,ベルクロード,0,Branch,30,???,5,Go to 5
4,*,21,ベルクロード,0,Branch,22,???,15,Go to 15
5,*,21,ベルクロード,0,Branch,12,???,7,Go to 7
6,*,21,ベルクロード,0,Branch,30,???,8,Go to 8
7,*,21,ベルクロード,0,Branch,21,???,15,Go to 15
8,*,21,ベルクロード,0,Branch,22,???,16,Go to 16
9,*,21,ベルクロード,0,Branch,27,???,13,Go to 13
10,*,21,ベルクロード,0,Branch,25,???,14,Go to 14
11,*,21,ベルクロード,0,Branch,25,???,17,Go to 17
12,*,21,ベルクロード,0,Branch,30,???,18,Go to 18
13,*,21,ベルクロード,1,Action,550,Attack,2,Random PC
14,*,21,ベルクロード,1,Action,551,Guard,-1,None
15,*,21,ベルクロード,1,Action,501,アポス,-1,None
16,*,21,ベルクロード,1,Action,510,プワザ,16,PC w/o Sleep
17,*,21,ベルクロード,1,Action,88,仲間を呼ぶ,-1,None
18,*,21,ベルクロード,1,Action,115,仲間を呼ぶ,-1,None
1,*,22,ベルハウンド,0,Branch,36,???,9,Go to 9
2,*,22,ベルハウンド,0,Branch,11,???,4,Go to 4
3,*,22,ベルハウンド,0,Branch,30,???,5,Go to 5
4,*,22,ベルハウンド,0,Branch,22,???,15,Go to 15
5,*,22,ベルハウンド,0,Branch,12,???,7,Go to 7
6,*,22,ベルハウンド,0,Branch,30,???,8,Go to 8
7,*,22,ベルハウンド,0,Branch,21,???,15,Go to 15
8,*,22,ベルハウンド,0,Branch,22,???,16,Go to 16
9,*,22,ベルハウンド,0,Branch,27,???,13,Go to 13
10,*,22,ベルハウンド,0,Branch,25,???,14,Go to 14
11,*,22,ベルハウンド,0,Branch,25,???,17,Go to 17
12,*,22,ベルハウンド,0,Branch,30,???,18,Go to 18
13,*,22,ベルハウンド,1,Action,550,Attack,2,Random PC
14,*,22,ベルハウンド,1,Action,551,Guard,-1,None
15,*,22,ベルハウンド,1,Action,501,アポス,-1,None
16,*,22,ベルハウンド,1,Action,510,プワザ,16,PC w/o Sleep
17,*,22,ベルハウンド,1,Action,89,仲間を呼ぶ,-1,None
18,*,22,ベルハウンド,1,Action,115,仲間を呼ぶ,-1,None
1,*,23,ガトー,0,Branch,45,???,3,Go to 3
2,*,23,ガトー,0,Branch,30,???,4,Go to 4
3,*,23,ガトー,0,Branch,26,???,13,Go to 13
4,*,23,ガトー,0,Branch,44,???,6,Go to 6
5,*,23,ガトー,0,Branch,30,???,7,Go to 7
6,*,23,ガトー,0,Branch,23,???,13,Go to 13
7,*,23,ガトー,0,Branch,11,???,10,Go to 10
8,*,23,ガトー,0,Branch,29,???,12,Go to 12
9,*,23,ガトー,0,Branch,30,???,13,Go to 13
10,*,23,ガトー,0,Branch,23,???,14,Go to 14
11,*,23,ガトー,0,Branch,21,???,15,Go to 15
12,*,23,ガトー,1,Action,550,Attack,2,Random PC
13,*,23,ガトー,1,Action,552,Run,-1,None
14,*,23,ガトー,1,Action,513,クイッカ,-1,None
15,*,23,ガトー,1,Action,551,Guard,-1,None
1,*,24,デシェレト,0,Branch,41,???,9,Go to 9
2,*,24,デシェレト,0,Branch,2,???,7,Go to 7
3,*,24,デシェレト,0,Branch,5,???,8,Go to 8
4,*,24,デシェレト,0,Branch,1,???,8,Go to 8
5,*,24,デシェレト,0,Branch,24,???,8,Go to 8
6,*,24,デシェレト,0,Branch,21,???,10,Go to 10
7,*,24,デシェレト,1,Action,550,Attack,1,Same PC
8,*,24,デシェレト,1,Action,47,カタカタ震える,-1,None
9,*,24,デシェレト,1,Action,180,ファラオの業火,1,Same PC
10,*,24,デシェレト,1,Action,551,Guard,-1,None
1,*,25,イアールト,0,Branch,33,???,5,Go to 5
2,*,25,イアールト,0,Branch,28,???,9,Go to 9
3,*,25,イアールト,0,Branch,25,???,10,Go to 10
4,*,25,イアールト,0,Branch,30,???,13,Go to 13
5,*,25,イアールト,0,Branch,26,???,9,Go to 9
6,*,25,イアールト,0,Branch,25,???,11,Go to 11
7,*,25,イアールト,0,Branch,25,???,13,Go to 13
8,*,25,イアールト,0,Branch,30,???,12,Go to 12
9,*,25,イアールト,1,Action,550,Attack,2,Random PC
10,*,25,イアールト,1,Action,523,バーナ,-1,None
11,*,25,イアールト,1,Action,100,Ж術？,-1,None
12,*,25,イアールト,1,Action,552,Run,-1,None
13,*,25,イアールト,1,Action,551,Guard,-1,None
1,*,26,パラミス,0,Branch,44,???,3,Go to 3
2,*,26,パラミス,0,Branch,30,???,4,Go to 4
3,*,26,パラミス,0,Branch,29,???,16,Go to 16
4,*,26,パラミス,0,Branch,2,???,12,Go to 12
5,*,26,パラミス,0,Branch,4,???,7,Go to 7
6,*,26,パラミス,0,Branch,30,???,9,Go to 9
7,*,26,パラミス,0,Branch,29,???,14,Go to 14
8,*,26,パラミス,0,Branch,30,???,16,Go to 16
9,*,26,パラミス,0,Branch,27,???,14,Go to 14
10,*,26,パラミス,0,Branch,24,???,15,Go to 15
11,*,26,パラミス,0,Branch,30,???,16,Go to 16
12,*,26,パラミス,0,Branch,25,???,16,Go to 16
13,*,26,パラミス,0,Branch,30,???,9,Go to 9
14,*,26,パラミス,1,Action,550,Attack,1,Same PC
15,*,26,パラミス,1,Action,551,Guard,-1,None
16,*,26,パラミス,1,Action,552,Run,-1,None
1,*,27,コロガス,0,Branch,17,???,15,Go to 15
2,*,27,コロガス,0,Branch,36,???,10,Go to 10
3,*,27,コロガス,0,Branch,22,???,19,Go to 19
4,*,27,コロガス,0,Branch,23,???,20,Go to 20
5,*,27,コロガス,0,Branch,24,???,18,Go to 18
6,*,27,コロガス,0,Branch,24,???,21,Go to 21
7,*,27,コロガス,0,Branch,24,???,22,Go to 22
8,*,27,コロガス,0,Branch,25,???,23,Go to 23
9,*,27,コロガス,0,Branch,30,???,24,Go to 24
10,*,27,コロガス,0,Branch,25,???,18,Go to 18
11,*,27,コロガス,0,Branch,24,???,21,Go to 21
12,*,27,コロガス,0,Branch,26,???,22,Go to 22
13,*,27,コロガス,0,Branch,25,???,23,Go to 23
14,*,27,コロガス,0,Branch,30,???,24,Go to 24
15,*,27,コロガス,0,Branch,24,???,21,Go to 21
16,*,27,コロガス,0,Branch,25,???,22,Go to 22
17,*,27,コロガス,0,Branch,30,???,23,Go to 23
18,*,27,コロガス,1,Action,550,Attack,2,Random PC
19,*,27,コロガス,1,Action,504,ダウナ,17,PC w/o Weak
20,*,27,コロガス,1,Action,512,スリーパ,16,PC w/o Sleep
21,*,27,コロガス,1,Action,28,仲間を呼ぶ,-1,None
22,*,27,コロガス,1,Action,110,仲間を呼ぶ,-1,None
23,*,27,コロガス,1,Action,552,Run,-1,None
24,*,27,コロガス,1,Action,551,Guard,-1,None
1,*,28,マータ,0,Branch,26,???,4,Go to 4
2,*,28,マータ,0,Branch,28,???,5,Go to 5
3,*,28,マータ,0,Branch,30,???,6,Go to 6
4,*,28,マータ,1,Action,550,Attack,1,Same PC
5,*,28,マータ,1,Action,15,石化ブレス,13,PC w/o Stone
6,*,28,マータ,1,Action,551,Guard,-1,None
1,*,29,エルモ,0,Branch,1,???,9,Go to 9
2,*,29,エルモ,0,Branch,25,???,9,Go to 9
3,*,29,エルモ,0,Branch,24,???,7,Go to 7
4,*,29,エルモ,0,Branch,23,???,8,Go to 8
5,*,29,エルモ,0,Branch,33,???,11,Go to 11
6,*,29,エルモ,0,Branch,30,???,10,Go to 10
7,*,29,エルモ,1,Action,550,Attack,2,Random PC
8,*,29,エルモ,1,Action,551,Guard,-1,None
9,*,29,エルモ,1,Action,552,Run,-1,None
10,*,29,エルモ,1,Action,523,バーナ,-1,None
11,*,29,エルモ,1,Action,100,Ж術？,-1,None
1,*,30,エルモック,0,Branch,1,???,11,Go to 11
2,*,30,エルモック,0,Branch,25,???,11,Go to 11
3,*,30,エルモック,0,Branch,11,???,5,Go to 5
4,*,30,エルモック,0,Branch,30,???,6,Go to 6
5,*,30,エルモック,0,Branch,25,???,12,Go to 12
6,*,30,エルモック,0,Branch,25,???,9,Go to 9
7,*,30,エルモック,0,Branch,25,???,10,Go to 10
8,*,30,エルモック,0,Branch,30,???,13,Go to 13
9,*,30,エルモック,1,Action,550,Attack,2,Random PC
10,*,30,エルモック,1,Action,551,Guard,-1,None
11,*,30,エルモック,1,Action,552,Run,-1,None
12,*,30,エルモック,1,Action,500,アパ,11,EC w/o Strengthen
13,*,30,エルモック,1,Action,100,Ж術？,-1,None
1,*,31,ヘムヘム,0,Branch,44,???,3,Go to 3
2,*,31,ヘムヘム,0,Branch,30,???,4,Go to 4
3,*,31,ヘムヘム,0,Branch,28,???,16,Go to 16
4,*,31,ヘムヘム,0,Branch,17,???,10,Go to 10
5,*,31,ヘムヘム,0,Branch,25,???,13,Go to 13
6,*,31,ヘムヘム,0,Branch,25,???,14,Go to 14
7,*,31,ヘムヘム,0,Branch,26,???,15,Go to 15
8,*,31,ヘムヘム,0,Branch,25,???,16,Go to 16
9,*,31,ヘムヘム,0,Branch,30,???,17,Go to 17
10,*,31,ヘムヘム,0,Branch,25,???,14,Go to 14
11,*,31,ヘムヘム,0,Branch,25,???,15,Go to 15
12,*,31,ヘムヘム,0,Branch,30,???,16,Go to 16
13,*,31,ヘムヘム,1,Action,550,Attack,2,Random PC
14,*,31,ヘムヘム,1,Action,29,仲間を呼ぶ,-1,None
15,*,31,ヘムヘム,1,Action,98,仲間を呼ぶ,-1,None
16,*,31,ヘムヘム,1,Action,552,Run,-1,None
17,*,31,ヘムヘム,1,Action,551,Guard,-1,None
1,*,32,調査兵,0,Branch,21,???,5,Go to 5
2,*,32,調査兵,0,Branch,23,???,4,Go to 4
3,*,32,調査兵,1,Action,550,Attack,2,Random PC
4,*,32,調査兵,1,Action,70,手りゅう弾,2,Random PC
5,*,32,調査兵,1,Action,551,Guard,-1,None
1,*,33,ガランガラン,0,Branch,34,???,3,Go to 3
2,*,33,ガランガラン,0,Branch,22,???,7,Go to 7
3,*,33,ガランガラン,0,Branch,26,???,6,Go to 6
4,*,33,ガランガラン,0,Branch,28,???,8,Go to 8
5,*,33,ガランガラン,0,Branch,30,???,9,Go to 9
6,*,33,ガランガラン,1,Action,550,Attack,2,Random PC
7,*,33,ガランガラン,1,Action,524,バーニィ,-1,None
8,*,33,ガランガラン,1,Action,40,疲労かぶり,1,Same PC
9,*,33,ガランガラン,1,Action,551,Guard,-1,None
1,*,34,マブルール,0,Branch,44,???,3,Go to 3
2,*,34,マブルール,0,Branch,30,???,4,Go to 4
3,*,34,マブルール,0,Branch,26,???,17,Go to 17
4,*,34,マブルール,0,Branch,2,???,6,Go to 6
5,*,34,マブルール,0,Branch,30,???,7,Go to 7
6,*,34,マブルール,0,Branch,28,???,18,Go to 18
7,*,34,マブルール,0,Branch,1,???,9,Go to 9
8,*,34,マブルール,0,Branch,30,???,10,Go to 10
9,*,34,マブルール,0,Branch,24,???,18,Go to 18
10,*,34,マブルール,0,Branch,35,???,12,Go to 12
11,*,34,マブルール,0,Branch,22,???,19,Go to 19
12,*,34,マブルール,0,Branch,22,???,18,Go to 18
13,*,34,マブルール,0,Branch,27,???,16,Go to 16
14,*,34,マブルール,0,Branch,26,???,20,Go to 20
15,*,34,マブルール,0,Branch,30,???,17,Go to 17
16,*,34,マブルール,1,Action,550,Attack,2,Random PC
17,*,34,マブルール,1,Action,552,Run,-1,None
18,*,34,マブルール,1,Action,271,毒自爆,-1,None
