Entry ID,EU Message ID,[DE Entry Name Pos.],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos.],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos.],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos.],[GB Entry Name Size],GB Entry Name,Pos. ID,[Pos. Name],Pad. 1,Feat. ID,[Feat. Name],Pad. 2,Feat. Value,Ship Effect ID,[Ship Effect Name],Ship Effect Spirit,Ship Effect Turns,Pad. 3,Pad. 4,Pad. 5,Ship Effect Amount,Unk.,Pad. 6,Pad. 7,Pad. 8,Pad. 9,[DE Descr. Pos.],[DE Descr. Size],DE Descr. Str.,[ES Descr. Pos.],[ES Descr. Size],ES Descr. Str.,[FR Descr. Pos.],[FR Descr. Size],FR Descr. Str.,[GB Descr. Pos.],[GB Descr. Size],GB Descr. Str.
10,0x8c37458c,0x1b607,7,Izmael,0x1bb13,7,Izmael,0x1bfc6,7,Izmael,0x1b5d7,7,Izmael,5,Builder,0,96,Special Attack,0,100,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x18ce4,98,Having Izmael in your active crew will increase\\nthe destructive power of your Moon Stone Cannon.,0x1907e,99,"Si tienes a Izmael en tu tripulacion, aumentara el\\npoder destructivo de tu Canon de Piedra lunar.",0x194ac,93,Avoir Izmael dans votre équipage augmentera\\nle pouvoir destructeur du Canon Pierre de Lune.,0x18cb4,98,Having Izmael in your active crew will increase\\nthe destructive power of your Moon Stone Cannon.
11,0x8c374594,0x1b60e,7,Kirala,0x1bb1a,7,Kirala,0x1bfcd,7,Kirala,0x1b5de,7,Kirala,5,Builder,0,-1,None,0,0,101,Recover HP to 100% (Ship),7,0,0,0,0,0,1,0,0,0,0,0x18d46,68,"Using the Crew Command, she will replenish your\\nship's HP to full.",0x190e1,77,Kirala restaurara toda la Salud de tu navio\\nal usar el Comando Tripulacion.,0x19509,78,"À l'aide de la Commande Équipage, elle\\nredonnera à votre navire tous ses PV.",0x18d16,68,"Using the Crew Command, she will replenish your\\nship's HP to full."
12,0x8c37459c,0x1b615,6,Polly,0x1bb21,6,Polly,0x1bfd4,6,Polly,0x1b5e5,6,Polly,6,Cook,0,-1,None,0,0,117,Recover MP (Ship),6,-1,0,0,0,10,130,0,0,0,0,0x18d8a,64,"Using the Crew Command, she will replenish one\\ncharacter's MP.",0x1912e,86,Polly restaurara los puntos de Magia de un\\npersonaje al usar el Comando Tripulacion.,0x19557,74,"À l'aide de la Commande Équipage, elle redonnera\\nà un personnage ses PM.",0x18d5a,64,"Using the Crew Command, she will replenish one\\ncharacter's MP."
13,0x8c3745a4,0x1b61b,6,Urala,0x1bb27,6,Urala,0x1bfda,6,Urala,0x1b5eb,6,Urala,6,Cook,0,-1,None,0,0,103,Recover Spirit to 100% (Ship),15,-1,0,0,0,0,9,0,0,0,0,0x18dca,62,"Using the Crew Command, she will max out\\nyour Spirit Points.",0x19184,73,Urala maximizara tus puntos de Espiritu\\nal usar el Comando Tripulacion.,0x195a1,85,"En utilisant la commande Équipage, elle vous\\nredonnera un maximum de point d'esprit",0x18d9a,62,"Using the Crew Command, she will max out\\nyour Spirit Points."
14,0x8c3745ac,0x1b621,8,Ryu-kan,0x1bb2d,8,Ryu-kan,0x1bfe0,8,Ryu-kan,0x1b5f1,8,Ryu-kan,7,Artisan,0,-1,None,0,0,105,Add Strengthen (Ship),15,4,0,0,0,0,0,0,0,0,0,0x18e08,89,"Using the Crew Command, he will raise your \\nship's Attack and Defense for a short time.",0x191cd,89,Ryu-kan mejorara el poder de Ataque y Defensa\\ndel navio al usar el Comando Tripulacion.,0x195f6,96,"En utilisant la commande Équipage, il augmentera\\nbrièvement l'attaque et la défense du navire.",0x18dd8,89,"Using the Crew Command, he will raise your \\nship's Attack and Defense for a short time."
15,0x8c3745b4,0x1b629,9,Ilchymis,0x1bb35,9,Ilchymis,0x1bfe8,9,Ilchymis,0x1b5f9,9,Ilchymis,7,Artisan,0,-1,None,0,0,108,Improve Parameters (Ship),8,8,0,0,0,50,0,0,0,0,0,0x18e61,90,"Using the Crew Command, he will raise your\\nship's attributes for a short period of time.",0x19226,92,Ilchymis aumentara los atributos de tu navio\\ntemporalmente al usar el Comando Tripulacion.,0x19656,91,"À l'aide de la Commande Équipage, il augmentera\\nbrièvement les attributs de votre navire.",0x18e31,90,"Using the Crew Command, he will raise your\\nship's attributes for a short period of time."
16,0x8c3745c0,0x1b632,6,Marco,0x1bb3e,6,Marco,0x1bff1,6,Marco,0x1b602,6,Marco,8,Sailor,0,-1,None,0,0,114,Incr. Spirit Restoration to 200% (Ship),8,-1,0,0,0,0,0,0,0,0,0,0x18ebb,80,"Using the Crew Command, he will double all of\\nyour Spirit Points for one turn.",0x19282,91,"Marco duplicara todos tus puntos de Espiritu, 1\\nturno cuando uses el Comando Tripulacion.",0x196b1,88,"À l'aide de la Commande Équipage, il doublera\\ntous vos point d'esprit pendant un tour.",0x18e8b,80,"Using the Crew Command, he will double all of\\nyour Spirit Points for one turn."
17,0x8c3745c8,0x1b638,9,Robinson,0x1bb44,9,Robinson,0x1bff7,9,Robinson,0x1b608,9,Robinson,8,Sailor,0,-1,None,0,0,113,Decr. Spirit Consumption to 50% (Ship),8,0,0,0,0,0,0,0,0,0,0,0x18f0b,87,"Using the Crew Command, he will reduce the\\nSpirit Points cost for actions for a turn.",0x192dd,90,Robinson reducira tu gasto de puntos de\\nEspiritu 1 turno al usar el Comando Tripulacion.,0x19709,87,"Grâce à la commande Équipage, il réduira les\\nPoints d'esprit utilisés pendant 1 tour.",0x18edb,87,"Using the Crew Command, he will reduce the\\nSpirit Points cost for actions for a turn."
18,0x8c3745d4,0x1b641,4,Pow,0x1bb4d,4,Pow,0x1c000,4,Pow,0x1b611,4,Pow,9,Jester,0,-1,None,0,0,111,Improve First Strike% (Ship),4,0,0,0,0,0,0,0,0,0,0,0x18f62,88,"Using the Crew Command, he will raise your\\nchances of attacking first for a full turn.",0x19337,94,Pow te hara ser el primero en atacar durante 1\\n turno entero al usar el Comando Tripulacion.,0x19760,92,"Grâce à la commande Équipage, il augmentera\\nvos chances d'attaquer en 1er pendant un tour.",0x18f32,88,"Using the Crew Command, he will raise your\\nchances of attacking first for a full turn."
19,0x8c3745d8,0x1b645,7,Merida,0x1bb51,7,Merida,0x1c004,7,Merida,0x1b615,7,Merida,9,Jester,0,7,Value,0,10000,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,0x18fba,68,Having Merida in your active crew will increase\\nyour ship's value.,0x19395,63,"Con Merida en tu tripulacion,\\naumentara el valor de tu barco.",0x197bc,83,Avoir Merida comme membre de votre équipage\\naugmentera la valeur de votre navire.,0x18f8a,68,Having Merida in your active crew will increase\\nyour ship's value.
20,0x8c3745e0,0x1b64c,6,Moegi,0x1bb58,6,Moegi,0x1c00b,6,Moegi,0x1b61c,6,Moegi,10,Delegate,0,-1,None,0,0,110,Block Magic (Ship),10,0,0,0,0,0,0,0,0,0,0,0x18ffe,86,"Using the Crew Command, she will protect your\\nship from enemy magic for a full turn.",0x193d4,88,"Moegi protegera tu navio de magia enemiga\\npor 1 turno, al usar el Comando Tripulacion.",0x1980f,99,"À l'aide de la Commande Équipage, elle protègera\\nvotre navire de la magie ennemie pendant 1 tour.",0x18fce,86,"Using the Crew Command, she will protect your\\nship from enemy magic for a full turn."
21,0x8c3745e8,0x1b652,6,Pinta,0x1bb5e,6,Pinta,0x1c011,6,Pinta,0x1b622,6,Pinta,10,Delegate,0,-1,None,0,0,109,Block Artillery (Ship),10,0,0,0,0,0,0,0,0,0,0,0x19054,91,"Using the Crew Command, he will protect your\\nship from enemy cannon fire for a full turn.",0x1942c,91,Pinta protegera tu navio de canones enemigos\\npor 1 turno al usar  el Comando Tripulacion.,0x19872,97,"À l'aide de la Commande Équipage, il protègera\\nvotre navire des canons ennemis pendant un tour.",0x19024,91,"Using the Crew Command, he will protect your\\nship from enemy cannon fire for a full turn."
