Entry ID,EU Message ID,[ DE Entry Name Pos.],[ DE Entry Name Size],DE Entry Name,[ ES Entry Name Pos.],[ ES Entry Name Size],ES Entry Name,[ FR Entry Name Pos.],[ FR Entry Name Size],FR Entry Name,[ GB Entry Name Pos.],[ GB Entry Name Size],GB Entry Name,PC ID,[PC Name],Retail Price in %,Order by Prio.,EU Order by ABC,Effect ID,[Effect Name],Pad. 1,Purchase Price,Attack,Hit%,Feat. ID,[Feat. Name],Pad. 2,Feat. Value,[ DE Descr. Pos.],[ DE Descr. Size],DE Descr. Str.,[ ES Descr. Pos.],[ ES Descr. Size],ES Descr. Str.,[ FR Descr. Pos.],[ FR Descr. Size],FR Descr. Str.,[ GB Descr. Pos.],[ GB Descr. Size],GB Descr. Str.
26,0x8c372a70,0x19922,13,Wing of Hope,0x19d01,17,Ala de Esperanza,0x1a178,14,Aile d'Espoir,0x198f2,13,Wing of Hope,1,Aika,50,27,71,-1,None,0,4760,119,110,-1,None,0,0,0xfddd,93,Crafted in memory of those lost in the Dark Rift\\nand in hopes that others will fare better.,0xfdca,92,"Hecha en memoria de los desaparecidos en la\\nGruta Oscura, para dar esperanza a los nuevos.",0xffdc,91,Réalisée en mémoire des disparus du Récif Noir\\ndans l'espoir que d'autres s'en sortiront.,0xfdad,93,Crafted in memory of those lost in the Dark Rift\\nand in hopes that others will fare better.
27,0x8c372a80,0x1992f,11,Storm Wing,0x19d12,16,Ala de Tormenta,0x1a186,13,Aile d'Orage,0x198ff,11,Storm Wing,1,Aika,50,23,59,2,Weak,0,1280,69,150,-1,None,0,0,0xfe3a,91,"Used by guards in an ancient imperial palace,\\nthis blade has the power to weaken enemies.",0xfe26,92,Usada por los guardias de un antiguo palacio\\nimperial. Su función es debilitar al enemigo.,0x10037,97,"Épée utilisée par les gardes d'un ancien palais\\nimpérial, a le pouvoir d'affaiblir les ennemis.",0xfe0a,91,"Used by guards in an ancient imperial palace,\\nthis blade has the power to weaken enemies."
28,0x8c372a8c,0x1993a,10,Moon Wing,0x19d22,10,Ala Lunar,0x1a193,13,Aile de Lune,0x1990a,10,Moon Wing,1,Aika,50,31,45,-1,None,0,10170,161,110,-1,None,0,0,0xfe95,96,"A superb weapon created by the master, Ryu-kan.\\nA perfect balance of design and functionality.",0xfe82,96,Insuperable arma creada por el maestro Ryu-kan.\\nPerfecto equilibrio de diseño y funcionalidad.,0x10098,91,Arme superbe créée par maître Ryu-kan. Parfait\\néquilibre entre fonctionnel et esthétique.,0xfe65,96,"A superb weapon created by the master, Ryu-kan.\\nA perfect balance of design and functionality."
29,0x8c372a98,0x19944,11,Hydra Wing,0x19d2c,10,Ala Hydra,0x1a1a0,13,Aile d'Hydra,0x19914,11,Hydra Wing,1,Aika,50,32,37,-1,None,0,11390,168,110,-1,None,0,0,0xfef5,87,A boomerang modified by the Valuan army with\\nreinforcement for close-quarters combat.,0xfee2,88,Un boomerang reforzado por el ejército de Valua\\npara usar en combates cuerpo a cuerpo.,0x100f3,88,Un boomerang modifié par l'armée Valuan avec\\nrenforcement pour les combats rapprochés.,0xfec5,87,A boomerang modified by the Valuan army with\\nreinforcement for close-quarters combat.
30,0x8c372aa4,0x1994f,13,Grendel Wing,0x19d36,12,Ala Grendel,0x1a1ad,16,Aile de Grendel,0x1991f,13,Grendel Wing,1,Aika,50,25,33,-1,None,0,2820,96,150,32,Green,0,-2,0xff4c,88,A boomerang made from a bone of the Green Gigas.\\nIts power rivals the Fist of Grendel.,0xff3a,90,Boomerang hecho con un hueso del Gigas Verde.\\nSu poder es comparable al Puño de Grendel.,0x1014b,96,Un boomerang fabriqué avec un os de Gigas Vert.\\nSon pouvoir rivalise avec le Poing de Grendel.,0xff1c,88,A boomerang made from a bone of the Green Gigas.\\nIts power rivals the Fist of Grendel.
31,0x8c372ab4,0x1995c,14,Flutter Blade,0x19d42,15,Hoja Oscilante,0x1a1bd,13,Lame Volante,0x1992c,14,Flutter Blade,1,Aika,50,30,29,3,Confusion 1,0,8910,153,110,-1,None,0,0,0xffa4,96,A double-bladed boomerang with an unpredictable\\nflight path. It can induce Confuse in enemies.,0xff94,89,Boomerang de doble hoja cuya trayectoria de vuelo\\nes impredecible. Confunde al enemigo.,0x101ab,93,Boomerang à double tranchant. Sa trajectoire\\nest imprévisible ce qui peut tromper l'ennemi.,0xff74,96,A double-bladed boomerang with an unpredictable\\nflight path. It can induce Confuse in enemies.
32,0x8c372ac4,0x1996a,6,Cupil,0x19d51,6,Cupil,0x1a1ca,6,Cupil,0x1993a,6,Cupil,2,Fina,0,34,7,-1,None,0,0,58,120,-1,None,0,0,0x10004,88,An artificial life form created by Silvites.\\nCupil has been with Fina since she was 4.,0xffed,94,Forma de vida artificial creada por Silvites.\\nFina recogió a Cupil cuando ella tenía 4 años.,0x10208,91,Espèce artificielle créée par les Silvites.\\nCupil accompagne Fina depuis qu'elle a 4 ans.,0xffd4,88,An artificial life form created by Silvites.\\nCupil has been with Fina since she was 4.
33,0x8c372acc,0x19970,12,Cupil Lance,0x19d57,12,Lanza Cupil,0x1a1d0,12,Lance Cupil,0x19940,12,Cupil Lance,2,Fina,0,41,14,-1,None,0,0,110,120,-1,None,0,0,0x1005c,78,Cupil morphs into a lance and lunges itself at\\nwhatever enemy Fina commands.,0x1004b,87,Cupil se transforma en lanza y se arroja contra\\ncualquier enemigo que Fina le ordene.,0x10263,76,Cupil se change en lance et se jette sur\\nl'ennemi au commandement de Fina.,0x1002c,78,Cupil morphs into a lance and lunges itself at\\nwhatever enemy Fina commands.
34,0x8c372ad8,0x1997c,11,Cupil Star,0x19d63,15,Estrella Cupil,0x1a1dc,13,Étoile Cupil,0x1994c,11,Cupil Star,2,Fina,0,40,18,-1,None,0,0,103,120,-1,None,0,0,0x100aa,57,Cupil morphs into a star and spirals towards its\\nenemy.,0x100a2,74,Cupil se transforma en estrella y se lanza en\\nespiral contra el enemigo.,0x102af,63,Cupil se change en étoile et fonce en spirale\\nsur son ennemi.,0x1007a,57,Cupil morphs into a star and spirals towards its\\nenemy.
35,0x8c372ae4,0x19987,9,Cupicone,0x19d72,9,Cupicono,0x1a1e9,9,Cupicône,0x19957,9,Cupicone,2,Fina,0,36,6,-1,None,0,0,73,120,-1,None,0,0,0x100e3,61,"Morphs into a sharp cone, and lunges itself\\nat its enemies.",0x100ec,64,Se transforma en un cono afilado y arremete contra\\nel enemigo.,0x102ee,56,"Se change en cône pointu, et se jette sur ses\\nennemis.",0x100b3,61,"Morphs into a sharp cone, and lunges itself\\nat its enemies."
36,0x8c372af0,0x19990,12,Cupil Spear,0x19d7b,12,Arpón Cupil,0x1a1f2,12,Pique Cupil,0x19960,12,Cupil Spear,2,Fina,0,46,16,-1,None,0,0,147,120,-1,None,0,0,0x10120,76,Morphs into a barbed spearhead. Each barb\\nhelps Cupil inflict more damage.,0x1012c,91,Se transforma en una punta de lanza con púas y\\ncada púa ayuda a Cupil a causar más daños.,0x10326,76,Cupil se change en lance barbelée qui lui\\npermet de causer plus de dégâts.,0x100f0,76,Morphs into a barbed spearhead. Each barb\\nhelps Cupil inflict more damage.
37,0x8c372afc,0x1999c,12,Cupil Blade,0x19d87,15,Cuchillo Cupil,0x1a1fe,11,Lame Cupil,0x1996c,12,Cupil Blade,2,Fina,0,35,8,4,Silence 1,0,0,67,115,-1,None,0,0,0x1016c,66,Cupil learns the ability to morph into an\\nextremely sharp knife.,0x10187,74,Cupil adquiere la habilidad de transformarse en un\\ncuchillo afiladísimo.,0x10372,62,Cupil apprend à se changer en couteau\\nextrêmement tranchant.,0x1013c,66,Cupil learns the ability to morph into an\\nextremely sharp knife.
38,0x8c372b08,0x199a8,12,Cupil Sword,0x19d96,13,Espada Cupil,0x1a209,11,Épée Cupil,0x19978,12,Cupil Sword,2,Fina,0,38,19,4,Silence 1,0,0,90,115,-1,None,0,0,0x101ae,69,"By morphing into a sword, Cupil can cleave\\nalmost any enemy in two.",0x101d1,87,"Transformándose en espada, Cupil puede partir\\na casi todos sus enemigos por la mitad.",0x103b0,78,"En se changeant en épée, Cupil peut fendre en\\ndeux presque tous les ennemis.",0x1017e,69,"By morphing into a sword, Cupil can cleave\\nalmost any enemy in two."
39,0x8c372b14,0x199b4,14,Cupil Cutlass,0x19da3,12,Sable Cupil,0x1a214,12,Sabre Cupil,0x19984,14,Cupil Cutlass,2,Fina,0,43,12,4,Silence 1,0,0,127,115,-1,None,0,0,0x101f3,77,Cupil learned to morph into a cutlass by\\nwatching Vyse fight. Cupil Fury!!!,0x10228,97,Cupil aprende a transformarse en sable viendo\\npelear a Vyse. Confunde al enemigo. ¡Furia Cupil!,0x103fe,86,Cupil a appris à se changer en sabre en\\nregardant Vyse se battre. Furie de Cupil !!!,0x101c3,77,Cupil learned to morph into a cutlass by\\nwatching Vyse fight. Cupil Fury!!!
40,0x8c372b24,0x199c2,15,Cupil Claymore,0x19daf,15,Cupil Claymore,0x1a220,15,Claymore Cupil,0x19992,15,Cupil Claymore,2,Fina,0,47,10,4,Silence 1,0,0,157,115,-1,None,0,0,0x10240,95,"Morphing into a giant 2-handed sword, Cupil can\\ncause massive amounts of damage on any enemy.",0x10289,89,Cupil se convierte en una espada gigante de doble\\nhoja y causa muchos danos al enemigo.,0x10454,82,"En se changeant en épée géante à 2 lames,\\nCupil peut gravement blesser l'ennemi.",0x10210,95,"Morphing into a giant 2-handed sword, Cupil can\\ncause massive amounts of damage on any enemy."
41,0x8c372b34,0x199d1,13,Cupil Cannon,0x19dbe,12,Cañón Cupil,0x1a22f,12,Canon Cupil,0x199a1,13,Cupil Cannon,2,Fina,0,37,9,-1,None,0,0,86,105,20,Dodge%,0,5,0x1029f,84,"Morphs into a small, but heavy, cannonball,\\nand drops on an enemy from high above.",0x102e2,96,"Se transforma en una pequeña, pero pesada, bala de\\ncañón y cae sobre el enemigo desde lo alto.",0x104a6,82,"Se change en boule de canon, petite mais lourde\\net tombe de haut sur un ennemi. ",0x1026f,84,"Morphs into a small, but heavy, cannonball,\\nand drops on an enemy from high above."
42,0x8c372b44,0x199de,12,Cupil Spike,0x19dca,15,Cupil con púas,0x1a23b,13,Pointe Cupil,0x199ae,12,Cupil Spike,2,Fina,0,44,17,-1,None,0,0,141,105,20,Dodge%,0,10,0x102f3,94,"Cupil morphs into a spike-laden board and drops\\non an enemy's head. It misses a lot, though.",0x10342,94,Cupil se convierte en una tabla llena de púas y\\ncae sobre sus enemigos. También falla mucho.,0x104f8,97,Cupil se change en planche couverte de pointes\\n& tombe sur la tête d'un ennemi. Échoue souvent.,0x102c3,94,"Cupil morphs into a spike-laden board and drops\\non an enemy's head. It misses a lot, though."
43,0x8c372b50,0x199ea,13,Cupil Weight,0x19dd9,13,Cupil Pesado,0x1a248,15,Poids de Cupil,0x199ba,13,Cupil Weight,2,Fina,0,48,20,-1,None,0,0,172,105,20,Dodge%,0,15,0x10351,97,"Cupil uses magic to increase its own weight many\\ntimes over, and then drops on an enemy's head.",0x103a0,93,"Haciendo magia, Cupil multiplica su propio peso\\ny se deja caer sobre la cabeza del enemigo.",0x10559,89,"Cupil fait un tour de magie pour augmenter son\\npoids, et tombe sur la tête d'un ennemi.",0x10321,97,"Cupil uses magic to increase its own weight many\\ntimes over, and then drops on an enemy's head."
