Entry ID,EU Message ID,[DE Entry Name Pos.],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos.],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos.],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos.],[GB Entry Name Size],GB Entry Name,Element ID,[Element Name],Pad. 1,Order by Prio.,Occ. Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Prio.,Effect SP,Pad. 2,Pad. 3,Effect Value,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad. 4,Pad. 5,Pad. 6,Ship Occ. ID,[Ship Occ. Name],Pad. 7,Ship Effect ID,[Ship Effect Name],Ship Effect SP,Ship Effect Turns,Ship Effect Amount,Unk.,Pad. 8,Pad. 9,Pad. 10,[DE Descr. Pos.],[DE Descr. Size],DE Descr. Str.,[ES Descr. Pos.],[ES Descr. Size],ES Descr. Str.,[FR Descr. Pos.],[FR Descr. Size],FR Descr. Str.,[GB Descr. Pos.],[GB Descr. Size],GB Descr. Str.,[DE Ship Descr. Pos.],[DE Ship Descr. Size],DE Ship Descr. Str.,[ES Ship Descr. Pos.],[ES Ship Descr. Size],ES Ship Descr. Str.,[FR Ship Descr. Pos.],[FR Ship Descr. Size],FR Ship Descr. Str.,[GB Ship Descr. Pos.],[GB Ship Descr. Size],GB Ship Descr. Str.
10,0x8c346590,0x19c74,5,Noxi,0x1989e,5,Noxi,0x19c28,5,Noxi,0x1953c,5,Noxi,0,Green,0,50,0x2,"",X,"",4,"Damage, Poison",3,Single EC,6,Magic,0,3,0,0,60,1,Magical,0,Poison,40,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0xe518,95,Schädigt und vergiftet einen Feind. Am besten\\nzu Beginn langer Kämpfe verwenden.         SP 3,0xe311,98,Debilita y envenena a uno de los enemigos.Mejor\\nusarlo al principio de una batalla larga.   SEP3,0xe3c2,93,Blesse et empoisonne un ennemi. Mieux vaut\\nl'utiliser au début de longues batailles.   ES 3,0xe101,97,Damages and Poisons any one enemy. Best if used\\nat the beginning of long battles.          SP 3,0x18909,30,Kann nicht benutzt werden.\\n ,0x1855a,20,No puede usarse.\\n ,0x187ff,25,Ne peut être utilisé.\\n ,0x1825a,24,Cannot be used.\\n------
11,0x8c346598,0x19c79,6,Noxus,0x198a3,6,Noxus,0x19c2d,6,Noxus,0x19541,6,Noxus,0,Green,0,51,0x2,"",X,"",4,"Damage, Poison",4,All ECs,6,Magic,0,6,0,0,100,1,Magical,0,Poison,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0xe577,95,Schädigt und vergiftet alle Feinde. Am besten\\nzu Beginn langer Kämpfe verwenden.         SP 6,0xe373,97,Debilita y envenena a todos los enemigos.Mejor\\nusarlo al principio de una batalla larga.   SEP6,0xe41f,99,Blesse & empoisonne tous les ennemis. Mieux vaut\\nl'utiliser au début de longues batailles.   ES 6,0xe162,95,Damages and Poisons all enemies. Best if used\\nat the beginning of long battles.          SP 6,0x18927,30,Kann nicht benutzt werden.\\n ,0x1856e,21,No puede usarse. \\n ,0x18818,25,Ne peut être utilisé.\\n ,0x18272,24,Cannot be used.\\n------
12,0x8c3465a0,0x19c7f,8,Slipara,0x198a9,8,Slipara,0x19c33,8,Slipara,0x19547,8,Slipara,3,Blue,0,110,0x2,"",X,"",9,Sleep,4,All ECs,6,Magic,0,6,0,0,0,0,Physical,3,Sleep,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0xe5d6,91,Lässt mit etwas Glück alle Feinde auf dem\\nBildschirm in tiefsten Schlaf sinken.      SP 6,0xe3d4,93,Hace que todos los enemigos en pantalla se\\nduerman.                                    SEP6,0xe482,99,Offre la possibilité d'endormir tous les ennemis\\nà l'écran.                                  ES 6,0xe1c1,94,Has a chance to put all enemies on screen to\\nSleep.                                     SP 6,0x18945,30,Kann nicht benutzt werden.\\n ,0x18583,21,No puede usarse. \\n ,0x18831,25,Ne peut être utilisé.\\n ,0x1828a,24,Cannot be used.\\n------
13,0x8c3465a8,0x19c87,6,Quika,0x198b1,6,Quika,0x19c3b,6,Quika,0x1954f,6,Quika,3,Blue,0,70,0x3,"",X,X,20,Quickened,2,All PCs,6,Magic,0,6,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,104,Quickened,6,1,0,-1,0,0,0,0xe631,87,Verdoppelt die Geschwindigkeit aller \\nVerbündeten. Erleichtert die Flucht.       SP 6,0xe431,91,Dobla la velocidad de todos los aliados.\\nTambién hace más fácil huir de las batallas.SEP6,0xe4e5,95,"Double la vitesse de tous les alliés, ce qui\\npermet aussi de fuir plus vite les combats. ES 6",0xe21f,97,"Doubles the speed of all allies. Also, it makes\\nit easier to run from battles.             SP 6",0x18963,91,Verdoppelt Geschwindigkeit des Schiffes.\\nEffekt hält für 2 Runden an.                6 SP,0x18598,79,Dobla la velocidad del barco.\\nEl efecto dura 2 turnos.                    6SP,0x1884a,79,Double la vitesse du navire.\\nLes effets durent 2 tours.                  6 ES,0x182a2,70,Doubles ship speed.\\nEffect lasts for 2 rounds.                  6 SP
14,0x8c3465b0,0x19c8d,6,Curia,0x198b7,6,Curia,0x19c41,6,Curia,0x19555,6,Curia,5,Silver,0,80,0x2,"",X,"",30,Rem. Neg. States,1,Single PC,6,Magic,0,2,0,0,0,0,Physical,-1,None,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0xe688,95,Kuriert einen Verbündeten von allen negativen\\nEffekten (außer Bewusstlosigkeit).         SP 2,0xe48c,88,Cura a un aliado de todos los efectos\\nadversos (excepto Inconsciente).            SEP2,0xe544,94,Guérit un allié de tous les effets néfastes\\n(à part l'Inconscience).                    ES 2,0xe280,96,Cures one ally of all adverse effects (except\\nfor Unconscious).                           SP 2,0x189be,30,Kann nicht benutzt werden.\\n ,0x185e7,20,No puede usarse.\\n ,0x18899,25,Ne peut être utilisé.\\n ,0x182e8,24,Cannot be used.\\n------
15,0x8c3465b8,0x19c93,6,Risan,0x198bd,6,Risan,0x19c47,6,Risan,0x1955b,6,Risan,5,Silver,0,90,0x2,"",X,"",27,"Revive, Recover HP 50%",1,Single PC,6,Magic,0,4,0,0,0,0,Physical,7,Revival,50,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0xe6e7,97,"50% Wahrscheinlichkeit, einen bewusstlosen Ver-\\nbündeten mit 50% seiner HP aufzuwecken.    SP 4",0xe4e4,99,Puede revivir en un 50% a un aliado inconsciente\\ny reponer el 50% de su Salud.               SEP4,0xe5a2,99,"A 50% de chance de ranimer un allié Inconscient,\\net de lui redonner 50% de ses PV.           ES 4",0xe2e0,99,"Has a 50% chance of reviving an Unconscious ally,\\nalong with 50% of their HP.                SP 4",0x189dc,30,Kann nicht benutzt werden.\\n ,0x185fb,20,No puede usarse.\\n ,0x188b2,25,Ne peut être utilisé.\\n ,0x18300,24,Cannot be used.\\n------
16,0x8c3465c0,0x19c99,8,Riselem,0x198c3,8,Riselem,0x19c4d,8,Riselem,0x19561,8,Riselem,5,Silver,0,91,0x2,"",X,"",28,"Revive, Recover HP 100%",1,Single PC,6,Magic,0,8,0,0,0,0,Physical,7,Revival,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0xe748,94,Weckt einen bewusstlosen Verbündeten auf und\\nerneuert seine gesamten HP.                SP 8,0xe547,82,Revive a un aliado inconsciente\\ny repone su Salud totalmente.               SEP8,0xe605,98,Ranime un allié Inconscient et lui redonne tous\\nses PV.                                     ES 8,0xe343,96,Revives an Unconscious ally and restores their\\nHP to full.                                SP 8,0x189fa,30,Kann nicht benutzt werden.\\n ,0x1860f,20,No puede usarse.\\n ,0x188cb,25,Ne peut être utilisé.\\n ,0x18318,24,Cannot be used.\\n------
17,0x8c3465c8,0x19ca1,7,Eterni,0x198cb,7,Eterni,0x19c55,7,Eterni,0x19569,7,Eterni,5,Silver,0,100,0x2,"",X,"",5,Unconscious,3,Single EC,6,Magic,0,5,0,0,0,0,Physical,1,Unconscious,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0xe7a6,94,Kann einen Feind auf der Stelle töten. Wirkt\\nbei mächtigen Feinden evtl. nicht.         SP 5,0xe599,98,"Mata instantáneamente a cualquier enemigo, pero\\npuede fallar con monstruos o grandes jefes. SEP5",0xe667,100,Peut tuer instantanément un des ennemis. Mais pas\\nforcément un chef ou un monstre puissant.   ES 5,0xe3a3,96,Can instantly kill any one enemy. May not work\\non some powerful monsters or bosses.       SP 5,0x18a18,30,Kann nicht benutzt werden.\\n ,0x18623,20,No puede usarse.\\n ,0x188e4,25,Ne peut être utilisé.\\n ,0x18330,24,Cannot be used.\\n------
18,0x8c3465d0,0x19ca8,8,Eternes,0x198d2,8,Eternes,0x19c5c,8,Eternes,0x19570,8,Eternes,5,Silver,0,101,0x2,"",X,"",5,Unconscious,4,All ECs,6,Magic,0,10,0,0,0,0,Physical,1,Unconscious,80,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0xe804,94,Kann alle Feinde auf dem Bildschirm auf der\\nStelle töten.                              SP 10,0xe5fb,99,Causa la muerte instantánea a todos los enemigos\\nen pantalla.                               SEP10,0xe6cb,94,Peut causer la mort instantanée de tous les\\nennemis à l'écran.                         ES 10,0xe403,96,Can cause instant death to all enemies on the\\nscreen.                                    SP 10,0x18a36,30,Kann nicht benutzt werden.\\n ,0x18637,20,No puede usarse.\\n ,0x188fd,25,Ne peut être utilisé.\\n ,0x18348,24,Cannot be used.\\n------
19,0x8c3465d8,0x19cb0,8,Eternum,0x198da,8,Eternum,0x19c64,8,Eternum,0x19578,8,Eternum,5,Silver,0,102,0x2,"",X,"",6,"Damage, Unconscious 1",3,Single EC,6,Magic,0,15,0,0,250,1,Magical,1,Unconscious,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0xe862,96,"Bewirkt sofortigen Tod eines Feindes. Ist das\\nZiel immun, richtet es Schaden an.         SP 15",0xe65e,98,"Causa la muerte instantánea de un enemigo.Si el\\nobjetivo es inmune, le provocará daños.    SEP15",0xe729,99,"Cause la mort immédiate d'un ennemi. Si la cible\\nest immunisée, elle subira des dégâts.     ES 15",0xe463,98,"Causes instant death to one enemy. If target is\\nimmune, then it will cause damage.         SP 15",0x18a54,30,Kann nicht benutzt werden.\\n ,0x1864b,20,No puede usarse.\\n ,0x18916,25,Ne peut être utilisé.\\n ,0x18360,24,Cannot be used.\\n------
20,0x8c3465e0,0x19cb8,6,Wevli,0x198e2,6,Wevli,0x19c6c,6,Wevli,0x19580,6,Wevli,3,Blue,0,60,0x3,"",X,X,0,Damage,32,EC Square S3,6,Magic,0,2,0,0,60,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,60,4,0,0,0,0xe8c2,95,"Entfacht eine Feuerexplosion, die alle Feinde\\nauf dem Bildschirm schädigt.               SP 2",0xe6c0,96,Hiere a un enemigo con un torbellino de aire\\ny agua. También hiere a enemigos próximos.  SEP2 ,0xe78c,85,Blesse un ennemi avec une tornade.\\nAtteint aussi les ennemis proches.          ES 2,0xe4c5,95,Damages one enemy with a whirlwind of air and\\nwater. Also harms nearby enemies.          SP 2,0x18a72,99,Feuert eine mit Blue Magic geladene Kanonenkugel\\nab. Erfordert Spezialausrüstung.            2 SP,0x1865f,92,Dispara una bala de cañón con Magia Azul.\\nLanzar hechizos requiere un equipo especial. 2SP,0x1892f,98,Lance un boulet de canon chargé de Magie Bleue.\\nÉquipement spécial requis.                  2 ES,0x18378,94,Fires a cannonball charged with Blue Magic.\\nSpecial equipment is needed to cast.        2 SP
21,0x8c3465e8,0x19cbe,7,Wevles,0x198e8,7,Wevles,0x19c72,7,Wevles,0x19586,7,Wevles,3,Blue,0,61,0x3,"",X,X,0,Damage,33,EC Square S5,6,Magic,0,4,0,0,105,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,4,-1,90,4,0,0,0,0xe921,96,Löst eine gewaltige Explosion aus und schädigt\\nalle Feinde auf dem Bildschirm.            SP 4,0xe720,98,Crea un tornado largo alrededor de un enemigo y\\nhiere a todos los enemigos a su alrededor.  SEP4,0xe7e1,96,Crée une grande tornade autour d'un ennemi et\\nblesse tous les ennemis proches.            ES 4,0xe524,94,Creates a large tornado around one enemy and\\ndamages all enemies nearby.                SP 4,0x18ad5,99,Feuert eine mit Blue Magic geladene Kanonenkugel\\nab. Erfordert Spezialausrüstung.            4 SP,0x186bb,92,Dispara una bala de cañón con Magia Azul.\\nLanzar hechizos requiere un equipo especial. 4SP,0x18991,98,Lance un boulet de canon chargé de Magie Bleue.\\nÉquipement spécial requis.                  4 ES,0x183d6,94,Fires a cannonball charged with Blue Magic.\\nSpecial equipment is needed to cast.        4 SP
22,0x8c3465f0,0x19cc5,7,Wevlen,0x198ef,7,Wevlen,0x19c79,7,Wevlen,0x1958d,7,Wevlen,3,Blue,0,63,0x3,"",X,X,0,Damage,34,EC Square S7,6,Magic,0,8,0,0,195,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,8,-1,150,4,0,0,0,0xe981,98,"Erzeugt ein Bündel von Tornados um einen Feind,\\nschädigt fast alle Feinde auf dem Bildschirm.SP8",0xe782,98,Crea un tornado alrededor de un enemigo y hiere\\na casi todos los enemigos en pantalla.      SEP8,0xe841,96,Crée plusieurs tornades autour d'un ennemi et\\nblesse de nombreux ennemis à l'écran.       ES 8,0xe582,96,Creates a cluster of tornados around one enemy\\nand damages nearly all enemies on screen.  SP 8,0x18b38,99,Feuert eine mit Blue Magic geladene Kanonenkugel\\nab. Erfordert Spezialausrüstung.            8 SP,0x18717,92,Dispara una bala de cañón con Magia Azul.\\nLanzar hechizos requiere un equipo especial. 8SP,0x189f3,98,Lance un boulet de canon chargé de Magie Bleue.\\nÉquipement spécial requis.                  8 ES,0x18434,94,Fires a cannonball charged with Blue Magic.\\nSpecial equipment is needed to cast.        8 SP
23,0x8c3465f8,0x19ccc,5,Pyri,0x198f6,5,Pyri,0x19c80,5,Pyri,0x19594,5,Pyri,1,Red,0,0,0x3,"",X,X,0,Damage,4,All ECs,6,Magic,0,2,0,0,50,1,Magical,0,Poison,0,0,0,0,0,Magic Cannon,0,107,Damage,2,-1,60,1,0,0,0,0xe9e3,95,"Entfacht eine Feuerexplosion, die alle Feinde\\nauf dem Bildschirm schädigt.               SP 2",0xe7e4,94,"Produce una explosión de llamas, hiriendo a\\ntodos los enemigos en pantalla.             SEP2",0xe8a1,94,"Provoque une explosion de flammes, blessant\\ntous les ennemis à l'écran.                 ES 2",0xe5e2,97,"Summons a burst of flames, damaging all enemies\\non screen.                                 SP 2",0x18b9b,100,Feuert eine mit Red Magic geladenene Kanonenkugel\\nab. Erfordert Spezialausrüstung.            2 SP,0x18773,92,Dispara una bala de cañón con Magia Roja.\\nLanzar hechizos requiere un equipo especial. 2SP,0x18a55,98,Lance un boulet de canon chargé de Magie Rouge.\\nÉquipement spécial requis.                  2 ES,0x18492,93,Fires a cannonball charged with Red Magic.\\nSpecial equipment is needed to cast.        2 SP
