Entry ID,EU Message ID,[DE Entry Name Pos],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos],[GB Entry Name Size],GB Entry Name,PC ID,[PC Name],Sell%,Ord by 123,EU Ord by ABC,Effect ID,[Effect Name],Pad 1,Buy,Attack,Hit%,Trait ID,[Trait Name],Pad 2,Trait Value,[DE Descr Pos],[DE Descr Size],DE Descr Str,[ES Descr Pos],[ES Descr Size],ES Descr Str,[FR Descr Pos],[FR Descr Size],FR Descr Str,[GB Descr Pos],[GB Descr Size],GB Descr Str
10,0x8c346880,0x19f09,14,Steinschneide,0x19b55,12,Cortapiedra,0x19ef2,13,Coupe Pierre,0x197dd,12,Stonecutter,0,Vyse,50,6,58,255,Poison 100%,0,3120,99,90,-1,None,0,0,0xfbc2,86,"Messer, ursprünglich zu Steinmetzarbeiten\\nbenutzt, jetzt für den Kampf umgearbeitet.",0xf9a3,93,"Una espada que se utilizaba en albañilería,\\npero se ha transformado para su uso en combate.",0xfa93,95,"Une lame utilisée à l'origine en maçonnerie, qui\\na été modifiée pour servir dans les combats.",0xf7fa,91,"A blade originally used in masonry work, it has\\nsince been modified to be used in combat."
11,0x8c34688c,0x19f17,13,Traummachete,0x19b61,16,Sable de Sueños,0x19eff,11,Sabre Rêve,0x197e9,14,Dream Cutlass,0,Vyse,50,10,26,255,Poison 100%,0,6690,137,90,35,Blue,0,-2,0xfc18,96,"Legendäres Schwert, das den Stoff der Wirklich-\\nkeit zerschneiden und Träume wahr machen kann.",0xfa00,88,Mítica espada que deshace la materia de lo real\\npara que los sueños se hagan realidad.,0xfaf2,96,Une épée légendaire qui peut soi-disant déchirer\\nle tissu de la réalité et réaliser les rêves.,0xf855,92,A legendary sword that can supposedly rip the\\nfabric of reality and make dreams come true.
12,0x8c34689c,0x19f24,12,Windspalter,0x19b71,13,Corta-viento,0x19f0a,16,Coupeur de Vent,0x197f7,11,Windslicer,0,Vyse,50,12,70,255,Poison 100%,0,8760,153,90,-1,None,0,0,0xfc78,90,"Ein so dünnes Messer, das man von ihm sagt, es\\nkönne die Luft in zwei Hälften schneiden.",0xfa58,86,"Espada de hoja tan fina que, según la leyenda,\\ncorta el mismisimo aire por la mitad.",0xfb52,64,Une épée si fine qu'elle peut couper l'air\\nd'après la légende.,0xf8b1,78,A blade so slender that it is fabled to be able\\nto cut the very air in half.
13,0x8c3468a8,0x19f30,14,Vorlik-Klinge,0x19b7e,14,Espada Vorlik,0x19f1a,12,Épée Vorlik,0x19802,13,Vorlik Blade,0,Vyse,50,15,68,255,Poison 100%,0,16500,200,200,-1,None,0,0,0xfcd2,72,"Meisterwerk des legendären Schmieds Ryu-kan,\\naus Velorium hergestellt.",0xfaae,79,"Una obra maestra del mítico creador de espadas\\nRyu-kan, forjada con Velorium.",0xfb92,79,"Un chef d'oeuvre du légendaire façonneur d'épée,\\nRyu-kan, forgée en Velorium.",0xf8ff,75,"A masterpiece of the legendary swordsmith,\\nRyu-kan, forged from Velorium."
14,0x8c3468b8,0x19f3e,14,Suiran-Klinge,0x19b8c,14,Espada Suiran,0x19f26,12,Épée Suiran,0x1980f,13,Suiran Blade,0,Vyse,50,11,60,255,Poison 100%,0,7500,141,90,-1,None,0,0,0xfd1a,93,"Von yafutoman-Soldaten benutztes Schwert, trotz\\nseiner schweren Klinge leicht zu handhaben.",0xfafd,97,"Espada corta usada por los soldados Yafutoman.\\nAunque sea gruesa y pesada, es fácil de manejar.",0xfbe1,96,"Une courte épée dont se servaient les soldats\\nYafutoman, à lame large et lourde mais maniable.",0xf94a,91,"A short sword used by Yafutoman soldiers, its\\nthick, heavy blade is still easy to handle."
15,0x8c3468c8,0x19f4c,14,Seelenschwert,0x19b9a,16,Espada del Alma,0x19f32,9,Épée Âme,0x1981c,11,Soul Sword,0,Vyse,50,14,56,16,Unconscious 5%,0,12340,174,90,-1,None,0,0,0xfd77,94,"Das Schwert der Schwerter, die Meisterstück des\\nSchmieds Ryu-kan. Kann auf der Stelle töten.",0xfb5e,91,"La espada por antonomasia, obra maestra del\\nmaestro Ryu-kan. Causa la muerte instantánea.",0xfc41,92,"L'ultime épée, le meilleur travail du façonneur\\nd'épée, Ryu-kan. Peut tuer d'un seul coup.",0xf9a5,95,"The ultimate sword, the best work of the master\\nswordsmith, Ryu-kan. Can cause instant death."
16,0x8c3468d4,0x19f5a,9,Bumerang,0x19baa,8,Bumerán,0x19f3b,10,Boomerang,0x19827,10,Boomerang,1,Aika,50,17,5,255,Poison 100%,0,70,19,110,-1,None,0,0,0xfdd5,79,"Aikas Lieblings-Bumerang. Sehr groß, aber nicht\\nschwer und leicht zu steuern.",0xfbb9,71,"El Bumerán preferido de Aika. Grande pero\\nligero, y fácil de dirigir.",0xfc9d,71,Boomerang préféré d'Aika. Il est grand mais\\nléger et facile à lancer.,0xfa04,78,"Aika's favorite boomerang. It's large but light,\\nand relatively easy to aim."
17,0x8c3468e0,0x19f63,16,Himmelsschwinge,0x19bb2,12,Ala Celeste,0x19f45,13,Aile du ciel,0x19831,8,Skywing,1,Aika,50,26,55,255,Poison 100%,0,3670,107,110,-1,None,0,0,0xfe24,90,"Bumerang, der wie ein fliegender Vogel geformt\\nist. Er kommt immer zum Werfenden zurück.",0xfc00,91,"Bumerán con forma de pájaro volador. Siempre\\nregresa, da igual lo lejos que sea lanzado. ",0xfce4,83,"Un boomerang en forme d'oiseau. Il revient\\ntoujours, quelle que soit la distance.",0xfa52,91,"A boomerang shaped like a flying bird. It\\nalways returns, no matter how far it is thrown."
18,0x8c3468e8,0x19f73,15,Späherschwinge,0x19bbe,16,Ala Exploradora,0x19f52,14,Aile du scout,0x19839,11,Scout Wing,1,Aika,50,21,51,255,Poison 100%,0,680,53,110,-1,None,0,0,0xfe7e,80,"Waffe, die von den Spähtrupps benutzt\\nwird, sie soll schnell und tödlich sein.",0xfc5b,93,El arma que usan las tripulaciones de partidas\\nde reconocimiento. Debe ser rápida y mortal.,0xfd37,94,"Arme transportée par les équipes d'éclaireurs,\\nelle est conçue pour être rapide et mortelle.",0xfaad,83,"A weapon carried by crews of scouting parties,\\nit is meant to be fast and deadly."
19,0x8c3468f4,0x19f82,11,Eisspalter,0x19bce,11,Cortahielo,0x19f60,17,Fendeur de Glace,0x19844,13,Ice Splitter,1,Aika,50,29,38,255,Poison 100%,0,7390,142,110,34,Purple,0,-2,0xfece,79,"Bumerang mit scharfer Klinge, der im\\nFlug scheinbar die Luft gefrieren lässt.",0xfcb8,94,"Un Bumerán de hoja afilada y transparente como\\nel hielo, que congela el aire que atraviesa. ",0xfd95,78,Un boomerang à la lame glacée et aiguisée qui\\nsemble gèler l'air qu'il fend.,0xfb00,93,"A boomerang with an icy clear, sharp blade that\\nseemingly freezes the air it flies through."
20,0x8c346904,0x19f8d,12,Ledersichel,0x19bd9,13,Bumerán piel,0x19f71,13,Aile de Cuir,0x19851,17,Leather Crescent,1,Aika,50,18,41,255,Poison 100%,0,180,30,110,-1,None,0,0,0xff1d,74,"Lederverstärkter Bumerang, sehr robust gebaut\\nund äußerst schlagkräftig.",0xfd16,72,Un Bumerán reforzado con cuero de hechura\\nrecia y con un gran impacto.,0xfde3,81,Un boomerang en cuir renforcé qui est très\\nsolide et particulièrement puissant.,0xfb5d,88,"A leather-reinforced boomerang that is very\\nsturdy in build, and packs an extra punch."
21,0x8c346918,0x19f99,11,Wurfklinge,0x19be6,17,Espada de lanzar,0x19f7e,15,Lame de Lancer,0x19862,15,Throwing Blade,1,Aika,50,19,63,255,Poison 100%,0,310,38,110,-1,None,0,0,0xff67,94,"Alte Waffe, die nahe Sailors' Island gefunden\\nwurde. Vermutlich für Holz- und Steinarbeiten.",0xfd5e,84,Arma antigua de la Isla del Pirata. Se usaba\\npara trabajar la madera y la piedra. ,0xfe34,98,Ancienne arme trouvée près de l'île aux Marins.\\nAurait servie au travail du bois & de la pierre.,0xfbb5,96,An ancient weapon found near Sailors' Island.\\nThought to have been used for wood & stone work.
22,0x8c346928,0x19fa4,10,Jagdbogen,0x19bf7,13,Arco de caza,0x19f8d,14,Arc de Chasse,0x19871,12,Hunting Arc,1,Aika,50,24,36,255,Poison 100%,0,1820,80,110,-1,None,0,0,0xffc5,77,"Traditionelle Ixa'taka-Jagdwaffe; Kinder lernen\\nsehr früh, damit umzugehen.",0xfdb2,96,"Un arma de caza tradicional de los Ixa'takan,\\nque los niños aprenden a manejar desde pequeños.",0xfe96,88,"Arme traditionnelle de chasse Ixa'takan, on\\napprend très tôt aux enfants à s'en sevir.",0xfc15,96,"A traditional Ixa'takan hunting weapon, children\\nare taught to use them from a very young age."
23,0x8c346934,0x19fae,10,Valuarang,0x19c04,10,Valuarang,0x19f9b,10,Valuarang,0x1987d,10,Valuarang,1,Aika,50,20,67,255,Poison 100%,0,480,46,110,-1,None,0,0,0x10012,96,"Leichter Bumerang, zur Übung für den jährlichen\\nBumerang-Wettbewerb im Valua-Coliseum benutzt.",0xfe12,82,Bumerán ligero con el que practicar para el\\nconcurso anual del Coliseo de Valua.,0xfeee,91,Un boomerang léger qui sert pour l'entraînement\\nau championnat annuel du Coliseum Valuan.,0xfc75,93,A light boomerang used to practice for the\\nannual boomerang contest in the Valuan Coliseum.
24,0x8c346940,0x19fb8,13,Yin-Schwinge,0x19c0e,9,Yin Wing,0x19fa5,9,Aile Yin,0x19887,9,Yin Wing,1,Aika,50,28,72,17,Sleep 5%,0,5930,130,110,-1,None,0,0,0x10072,84,"Tränenförmige Klinge, von einem Meisterschmied\\naus einem Stück Moon Stone geformt.",0xfe64,94,Una espada en forma de lágrima creada por un\\nmaestro artesano con una pieza de Piedra Lunar.,0xff49,93,Épée en forme de larme réalisée par un grand\\nmaître avec un seul morceau de Pierre de Lune.,0xfcd2,88,A tear-shaped blade crafted by a master\\nweaponsmith from a single piece of Moon Stone.
25,0x8c34694c,0x19fc5,12,Tänzerspeer,0x19c17,14,Arco Danzarín,0x19fae,12,Arc Dansant,0x19890,12,Dancing Arc,1,Aika,50,22,23,255,Poison 100%,0,1100,65,110,-1,None,0,0,0x100c6,86,"Ornamentaler Wurfspeer, von Nasr-Tänzern\\nbenutzt. Wird auch als Jagdwaffe gebraucht.",0xfec2,84,Las bailarinas de Nasr usan este cuchillo\\nornamental que sirve también para cazar.,0xffa6,95,Une épée de lancer décorative utilisée par les\\ndanceurs Nasrean. Sert aussi d'arme de chasse.,0xfd2a,94,A decorative throwing blade used by Nasrean\\ndancers. It is used as a hunting weapon as well.
26,0x8c346958,0x19fd1,18,Hoffnungsschwinge,0x19c25,17,Ala de Esperanza,0x19fba,14,Aile d'Espoir,0x1989c,13,Wing of Hope,1,Aika,50,27,71,255,Poison 100%,0,4760,119,110,-1,None,0,0,0x1011c,105,"Als Erinnerung an die, die im Dark Rift ihr Leben\\nließen, in der Hoffnung, dass es anderen besser geht.",0xff16,92,"Hecha en memoria de los desaparecidos en la\\nGruta Oscura, para dar esperanza a los nuevos.",0x10005,91,Réalisée en mémoire des disparus du Récif Noir\\ndans l'espoir que d'autres s'en sortiront.,0xfd88,93,Crafted in memory of those lost in the Dark Rift\\nand in hopes that others will fare better.
27,0x8c346968,0x19fe3,14,Sturmschwinge,0x19c36,16,Ala de Tormenta,0x19fc8,13,Aile d'Orage,0x198a9,11,Storm Wing,1,Aika,50,23,59,2,Weak 10%,0,1280,69,150,-1,None,0,0,0x10185,85,"Von Wächtern eines alten Kaiserpalasts benutzt,\\nkann diese Klinge Feinde schwächen.",0xff72,92,Usada por los guardias de un antiguo palacio\\nimperial. Su función es debilitar al enemigo.,0x10060,97,"Épée utilisée par les gardes d'un ancien palais\\nimpérial, a le pouvoir d'affaiblir les ennemis.",0xfde5,91,"Used by guards in an ancient imperial palace,\\nthis blade has the power to weaken enemies."
28,0x8c346974,0x19ff1,13,Mondschwinge,0x19c46,10,Ala Lunar,0x19fd5,13,Aile de Lune,0x198b4,10,Moon Wing,1,Aika,50,31,45,255,Poison 100%,0,10170,161,110,-1,None,0,0,0x101da,86,Ausgezeichnete Waffe vom Meister Ryu-kan.\\nPerfekte Harmonie von Design und Funktion.,0xffce,96,Insuperable arma creada por el maestro Ryu-kan.\\nPerfecto equilibrio de diseño y funcionalidad.,0x100c1,91,Arme superbe créée par maître Ryu-kan. Parfait\\néquilibre entre fonctionnel et esthétique.,0xfe40,96,"A superb weapon created by the master, Ryu-kan.\\nA perfect balance of design and functionality."
29,0x8c346980,0x19ffe,15,Hydra-Schwinge,0x19c50,10,Ala Hydra,0x19fe2,13,Aile d'Hydra,0x198be,11,Hydra Wing,1,Aika,50,32,37,255,Poison 100%,0,11390,168,110,-1,None,0,0,0x10230,76,"Ein Bumerang, der von der Valua Armee für\\nden Nahkampf umgearbeitet wurde.",0x1002e,86,Un Bumerán reforzado por el ejército de Valua\\npara usar en combates cuerpo a cuerpo.,0x1011c,88,Un boomerang modifié par l'armée Valuan avec\\nrenforcement pour les combats rapprochés.,0xfea0,87,A boomerang modified by the Valuan army with\\nreinforcement for close-quarters combat.
30,0x8c34698c,0x1a00d,17,Grendel-Schwinge,0x19c5a,12,Ala Grendel,0x19fef,16,Aile de Grendel,0x198c9,13,Grendel Wing,1,Aika,50,25,33,255,Poison 100%,0,2820,96,150,32,Green,0,-2,0x1027c,90,Bumerang aus dem Knochen des Green Gigas.\\nSeine Macht reicht an die des Fist of Grendel.,0x10084,88,Bumerán hecho con un hueso del Gigas Verde.\\nSu poder es comparable al Puño de Grendel.,0x10174,96,Un boomerang fabriqué avec un os de Gigas Vert.\\nSon pouvoir rivalise avec le Poing de Grendel.,0xfef7,88,A boomerang made from a bone of the Green Gigas.\\nIts power rivals the Fist of Grendel.
31,0x8c34699c,0x1a01e,14,Flatterklinge,0x19c66,15,Hoja Oscilante,0x19fff,13,Lame Volante,0x198d6,14,Flutter Blade,1,Aika,50,30,29,3,Confusion 20%,0,8910,153,110,-1,None,0,0,0x102d6,94,Doppelklingiger Bumerang mit unvorhersehbarer\\nFlugbahn. Kann beim Feind Verwirrung auslösen.,0x100dc,87,Bumerán de doble hoja cuya trayectoria de\\nvuelo es impredecible. Confunde al enemigo.,0x101d4,93,Boomerang à double tranchant. Sa trajectoire\\nest imprévisible ce qui peut tromper l'ennemi.,0xff4f,96,A double-bladed boomerang with an unpredictable\\nflight path. It can induce Confuse in enemies.
32,0x8c3469ac,0x1a02c,6,Cupil,0x19c75,6,Cupil,0x1a00c,6,Cupil,0x198e4,6,Cupil,2,Fina,0,34,7,255,Poison 100%,0,0,58,120,-1,None,0,0,0x10334,97,Von den Silvites kreierte künstliche Lebensform.\\nCupil begleitet Fina seit ihrem 4. Lebensjahr.,0x10133,94,Forma de vida artificial creada por Silvites.\\nFina recogió a Cupil cuando ella tenía 4 años.,0x10231,91,Espèce artificielle créée par les Silvites.\\nCupil accompagne Fina depuis qu'elle a 4 ans.,0xffaf,88,An artificial life form created by Silvites.\\nCupil has been with Fina since she was 4.
33,0x8c3469b4,0x1a032,12,Cupil-Lanze,0x19c7b,12,Lanza Cupil,0x1a012,12,Lance Cupil,0x198ea,12,Cupil Lance,2,Fina,0,41,14,255,Poison 100%,0,0,110,120,-1,None,0,0,0x10395,88,"Cupil verwandelt sich in eine Lanze und wirft\\nsich auf jeden Feind, den Fina bestimmt.",0x10191,87,Cupil se transforma en lanza y se arroja contra\\ncualquier enemigo que Fina le ordene.,0x1028c,76,Cupil se change en lance et se jette sur\\nl'ennemi au commandement de Fina.,0x10007,78,Cupil morphs into a lance and lunges itself at\\nwhatever enemy Fina commands.
34,0x8c3469c0,0x1a03e,12,Cupil-Stern,0x19c87,15,Estrella Cupil,0x1a01e,13,Étoile Cupil,0x198f6,11,Cupil Star,2,Fina,0,40,18,255,Poison 100%,0,0,103,120,-1,None,0,0,0x103ed,85,Cupil verwandelt sich in einen Stern und bewegt\\nsich spiralförmig auf den Feind zu.,0x101e8,74,Cupil se transforma en estrella y se lanza en\\nespiral contra el enemigo.,0x102d8,63,Cupil se change en étoile et fonce en spirale\\nsur son ennemi.,0x10055,57,Cupil morphs into a star and spirals towards its\\nenemy.
35,0x8c3469cc,0x1a04a,9,Cupicone,0x19c96,9,Cupicono,0x1a02b,9,Cupicône,0x19901,9,Cupicone,2,Fina,0,36,6,255,Poison 100%,0,0,73,120,-1,None,0,0,0x10442,77,Verwandelt sich in einen spitzen Kegel und wirft\\nsich den Feinden entgegen.,0x10232,64,Se transforma en un cono afilado y arremete\\ncontra el enemigo.,0x10317,56,"Se change en cône pointu, et se jette sur ses\\nennemis.",0x1008e,61,"Morphs into a sharp cone, and lunges itself\\nat its enemies."
36,0x8c3469d8,0x1a053,12,Cupil-Speer,0x19c9f,12,Arpón Cupil,0x1a034,12,Pique Cupil,0x1990a,12,Cupil Spear,2,Fina,0,46,16,255,Poison 100%,0,0,147,120,-1,None,0,0,0x1048f,100,"Verwandelt sich in eine gezackte Speerspitze. Jeder\\nStachel hilft Cupil, mehr Schaden anzurichten.",0x10272,91,Se transforma en una punta de lanza con púas y\\ncada púa ayuda a Cupil a causar más daños.,0x1034f,76,Cupil se change en lance barbelée qui lui\\npermet de causer plus de dégâts.,0x100cb,76,Morphs into a barbed spearhead. Each barb\\nhelps Cupil inflict more damage.
37,0x8c3469e4,0x1a05f,13,Cupil-Messer,0x19cab,15,Cuchillo Cupil,0x1a040,11,Lame Cupil,0x19916,12,Cupil Blade,2,Fina,0,35,8,4,Silence 20%,0,0,67,115,-1,None,0,0,0x104f3,80,"Cupil erlernt die Fähigkeit, sich in ein extrem\\nscharfes Messer zu verwandeln.",0x102cd,74,Cupil adquiere la habilidad de transformarse\\nen un cuchillo afiladísimo.,0x1039b,62,Cupil apprend à se changer en couteau\\nextrêmement tranchant.,0x10117,66,Cupil learns the ability to morph into an\\nextremely sharp knife.
38,0x8c3469f0,0x1a06c,14,Cupil-Schwert,0x19cba,13,Espada Cupil,0x1a04b,11,Épée Cupil,0x19922,12,Cupil Sword,2,Fina,0,38,19,4,Silence 20%,0,0,90,115,-1,None,0,0,0x10543,97,"Indem er sich in ein Schwert verwandelt, kann\\nCupil fast jeden Feind in zwei Hälften schneiden.",0x10317,87,"Transformándose en espada, Cupil puede partir\\na casi todos sus enemigos por la mitad.",0x103d9,78,"En se changeant en épée, Cupil peut fendre en\\ndeux presque tous les ennemis.",0x10159,69,"By morphing into a sword, Cupil can cleave\\nalmost any enemy in two."
39,0x8c3469fc,0x1a07a,14,Cupil-Machete,0x19cc7,12,Sable Cupil,0x1a056,12,Sabre Cupil,0x1992e,14,Cupil Cutlass,2,Fina,0,43,12,4,Silence 20%,0,0,127,115,-1,None,0,0,0x105a4,90,"Cupil hat gelernt, sich in eine Machete zu\\nverwandeln, als er Vyse beim Kampf zuschaute.",0x1036e,91,Cupil aprende a transformarse en sable viendo\\npelear a Vyse. Confunde al enemigo. ¡Furia!,0x10427,86,Cupil a appris à se changer en sabre en\\nregardant Vyse se battre. Furie de Cupil !!!,0x1019e,77,Cupil learned to morph into a cutlass by\\nwatching Vyse fight. Cupil Fury!!!
40,0x8c346a0c,0x1a088,17,Cupil-Zweihänder,0x19cd3,15,Cupil Claymore,0x1a062,15,Claymore Cupil,0x1993c,15,Cupil Claymore,2,Fina,0,47,10,4,Silence 20%,0,0,157,115,-1,None,0,0,0x105fe,105,"Indem er sich in ein riesiges zweihändiges Schwert\\nverwandelt, kann Cupil jeden Feind massiv schädigen.",0x103c9,89,Cupil se convierte en una espada gigante de\\ndoble hoja y causa muchos danos al enemigo.,0x1047d,82,"En se changeant en épée géante à 2 lames,\\nCupil peut gravement blesser l'ennemi.",0x101eb,95,"Morphing into a giant 2-handed sword, Cupil can\\ncause massive amounts of damage on any enemy."
41,0x8c346a1c,0x1a099,13,Cupil-Kanone,0x19ce2,12,Cañón Cupil,0x1a071,12,Canon Cupil,0x1994b,13,Cupil Cannon,2,Fina,0,37,9,255,Poison 100%,0,0,86,105,20,Dodge%,0,5,0x10667,102,"Verwandelt sich in eine kleine, aber schwere Kanonen-\\nkugel und fällt von hoch oben auf einen Feind.",0x10422,96,"Se transforma en una pequeña, pero pesada, bala\\nde cañón y cae sobre el enemigo desde lo alto.",0x104cf,82,"Se change en boule de canon, petite mais lourde\\net tombe de haut sur un ennemi. ",0x1024a,84,"Morphs into a small, but heavy, cannonball,\\nand drops on an enemy from high above."
